trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-09-22,2021-09-22 00:00:00+08:00,7190.0,7326.0,7182.6,7301.8,2918.0,0.0,2822.0
2021-09-23,2021-09-23 00:00:00+08:00,7351.0,7384.8,7300.4,7345.0,3423.0,2822.0,3679.0
2021-09-24,2021-09-24 00:00:00+08:00,7322.2,7359.6,7274.4,7299.0,4118.0,3679.0,4982.0
2021-09-27,2021-09-27 00:00:00+08:00,7321.6,7326.2,7074.4,7119.8,7743.0,4982.0,9194.0
2021-09-28,2021-09-28 00:00:00+08:00,7113.6,7157.8,7091.4,7124.0,4821.0,9194.0,9903.0
2021-09-29,2021-09-29 00:00:00+08:00,7075.0,7099.0,6952.4,6989.2,7266.0,9903.0,12989.0
2021-09-30,2021-09-30 00:00:00+08:00,6994.0,7041.8,6975.0,7033.6,5261.0,12989.0,13611.0
2021-10-08,2021-10-08 00:00:00+08:00,7094.0,7128.8,6986.8,7024.8,9078.0,13611.0,17207.0
2021-10-11,2021-10-11 00:00:00+08:00,7035.4,7069.2,6983.4,7028.8,11669.0,17207.0,22271.0
2021-10-12,2021-10-12 00:00:00+08:00,7020.0,7034.8,6852.2,6894.0,22905.0,22271.0,34782.0
2021-10-13,2021-10-13 00:00:00+08:00,6900.2,6956.0,6849.0,6932.0,24484.0,34782.0,43313.0
2021-10-14,2021-10-14 00:00:00+08:00,6925.2,6989.6,6901.4,6960.4,38011.0,43313.0,62552.0
2021-10-15,2021-10-15 00:00:00+08:00,6961.0,7020.6,6933.8,7019.8,49469.0,62552.0,78025.0
2021-10-18,2021-10-18 00:00:00+08:00,7009.0,7033.0,6945.2,7021.0,51745.0,78025.0,76814.0
2021-10-19,2021-10-19 00:00:00+08:00,7012.6,7091.6,6998.8,7070.0,41351.0,76814.0,72486.0
2021-10-20,2021-10-20 00:00:00+08:00,7031.0,7118.8,7020.0,7075.6,42674.0,72486.0,75072.0
2021-10-21,2021-10-21 00:00:00+08:00,7090.0,7103.6,7012.8,7054.0,42525.0,75072.0,73958.0
2021-10-22,2021-10-22 00:00:00+08:00,7051.2,7075.0,6992.0,7004.2,47215.0,73958.0,77968.0
2021-10-25,2021-10-25 00:00:00+08:00,7002.0,7071.0,6979.2,7059.0,42161.0,77968.0,74674.0
2021-10-26,2021-10-26 00:00:00+08:00,7075.8,7125.0,7030.0,7063.6,43661.0,74674.0,74473.0
2021-10-27,2021-10-27 00:00:00+08:00,7046.0,7064.0,6966.2,6998.0,43185.0,74473.0,73481.0
2021-10-28,2021-10-28 00:00:00+08:00,6988.0,7003.4,6916.0,6941.0,50015.0,73481.0,78841.0
2021-10-29,2021-10-29 00:00:00+08:00,6942.0,7017.8,6913.6,7015.4,48458.0,78841.0,77552.0
2021-11-01,2021-11-01 00:00:00+08:00,6996.2,7072.6,6986.0,7043.6,43755.0,77552.0,76227.0
2021-11-02,2021-11-02 00:00:00+08:00,7042.6,7096.0,6916.8,6988.6,55373.0,76227.0,80039.0
2021-11-03,2021-11-03 00:00:00+08:00,6980.0,7048.4,6973.2,7009.4,51286.0,80039.0,78779.0
2021-11-04,2021-11-04 00:00:00+08:00,7017.0,7075.2,7017.0,7066.2,38780.0,78779.0,73062.0
2021-11-05,2021-11-05 00:00:00+08:00,7060.0,7079.0,7000.2,7003.6,44865.0,73062.0,74568.0
2021-11-08,2021-11-08 00:00:00+08:00,7003.2,7045.6,6979.0,7022.2,41849.0,74568.0,69762.0
2021-11-09,2021-11-09 00:00:00+08:00,7044.4,7091.0,7024.2,7071.2,40988.0,69762.0,66149.0
2021-11-10,2021-11-10 00:00:00+08:00,7054.8,7066.8,6955.0,7055.6,52657.0,66149.0,66976.0
2021-11-11,2021-11-11 00:00:00+08:00,7045.6,7119.8,7042.4,7114.0,43100.0,66976.0,59838.0
2021-11-12,2021-11-12 00:00:00+08:00,7114.2,7176.8,7114.2,7165.0,35564.0,59838.0,58029.0
2021-11-15,2021-11-15 00:00:00+08:00,7175.0,7193.0,7081.6,7104.8,40996.0,58029.0,53527.0
2021-11-16,2021-11-16 00:00:00+08:00,7088.4,7132.0,7045.0,7054.8,35595.0,53527.0,44812.0
2021-11-17,2021-11-17 00:00:00+08:00,7050.4,7104.0,7036.2,7094.2,30333.0,44812.0,35169.0
2021-11-18,2021-11-18 00:00:00+08:00,7094.0,7136.4,7052.6,7085.8,31794.0,35169.0,17911.0
2021-11-19,2021-11-19 00:00:00+08:00,7074.0,7155.0,7074.0,7149.6,14159.0,17911.0,0.0
