trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-05-24,2021-05-24 00:00:00+08:00,5115.0,5115.0,5035.0,5098.4,2886.0,0.0,2779.0
2021-05-25,2021-05-25 00:00:00+08:00,5103.4,5296.4,5103.4,5281.8,4357.0,2779.0,4466.0
2021-05-26,2021-05-26 00:00:00+08:00,5292.6,5310.6,5269.4,5280.6,5504.0,4466.0,6343.0
2021-05-27,2021-05-27 00:00:00+08:00,5274.8,5347.8,5248.0,5301.0,4946.0,6343.0,7899.0
2021-05-28,2021-05-28 00:00:00+08:00,5302.0,5325.0,5250.0,5279.6,6180.0,7899.0,10177.0
2021-05-31,2021-05-31 00:00:00+08:00,5279.4,5290.6,5239.6,5286.2,5993.0,10177.0,11425.0
2021-06-01,2021-06-01 00:00:00+08:00,5281.8,5296.6,5216.2,5289.0,6884.0,11425.0,13468.0
2021-06-02,2021-06-02 00:00:00+08:00,5295.4,5304.0,5215.0,5244.8,6839.0,13468.0,15121.0
2021-06-03,2021-06-03 00:00:00+08:00,5250.8,5263.4,5196.8,5201.0,6238.0,15121.0,16315.0
2021-06-04,2021-06-04 00:00:00+08:00,5190.4,5295.6,5172.2,5234.4,8483.0,16315.0,18768.0
2021-06-07,2021-06-07 00:00:00+08:00,5239.0,5244.8,5191.0,5228.2,5606.0,18768.0,19354.0
2021-06-08,2021-06-08 00:00:00+08:00,5228.2,5280.6,5151.0,5184.0,9684.0,19354.0,22281.0
2021-06-09,2021-06-09 00:00:00+08:00,5183.8,5206.4,5167.0,5193.0,6754.0,22281.0,22716.0
2021-06-10,2021-06-10 00:00:00+08:00,5193.2,5262.0,5181.6,5228.4,12638.0,22716.0,27323.0
2021-06-11,2021-06-11 00:00:00+08:00,5250.0,5250.0,5176.0,5180.0,13114.0,27323.0,30436.0
2021-06-15,2021-06-15 00:00:00+08:00,5186.8,5194.6,5098.6,5119.2,20412.0,30436.0,40022.0
2021-06-16,2021-06-16 00:00:00+08:00,5121.4,5129.0,5032.0,5046.2,31342.0,40022.0,54001.0
2021-06-17,2021-06-17 00:00:00+08:00,5040.8,5086.2,5040.2,5060.2,57144.0,54001.0,83268.0
2021-06-18,2021-06-18 00:00:00+08:00,5059.2,5099.0,5026.8,5062.8,98545.0,83268.0,111625.0
2021-06-21,2021-06-21 00:00:00+08:00,5060.0,5096.8,5022.2,5062.2,93196.0,111625.0,107487.0
2021-06-22,2021-06-22 00:00:00+08:00,5080.0,5093.8,5044.4,5080.2,91228.0,107487.0,109439.0
2021-06-23,2021-06-23 00:00:00+08:00,5087.0,5147.0,5075.6,5116.6,96812.0,109439.0,108605.0
2021-06-24,2021-06-24 00:00:00+08:00,5127.0,5135.0,5096.2,5133.6,67159.0,108605.0,100255.0
2021-06-25,2021-06-25 00:00:00+08:00,5136.2,5242.8,5136.2,5220.0,93241.0,100255.0,111281.0
2021-06-28,2021-06-28 00:00:00+08:00,5233.0,5241.0,5202.4,5223.0,65842.0,111281.0,100581.0
2021-06-29,2021-06-29 00:00:00+08:00,5219.0,5220.2,5157.0,5163.8,75592.0,100581.0,104360.0
2021-06-30,2021-06-30 00:00:00+08:00,5170.4,5212.0,5168.6,5192.6,70531.0,104360.0,98266.0
2021-07-01,2021-07-01 00:00:00+08:00,5215.0,5221.0,5130.0,5155.6,103627.0,98266.0,114702.0
2021-07-02,2021-07-02 00:00:00+08:00,5150.0,5155.0,5041.4,5045.2,96721.0,114702.0,105288.0
2021-07-05,2021-07-05 00:00:00+08:00,5047.8,5073.4,5029.6,5062.0,68650.0,105288.0,100238.0
2021-07-06,2021-07-06 00:00:00+08:00,5066.2,5075.0,5012.0,5067.0,90623.0,100238.0,110827.0
2021-07-07,2021-07-07 00:00:00+08:00,5040.8,5145.0,5036.4,5124.2,93770.0,110827.0,99366.0
2021-07-08,2021-07-08 00:00:00+08:00,5130.8,5136.2,5062.0,5076.4,81035.0,99366.0,95795.0
2021-07-09,2021-07-09 00:00:00+08:00,5060.2,5072.0,4995.0,5051.0,94500.0,95795.0,97329.0
2021-07-12,2021-07-12 00:00:00+08:00,5086.0,5150.6,5060.6,5112.0,101679.0,97329.0,88837.0
2021-07-13,2021-07-13 00:00:00+08:00,5115.0,5158.4,5107.4,5134.0,77109.0,88837.0,74674.0
2021-07-14,2021-07-14 00:00:00+08:00,5118.4,5121.6,5062.8,5075.0,80921.0,74674.0,65377.0
2021-07-15,2021-07-15 00:00:00+08:00,5078.6,5155.0,5060.0,5145.8,61383.0,65377.0,26882.0
2021-07-16,2021-07-16 00:00:00+08:00,5144.8,5144.8,5111.6,5114.4,21312.0,26882.0,0.0
