trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-09-22,2021-09-22 00:00:00+08:00,3104.4,3138.4,3100.0,3121.8,1818.0,0.0,1795.0
2021-09-23,2021-09-23 00:00:00+08:00,3140.2,3178.2,3116.0,3128.6,1640.0,1795.0,2130.0
2021-09-24,2021-09-24 00:00:00+08:00,3120.0,3174.0,3120.0,3152.4,1707.0,2130.0,2031.0
2021-09-27,2021-09-27 00:00:00+08:00,3170.0,3212.8,3166.2,3207.0,2419.0,2031.0,3115.0
2021-09-28,2021-09-28 00:00:00+08:00,3194.8,3228.2,3178.0,3210.4,2120.0,3115.0,3602.0
2021-09-29,2021-09-29 00:00:00+08:00,3180.0,3226.6,3159.0,3219.4,3830.0,3602.0,3876.0
2021-09-30,2021-09-30 00:00:00+08:00,3213.4,3225.2,3188.0,3191.0,2980.0,3876.0,4124.0
2021-10-08,2021-10-08 00:00:00+08:00,3230.0,3267.8,3221.2,3259.6,4414.0,4124.0,4930.0
2021-10-11,2021-10-11 00:00:00+08:00,3264.6,3317.8,3264.6,3270.8,5985.0,4930.0,7067.0
2021-10-12,2021-10-12 00:00:00+08:00,3261.0,3286.0,3236.0,3258.0,8398.0,7067.0,9690.0
2021-10-13,2021-10-13 00:00:00+08:00,3256.6,3309.8,3245.0,3293.8,12129.0,9690.0,14996.0
2021-10-14,2021-10-14 00:00:00+08:00,3298.0,3308.8,3261.6,3272.0,21880.0,14996.0,25477.0
2021-10-15,2021-10-15 00:00:00+08:00,3256.6,3311.8,3255.6,3301.0,38642.0,25477.0,40601.0
2021-10-18,2021-10-18 00:00:00+08:00,3303.4,3303.4,3213.6,3233.2,46270.0,40601.0,45616.0
2021-10-19,2021-10-19 00:00:00+08:00,3233.0,3266.6,3233.0,3253.6,34572.0,45616.0,39907.0
2021-10-20,2021-10-20 00:00:00+08:00,3273.8,3287.8,3243.4,3260.0,32491.0,39907.0,40528.0
2021-10-21,2021-10-21 00:00:00+08:00,3259.4,3301.4,3256.4,3285.0,43031.0,40528.0,44778.0
2021-10-22,2021-10-22 00:00:00+08:00,3300.0,3345.8,3290.2,3318.2,43358.0,44778.0,45990.0
2021-10-25,2021-10-25 00:00:00+08:00,3300.0,3324.0,3292.2,3317.2,36616.0,45990.0,45535.0
2021-10-26,2021-10-26 00:00:00+08:00,3322.4,3338.6,3282.6,3292.6,41365.0,45535.0,46253.0
2021-10-27,2021-10-27 00:00:00+08:00,3284.6,3284.6,3239.6,3250.0,39228.0,46253.0,43778.0
2021-10-28,2021-10-28 00:00:00+08:00,3246.8,3259.2,3227.8,3254.4,35792.0,43778.0,43868.0
2021-10-29,2021-10-29 00:00:00+08:00,3254.2,3271.4,3248.0,3269.8,33783.0,43868.0,42815.0
2021-11-01,2021-11-01 00:00:00+08:00,3240.4,3271.6,3233.2,3255.2,33992.0,42815.0,44603.0
2021-11-02,2021-11-02 00:00:00+08:00,3255.4,3276.8,3191.8,3214.6,48168.0,44603.0,50849.0
2021-11-03,2021-11-03 00:00:00+08:00,3218.2,3226.6,3175.2,3182.0,36071.0,50849.0,47211.0
2021-11-04,2021-11-04 00:00:00+08:00,3198.0,3217.6,3192.0,3205.4,31413.0,47211.0,45158.0
2021-11-05,2021-11-05 00:00:00+08:00,3198.0,3233.6,3191.4,3209.4,34529.0,45158.0,44206.0
2021-11-08,2021-11-08 00:00:00+08:00,3210.0,3223.6,3187.6,3193.4,32449.0,44206.0,44650.0
2021-11-09,2021-11-09 00:00:00+08:00,3212.0,3222.0,3174.2,3186.4,34243.0,44650.0,46045.0
2021-11-10,2021-11-10 00:00:00+08:00,3177.0,3185.0,3121.8,3169.0,38971.0,46045.0,44531.0
2021-11-11,2021-11-11 00:00:00+08:00,3169.0,3242.2,3164.0,3238.4,41577.0,44531.0,41793.0
2021-11-12,2021-11-12 00:00:00+08:00,3250.0,3250.4,3220.4,3229.2,29025.0,41793.0,38553.0
2021-11-15,2021-11-15 00:00:00+08:00,3234.4,3249.8,3215.2,3229.0,28638.0,38553.0,39263.0
2021-11-16,2021-11-16 00:00:00+08:00,3230.4,3248.2,3210.4,3227.6,32091.0,39263.0,36043.0
2021-11-17,2021-11-17 00:00:00+08:00,3220.6,3232.0,3201.0,3205.0,27365.0,36043.0,28410.0
2021-11-18,2021-11-18 00:00:00+08:00,3200.4,3200.4,3163.4,3172.6,22658.0,28410.0,14978.0
2021-11-19,2021-11-19 00:00:00+08:00,3167.0,3203.0,3167.0,3200.4,12356.0,14978.0,0.0
