trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2022-09-13,2022-09-13 00:00:00+08:00,100.6,100.6,100.485,100.505,134.0,0.0,111.0
2022-09-14,2022-09-14 00:00:00+08:00,100.405,100.425,100.35,100.36,277.0,111.0,252.0
2022-09-15,2022-09-15 00:00:00+08:00,100.445,100.445,100.325,100.325,53.0,252.0,272.0
2022-09-16,2022-09-16 00:00:00+08:00,100.26,100.305,100.2,100.3,79.0,272.0,322.0
2022-09-19,2022-09-19 00:00:00+08:00,100.355,100.365,100.275,100.365,124.0,322.0,391.0
2022-09-20,2022-09-20 00:00:00+08:00,100.39,100.48,100.385,100.47,161.0,391.0,502.0
2022-09-21,2022-09-21 00:00:00+08:00,100.51,100.54,100.455,100.53,256.0,502.0,541.0
2022-09-22,2022-09-22 00:00:00+08:00,100.53,100.555,100.47,100.47,91.0,541.0,550.0
2022-09-23,2022-09-23 00:00:00+08:00,100.385,100.415,100.295,100.305,149.0,550.0,579.0
2022-09-26,2022-09-26 00:00:00+08:00,100.23,100.23,99.965,99.97,176.0,579.0,536.0
2022-09-27,2022-09-27 00:00:00+08:00,100.015,100.09,99.94,100.08,458.0,536.0,472.0
2022-09-28,2022-09-28 00:00:00+08:00,99.94,100.0,99.875,99.93,221.0,472.0,408.0
2022-09-29,2022-09-29 00:00:00+08:00,100.005,100.04,99.675,99.69,356.0,408.0,462.0
2022-09-30,2022-09-30 00:00:00+08:00,99.6,99.8,99.53,99.64,192.0,462.0,509.0
2022-10-10,2022-10-10 00:00:00+08:00,99.715,99.925,99.715,99.92,287.0,509.0,579.0
2022-10-11,2022-10-11 00:00:00+08:00,99.96,99.975,99.85,99.905,139.0,579.0,583.0
2022-10-12,2022-10-12 00:00:00+08:00,99.855,100.335,99.83,100.07,689.0,583.0,741.0
2022-10-13,2022-10-13 00:00:00+08:00,100.035,100.165,100.035,100.145,103.0,741.0,769.0
2022-10-14,2022-10-14 00:00:00+08:00,100.225,100.41,100.18,100.395,353.0,769.0,872.0
2022-10-17,2022-10-17 00:00:00+08:00,100.35,100.4,100.3,100.35,148.0,872.0,878.0
2022-10-18,2022-10-18 00:00:00+08:00,100.355,100.4,100.28,100.355,170.0,878.0,909.0
2022-10-19,2022-10-19 00:00:00+08:00,100.36,100.42,100.345,100.345,57.0,909.0,939.0
2022-10-20,2022-10-20 00:00:00+08:00,100.295,100.3,100.1,100.22,118.0,939.0,965.0
2022-10-21,2022-10-21 00:00:00+08:00,100.225,100.275,100.14,100.14,81.0,965.0,995.0
2022-10-24,2022-10-24 00:00:00+08:00,100.135,100.34,100.135,100.34,129.0,995.0,1015.0
2022-10-25,2022-10-25 00:00:00+08:00,100.335,100.395,100.19,100.24,213.0,1015.0,1049.0
2022-10-26,2022-10-26 00:00:00+08:00,100.26,100.405,100.26,100.405,84.0,1049.0,1045.0
2022-10-27,2022-10-27 00:00:00+08:00,100.5,100.62,100.49,100.57,201.0,1045.0,1003.0
