trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-06-15,2021-06-15 00:00:00+08:00,99.19,99.19,99.03,99.14,101.0,0.0,64.0
2021-06-16,2021-06-16 00:00:00+08:00,99.15,99.15,99.105,99.115,11.0,64.0,69.0
2021-06-17,2021-06-17 00:00:00+08:00,99.15,99.15,99.07,99.07,55.0,69.0,96.0
2021-06-18,2021-06-18 00:00:00+08:00,99.095,99.195,99.08,99.195,43.0,96.0,111.0
2021-06-21,2021-06-21 00:00:00+08:00,99.25,99.33,99.25,99.33,8.0,111.0,112.0
2021-06-22,2021-06-22 00:00:00+08:00,99.33,99.345,99.315,99.345,12.0,112.0,111.0
2021-06-23,2021-06-23 00:00:00+08:00,99.42,99.445,99.38,99.405,19.0,111.0,126.0
2021-06-24,2021-06-24 00:00:00+08:00,99.545,99.545,99.4,99.4,14.0,126.0,129.0
2021-06-25,2021-06-25 00:00:00+08:00,99.4,99.43,99.4,99.41,8.0,129.0,136.0
2021-06-28,2021-06-28 00:00:00+08:00,99.43,99.43,99.43,99.43,1.0,136.0,136.0
2021-06-29,2021-06-29 00:00:00+08:00,99.4,99.445,99.4,99.445,6.0,136.0,142.0
2021-06-30,2021-06-30 00:00:00+08:00,99.48,99.505,99.48,99.5,9.0,142.0,136.0
2021-07-01,2021-07-01 00:00:00+08:00,99.455,99.47,99.45,99.45,7.0,136.0,143.0
2021-07-02,2021-07-02 00:00:00+08:00,99.475,99.475,99.465,99.465,3.0,143.0,144.0
2021-07-05,2021-07-05 00:00:00+08:00,99.45,99.455,99.45,99.455,3.0,144.0,142.0
2021-07-06,2021-07-06 00:00:00+08:00,99.455,99.455,99.455,99.455,0.0,142.0,142.0
2021-07-07,2021-07-07 00:00:00+08:00,99.455,99.455,99.455,99.455,0.0,142.0,142.0
2021-07-08,2021-07-08 00:00:00+08:00,99.78,99.81,99.78,99.81,2.0,142.0,140.0
2021-07-09,2021-07-09 00:00:00+08:00,99.81,99.81,99.81,99.81,0.0,140.0,140.0
2021-07-12,2021-07-12 00:00:00+08:00,99.81,99.81,99.81,99.81,0.0,140.0,140.0
2021-07-13,2021-07-13 00:00:00+08:00,100.065,100.115,100.065,100.095,8.0,140.0,145.0
2021-07-14,2021-07-14 00:00:00+08:00,100.125,100.225,100.125,100.225,7.0,145.0,142.0
2021-07-15,2021-07-15 00:00:00+08:00,100.025,100.03,100.025,100.025,4.0,142.0,144.0
2021-07-16,2021-07-16 00:00:00+08:00,100.025,100.025,100.025,100.025,0.0,144.0,144.0
2021-07-19,2021-07-19 00:00:00+08:00,100.025,100.025,100.025,100.025,0.0,144.0,144.0
2021-07-20,2021-07-20 00:00:00+08:00,100.22,100.225,100.22,100.225,18.0,144.0,157.0
2021-07-21,2021-07-21 00:00:00+08:00,100.225,100.225,100.225,100.225,0.0,157.0,157.0
2021-07-22,2021-07-22 00:00:00+08:00,100.225,100.225,100.225,100.225,0.0,157.0,157.0
2021-07-23,2021-07-23 00:00:00+08:00,100.315,100.33,100.03,100.33,18.0,157.0,154.0
2021-07-26,2021-07-26 00:00:00+08:00,100.41,100.41,100.41,100.41,1.0,154.0,155.0
2021-07-27,2021-07-27 00:00:00+08:00,100.375,100.38,100.05,100.05,107.0,155.0,213.0
2021-07-28,2021-07-28 00:00:00+08:00,100.155,100.22,100.11,100.11,26.0,213.0,201.0
