trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2023-04-21,2023-04-21 00:00:00+08:00,95.5,95.6,95.33,95.47,1448.0,0.0,1087.0
2023-04-24,2023-04-24 00:00:00+08:00,95.55,95.73,95.54,95.67,772.0,1087.0,1523.0
2023-04-25,2023-04-25 00:00:00+08:00,95.69,95.82,95.64,95.72,463.0,1523.0,1688.0
2023-04-26,2023-04-26 00:00:00+08:00,95.81,95.88,95.72,95.81,1184.0,1688.0,2166.0
2023-04-27,2023-04-27 00:00:00+08:00,95.93,96.2,95.88,96.2,772.0,2166.0,2330.0
2023-04-28,2023-04-28 00:00:00+08:00,96.18,96.18,95.95,96.05,689.0,2330.0,2396.0
2023-05-04,2023-05-04 00:00:00+08:00,96.3,96.52,96.23,96.5,647.0,2396.0,2573.0
2023-05-05,2023-05-05 00:00:00+08:00,96.65,97.03,96.5,96.91,1483.0,2573.0,2997.0
2023-05-08,2023-05-08 00:00:00+08:00,96.77,96.88,96.57,96.65,1758.0,2997.0,3569.0
2023-05-09,2023-05-09 00:00:00+08:00,96.75,96.82,96.67,96.73,1404.0,3569.0,4065.0
2023-05-10,2023-05-10 00:00:00+08:00,96.86,97.09,96.83,96.89,3156.0,4065.0,5401.0
2023-05-11,2023-05-11 00:00:00+08:00,97.1,97.29,97.01,97.12,2350.0,5401.0,5627.0
2023-05-12,2023-05-12 00:00:00+08:00,96.96,97.1,96.87,96.92,2407.0,5627.0,6424.0
2023-05-15,2023-05-15 00:00:00+08:00,96.85,96.97,96.78,96.83,1354.0,6424.0,6593.0
2023-05-16,2023-05-16 00:00:00+08:00,96.83,96.92,96.72,96.87,2346.0,6593.0,7185.0
2023-05-17,2023-05-17 00:00:00+08:00,96.91,96.98,96.7,96.8,1930.0,7185.0,7498.0
2023-05-18,2023-05-18 00:00:00+08:00,96.7,96.84,96.56,96.83,2943.0,7498.0,7862.0
2023-05-19,2023-05-19 00:00:00+08:00,96.83,97.0,96.79,96.97,5917.0,7862.0,8538.0
2023-05-22,2023-05-22 00:00:00+08:00,96.97,97.06,96.89,96.96,6401.0,8538.0,8883.0
2023-05-23,2023-05-23 00:00:00+08:00,97.01,97.24,97.01,97.15,5062.0,8883.0,9249.0
2023-05-24,2023-05-24 00:00:00+08:00,97.12,97.26,97.07,97.19,4825.0,9249.0,9529.0
2023-05-25,2023-05-25 00:00:00+08:00,97.16,97.18,96.96,97.04,6307.0,9529.0,9929.0
2023-05-26,2023-05-26 00:00:00+08:00,96.99,97.09,96.74,96.81,6532.0,9929.0,10062.0
2023-05-29,2023-05-29 00:00:00+08:00,96.71,96.99,96.7,96.99,6163.0,10062.0,10116.0
2023-05-30,2023-05-30 00:00:00+08:00,97.06,97.09,96.85,96.87,4583.0,10116.0,10453.0
2023-05-31,2023-05-31 00:00:00+08:00,96.92,97.06,96.86,97.06,5638.0,10453.0,11023.0
2023-06-01,2023-06-01 00:00:00+08:00,97.13,97.26,97.02,97.19,6550.0,11023.0,11807.0
2023-06-02,2023-06-02 00:00:00+08:00,97.13,97.16,96.63,96.7,7840.0,11807.0,11735.0
2023-06-05,2023-06-05 00:00:00+08:00,96.81,96.98,96.75,96.92,6881.0,11735.0,12492.0
2023-06-06,2023-06-06 00:00:00+08:00,96.97,97.08,96.9,97.07,5768.0,12492.0,12628.0
2023-06-07,2023-06-07 00:00:00+08:00,97.07,97.27,97.03,97.23,7788.0,12628.0,12550.0
2023-06-08,2023-06-08 00:00:00+08:00,97.22,97.22,97.08,97.15,7189.0,12550.0,12460.0
2023-06-09,2023-06-09 00:00:00+08:00,97.12,97.65,97.12,97.52,11007.0,12460.0,13416.0
2023-06-12,2023-06-12 00:00:00+08:00,97.56,97.74,97.53,97.62,7456.0,13416.0,13832.0
2023-06-13,2023-06-13 00:00:00+08:00,97.82,98.21,97.79,98.04,12246.0,13832.0,15992.0
2023-06-14,2023-06-14 00:00:00+08:00,98.44,98.51,98.18,98.33,12240.0,15992.0,16232.0
2023-06-15,2023-06-15 00:00:00+08:00,98.18,98.2,97.67,97.76,11949.0,16232.0,16284.0
2023-06-16,2023-06-16 00:00:00+08:00,97.64,97.71,97.13,97.38,16908.0,16284.0,15778.0
2023-06-19,2023-06-19 00:00:00+08:00,97.38,97.42,96.96,97.15,14627.0,15778.0,16378.0
2023-06-20,2023-06-20 00:00:00+08:00,97.22,97.43,97.21,97.36,10992.0,16378.0,16418.0
2023-06-21,2023-06-21 00:00:00+08:00,97.46,97.59,97.37,97.5,11569.0,16418.0,15996.0
2023-06-26,2023-06-26 00:00:00+08:00,97.6,97.75,97.55,97.7,11727.0,15996.0,16279.0
2023-06-27,2023-06-27 00:00:00+08:00,97.6,97.66,97.42,97.56,11122.0,16279.0,16383.0
2023-06-28,2023-06-28 00:00:00+08:00,97.64,97.79,97.6,97.78,10086.0,16383.0,16054.0
2023-06-29,2023-06-29 00:00:00+08:00,97.68,97.93,97.61,97.82,10206.0,16054.0,17040.0
2023-06-30,2023-06-30 00:00:00+08:00,97.94,98.11,97.82,98.1,10158.0,17040.0,16839.0
2023-07-03,2023-07-03 00:00:00+08:00,98.0,98.05,97.84,97.92,9074.0,16839.0,17072.0
2023-07-04,2023-07-04 00:00:00+08:00,97.9,98.13,97.36,97.71,12156.0,17072.0,17314.0
2023-07-05,2023-07-05 00:00:00+08:00,97.88,98.05,97.77,98.04,8216.0,17314.0,17388.0
