trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-03-15,2021-03-15 00:00:00+08:00,99.57,99.575,99.55,99.55,6.0,0.0,6.0
2021-03-16,2021-03-16 00:00:00+08:00,99.55,99.55,99.55,99.55,0.0,6.0,6.0
2021-03-17,2021-03-17 00:00:00+08:00,99.57,99.625,99.57,99.625,11.0,6.0,12.0
2021-03-18,2021-03-18 00:00:00+08:00,99.625,99.625,99.625,99.625,0.0,12.0,12.0
2021-03-19,2021-03-19 00:00:00+08:00,99.61,99.65,99.61,99.645,21.0,12.0,20.0
2021-03-22,2021-03-22 00:00:00+08:00,99.67,99.685,99.665,99.685,6.0,20.0,19.0
2021-03-23,2021-03-23 00:00:00+08:00,99.73,99.73,99.7,99.705,90.0,19.0,47.0
2021-03-24,2021-03-24 00:00:00+08:00,99.77,99.79,99.77,99.77,52.0,47.0,74.0
2021-03-25,2021-03-25 00:00:00+08:00,99.775,99.78,99.77,99.77,20.0,74.0,76.0
2021-03-26,2021-03-26 00:00:00+08:00,99.77,99.77,99.77,99.77,0.0,76.0,76.0
2021-03-29,2021-03-29 00:00:00+08:00,99.72,99.755,99.715,99.755,26.0,76.0,86.0
2021-03-30,2021-03-30 00:00:00+08:00,99.795,99.83,99.77,99.77,40.0,86.0,118.0
2021-03-31,2021-03-31 00:00:00+08:00,99.75,99.805,99.75,99.79,27.0,118.0,118.0
2021-04-01,2021-04-01 00:00:00+08:00,99.81,99.81,99.77,99.78,22.0,118.0,113.0
2021-04-02,2021-04-02 00:00:00+08:00,99.775,99.825,99.775,99.78,18.0,113.0,114.0
2021-04-06,2021-04-06 00:00:00+08:00,99.8,99.8,99.78,99.78,3.0,114.0,116.0
2021-04-07,2021-04-07 00:00:00+08:00,99.765,99.775,99.73,99.735,29.0,116.0,122.0
2021-04-08,2021-04-08 00:00:00+08:00,99.72,99.745,99.7,99.7,47.0,122.0,139.0
2021-04-09,2021-04-09 00:00:00+08:00,99.7,99.7,99.7,99.7,0.0,139.0,139.0
2021-04-12,2021-04-12 00:00:00+08:00,99.765,99.8,99.765,99.79,22.0,139.0,133.0
2021-04-13,2021-04-13 00:00:00+08:00,99.85,99.88,99.835,99.87,67.0,133.0,141.0
2021-04-14,2021-04-14 00:00:00+08:00,99.87,99.87,99.845,99.845,14.0,141.0,141.0
2021-04-15,2021-04-15 00:00:00+08:00,99.845,99.855,99.81,99.855,4.0,141.0,143.0
2021-04-16,2021-04-16 00:00:00+08:00,99.855,99.855,99.81,99.82,31.0,143.0,150.0
2021-04-19,2021-04-19 00:00:00+08:00,99.825,99.865,99.82,99.85,30.0,150.0,163.0
2021-04-20,2021-04-20 00:00:00+08:00,99.865,99.885,99.85,99.86,5.0,163.0,162.0
2021-04-21,2021-04-21 00:00:00+08:00,99.92,99.945,99.85,99.935,51.0,162.0,164.0
2021-04-22,2021-04-22 00:00:00+08:00,99.875,99.91,99.875,99.89,20.0,164.0,177.0
2021-04-23,2021-04-23 00:00:00+08:00,99.905,99.93,99.905,99.93,27.0,177.0,185.0
2021-04-26,2021-04-26 00:00:00+08:00,99.93,99.93,99.93,99.93,0.0,185.0,185.0
2021-04-27,2021-04-27 00:00:00+08:00,99.87,99.875,99.835,99.85,17.0,185.0,193.0
2021-04-28,2021-04-28 00:00:00+08:00,99.85,99.875,99.85,99.85,5.0,193.0,190.0
2021-04-29,2021-04-29 00:00:00+08:00,99.9,99.92,99.845,99.845,73.0,190.0,237.0
2021-04-30,2021-04-30 00:00:00+08:00,99.895,99.95,99.895,99.95,44.0,237.0,236.0
2021-05-06,2021-05-06 00:00:00+08:00,99.955,99.98,99.95,99.96,30.0,236.0,240.0
2021-05-07,2021-05-07 00:00:00+08:00,99.985,99.995,99.955,99.965,24.0,240.0,257.0
2021-05-10,2021-05-10 00:00:00+08:00,99.97,99.98,99.97,99.98,8.0,257.0,254.0
2021-05-11,2021-05-11 00:00:00+08:00,100.025,100.025,99.98,99.98,19.0,254.0,268.0
2021-05-12,2021-05-12 00:00:00+08:00,100.015,100.015,99.95,99.95,89.0,268.0,320.0
2021-05-13,2021-05-13 00:00:00+08:00,99.925,99.925,99.845,99.92,27.0,320.0,332.0
2021-05-14,2021-05-14 00:00:00+08:00,99.915,99.98,99.915,99.93,22.0,332.0,344.0
2021-05-17,2021-05-17 00:00:00+08:00,99.905,99.96,99.905,99.915,17.0,344.0,350.0
2021-05-18,2021-05-18 00:00:00+08:00,99.96,99.97,99.93,99.96,66.0,350.0,365.0
2021-05-19,2021-05-19 00:00:00+08:00,99.995,100.055,99.995,100.055,53.0,365.0,401.0
2021-05-20,2021-05-20 00:00:00+08:00,100.125,100.13,100.055,100.13,120.0,401.0,468.0
2021-05-21,2021-05-21 00:00:00+08:00,100.14,100.185,100.125,100.185,47.0,468.0,448.0
2021-05-24,2021-05-24 00:00:00+08:00,100.17,100.17,100.125,100.13,38.0,448.0,472.0
