trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2023-03-16,2023-03-16 00:00:00+08:00,8662.0,8777.0,8662.0,8725.0,16.0,0.0,8.0
2023-03-17,2023-03-17 00:00:00+08:00,8677.0,8836.0,8605.0,8666.0,20.0,8.0,14.0
2023-03-20,2023-03-20 00:00:00+08:00,8690.0,8742.0,8649.0,8649.0,4.0,14.0,15.0
2023-03-21,2023-03-21 00:00:00+08:00,8642.0,8642.0,8606.0,8629.0,6.0,15.0,17.0
2023-03-22,2023-03-22 00:00:00+08:00,8613.0,8647.0,8607.0,8607.0,11.0,17.0,17.0
2023-03-23,2023-03-23 00:00:00+08:00,8636.0,8636.0,8636.0,8636.0,1.0,17.0,18.0
2023-03-24,2023-03-24 00:00:00+08:00,8700.0,8787.0,8700.0,8784.0,7.0,18.0,16.0
2023-03-27,2023-03-27 00:00:00+08:00,8680.0,8680.0,8595.0,8608.0,9.0,16.0,18.0
2023-03-28,2023-03-28 00:00:00+08:00,8550.0,8602.0,8525.0,8548.0,8.0,18.0,19.0
2023-03-29,2023-03-29 00:00:00+08:00,8583.0,8583.0,8528.0,8541.0,17.0,19.0,24.0
2023-03-30,2023-03-30 00:00:00+08:00,8626.0,8626.0,8587.0,8588.0,267.0,24.0,286.0
2023-03-31,2023-03-31 00:00:00+08:00,8613.0,8613.0,8500.0,8579.0,95.0,286.0,376.0
2023-04-03,2023-04-03 00:00:00+08:00,8612.0,8612.0,8493.0,8524.0,47.0,376.0,413.0
2023-04-04,2023-04-04 00:00:00+08:00,8450.0,8450.0,8350.0,8388.0,20.0,413.0,421.0
2023-04-06,2023-04-06 00:00:00+08:00,8303.0,8318.0,8226.0,8244.0,52.0,421.0,440.0
2023-04-07,2023-04-07 00:00:00+08:00,8212.0,8286.0,8204.0,8231.0,30.0,440.0,462.0
2023-04-10,2023-04-10 00:00:00+08:00,8230.0,8286.0,8226.0,8266.0,5.0,462.0,465.0
2023-04-11,2023-04-11 00:00:00+08:00,8258.0,8278.0,8141.0,8169.0,114.0,465.0,556.0
2023-04-12,2023-04-12 00:00:00+08:00,8106.0,8117.0,8017.0,8050.0,40.0,556.0,566.0
2023-04-13,2023-04-13 00:00:00+08:00,8008.0,8048.0,7965.0,8016.0,60.0,566.0,581.0
2023-04-14,2023-04-14 00:00:00+08:00,8038.0,8101.0,8004.0,8017.0,678.0,581.0,1184.0
2023-04-17,2023-04-17 00:00:00+08:00,8035.0,8161.0,8035.0,8149.0,30.0,1184.0,1168.0
2023-04-18,2023-04-18 00:00:00+08:00,8177.0,8177.0,8117.0,8117.0,32.0,1168.0,1173.0
2023-04-19,2023-04-19 00:00:00+08:00,8134.0,8319.0,8126.0,8255.0,88.0,1173.0,1201.0
2023-04-20,2023-04-20 00:00:00+08:00,8260.0,8298.0,8236.0,8256.0,24.0,1201.0,1212.0
2023-04-21,2023-04-21 00:00:00+08:00,8276.0,8366.0,8168.0,8321.0,54.0,1212.0,1219.0
2023-04-24,2023-04-24 00:00:00+08:00,8511.0,8525.0,8371.0,8371.0,157.0,1219.0,1240.0
2023-04-25,2023-04-25 00:00:00+08:00,8431.0,8431.0,8322.0,8351.0,214.0,1240.0,1374.0
2023-04-26,2023-04-26 00:00:00+08:00,8380.0,8420.0,8318.0,8365.0,18.0,1374.0,1378.0
2023-04-27,2023-04-27 00:00:00+08:00,8365.0,8389.0,8326.0,8370.0,64.0,1378.0,1355.0
2023-04-28,2023-04-28 00:00:00+08:00,8398.0,8458.0,8351.0,8425.0,78.0,1355.0,1357.0
2023-05-04,2023-05-04 00:00:00+08:00,8714.0,8844.0,8571.0,8844.0,277.0,1357.0,1337.0
2023-05-05,2023-05-05 00:00:00+08:00,8829.0,8829.0,8671.0,8671.0,122.0,1337.0,1325.0
