trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2023-11-15,2023-11-15 00:00:00+08:00,1571.0,1571.0,1551.0,1559.0,142.0,0.0,101.0
2023-11-16,2023-11-16 00:00:00+08:00,1559.0,1565.0,1555.0,1563.0,139.0,101.0,163.0
2023-11-17,2023-11-17 00:00:00+08:00,1565.0,1579.0,1563.0,1567.0,146.0,163.0,169.0
2023-11-20,2023-11-20 00:00:00+08:00,1572.0,1602.0,1572.0,1602.0,167.0,169.0,166.0
2023-11-21,2023-11-21 00:00:00+08:00,1592.0,1634.0,1592.0,1609.0,177.0,166.0,203.0
2023-11-22,2023-11-22 00:00:00+08:00,1607.0,1621.0,1569.0,1583.0,304.0,203.0,287.0
2023-11-23,2023-11-23 00:00:00+08:00,1583.0,1617.0,1578.0,1616.0,293.0,287.0,258.0
2023-11-24,2023-11-24 00:00:00+08:00,1610.0,1666.0,1598.0,1650.0,301.0,258.0,286.0
2023-11-27,2023-11-27 00:00:00+08:00,1645.0,1716.0,1645.0,1685.0,337.0,286.0,369.0
2023-11-28,2023-11-28 00:00:00+08:00,1688.0,1714.0,1661.0,1685.0,367.0,369.0,317.0
2023-11-29,2023-11-29 00:00:00+08:00,1686.0,1752.0,1686.0,1745.0,415.0,317.0,270.0
2023-11-30,2023-11-30 00:00:00+08:00,1751.0,1753.0,1715.0,1753.0,308.0,270.0,406.0
2023-12-01,2023-12-01 00:00:00+08:00,1756.0,1832.0,1753.0,1821.0,501.0,406.0,503.0
2023-12-04,2023-12-04 00:00:00+08:00,1826.0,1868.0,1795.0,1829.0,927.0,503.0,598.0
2023-12-05,2023-12-05 00:00:00+08:00,1832.0,1849.0,1774.0,1810.0,682.0,598.0,582.0
2023-12-06,2023-12-06 00:00:00+08:00,1815.0,1846.0,1782.0,1832.0,2214.0,582.0,2389.0
2023-12-07,2023-12-07 00:00:00+08:00,1838.0,1945.0,1821.0,1921.0,1090.0,2389.0,2413.0
2023-12-08,2023-12-08 00:00:00+08:00,1904.0,1954.0,1874.0,1885.0,828.0,2413.0,2632.0
2023-12-11,2023-12-11 00:00:00+08:00,1918.0,1918.0,1826.0,1842.0,434.0,2632.0,2548.0
2023-12-12,2023-12-12 00:00:00+08:00,1845.0,1845.0,1809.0,1820.0,785.0,2548.0,2837.0
2023-12-13,2023-12-13 00:00:00+08:00,1822.0,1823.0,1742.0,1762.0,807.0,2837.0,3053.0
2023-12-14,2023-12-14 00:00:00+08:00,1773.0,1785.0,1756.0,1765.0,596.0,3053.0,3381.0
2023-12-15,2023-12-15 00:00:00+08:00,1775.0,1810.0,1758.0,1760.0,627.0,3381.0,3647.0
2023-12-18,2023-12-18 00:00:00+08:00,1756.0,1758.0,1699.0,1712.0,582.0,3647.0,3916.0
2023-12-19,2023-12-19 00:00:00+08:00,1722.0,1741.0,1710.0,1729.0,769.0,3916.0,4430.0
2023-12-20,2023-12-20 00:00:00+08:00,1741.0,1768.0,1733.0,1760.0,1051.0,4430.0,5153.0
2023-12-21,2023-12-21 00:00:00+08:00,1744.0,1801.0,1730.0,1800.0,681.0,5153.0,5281.0
2023-12-22,2023-12-22 00:00:00+08:00,1797.0,1845.0,1779.0,1816.0,387.0,5281.0,5208.0
2023-12-25,2023-12-25 00:00:00+08:00,1800.0,1815.0,1770.0,1793.0,564.0,5208.0,5015.0
2023-12-26,2023-12-26 00:00:00+08:00,1771.0,1812.0,1771.0,1790.0,166.0,5015.0,5044.0
2023-12-27,2023-12-27 00:00:00+08:00,1799.0,1811.0,1782.0,1800.0,120.0,5044.0,5067.0
2023-12-28,2023-12-28 00:00:00+08:00,1795.0,1812.0,1776.0,1801.0,141.0,5067.0,5060.0
2023-12-29,2023-12-29 00:00:00+08:00,1770.0,1820.0,1770.0,1815.0,385.0,5060.0,4946.0
2024-01-02,2024-01-02 00:00:00+08:00,1798.0,1801.0,1770.0,1785.0,917.0,4946.0,4256.0
2024-01-03,2024-01-03 00:00:00+08:00,1775.0,1855.0,1775.0,1835.0,497.0,4256.0,4421.0
2024-01-04,2024-01-04 00:00:00+08:00,1846.0,1852.0,1790.0,1796.0,316.0,4421.0,4356.0
2024-01-05,2024-01-05 00:00:00+08:00,1802.0,1819.0,1738.0,1742.0,614.0,4356.0,4298.0
2024-01-08,2024-01-08 00:00:00+08:00,1758.0,1764.0,1661.0,1680.0,948.0,4298.0,4447.0
2024-01-09,2024-01-09 00:00:00+08:00,1682.0,1730.0,1679.0,1696.0,413.0,4447.0,4333.0
2024-01-10,2024-01-10 00:00:00+08:00,1698.0,1705.0,1608.0,1613.0,931.0,4333.0,4329.0
2024-01-11,2024-01-11 00:00:00+08:00,1621.0,1641.0,1600.0,1635.0,412.0,4329.0,4351.0
2024-01-12,2024-01-12 00:00:00+08:00,1629.0,1636.0,1593.0,1602.0,811.0,4351.0,4367.0
2024-01-15,2024-01-15 00:00:00+08:00,1602.0,1612.0,1586.0,1602.0,728.0,4367.0,4321.0
2024-01-16,2024-01-16 00:00:00+08:00,1601.0,1639.0,1600.0,1617.0,1043.0,4321.0,3850.0
2024-01-17,2024-01-17 00:00:00+08:00,1620.0,1647.0,1605.0,1605.0,947.0,3850.0,3436.0
2024-01-18,2024-01-18 00:00:00+08:00,1608.0,1633.0,1594.0,1632.0,1584.0,3436.0,2316.0
2024-01-19,2024-01-19 00:00:00+08:00,1628.0,1638.0,1614.0,1636.0,744.0,2316.0,1875.0
2024-01-22,2024-01-22 00:00:00+08:00,1634.0,1688.0,1630.0,1670.0,1205.0,1875.0,1399.0
2024-01-23,2024-01-23 00:00:00+08:00,1662.0,1667.0,1647.0,1656.0,249.0,1399.0,1361.0
2024-01-24,2024-01-24 00:00:00+08:00,1642.0,1692.0,1642.0,1687.0,318.0,1361.0,1241.0
2024-01-25,2024-01-25 00:00:00+08:00,1694.0,1710.0,1684.0,1693.0,477.0,1241.0,1160.0
2024-01-26,2024-01-26 00:00:00+08:00,1690.0,1698.0,1668.0,1682.0,703.0,1160.0,1079.0
2024-01-29,2024-01-29 00:00:00+08:00,1662.0,1730.0,1662.0,1680.0,371.0,1079.0,1112.0
2024-01-30,2024-01-30 00:00:00+08:00,1684.0,1698.0,1667.0,1677.0,183.0,1112.0,1101.0
2024-01-31,2024-01-31 00:00:00+08:00,1671.0,1686.0,1660.0,1675.0,199.0,1101.0,1098.0
2024-02-01,2024-02-01 00:00:00+08:00,1678.0,1678.0,1621.0,1626.0,301.0,1098.0,1166.0
2024-02-02,2024-02-02 00:00:00+08:00,1624.0,1640.0,1611.0,1618.0,229.0,1166.0,1200.0
2024-02-05,2024-02-05 00:00:00+08:00,1615.0,1647.0,1615.0,1629.0,145.0,1200.0,1186.0
2024-02-06,2024-02-06 00:00:00+08:00,1626.0,1650.0,1610.0,1638.0,274.0,1186.0,1148.0
2024-02-07,2024-02-07 00:00:00+08:00,1635.0,1661.0,1633.0,1658.0,146.0,1148.0,1099.0
2024-02-08,2024-02-08 00:00:00+08:00,1631.0,1683.0,1631.0,1650.0,103.0,1099.0,1086.0
2024-02-19,2024-02-19 00:00:00+08:00,1635.0,1672.0,1603.0,1612.0,355.0,1086.0,1222.0
2024-02-20,2024-02-20 00:00:00+08:00,1610.0,1615.0,1575.0,1576.0,384.0,1222.0,1436.0
2024-02-21,2024-02-21 00:00:00+08:00,1584.0,1595.0,1568.0,1573.0,383.0,1436.0,1610.0
2024-02-22,2024-02-22 00:00:00+08:00,1569.0,1582.0,1569.0,1577.0,269.0,1610.0,1701.0
2024-02-23,2024-02-23 00:00:00+08:00,1579.0,1585.0,1577.0,1579.0,288.0,1701.0,1726.0
2024-02-26,2024-02-26 00:00:00+08:00,1578.0,1585.0,1558.0,1563.0,405.0,1726.0,1809.0
2024-02-27,2024-02-27 00:00:00+08:00,1567.0,1588.0,1563.0,1585.0,304.0,1809.0,1717.0
2024-02-28,2024-02-28 00:00:00+08:00,1584.0,1586.0,1549.0,1555.0,488.0,1717.0,1952.0
2024-02-29,2024-02-29 00:00:00+08:00,1551.0,1564.0,1548.0,1560.0,423.0,1952.0,1993.0
2024-03-01,2024-03-01 00:00:00+08:00,1562.0,1572.0,1554.0,1561.0,576.0,1993.0,2258.0
2024-03-04,2024-03-04 00:00:00+08:00,1561.0,1562.0,1536.0,1556.0,570.0,2258.0,2408.0
2024-03-05,2024-03-05 00:00:00+08:00,1558.0,1579.0,1541.0,1544.0,721.0,2408.0,2535.0
2024-03-06,2024-03-06 00:00:00+08:00,1542.0,1552.0,1533.0,1548.0,430.0,2535.0,2656.0
2024-03-07,2024-03-07 00:00:00+08:00,1552.0,1561.0,1530.0,1538.0,353.0,2656.0,2772.0
2024-03-08,2024-03-08 00:00:00+08:00,1539.0,1555.0,1538.0,1550.0,339.0,2772.0,2716.0
2024-03-11,2024-03-11 00:00:00+08:00,1551.0,1563.0,1515.0,1532.0,1431.0,2716.0,2960.0
2024-03-12,2024-03-12 00:00:00+08:00,1537.0,1543.0,1525.0,1543.0,317.0,2960.0,2973.0
2024-03-13,2024-03-13 00:00:00+08:00,1543.0,1546.0,1530.0,1536.0,225.0,2973.0,3045.0
2024-03-14,2024-03-14 00:00:00+08:00,1540.0,1543.0,1518.0,1530.0,375.0,3045.0,3021.0
2024-03-15,2024-03-15 00:00:00+08:00,1531.0,1547.0,1529.0,1535.0,464.0,3021.0,2979.0
2024-03-18,2024-03-18 00:00:00+08:00,1537.0,1540.0,1487.0,1493.0,723.0,2979.0,3226.0
2024-03-19,2024-03-19 00:00:00+08:00,1497.0,1516.0,1490.0,1506.0,366.0,3226.0,3311.0
2024-03-20,2024-03-20 00:00:00+08:00,1500.0,1516.0,1497.0,1497.0,214.0,3311.0,3321.0
2024-03-21,2024-03-21 00:00:00+08:00,1501.0,1523.0,1492.0,1514.0,382.0,3321.0,3200.0
2024-03-22,2024-03-22 00:00:00+08:00,1512.0,1528.0,1500.0,1506.0,357.0,3200.0,3151.0
2024-03-25,2024-03-25 00:00:00+08:00,1503.0,1508.0,1475.0,1475.0,876.0,3151.0,3195.0
2024-03-26,2024-03-26 00:00:00+08:00,1479.0,1480.0,1463.0,1466.0,245.0,3195.0,3205.0
2024-03-27,2024-03-27 00:00:00+08:00,1468.0,1476.0,1436.0,1440.0,341.0,3205.0,3254.0
2024-03-28,2024-03-28 00:00:00+08:00,1440.0,1448.0,1417.0,1417.0,385.0,3254.0,3262.0
2024-03-29,2024-03-29 00:00:00+08:00,1422.0,1436.0,1409.0,1421.0,456.0,3262.0,3453.0
2024-04-01,2024-04-01 00:00:00+08:00,1422.0,1442.0,1410.0,1439.0,468.0,3453.0,3434.0
2024-04-02,2024-04-02 00:00:00+08:00,1448.0,1451.0,1424.0,1428.0,251.0,3434.0,3478.0
2024-04-03,2024-04-03 00:00:00+08:00,1428.0,1447.0,1428.0,1437.0,236.0,3478.0,3464.0
2024-04-08,2024-04-08 00:00:00+08:00,1463.0,1490.0,1455.0,1487.0,482.0,3464.0,3305.0
2024-04-09,2024-04-09 00:00:00+08:00,1489.0,1512.0,1467.0,1507.0,555.0,3305.0,3223.0
2024-04-10,2024-04-10 00:00:00+08:00,1518.0,1531.0,1500.0,1514.0,852.0,3223.0,3292.0
2024-04-11,2024-04-11 00:00:00+08:00,1520.0,1521.0,1489.0,1492.0,413.0,3292.0,3368.0
2024-04-12,2024-04-12 00:00:00+08:00,1493.0,1508.0,1480.0,1499.0,386.0,3368.0,3416.0
2024-04-15,2024-04-15 00:00:00+08:00,1498.0,1503.0,1456.0,1474.0,619.0,3416.0,3516.0
2024-04-16,2024-04-16 00:00:00+08:00,1494.0,1494.0,1453.0,1460.0,353.0,3516.0,3572.0
2024-04-17,2024-04-17 00:00:00+08:00,1460.0,1480.0,1449.0,1473.0,429.0,3572.0,3562.0
2024-04-18,2024-04-18 00:00:00+08:00,1475.0,1522.0,1471.0,1516.0,1187.0,3562.0,3614.0
2024-04-19,2024-04-19 00:00:00+08:00,1533.0,1533.0,1497.0,1508.0,644.0,3614.0,3607.0
2024-04-22,2024-04-22 00:00:00+08:00,1509.0,1547.0,1504.0,1529.0,1492.0,3607.0,3180.0
2024-04-23,2024-04-23 00:00:00+08:00,1519.0,1542.0,1508.0,1514.0,893.0,3180.0,2971.0
2024-04-24,2024-04-24 00:00:00+08:00,1515.0,1560.0,1515.0,1547.0,1418.0,2971.0,3023.0
2024-04-25,2024-04-25 00:00:00+08:00,1550.0,1584.0,1539.0,1568.0,1342.0,3023.0,2921.0
2024-04-26,2024-04-26 00:00:00+08:00,1573.0,1580.0,1547.0,1573.0,564.0,2921.0,2878.0
2024-04-29,2024-04-29 00:00:00+08:00,1566.0,1578.0,1540.0,1565.0,461.0,2878.0,2844.0
