trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2022-03-15,2022-03-15 00:00:00+08:00,2973.0,3099.0,2900.0,2900.0,4.0,0.0,1.0
2022-03-16,2022-03-16 00:00:00+08:00,2900.0,3000.0,2900.0,3000.0,3.0,1.0,1.0
2022-03-17,2022-03-17 00:00:00+08:00,2904.0,3060.0,2904.0,3039.0,28.0,1.0,4.0
2022-03-18,2022-03-18 00:00:00+08:00,2991.0,3124.0,2991.0,3037.0,7.0,4.0,8.0
2022-03-21,2022-03-21 00:00:00+08:00,3026.0,3064.0,3026.0,3026.0,6.0,8.0,6.0
2022-03-22,2022-03-22 00:00:00+08:00,2900.0,3146.0,2835.0,2939.0,24.0,6.0,1.0
2022-03-23,2022-03-23 00:00:00+08:00,2920.0,2997.0,2920.0,2997.0,4.0,1.0,3.0
2022-03-24,2022-03-24 00:00:00+08:00,2964.0,3004.0,2963.0,3003.0,4.0,3.0,4.0
2022-03-25,2022-03-25 00:00:00+08:00,3003.0,3003.0,3003.0,3003.0,0.0,4.0,4.0
2022-03-28,2022-03-28 00:00:00+08:00,3130.0,3130.0,3023.0,3040.0,4.0,4.0,3.0
2022-03-29,2022-03-29 00:00:00+08:00,3006.0,3006.0,3006.0,3006.0,2.0,3.0,1.0
2022-03-30,2022-03-30 00:00:00+08:00,3039.0,3039.0,2965.0,3004.0,5.0,1.0,0.0
2022-03-31,2022-03-31 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-01,2022-04-01 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-06,2022-04-06 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-07,2022-04-07 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-08,2022-04-08 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-11,2022-04-11 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-12,2022-04-12 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-13,2022-04-13 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-14,2022-04-14 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-15,2022-04-15 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-18,2022-04-18 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-19,2022-04-19 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-20,2022-04-20 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-21,2022-04-21 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-22,2022-04-22 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-25,2022-04-25 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-26,2022-04-26 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-27,2022-04-27 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-28,2022-04-28 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-04-29,2022-04-29 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-05-05,2022-05-05 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-05-06,2022-05-06 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-05-09,2022-05-09 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-05-10,2022-05-10 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-05-11,2022-05-11 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-05-12,2022-05-12 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-05-13,2022-05-13 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-05-16,2022-05-16 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-05-17,2022-05-17 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
2022-05-18,2022-05-18 00:00:00+08:00,3004.0,3004.0,3004.0,3004.0,0.0,0.0,0.0
