trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2024-06-18,2024-06-18 00:00:00+08:00,2504.0,2511.0,2504.0,2511.0,3.0,0.0,2.0
2024-06-19,2024-06-19 00:00:00+08:00,2525.0,2525.0,2511.0,2511.0,3.0,2.0,3.0
2024-06-20,2024-06-20 00:00:00+08:00,2520.0,2521.0,2510.0,2510.0,6.0,3.0,6.0
2024-06-21,2024-06-21 00:00:00+08:00,2519.0,2519.0,2500.0,2500.0,3.0,6.0,8.0
2024-06-24,2024-06-24 00:00:00+08:00,2485.0,2492.0,2485.0,2485.0,9.0,8.0,17.0
2024-06-25,2024-06-25 00:00:00+08:00,2485.0,2505.0,2485.0,2505.0,3.0,17.0,16.0
2024-06-26,2024-06-26 00:00:00+08:00,2500.0,2500.0,2494.0,2494.0,5.0,16.0,18.0
2024-06-27,2024-06-27 00:00:00+08:00,2502.0,2502.0,2502.0,2502.0,1.0,18.0,17.0
2024-06-28,2024-06-28 00:00:00+08:00,2525.0,2535.0,2525.0,2535.0,5.0,17.0,17.0
2024-07-01,2024-07-01 00:00:00+08:00,2536.0,2542.0,2525.0,2525.0,22.0,17.0,26.0
2024-07-02,2024-07-02 00:00:00+08:00,2532.0,2563.0,2532.0,2563.0,4.0,26.0,25.0
2024-07-03,2024-07-03 00:00:00+08:00,2559.0,2564.0,2547.0,2557.0,21.0,25.0,19.0
2024-07-04,2024-07-04 00:00:00+08:00,2557.0,2557.0,2552.0,2554.0,5.0,19.0,19.0
2024-07-05,2024-07-05 00:00:00+08:00,2542.0,2555.0,2536.0,2542.0,8.0,19.0,22.0
2024-07-08,2024-07-08 00:00:00+08:00,2527.0,2527.0,2510.0,2517.0,13.0,22.0,21.0
2024-07-09,2024-07-09 00:00:00+08:00,2522.0,2531.0,2518.0,2528.0,15.0,21.0,27.0
2024-07-10,2024-07-10 00:00:00+08:00,2532.0,2534.0,2510.0,2510.0,24.0,27.0,38.0
2024-07-11,2024-07-11 00:00:00+08:00,2530.0,2556.0,2530.0,2556.0,20.0,38.0,37.0
2024-07-12,2024-07-12 00:00:00+08:00,2545.0,2545.0,2538.0,2538.0,14.0,37.0,29.0
2024-07-15,2024-07-15 00:00:00+08:00,2534.0,2534.0,2534.0,2534.0,1.0,29.0,28.0
2024-07-16,2024-07-16 00:00:00+08:00,2526.0,2536.0,2519.0,2536.0,14.0,28.0,32.0
2024-07-17,2024-07-17 00:00:00+08:00,2523.0,2523.0,2512.0,2512.0,11.0,32.0,42.0
2024-07-18,2024-07-18 00:00:00+08:00,2498.0,2505.0,2489.0,2495.0,21.0,42.0,47.0
2024-07-19,2024-07-19 00:00:00+08:00,2488.0,2495.0,2479.0,2479.0,10.0,47.0,49.0
2024-07-22,2024-07-22 00:00:00+08:00,2487.0,2487.0,2460.0,2460.0,15.0,49.0,53.0
2024-07-23,2024-07-23 00:00:00+08:00,2468.0,2477.0,2468.0,2471.0,8.0,53.0,55.0
