trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2024-01-16,2024-01-16 00:00:00+08:00,7955.0,7991.0,7886.0,7941.0,145.0,0.0,84.0
2024-01-17,2024-01-17 00:00:00+08:00,7968.0,8000.0,7900.0,7902.0,149.0,84.0,167.0
2024-01-18,2024-01-18 00:00:00+08:00,7885.0,7962.0,7859.0,7947.0,126.0,167.0,193.0
2024-01-19,2024-01-19 00:00:00+08:00,7986.0,8024.0,7940.0,8020.0,111.0,193.0,212.0
2024-01-22,2024-01-22 00:00:00+08:00,8036.0,8041.0,7915.0,7915.0,163.0,212.0,302.0
2024-01-23,2024-01-23 00:00:00+08:00,7943.0,8010.0,7868.0,7997.0,232.0,302.0,271.0
2024-01-24,2024-01-24 00:00:00+08:00,8020.0,8088.0,7995.0,8070.0,119.0,271.0,252.0
2024-01-25,2024-01-25 00:00:00+08:00,8078.0,8078.0,7995.0,8011.0,124.0,252.0,288.0
2024-01-26,2024-01-26 00:00:00+08:00,7971.0,8013.0,7913.0,7959.0,250.0,288.0,357.0
2024-01-29,2024-01-29 00:00:00+08:00,7933.0,7939.0,7827.0,7830.0,386.0,357.0,542.0
2024-01-30,2024-01-30 00:00:00+08:00,7844.0,7844.0,7652.0,7660.0,712.0,542.0,876.0
2024-01-31,2024-01-31 00:00:00+08:00,7660.0,7718.0,7650.0,7684.0,617.0,876.0,1102.0
2024-02-01,2024-02-01 00:00:00+08:00,7674.0,7750.0,7651.0,7735.0,157.0,1102.0,1088.0
2024-02-02,2024-02-02 00:00:00+08:00,7728.0,7735.0,7656.0,7692.0,275.0,1088.0,1172.0
2024-02-05,2024-02-05 00:00:00+08:00,7687.0,7720.0,7613.0,7683.0,336.0,1172.0,1167.0
2024-02-06,2024-02-06 00:00:00+08:00,7679.0,7725.0,7660.0,7691.0,397.0,1167.0,1164.0
2024-02-07,2024-02-07 00:00:00+08:00,7708.0,7710.0,7555.0,7612.0,640.0,1164.0,1518.0
2024-02-08,2024-02-08 00:00:00+08:00,7600.0,7709.0,7574.0,7698.0,399.0,1518.0,1522.0
2024-02-19,2024-02-19 00:00:00+08:00,7649.0,7743.0,7644.0,7727.0,697.0,1522.0,1630.0
2024-02-20,2024-02-20 00:00:00+08:00,7732.0,7789.0,7720.0,7727.0,557.0,1630.0,1816.0
2024-02-21,2024-02-21 00:00:00+08:00,7747.0,7781.0,7686.0,7737.0,487.0,1816.0,1961.0
2024-02-22,2024-02-22 00:00:00+08:00,7730.0,7812.0,7694.0,7810.0,472.0,1961.0,1852.0
2024-02-23,2024-02-23 00:00:00+08:00,7810.0,7818.0,7713.0,7748.0,719.0,1852.0,2114.0
2024-02-26,2024-02-26 00:00:00+08:00,7741.0,7780.0,7660.0,7675.0,854.0,2114.0,2361.0
2024-02-27,2024-02-27 00:00:00+08:00,7666.0,7788.0,7660.0,7780.0,914.0,2361.0,2359.0
2024-02-28,2024-02-28 00:00:00+08:00,7795.0,7820.0,7776.0,7795.0,933.0,2359.0,2438.0
2024-02-29,2024-02-29 00:00:00+08:00,7785.0,7844.0,7785.0,7832.0,578.0,2438.0,2409.0
2024-03-01,2024-03-01 00:00:00+08:00,7823.0,7887.0,7801.0,7887.0,1082.0,2409.0,2669.0
2024-03-04,2024-03-04 00:00:00+08:00,7889.0,7910.0,7824.0,7863.0,1033.0,2669.0,2956.0
2024-03-05,2024-03-05 00:00:00+08:00,7851.0,7893.0,7818.0,7874.0,1129.0,2956.0,2991.0
2024-03-06,2024-03-06 00:00:00+08:00,7861.0,8005.0,7861.0,7997.0,2745.0,2991.0,3110.0
2024-03-07,2024-03-07 00:00:00+08:00,8008.0,8030.0,7972.0,8007.0,2243.0,3110.0,4108.0
2024-03-08,2024-03-08 00:00:00+08:00,8031.0,8122.0,7992.0,8122.0,2338.0,4108.0,4996.0
2024-03-11,2024-03-11 00:00:00+08:00,8096.0,8110.0,8026.0,8040.0,4970.0,4996.0,6554.0
2024-03-12,2024-03-12 00:00:00+08:00,8045.0,8153.0,8045.0,8137.0,5166.0,6554.0,7354.0
2024-03-13,2024-03-13 00:00:00+08:00,8130.0,8177.0,8081.0,8153.0,3502.0,7354.0,7754.0
2024-03-14,2024-03-14 00:00:00+08:00,8168.0,8275.0,8130.0,8229.0,3494.0,7754.0,7838.0
2024-03-15,2024-03-15 00:00:00+08:00,8214.0,8256.0,8158.0,8233.0,1634.0,7838.0,7861.0
2024-03-18,2024-03-18 00:00:00+08:00,8213.0,8418.0,8210.0,8297.0,3398.0,7861.0,8059.0
