trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2023-01-30,2023-01-30 00:00:00+08:00,7562.0,7562.0,7562.0,7562.0,1.0,0.0,1.0
2023-01-31,2023-01-31 00:00:00+08:00,7492.0,7500.0,7492.0,7500.0,2.0,1.0,2.0
2023-02-01,2023-02-01 00:00:00+08:00,7544.0,7544.0,7526.0,7526.0,2.0,2.0,1.0
2023-02-02,2023-02-02 00:00:00+08:00,7500.0,7500.0,7388.0,7388.0,2.0,1.0,1.0
2023-02-03,2023-02-03 00:00:00+08:00,7388.0,7388.0,7388.0,7388.0,0.0,1.0,1.0
2023-02-06,2023-02-06 00:00:00+08:00,7388.0,7388.0,7388.0,7388.0,0.0,1.0,1.0
2023-02-07,2023-02-07 00:00:00+08:00,7388.0,7388.0,7388.0,7388.0,0.0,1.0,1.0
2023-02-08,2023-02-08 00:00:00+08:00,7388.0,7388.0,7388.0,7388.0,0.0,1.0,1.0
2023-02-09,2023-02-09 00:00:00+08:00,7358.0,7358.0,7358.0,7358.0,1.0,1.0,2.0
2023-02-10,2023-02-10 00:00:00+08:00,7242.0,7242.0,7164.0,7208.0,6.0,2.0,7.0
2023-02-13,2023-02-13 00:00:00+08:00,7228.0,7228.0,7220.0,7220.0,2.0,7.0,7.0
2023-02-14,2023-02-14 00:00:00+08:00,7188.0,7190.0,7170.0,7190.0,3.0,7.0,8.0
2023-02-15,2023-02-15 00:00:00+08:00,7174.0,7174.0,7174.0,7174.0,1.0,8.0,8.0
2023-02-16,2023-02-16 00:00:00+08:00,7208.0,7222.0,7198.0,7222.0,6.0,8.0,11.0
2023-02-17,2023-02-17 00:00:00+08:00,7246.0,7246.0,7186.0,7186.0,6.0,11.0,12.0
2023-02-20,2023-02-20 00:00:00+08:00,7130.0,7192.0,7124.0,7192.0,6.0,12.0,12.0
2023-02-21,2023-02-21 00:00:00+08:00,7262.0,7308.0,7262.0,7308.0,2.0,12.0,11.0
2023-02-22,2023-02-22 00:00:00+08:00,7354.0,7354.0,7350.0,7350.0,2.0,11.0,12.0
2023-02-23,2023-02-23 00:00:00+08:00,7322.0,7322.0,7304.0,7304.0,2.0,12.0,13.0
2023-02-24,2023-02-24 00:00:00+08:00,7350.0,7380.0,7350.0,7374.0,7.0,13.0,12.0
2023-02-27,2023-02-27 00:00:00+08:00,7362.0,7362.0,7362.0,7362.0,1.0,12.0,13.0
2023-02-28,2023-02-28 00:00:00+08:00,7308.0,7308.0,7308.0,7308.0,1.0,13.0,13.0
2023-03-01,2023-03-01 00:00:00+08:00,7396.0,7398.0,7390.0,7390.0,4.0,13.0,14.0
2023-03-02,2023-03-02 00:00:00+08:00,7334.0,7390.0,7334.0,7390.0,3.0,14.0,14.0
2023-03-03,2023-03-03 00:00:00+08:00,7344.0,7400.0,7344.0,7400.0,9.0,14.0,14.0
2023-03-06,2023-03-06 00:00:00+08:00,7400.0,7400.0,7400.0,7400.0,0.0,14.0,14.0
2023-03-07,2023-03-07 00:00:00+08:00,7440.0,7440.0,7412.0,7420.0,4.0,14.0,15.0
2023-03-08,2023-03-08 00:00:00+08:00,7360.0,7360.0,7360.0,7360.0,1.0,15.0,14.0
2023-03-09,2023-03-09 00:00:00+08:00,7298.0,7308.0,7250.0,7308.0,7.0,14.0,13.0
2023-03-10,2023-03-10 00:00:00+08:00,7308.0,7308.0,7308.0,7308.0,0.0,13.0,13.0
2023-03-13,2023-03-13 00:00:00+08:00,7308.0,7308.0,7308.0,7308.0,0.0,13.0,13.0
2023-03-14,2023-03-14 00:00:00+08:00,7210.0,7230.0,7106.0,7120.0,32.0,13.0,27.0
2023-03-15,2023-03-15 00:00:00+08:00,7102.0,7138.0,7098.0,7108.0,15.0,27.0,29.0
2023-03-16,2023-03-16 00:00:00+08:00,7082.0,7082.0,6920.0,6958.0,38.0,29.0,50.0
2023-03-17,2023-03-17 00:00:00+08:00,6936.0,7040.0,6924.0,7000.0,42.0,50.0,66.0
2023-03-20,2023-03-20 00:00:00+08:00,7000.0,7082.0,6946.0,6968.0,103.0,66.0,127.0
2023-03-21,2023-03-21 00:00:00+08:00,6992.0,7032.0,6938.0,6962.0,74.0,127.0,147.0
2023-03-22,2023-03-22 00:00:00+08:00,6974.0,7022.0,6974.0,6990.0,45.0,147.0,162.0
2023-03-23,2023-03-23 00:00:00+08:00,7024.0,7036.0,6992.0,7004.0,29.0,162.0,157.0
