trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2024-10-22,2024-10-22 00:00:00+08:00,8444.0,8542.0,8440.0,8494.0,290.0,0.0,235.0
2024-10-23,2024-10-23 00:00:00+08:00,8536.0,8624.0,8514.0,8524.0,186.0,235.0,368.0
2024-10-24,2024-10-24 00:00:00+08:00,8542.0,8598.0,8534.0,8544.0,42.0,368.0,394.0
2024-10-25,2024-10-25 00:00:00+08:00,8590.0,8590.0,8530.0,8546.0,49.0,394.0,421.0
2024-10-28,2024-10-28 00:00:00+08:00,8540.0,8572.0,8540.0,8568.0,63.0,421.0,465.0
2024-10-29,2024-10-29 00:00:00+08:00,8562.0,8588.0,8520.0,8530.0,52.0,465.0,485.0
2024-10-30,2024-10-30 00:00:00+08:00,8524.0,8600.0,8524.0,8584.0,55.0,485.0,504.0
2024-10-31,2024-10-31 00:00:00+08:00,8580.0,8608.0,8566.0,8570.0,52.0,504.0,520.0
2024-11-01,2024-11-01 00:00:00+08:00,8600.0,8656.0,8576.0,8648.0,105.0,520.0,563.0
2024-11-04,2024-11-04 00:00:00+08:00,8636.0,8650.0,8602.0,8618.0,60.0,563.0,588.0
2024-11-05,2024-11-05 00:00:00+08:00,8604.0,8634.0,8590.0,8590.0,25.0,588.0,588.0
2024-11-06,2024-11-06 00:00:00+08:00,8612.0,8612.0,8534.0,8534.0,151.0,588.0,518.0
2024-11-07,2024-11-07 00:00:00+08:00,8612.0,8638.0,8580.0,8632.0,89.0,518.0,543.0
2024-11-08,2024-11-08 00:00:00+08:00,8640.0,8678.0,8610.0,8622.0,107.0,543.0,556.0
2024-11-11,2024-11-11 00:00:00+08:00,8658.0,8692.0,8610.0,8688.0,61.0,556.0,576.0
2024-11-12,2024-11-12 00:00:00+08:00,8688.0,8688.0,8654.0,8658.0,70.0,576.0,599.0
2024-11-13,2024-11-13 00:00:00+08:00,8640.0,8678.0,8640.0,8656.0,79.0,599.0,669.0
2024-11-14,2024-11-14 00:00:00+08:00,8604.0,8634.0,8546.0,8570.0,155.0,669.0,660.0
