trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2025-03-21,2025-03-21 00:00:00+08:00,6032.0,6164.0,6032.0,6064.0,4.0,0.0,0.0
2025-03-24,2025-03-24 00:00:00+08:00,6064.0,6064.0,6064.0,6064.0,0.0,0.0,0.0
2025-03-25,2025-03-25 00:00:00+08:00,6064.0,6064.0,6064.0,6064.0,0.0,0.0,0.0
2025-03-26,2025-03-26 00:00:00+08:00,6064.0,6064.0,6064.0,6064.0,0.0,0.0,0.0
2025-03-27,2025-03-27 00:00:00+08:00,6064.0,6064.0,6064.0,6064.0,0.0,0.0,0.0
2025-03-28,2025-03-28 00:00:00+08:00,6064.0,6064.0,6064.0,6064.0,0.0,0.0,0.0
2025-03-31,2025-03-31 00:00:00+08:00,6064.0,6064.0,6064.0,6064.0,0.0,0.0,0.0
2025-04-01,2025-04-01 00:00:00+08:00,6064.0,6064.0,6064.0,6064.0,0.0,0.0,0.0
2025-04-02,2025-04-02 00:00:00+08:00,6064.0,6064.0,6064.0,6064.0,0.0,0.0,0.0
2025-04-03,2025-04-03 00:00:00+08:00,6064.0,6064.0,6064.0,6064.0,0.0,0.0,0.0
2025-04-07,2025-04-07 00:00:00+08:00,6064.0,6064.0,6064.0,6064.0,0.0,0.0,0.0
2025-04-08,2025-04-08 00:00:00+08:00,5790.0,5790.0,5768.0,5772.0,3.0,0.0,1.0
2025-04-09,2025-04-09 00:00:00+08:00,5806.0,5806.0,5806.0,5806.0,1.0,1.0,2.0
2025-04-10,2025-04-10 00:00:00+08:00,5628.0,5808.0,5628.0,5808.0,4.0,2.0,2.0
2025-04-11,2025-04-11 00:00:00+08:00,5808.0,5808.0,5808.0,5808.0,0.0,2.0,2.0
2025-04-14,2025-04-14 00:00:00+08:00,5808.0,5808.0,5808.0,5808.0,0.0,2.0,2.0
2025-04-15,2025-04-15 00:00:00+08:00,5808.0,5808.0,5808.0,5808.0,0.0,2.0,2.0
2025-04-16,2025-04-16 00:00:00+08:00,5676.0,5676.0,5676.0,5676.0,1.0,2.0,1.0
2025-04-17,2025-04-17 00:00:00+08:00,5668.0,5700.0,5668.0,5690.0,3.0,1.0,1.0
2025-04-18,2025-04-18 00:00:00+08:00,5690.0,5690.0,5690.0,5690.0,0.0,1.0,1.0
2025-04-21,2025-04-21 00:00:00+08:00,5690.0,5690.0,5690.0,5690.0,0.0,1.0,1.0
2025-04-22,2025-04-22 00:00:00+08:00,5690.0,5690.0,5690.0,5690.0,0.0,1.0,1.0
2025-04-23,2025-04-23 00:00:00+08:00,5674.0,5674.0,5674.0,5674.0,1.0,1.0,2.0
2025-04-24,2025-04-24 00:00:00+08:00,5680.0,5708.0,5672.0,5672.0,8.0,2.0,1.0
2025-04-25,2025-04-25 00:00:00+08:00,5674.0,5688.0,5668.0,5688.0,3.0,1.0,3.0
2025-04-28,2025-04-28 00:00:00+08:00,5728.0,5752.0,5720.0,5728.0,6.0,3.0,4.0
2025-04-29,2025-04-29 00:00:00+08:00,5674.0,5684.0,5674.0,5684.0,2.0,4.0,4.0
2025-04-30,2025-04-30 00:00:00+08:00,5684.0,5684.0,5684.0,5684.0,0.0,4.0,4.0
