trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2022-07-15,2022-07-15 00:00:00+08:00,2844.0,2866.0,2817.0,2832.0,8.0,0.0,3.0
2022-07-18,2022-07-18 00:00:00+08:00,2779.0,2901.0,2779.0,2901.0,22.0,3.0,16.0
2022-07-19,2022-07-19 00:00:00+08:00,2930.0,2930.0,2841.0,2855.0,55.0,16.0,37.0
2022-07-20,2022-07-20 00:00:00+08:00,2783.0,2800.0,2733.0,2749.0,44.0,37.0,54.0
2022-07-21,2022-07-21 00:00:00+08:00,2755.0,2760.0,2733.0,2733.0,32.0,54.0,63.0
2022-07-22,2022-07-22 00:00:00+08:00,2727.0,2740.0,2666.0,2678.0,54.0,63.0,73.0
2022-07-25,2022-07-25 00:00:00+08:00,2700.0,2760.0,2671.0,2677.0,52.0,73.0,82.0
2022-07-26,2022-07-26 00:00:00+08:00,2710.0,2764.0,2680.0,2731.0,58.0,82.0,78.0
2022-07-27,2022-07-27 00:00:00+08:00,2744.0,2780.0,2733.0,2761.0,84.0,78.0,83.0
2022-07-28,2022-07-28 00:00:00+08:00,2773.0,2828.0,2764.0,2807.0,91.0,83.0,83.0
2022-07-29,2022-07-29 00:00:00+08:00,2786.0,2818.0,2752.0,2807.0,117.0,83.0,78.0
2022-08-01,2022-08-01 00:00:00+08:00,2837.0,2890.0,2795.0,2811.0,119.0,78.0,76.0
2022-08-02,2022-08-02 00:00:00+08:00,2787.0,2810.0,2750.0,2771.0,69.0,76.0,83.0
2022-08-03,2022-08-03 00:00:00+08:00,2754.0,2796.0,2735.0,2775.0,58.0,83.0,91.0
2022-08-04,2022-08-04 00:00:00+08:00,2785.0,2788.0,2755.0,2778.0,64.0,91.0,80.0
2022-08-05,2022-08-05 00:00:00+08:00,2804.0,2894.0,2790.0,2890.0,99.0,80.0,60.0
2022-08-08,2022-08-08 00:00:00+08:00,2873.0,2873.0,2840.0,2855.0,40.0,60.0,52.0
2022-08-09,2022-08-09 00:00:00+08:00,2842.0,2858.0,2837.0,2845.0,20.0,52.0,52.0
2022-08-10,2022-08-10 00:00:00+08:00,2871.0,2892.0,2859.0,2878.0,61.0,52.0,55.0
2022-08-11,2022-08-11 00:00:00+08:00,2918.0,2920.0,2866.0,2882.0,81.0,55.0,59.0
2022-08-12,2022-08-12 00:00:00+08:00,2914.0,2939.0,2898.0,2930.0,72.0,59.0,64.0
2022-08-15,2022-08-15 00:00:00+08:00,2918.0,2922.0,2866.0,2870.0,109.0,64.0,74.0
2022-08-16,2022-08-16 00:00:00+08:00,2861.0,2874.0,2834.0,2869.0,138.0,74.0,97.0
2022-08-17,2022-08-17 00:00:00+08:00,2866.0,2871.0,2845.0,2866.0,105.0,97.0,95.0
2022-08-18,2022-08-18 00:00:00+08:00,2873.0,2874.0,2818.0,2818.0,102.0,95.0,123.0
2022-08-19,2022-08-19 00:00:00+08:00,2814.0,2879.0,2791.0,2868.0,136.0,123.0,122.0
2022-08-22,2022-08-22 00:00:00+08:00,2863.0,2881.0,2843.0,2874.0,68.0,122.0,121.0
2022-08-23,2022-08-23 00:00:00+08:00,2890.0,3010.0,2890.0,2983.0,140.0,121.0,130.0
