trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2020-05-20,2020-05-20 00:00:00+08:00,1550.0,1575.0,1550.0,1573.0,179.0,0.0,137.0
2020-05-21,2020-05-21 00:00:00+08:00,1570.0,1584.0,1570.0,1577.0,161.0,137.0,212.0
2020-05-22,2020-05-22 00:00:00+08:00,1580.0,1580.0,1548.0,1555.0,179.0,212.0,279.0
2020-05-25,2020-05-25 00:00:00+08:00,1559.0,1568.0,1547.0,1565.0,112.0,279.0,284.0
2020-05-26,2020-05-26 00:00:00+08:00,1571.0,1585.0,1566.0,1574.0,73.0,284.0,290.0
2020-05-27,2020-05-27 00:00:00+08:00,1569.0,1583.0,1562.0,1580.0,38.0,290.0,319.0
2020-05-28,2020-05-28 00:00:00+08:00,1579.0,1584.0,1576.0,1578.0,48.0,319.0,343.0
2020-05-29,2020-05-29 00:00:00+08:00,1585.0,1595.0,1585.0,1589.0,56.0,343.0,389.0
2020-06-01,2020-06-01 00:00:00+08:00,1592.0,1595.0,1587.0,1587.0,49.0,389.0,398.0
2020-06-02,2020-06-02 00:00:00+08:00,1586.0,1589.0,1577.0,1581.0,39.0,398.0,395.0
2020-06-03,2020-06-03 00:00:00+08:00,1588.0,1596.0,1581.0,1594.0,110.0,395.0,480.0
2020-06-04,2020-06-04 00:00:00+08:00,1598.0,1598.0,1585.0,1585.0,38.0,480.0,490.0
2020-06-05,2020-06-05 00:00:00+08:00,1595.0,1597.0,1585.0,1592.0,62.0,490.0,530.0
2020-06-08,2020-06-08 00:00:00+08:00,1600.0,1600.0,1585.0,1594.0,204.0,530.0,703.0
2020-06-09,2020-06-09 00:00:00+08:00,1588.0,1588.0,1564.0,1564.0,90.0,703.0,680.0
2020-06-10,2020-06-10 00:00:00+08:00,1564.0,1577.0,1564.0,1568.0,47.0,680.0,683.0
2020-06-11,2020-06-11 00:00:00+08:00,1561.0,1576.0,1561.0,1566.0,56.0,683.0,658.0
2020-06-12,2020-06-12 00:00:00+08:00,1558.0,1580.0,1558.0,1574.0,86.0,658.0,620.0
2020-06-15,2020-06-15 00:00:00+08:00,1573.0,1585.0,1566.0,1577.0,55.0,620.0,625.0
2020-06-16,2020-06-16 00:00:00+08:00,1575.0,1577.0,1564.0,1577.0,101.0,625.0,673.0
2020-06-17,2020-06-17 00:00:00+08:00,1574.0,1576.0,1568.0,1575.0,47.0,673.0,673.0
2020-06-18,2020-06-18 00:00:00+08:00,1570.0,1574.0,1567.0,1568.0,20.0,673.0,674.0
2020-06-19,2020-06-19 00:00:00+08:00,1566.0,1576.0,1563.0,1573.0,240.0,674.0,704.0
2020-06-22,2020-06-22 00:00:00+08:00,1571.0,1574.0,1567.0,1569.0,41.0,704.0,703.0
2020-06-23,2020-06-23 00:00:00+08:00,1567.0,1570.0,1562.0,1565.0,46.0,703.0,697.0
