trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2024-09-18,2024-09-18 00:00:00+08:00,2500.0,2500.0,2500.0,2500.0,1.0,0.0,1.0
2024-09-19,2024-09-19 00:00:00+08:00,2549.0,2549.0,2526.0,2526.0,2.0,1.0,2.0
2024-09-20,2024-09-20 00:00:00+08:00,2506.0,2506.0,2502.0,2502.0,4.0,2.0,3.0
2024-09-23,2024-09-23 00:00:00+08:00,2505.0,2516.0,2505.0,2510.0,7.0,3.0,7.0
2024-09-24,2024-09-24 00:00:00+08:00,2498.0,2531.0,2498.0,2531.0,10.0,7.0,5.0
2024-09-25,2024-09-25 00:00:00+08:00,2608.0,2613.0,2599.0,2599.0,9.0,5.0,11.0
2024-09-26,2024-09-26 00:00:00+08:00,2599.0,2599.0,2599.0,2599.0,0.0,11.0,11.0
2024-09-27,2024-09-27 00:00:00+08:00,2629.0,2662.0,2629.0,2661.0,33.0,11.0,24.0
2024-09-30,2024-09-30 00:00:00+08:00,2700.0,2746.0,2688.0,2746.0,53.0,24.0,49.0
2024-10-08,2024-10-08 00:00:00+08:00,2761.0,2762.0,2676.0,2690.0,58.0,49.0,57.0
2024-10-09,2024-10-09 00:00:00+08:00,2669.0,2700.0,2632.0,2700.0,26.0,57.0,74.0
2024-10-10,2024-10-10 00:00:00+08:00,2673.0,2730.0,2673.0,2708.0,67.0,74.0,94.0
2024-10-11,2024-10-11 00:00:00+08:00,2725.0,2785.0,2725.0,2751.0,68.0,94.0,124.0
2024-10-14,2024-10-14 00:00:00+08:00,2781.0,2813.0,2755.0,2778.0,104.0,124.0,177.0
2024-10-15,2024-10-15 00:00:00+08:00,2780.0,2783.0,2744.0,2753.0,45.0,177.0,178.0
2024-10-16,2024-10-16 00:00:00+08:00,2770.0,2796.0,2770.0,2787.0,20.0,178.0,183.0
2024-10-17,2024-10-17 00:00:00+08:00,2800.0,2846.0,2790.0,2800.0,226.0,183.0,279.0
2024-10-18,2024-10-18 00:00:00+08:00,2822.0,2875.0,2801.0,2860.0,407.0,279.0,385.0
2024-10-21,2024-10-21 00:00:00+08:00,2872.0,2940.0,2786.0,2809.0,345.0,385.0,397.0
2024-10-22,2024-10-22 00:00:00+08:00,2815.0,2838.0,2793.0,2834.0,165.0,397.0,453.0
2024-10-23,2024-10-23 00:00:00+08:00,2824.0,2841.0,2768.0,2780.0,181.0,453.0,380.0
2024-10-24,2024-10-24 00:00:00+08:00,2797.0,2803.0,2764.0,2781.0,178.0,380.0,389.0
2024-10-25,2024-10-25 00:00:00+08:00,2767.0,2794.0,2755.0,2771.0,226.0,389.0,414.0
2024-10-28,2024-10-28 00:00:00+08:00,2744.0,2816.0,2735.0,2810.0,232.0,414.0,491.0
2024-10-29,2024-10-29 00:00:00+08:00,2805.0,2823.0,2792.0,2804.0,221.0,491.0,514.0
2024-10-30,2024-10-30 00:00:00+08:00,2805.0,2821.0,2784.0,2804.0,260.0,514.0,546.0
2024-10-31,2024-10-31 00:00:00+08:00,2816.0,2834.0,2798.0,2834.0,358.0,546.0,672.0
2024-11-01,2024-11-01 00:00:00+08:00,2840.0,2843.0,2818.0,2823.0,244.0,672.0,684.0
2024-11-04,2024-11-04 00:00:00+08:00,2818.0,2821.0,2757.0,2762.0,529.0,684.0,550.0
2024-11-05,2024-11-05 00:00:00+08:00,2760.0,2779.0,2733.0,2774.0,271.0,550.0,512.0
2024-11-06,2024-11-06 00:00:00+08:00,2770.0,2785.0,2748.0,2767.0,138.0,512.0,517.0
2024-11-07,2024-11-07 00:00:00+08:00,2778.0,2822.0,2765.0,2818.0,321.0,517.0,615.0
2024-11-08,2024-11-08 00:00:00+08:00,2818.0,2855.0,2808.0,2828.0,412.0,615.0,701.0
2024-11-11,2024-11-11 00:00:00+08:00,2818.0,2837.0,2770.0,2801.0,404.0,701.0,641.0
2024-11-12,2024-11-12 00:00:00+08:00,2802.0,2816.0,2788.0,2813.0,312.0,641.0,704.0
2024-11-13,2024-11-13 00:00:00+08:00,2810.0,2811.0,2781.0,2803.0,262.0,704.0,712.0
2024-11-14,2024-11-14 00:00:00+08:00,2799.0,2805.0,2773.0,2777.0,240.0,712.0,666.0
2024-11-15,2024-11-15 00:00:00+08:00,2777.0,2810.0,2774.0,2789.0,277.0,666.0,676.0
2024-11-18,2024-11-18 00:00:00+08:00,2798.0,2798.0,2774.0,2777.0,164.0,676.0,684.0
2024-11-19,2024-11-19 00:00:00+08:00,2771.0,2781.0,2732.0,2754.0,324.0,684.0,694.0
2024-11-20,2024-11-20 00:00:00+08:00,2760.0,2792.0,2758.0,2782.0,294.0,694.0,749.0
2024-11-21,2024-11-21 00:00:00+08:00,2790.0,2822.0,2779.0,2797.0,556.0,749.0,775.0
2024-11-22,2024-11-22 00:00:00+08:00,2792.0,2808.0,2790.0,2793.0,240.0,775.0,833.0
