trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2020-01-16,2020-01-16 00:00:00+08:00,6198.0,6198.0,6194.0,6194.0,2.0,0.0,2.0
2020-01-17,2020-01-17 00:00:00+08:00,6194.0,6194.0,6194.0,6194.0,0.0,2.0,2.0
2020-01-20,2020-01-20 00:00:00+08:00,6230.0,6328.0,6230.0,6280.0,38.0,2.0,17.0
2020-01-21,2020-01-21 00:00:00+08:00,6336.0,6350.0,6260.0,6278.0,34.0,17.0,17.0
2020-01-22,2020-01-22 00:00:00+08:00,6292.0,6292.0,6292.0,6292.0,7.0,17.0,12.0
2020-01-23,2020-01-23 00:00:00+08:00,6292.0,6292.0,6292.0,6292.0,0.0,12.0,12.0
2020-02-03,2020-02-03 00:00:00+08:00,6284.0,6420.0,6284.0,6404.0,11.0,12.0,10.0
2020-02-04,2020-02-04 00:00:00+08:00,6404.0,6404.0,6404.0,6404.0,0.0,10.0,10.0
2020-02-05,2020-02-05 00:00:00+08:00,6402.0,6402.0,6402.0,6402.0,1.0,10.0,11.0
2020-02-06,2020-02-06 00:00:00+08:00,6410.0,6410.0,6384.0,6384.0,2.0,11.0,12.0
2020-02-07,2020-02-07 00:00:00+08:00,6384.0,6384.0,6384.0,6384.0,0.0,12.0,12.0
2020-02-10,2020-02-10 00:00:00+08:00,6440.0,6440.0,6440.0,6440.0,4.0,12.0,12.0
2020-02-11,2020-02-11 00:00:00+08:00,6476.0,6476.0,6476.0,6476.0,1.0,12.0,12.0
2020-02-12,2020-02-12 00:00:00+08:00,6420.0,6420.0,6376.0,6402.0,18.0,12.0,23.0
2020-02-13,2020-02-13 00:00:00+08:00,6376.0,6376.0,6324.0,6336.0,25.0,23.0,40.0
2020-02-14,2020-02-14 00:00:00+08:00,6336.0,6336.0,6268.0,6284.0,51.0,40.0,87.0
2020-02-17,2020-02-17 00:00:00+08:00,6228.0,6272.0,6224.0,6262.0,54.0,87.0,105.0
2020-02-18,2020-02-18 00:00:00+08:00,6280.0,6292.0,6230.0,6230.0,57.0,105.0,151.0
2020-02-19,2020-02-19 00:00:00+08:00,6234.0,6236.0,6212.0,6220.0,68.0,151.0,204.0
2020-02-20,2020-02-20 00:00:00+08:00,6220.0,6264.0,6220.0,6250.0,43.0,204.0,212.0
2020-02-21,2020-02-21 00:00:00+08:00,6298.0,6298.0,6260.0,6272.0,42.0,212.0,235.0
2020-02-24,2020-02-24 00:00:00+08:00,6254.0,6254.0,6140.0,6160.0,324.0,235.0,522.0
2020-02-25,2020-02-25 00:00:00+08:00,6130.0,6144.0,6096.0,6128.0,525.0,522.0,1002.0
2020-02-26,2020-02-26 00:00:00+08:00,6116.0,6156.0,6000.0,6120.0,161.0,1002.0,1040.0
2020-02-27,2020-02-27 00:00:00+08:00,6090.0,6100.0,6066.0,6100.0,26.0,1040.0,1054.0
2020-02-28,2020-02-28 00:00:00+08:00,6060.0,6092.0,6060.0,6066.0,38.0,1054.0,1067.0
2020-03-02,2020-03-02 00:00:00+08:00,6060.0,6100.0,6060.0,6096.0,27.0,1067.0,1080.0
2020-03-03,2020-03-03 00:00:00+08:00,6100.0,6126.0,6080.0,6086.0,55.0,1080.0,1108.0
2020-03-04,2020-03-04 00:00:00+08:00,6066.0,6130.0,6034.0,6114.0,264.0,1108.0,1171.0
2020-03-05,2020-03-05 00:00:00+08:00,6114.0,6138.0,6096.0,6114.0,84.0,1171.0,1191.0
2020-03-06,2020-03-06 00:00:00+08:00,6078.0,6112.0,6034.0,6112.0,349.0,1191.0,1151.0
2020-03-09,2020-03-09 00:00:00+08:00,6096.0,6096.0,5970.0,6020.0,337.0,1151.0,1234.0
2020-03-10,2020-03-10 00:00:00+08:00,6050.0,6062.0,6032.0,6050.0,48.0,1234.0,1216.0
2020-03-11,2020-03-11 00:00:00+08:00,6076.0,6076.0,6012.0,6050.0,93.0,1216.0,1255.0
2020-03-12,2020-03-12 00:00:00+08:00,6052.0,6096.0,6034.0,6086.0,88.0,1255.0,1225.0
2020-03-13,2020-03-13 00:00:00+08:00,6076.0,6096.0,6040.0,6086.0,51.0,1225.0,1205.0
2020-03-16,2020-03-16 00:00:00+08:00,6098.0,6222.0,6098.0,6170.0,399.0,1205.0,1009.0
2020-03-17,2020-03-17 00:00:00+08:00,6180.0,6250.0,6140.0,6246.0,122.0,1009.0,983.0
2020-03-18,2020-03-18 00:00:00+08:00,6258.0,6358.0,6258.0,6300.0,250.0,983.0,973.0
2020-03-19,2020-03-19 00:00:00+08:00,6280.0,6300.0,6196.0,6242.0,188.0,973.0,981.0
2020-03-20,2020-03-20 00:00:00+08:00,6242.0,6344.0,6242.0,6260.0,72.0,981.0,951.0
2020-03-23,2020-03-23 00:00:00+08:00,6202.0,6252.0,6170.0,6178.0,86.0,951.0,953.0
2020-03-24,2020-03-24 00:00:00+08:00,6212.0,6350.0,6190.0,6342.0,128.0,953.0,939.0
2020-03-25,2020-03-25 00:00:00+08:00,6398.0,6428.0,6338.0,6422.0,168.0,939.0,924.0
2020-03-26,2020-03-26 00:00:00+08:00,6436.0,6770.0,6436.0,6758.0,990.0,924.0,1243.0
