trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2024-01-16,2024-01-16 00:00:00+08:00,6201.0,6201.0,5998.0,6020.0,260.0,0.0,217.0
2024-01-17,2024-01-17 00:00:00+08:00,6058.0,6087.0,6026.0,6059.0,400.0,217.0,449.0
2024-01-18,2024-01-18 00:00:00+08:00,6048.0,6058.0,6039.0,6044.0,78.0,449.0,472.0
2024-01-19,2024-01-19 00:00:00+08:00,6048.0,6087.0,6038.0,6085.0,130.0,472.0,526.0
2024-01-22,2024-01-22 00:00:00+08:00,6088.0,6128.0,6088.0,6128.0,161.0,526.0,613.0
2024-01-23,2024-01-23 00:00:00+08:00,6117.0,6138.0,6112.0,6121.0,113.0,613.0,619.0
2024-01-24,2024-01-24 00:00:00+08:00,6116.0,6164.0,6102.0,6155.0,217.0,619.0,649.0
2024-01-25,2024-01-25 00:00:00+08:00,6154.0,6183.0,6135.0,6156.0,591.0,649.0,982.0
2024-01-26,2024-01-26 00:00:00+08:00,6160.0,6191.0,6110.0,6145.0,402.0,982.0,794.0
2024-01-29,2024-01-29 00:00:00+08:00,6155.0,6176.0,6140.0,6157.0,331.0,794.0,838.0
2024-01-30,2024-01-30 00:00:00+08:00,6179.0,6183.0,6142.0,6142.0,152.0,838.0,869.0
2024-01-31,2024-01-31 00:00:00+08:00,6160.0,6400.0,6140.0,6176.0,316.0,869.0,885.0
2024-02-01,2024-02-01 00:00:00+08:00,6171.0,6185.0,6163.0,6174.0,59.0,885.0,885.0
2024-02-02,2024-02-02 00:00:00+08:00,6175.0,6200.0,6154.0,6180.0,182.0,885.0,901.0
2024-02-05,2024-02-05 00:00:00+08:00,6175.0,6250.0,6174.0,6217.0,266.0,901.0,940.0
2024-02-06,2024-02-06 00:00:00+08:00,6220.0,6229.0,6186.0,6201.0,118.0,940.0,940.0
2024-02-07,2024-02-07 00:00:00+08:00,6213.0,6223.0,6190.0,6221.0,217.0,940.0,1055.0
2024-02-08,2024-02-08 00:00:00+08:00,6235.0,6267.0,6235.0,6246.0,351.0,1055.0,1093.0
2024-02-19,2024-02-19 00:00:00+08:00,6194.0,6209.0,6164.0,6178.0,195.0,1093.0,1182.0
2024-02-20,2024-02-20 00:00:00+08:00,6180.0,6180.0,6103.0,6109.0,508.0,1182.0,1256.0
2024-02-21,2024-02-21 00:00:00+08:00,6110.0,6125.0,6080.0,6100.0,551.0,1256.0,1426.0
2024-02-22,2024-02-22 00:00:00+08:00,6084.0,6121.0,6084.0,6120.0,203.0,1426.0,1489.0
2024-02-23,2024-02-23 00:00:00+08:00,6100.0,6122.0,6061.0,6076.0,741.0,1489.0,1577.0
2024-02-26,2024-02-26 00:00:00+08:00,6080.0,6080.0,6030.0,6033.0,875.0,1577.0,1808.0
2024-02-27,2024-02-27 00:00:00+08:00,6050.0,6061.0,6028.0,6038.0,1747.0,1808.0,2793.0
