trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2023-11-17,2023-11-17 00:00:00+08:00,5930.0,5930.0,5930.0,5930.0,1.0,0.0,1.0
2023-11-20,2023-11-20 00:00:00+08:00,5932.0,5942.0,5932.0,5942.0,2.0,1.0,1.0
2023-11-21,2023-11-21 00:00:00+08:00,5942.0,5942.0,5772.0,5772.0,8.0,1.0,8.0
2023-11-22,2023-11-22 00:00:00+08:00,5786.0,5786.0,5754.0,5754.0,6.0,8.0,10.0
2023-11-23,2023-11-23 00:00:00+08:00,5738.0,5758.0,5710.0,5732.0,22.0,10.0,20.0
2023-11-24,2023-11-24 00:00:00+08:00,5724.0,5758.0,5724.0,5758.0,3.0,20.0,20.0
2023-11-27,2023-11-27 00:00:00+08:00,5718.0,5728.0,5648.0,5668.0,21.0,20.0,35.0
2023-11-28,2023-11-28 00:00:00+08:00,5670.0,5670.0,5650.0,5650.0,9.0,35.0,42.0
2023-11-29,2023-11-29 00:00:00+08:00,5684.0,5688.0,5620.0,5628.0,9.0,42.0,47.0
2023-11-30,2023-11-30 00:00:00+08:00,5662.0,5760.0,5662.0,5760.0,21.0,47.0,44.0
2023-12-01,2023-12-01 00:00:00+08:00,5768.0,5774.0,5650.0,5686.0,32.0,44.0,42.0
2023-12-04,2023-12-04 00:00:00+08:00,5702.0,5728.0,5650.0,5656.0,10.0,42.0,41.0
2023-12-05,2023-12-05 00:00:00+08:00,5650.0,5664.0,5650.0,5664.0,2.0,41.0,41.0
2023-12-06,2023-12-06 00:00:00+08:00,5682.0,5700.0,5660.0,5700.0,11.0,41.0,40.0
2023-12-07,2023-12-07 00:00:00+08:00,5662.0,5662.0,5620.0,5662.0,12.0,40.0,43.0
2023-12-08,2023-12-08 00:00:00+08:00,5698.0,5744.0,5698.0,5730.0,17.0,43.0,44.0
2023-12-11,2023-12-11 00:00:00+08:00,5714.0,5732.0,5714.0,5732.0,4.0,44.0,45.0
2023-12-12,2023-12-12 00:00:00+08:00,5714.0,5756.0,5694.0,5726.0,14.0,45.0,47.0
2023-12-13,2023-12-13 00:00:00+08:00,5712.0,5712.0,5582.0,5592.0,57.0,47.0,97.0
2023-12-14,2023-12-14 00:00:00+08:00,5598.0,5628.0,5580.0,5582.0,162.0,97.0,229.0
2023-12-15,2023-12-15 00:00:00+08:00,5610.0,5700.0,5610.0,5680.0,77.0,229.0,258.0
2023-12-18,2023-12-18 00:00:00+08:00,5702.0,5716.0,5700.0,5716.0,19.0,258.0,256.0
2023-12-19,2023-12-19 00:00:00+08:00,5758.0,5764.0,5734.0,5742.0,12.0,256.0,255.0
2023-12-20,2023-12-20 00:00:00+08:00,5764.0,5840.0,5758.0,5828.0,106.0,255.0,321.0
2023-12-21,2023-12-21 00:00:00+08:00,5848.0,5888.0,5830.0,5888.0,53.0,321.0,326.0
2023-12-22,2023-12-22 00:00:00+08:00,5882.0,5920.0,5858.0,5898.0,24.0,326.0,330.0
2023-12-25,2023-12-25 00:00:00+08:00,5898.0,5904.0,5850.0,5884.0,85.0,330.0,399.0
2023-12-26,2023-12-26 00:00:00+08:00,5878.0,5900.0,5876.0,5888.0,5.0,399.0,400.0
2023-12-27,2023-12-27 00:00:00+08:00,5926.0,5950.0,5926.0,5950.0,9.0,400.0,398.0
2023-12-28,2023-12-28 00:00:00+08:00,5930.0,5972.0,5930.0,5972.0,15.0,398.0,398.0
2023-12-29,2023-12-29 00:00:00+08:00,5950.0,5950.0,5876.0,5910.0,97.0,398.0,315.0
2024-01-02,2024-01-02 00:00:00+08:00,5944.0,5986.0,5926.0,5926.0,11.0,315.0,308.0
2024-01-03,2024-01-03 00:00:00+08:00,5938.0,5938.0,5846.0,5848.0,67.0,308.0,288.0
2024-01-04,2024-01-04 00:00:00+08:00,5890.0,5934.0,5872.0,5880.0,7.0,288.0,284.0
2024-01-05,2024-01-05 00:00:00+08:00,5860.0,5898.0,5858.0,5898.0,9.0,284.0,286.0
2024-01-08,2024-01-08 00:00:00+08:00,5868.0,5930.0,5768.0,5768.0,39.0,286.0,280.0
2024-01-09,2024-01-09 00:00:00+08:00,5750.0,5750.0,5716.0,5716.0,13.0,280.0,282.0
2024-01-10,2024-01-10 00:00:00+08:00,5732.0,5762.0,5720.0,5720.0,13.0,282.0,285.0
2024-01-11,2024-01-11 00:00:00+08:00,5728.0,5756.0,5692.0,5720.0,43.0,285.0,295.0
2024-01-12,2024-01-12 00:00:00+08:00,5744.0,5770.0,5724.0,5738.0,81.0,295.0,291.0
2024-01-15,2024-01-15 00:00:00+08:00,5754.0,5766.0,5704.0,5720.0,26.0,291.0,298.0
2024-01-16,2024-01-16 00:00:00+08:00,5696.0,5754.0,5676.0,5740.0,51.0,298.0,303.0
2024-01-17,2024-01-17 00:00:00+08:00,5758.0,5760.0,5720.0,5750.0,80.0,303.0,228.0
2024-01-18,2024-01-18 00:00:00+08:00,5720.0,5766.0,5706.0,5762.0,99.0,228.0,307.0
2024-01-19,2024-01-19 00:00:00+08:00,5754.0,5812.0,5746.0,5812.0,15.0,307.0,302.0
2024-01-22,2024-01-22 00:00:00+08:00,5820.0,5854.0,5820.0,5846.0,9.0,302.0,299.0
2024-01-23,2024-01-23 00:00:00+08:00,5850.0,5894.0,5850.0,5894.0,23.0,299.0,286.0
2024-01-24,2024-01-24 00:00:00+08:00,5882.0,5930.0,5882.0,5930.0,31.0,286.0,291.0
2024-01-25,2024-01-25 00:00:00+08:00,5906.0,5920.0,5886.0,5898.0,26.0,291.0,291.0
2024-01-26,2024-01-26 00:00:00+08:00,5930.0,5970.0,5930.0,5938.0,19.0,291.0,287.0
2024-01-29,2024-01-29 00:00:00+08:00,5928.0,5960.0,5910.0,5916.0,23.0,287.0,287.0
2024-01-30,2024-01-30 00:00:00+08:00,5906.0,5914.0,5892.0,5914.0,8.0,287.0,287.0
2024-01-31,2024-01-31 00:00:00+08:00,5914.0,5914.0,5876.0,5876.0,7.0,287.0,290.0
2024-02-01,2024-02-01 00:00:00+08:00,5884.0,5886.0,5800.0,5800.0,19.0,290.0,289.0
2024-02-02,2024-02-02 00:00:00+08:00,5800.0,5800.0,5760.0,5768.0,3.0,289.0,288.0
2024-02-05,2024-02-05 00:00:00+08:00,5756.0,5784.0,5746.0,5784.0,21.0,288.0,287.0
2024-02-06,2024-02-06 00:00:00+08:00,5770.0,5810.0,5770.0,5802.0,12.0,287.0,286.0
2024-02-07,2024-02-07 00:00:00+08:00,5822.0,5830.0,5812.0,5828.0,9.0,286.0,286.0
2024-02-08,2024-02-08 00:00:00+08:00,5822.0,5838.0,5812.0,5838.0,6.0,286.0,284.0
2024-02-19,2024-02-19 00:00:00+08:00,5906.0,5926.0,5906.0,5912.0,8.0,284.0,284.0
2024-02-20,2024-02-20 00:00:00+08:00,5892.0,5912.0,5820.0,5844.0,643.0,284.0,901.0
2024-02-21,2024-02-21 00:00:00+08:00,5840.0,5876.0,5828.0,5866.0,1069.0,901.0,1960.0
2024-02-22,2024-02-22 00:00:00+08:00,5834.0,5888.0,5834.0,5866.0,1290.0,1960.0,3237.0
2024-02-23,2024-02-23 00:00:00+08:00,5868.0,5884.0,5824.0,5836.0,636.0,3237.0,3805.0
2024-02-26,2024-02-26 00:00:00+08:00,5820.0,5854.0,5790.0,5790.0,13.0,3805.0,3796.0
2024-02-27,2024-02-27 00:00:00+08:00,5782.0,5862.0,5782.0,5862.0,20.0,3796.0,3791.0
2024-02-28,2024-02-28 00:00:00+08:00,5892.0,5910.0,5890.0,5890.0,16.0,3791.0,3784.0
2024-02-29,2024-02-29 00:00:00+08:00,5868.0,5888.0,5854.0,5872.0,8.0,3784.0,3787.0
2024-03-01,2024-03-01 00:00:00+08:00,5836.0,5868.0,5836.0,5854.0,91.0,3787.0,3732.0
2024-03-04,2024-03-04 00:00:00+08:00,5870.0,5916.0,5870.0,5878.0,21.0,3732.0,3731.0
2024-03-05,2024-03-05 00:00:00+08:00,5850.0,5872.0,5806.0,5806.0,480.0,3731.0,3262.0
2024-03-06,2024-03-06 00:00:00+08:00,5820.0,5850.0,5800.0,5840.0,48.0,3262.0,3245.0
2024-03-07,2024-03-07 00:00:00+08:00,5832.0,5832.0,5822.0,5822.0,980.0,3245.0,2272.0
2024-03-08,2024-03-08 00:00:00+08:00,5826.0,5834.0,5806.0,5824.0,469.0,2272.0,2082.0
2024-03-11,2024-03-11 00:00:00+08:00,5822.0,5838.0,5792.0,5830.0,68.0,2082.0,2081.0
2024-03-12,2024-03-12 00:00:00+08:00,5830.0,5862.0,5814.0,5838.0,412.0,2081.0,2301.0
2024-03-13,2024-03-13 00:00:00+08:00,5830.0,5844.0,5818.0,5836.0,60.0,2301.0,2305.0
2024-03-14,2024-03-14 00:00:00+08:00,5852.0,5920.0,5840.0,5920.0,29.0,2305.0,2299.0
2024-03-15,2024-03-15 00:00:00+08:00,5954.0,5980.0,5940.0,5966.0,57.0,2299.0,2295.0
2024-03-18,2024-03-18 00:00:00+08:00,5986.0,5986.0,5976.0,5978.0,3.0,2295.0,2294.0
2024-03-19,2024-03-19 00:00:00+08:00,6000.0,6034.0,5998.0,6004.0,12.0,2294.0,2293.0
2024-03-20,2024-03-20 00:00:00+08:00,6002.0,6002.0,5990.0,5990.0,6.0,2293.0,2293.0
2024-03-21,2024-03-21 00:00:00+08:00,5924.0,5948.0,5902.0,5920.0,54.0,2293.0,2301.0
2024-03-22,2024-03-22 00:00:00+08:00,5908.0,5914.0,5908.0,5908.0,5.0,2301.0,2302.0
2024-03-25,2024-03-25 00:00:00+08:00,5922.0,5922.0,5922.0,5922.0,1.0,2302.0,2301.0
2024-03-26,2024-03-26 00:00:00+08:00,5932.0,5932.0,5920.0,5920.0,3.0,2301.0,2298.0
2024-03-27,2024-03-27 00:00:00+08:00,5952.0,5976.0,5950.0,5964.0,19.0,2298.0,2290.0
2024-03-28,2024-03-28 00:00:00+08:00,5964.0,5982.0,5958.0,5974.0,379.0,2290.0,1914.0
2024-03-29,2024-03-29 00:00:00+08:00,5996.0,5998.0,5986.0,5998.0,6.0,1914.0,1914.0
2024-04-01,2024-04-01 00:00:00+08:00,6030.0,6066.0,6030.0,6062.0,470.0,1914.0,2377.0
2024-04-02,2024-04-02 00:00:00+08:00,6048.0,6084.0,6048.0,6084.0,12.0,2377.0,2376.0
2024-04-03,2024-04-03 00:00:00+08:00,6114.0,6116.0,6086.0,6104.0,12.0,2376.0,2377.0
2024-04-08,2024-04-08 00:00:00+08:00,6056.0,6060.0,6050.0,6052.0,6.0,2377.0,2377.0
2024-04-09,2024-04-09 00:00:00+08:00,6086.0,6086.0,6034.0,6048.0,1610.0,2377.0,3960.0
2024-04-10,2024-04-10 00:00:00+08:00,6068.0,6068.0,6036.0,6036.0,303.0,3960.0,4259.0
2024-04-11,2024-04-11 00:00:00+08:00,6032.0,6032.0,6012.0,6016.0,6.0,4259.0,4259.0
2024-04-12,2024-04-12 00:00:00+08:00,5990.0,5990.0,5974.0,5980.0,269.0,4259.0,4513.0
2024-04-15,2024-04-15 00:00:00+08:00,6036.0,6048.0,6006.0,6042.0,16.0,4513.0,4517.0
2024-04-16,2024-04-16 00:00:00+08:00,6062.0,6124.0,6062.0,6104.0,252.0,4517.0,4765.0
2024-04-17,2024-04-17 00:00:00+08:00,6096.0,6096.0,6074.0,6074.0,5.0,4765.0,4764.0
2024-04-18,2024-04-18 00:00:00+08:00,6076.0,6076.0,5988.0,5994.0,26.0,4764.0,4759.0
2024-04-19,2024-04-19 00:00:00+08:00,6100.0,6100.0,5968.0,5996.0,31.0,4759.0,4771.0
2024-04-22,2024-04-22 00:00:00+08:00,5980.0,6004.0,5970.0,5994.0,13.0,4771.0,4768.0
2024-04-23,2024-04-23 00:00:00+08:00,6024.0,6024.0,5980.0,5980.0,4.0,4768.0,4767.0
2024-04-24,2024-04-24 00:00:00+08:00,5968.0,5976.0,5936.0,5972.0,8.0,4767.0,4766.0
2024-04-25,2024-04-25 00:00:00+08:00,5966.0,5974.0,5924.0,5928.0,654.0,4766.0,4114.0
2024-04-26,2024-04-26 00:00:00+08:00,5908.0,5958.0,5906.0,5954.0,513.0,4114.0,3607.0
2024-04-29,2024-04-29 00:00:00+08:00,5960.0,5960.0,5948.0,5956.0,561.0,3607.0,3055.0
2024-04-30,2024-04-30 00:00:00+08:00,5940.0,5980.0,5924.0,5938.0,635.0,3055.0,2453.0
2024-05-06,2024-05-06 00:00:00+08:00,5894.0,5894.0,5856.0,5880.0,25.0,2453.0,2458.0
2024-05-07,2024-05-07 00:00:00+08:00,5880.0,5890.0,5866.0,5884.0,42.0,2458.0,2468.0
2024-05-08,2024-05-08 00:00:00+08:00,5882.0,5882.0,5882.0,5882.0,30.0,2468.0,2498.0
2024-05-09,2024-05-09 00:00:00+08:00,5854.0,5854.0,5834.0,5836.0,12.0,2498.0,2504.0
2024-05-10,2024-05-10 00:00:00+08:00,5820.0,5848.0,5782.0,5846.0,30.0,2504.0,2523.0
2024-05-13,2024-05-13 00:00:00+08:00,5828.0,5846.0,5788.0,5804.0,135.0,2523.0,2498.0
2024-05-14,2024-05-14 00:00:00+08:00,5810.0,5828.0,5796.0,5798.0,29.0,2498.0,2490.0
2024-05-15,2024-05-15 00:00:00+08:00,5780.0,5832.0,5780.0,5828.0,49.0,2490.0,2483.0
2024-05-16,2024-05-16 00:00:00+08:00,5870.0,5870.0,5858.0,5858.0,18.0,2483.0,2492.0
2024-05-17,2024-05-17 00:00:00+08:00,5866.0,5900.0,5864.0,5898.0,37.0,2492.0,2484.0
2024-05-20,2024-05-20 00:00:00+08:00,5886.0,5946.0,5886.0,5946.0,22.0,2484.0,2473.0
2024-05-21,2024-05-21 00:00:00+08:00,5944.0,5958.0,5936.0,5938.0,17.0,2473.0,2469.0
2024-05-22,2024-05-22 00:00:00+08:00,5946.0,5946.0,5930.0,5930.0,40.0,2469.0,2443.0
2024-05-23,2024-05-23 00:00:00+08:00,5950.0,5950.0,5918.0,5920.0,9.0,2443.0,2442.0
2024-05-24,2024-05-24 00:00:00+08:00,5948.0,5960.0,5948.0,5954.0,7.0,2442.0,2439.0
2024-05-27,2024-05-27 00:00:00+08:00,5982.0,6000.0,5974.0,5974.0,11.0,2439.0,2443.0
2024-05-28,2024-05-28 00:00:00+08:00,5992.0,5992.0,5968.0,5968.0,26.0,2443.0,2459.0
2024-05-29,2024-05-29 00:00:00+08:00,5968.0,5988.0,5958.0,5984.0,14.0,2459.0,2450.0
2024-05-30,2024-05-30 00:00:00+08:00,6006.0,6058.0,5998.0,6036.0,181.0,2450.0,2355.0
2024-05-31,2024-05-31 00:00:00+08:00,6028.0,6034.0,6010.0,6020.0,34.0,2355.0,2340.0
2024-06-03,2024-06-03 00:00:00+08:00,6022.0,6022.0,5922.0,5924.0,96.0,2340.0,2351.0
2024-06-04,2024-06-04 00:00:00+08:00,5938.0,5940.0,5860.0,5860.0,37.0,2351.0,2354.0
2024-06-05,2024-06-05 00:00:00+08:00,5852.0,5896.0,5842.0,5884.0,83.0,2354.0,2343.0
2024-06-06,2024-06-06 00:00:00+08:00,5882.0,5896.0,5878.0,5894.0,27.0,2343.0,2338.0
2024-06-07,2024-06-07 00:00:00+08:00,5870.0,5912.0,5870.0,5904.0,35.0,2338.0,2342.0
2024-06-11,2024-06-11 00:00:00+08:00,5926.0,5956.0,5916.0,5954.0,22.0,2342.0,2348.0
2024-06-12,2024-06-12 00:00:00+08:00,5956.0,5982.0,5956.0,5980.0,11.0,2348.0,2351.0
2024-06-13,2024-06-13 00:00:00+08:00,5992.0,5992.0,5950.0,5966.0,11.0,2351.0,2352.0
2024-06-14,2024-06-14 00:00:00+08:00,5948.0,5970.0,5948.0,5960.0,6.0,2352.0,2352.0
2024-06-17,2024-06-17 00:00:00+08:00,5958.0,5970.0,5884.0,5888.0,64.0,2352.0,2318.0
2024-06-18,2024-06-18 00:00:00+08:00,5900.0,5940.0,5900.0,5902.0,66.0,2318.0,2358.0
2024-06-19,2024-06-19 00:00:00+08:00,5916.0,5966.0,5904.0,5958.0,59.0,2358.0,2360.0
2024-06-20,2024-06-20 00:00:00+08:00,5960.0,5976.0,5958.0,5962.0,30.0,2360.0,2363.0
2024-06-21,2024-06-21 00:00:00+08:00,5982.0,5984.0,5940.0,5940.0,28.0,2363.0,2363.0
2024-06-24,2024-06-24 00:00:00+08:00,5956.0,5958.0,5900.0,5958.0,96.0,2363.0,2382.0
