trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2022-03-29,2022-03-29 00:00:00+08:00,3497.0,3497.0,3497.0,3497.0,5.0,0.0,5.0
2022-03-30,2022-03-30 00:00:00+08:00,3305.0,3306.0,3305.0,3306.0,2.0,5.0,5.0
2022-03-31,2022-03-31 00:00:00+08:00,3306.0,3306.0,3306.0,3306.0,0.0,5.0,5.0
2022-04-01,2022-04-01 00:00:00+08:00,3306.0,3306.0,3306.0,3306.0,0.0,5.0,5.0
2022-04-06,2022-04-06 00:00:00+08:00,3306.0,3306.0,3306.0,3306.0,0.0,5.0,5.0
2022-04-07,2022-04-07 00:00:00+08:00,3306.0,3306.0,3306.0,3306.0,0.0,5.0,5.0
2022-04-08,2022-04-08 00:00:00+08:00,3306.0,3306.0,3306.0,3306.0,0.0,5.0,5.0
2022-04-11,2022-04-11 00:00:00+08:00,3306.0,3306.0,3306.0,3306.0,0.0,5.0,5.0
2022-04-12,2022-04-12 00:00:00+08:00,3306.0,3306.0,3306.0,3306.0,0.0,5.0,5.0
2022-04-13,2022-04-13 00:00:00+08:00,3306.0,3306.0,3306.0,3306.0,0.0,5.0,5.0
2022-04-14,2022-04-14 00:00:00+08:00,3306.0,3306.0,3306.0,3306.0,0.0,5.0,5.0
2022-04-15,2022-04-15 00:00:00+08:00,3306.0,3306.0,3306.0,3306.0,0.0,5.0,5.0
2022-04-18,2022-04-18 00:00:00+08:00,3306.0,3306.0,3306.0,3306.0,0.0,5.0,5.0
2022-04-19,2022-04-19 00:00:00+08:00,3306.0,3306.0,3306.0,3306.0,0.0,5.0,5.0
2022-04-20,2022-04-20 00:00:00+08:00,3452.0,3452.0,3185.0,3214.0,10.0,5.0,6.0
2022-04-21,2022-04-21 00:00:00+08:00,3269.0,3290.0,3214.0,3290.0,5.0,6.0,7.0
2022-04-22,2022-04-22 00:00:00+08:00,3290.0,3290.0,3290.0,3290.0,0.0,7.0,7.0
2022-04-25,2022-04-25 00:00:00+08:00,3301.0,3301.0,3301.0,3301.0,1.0,7.0,8.0
2022-04-26,2022-04-26 00:00:00+08:00,3301.0,3301.0,3301.0,3301.0,0.0,8.0,8.0
2022-04-27,2022-04-27 00:00:00+08:00,3368.0,3379.0,3309.0,3309.0,4.0,8.0,8.0
2022-04-28,2022-04-28 00:00:00+08:00,3380.0,3442.0,3363.0,3442.0,4.0,8.0,11.0
2022-04-29,2022-04-29 00:00:00+08:00,3380.0,3380.0,3324.0,3324.0,2.0,11.0,9.0
2022-05-05,2022-05-05 00:00:00+08:00,3399.0,3587.0,3361.0,3587.0,95.0,9.0,46.0
2022-05-06,2022-05-06 00:00:00+08:00,3587.0,3700.0,3410.0,3411.0,478.0,46.0,105.0
2022-05-09,2022-05-09 00:00:00+08:00,3344.0,3566.0,3322.0,3428.0,109.0,105.0,103.0
2022-05-10,2022-05-10 00:00:00+08:00,3399.0,3399.0,3304.0,3322.0,33.0,103.0,82.0
2022-05-11,2022-05-11 00:00:00+08:00,3301.0,3342.0,3301.0,3342.0,2.0,82.0,80.0
2022-05-12,2022-05-12 00:00:00+08:00,3302.0,3302.0,3300.0,3301.0,13.0,80.0,78.0
2022-05-13,2022-05-13 00:00:00+08:00,3378.0,3378.0,3378.0,3378.0,4.0,78.0,78.0
2022-05-16,2022-05-16 00:00:00+08:00,3398.0,3602.0,3322.0,3414.0,241.0,78.0,98.0
2022-05-17,2022-05-17 00:00:00+08:00,3388.0,3515.0,3387.0,3415.0,101.0,98.0,88.0
2022-05-18,2022-05-18 00:00:00+08:00,3356.0,3480.0,3356.0,3453.0,56.0,88.0,117.0
2022-05-19,2022-05-19 00:00:00+08:00,3450.0,3520.0,3450.0,3461.0,24.0,117.0,111.0
2022-05-20,2022-05-20 00:00:00+08:00,3545.0,3546.0,3450.0,3546.0,12.0,111.0,111.0
2022-05-23,2022-05-23 00:00:00+08:00,3456.0,3542.0,3456.0,3542.0,20.0,111.0,111.0
2022-05-24,2022-05-24 00:00:00+08:00,3480.0,3480.0,3480.0,3480.0,2.0,111.0,109.0
2022-05-25,2022-05-25 00:00:00+08:00,3480.0,3480.0,3480.0,3480.0,0.0,109.0,109.0
2022-05-26,2022-05-26 00:00:00+08:00,3480.0,3480.0,3480.0,3480.0,0.0,109.0,109.0
2022-05-27,2022-05-27 00:00:00+08:00,3428.0,3428.0,3428.0,3428.0,10.0,109.0,99.0
2022-05-30,2022-05-30 00:00:00+08:00,3509.0,3509.0,3499.0,3499.0,11.0,99.0,109.0
2022-05-31,2022-05-31 00:00:00+08:00,3499.0,3499.0,3499.0,3499.0,0.0,109.0,109.0
2022-06-01,2022-06-01 00:00:00+08:00,3499.0,3499.0,3499.0,3499.0,0.0,109.0,109.0
2022-06-02,2022-06-02 00:00:00+08:00,3499.0,3499.0,3499.0,3499.0,0.0,109.0,109.0
2022-06-06,2022-06-06 00:00:00+08:00,3411.0,3488.0,3411.0,3488.0,12.0,109.0,108.0
2022-06-07,2022-06-07 00:00:00+08:00,3488.0,3488.0,3488.0,3488.0,0.0,108.0,108.0
2022-06-08,2022-06-08 00:00:00+08:00,3487.0,3487.0,3483.0,3483.0,11.0,108.0,118.0
2022-06-09,2022-06-09 00:00:00+08:00,3483.0,3483.0,3483.0,3483.0,0.0,118.0,118.0
2022-06-10,2022-06-10 00:00:00+08:00,3483.0,3483.0,3483.0,3483.0,0.0,118.0,118.0
2022-06-13,2022-06-13 00:00:00+08:00,3441.0,3441.0,3441.0,3441.0,5.0,118.0,113.0
2022-06-14,2022-06-14 00:00:00+08:00,3480.0,3480.0,3480.0,3480.0,1.0,113.0,113.0
2022-06-15,2022-06-15 00:00:00+08:00,3446.0,3446.0,3446.0,3446.0,1.0,113.0,112.0
2022-06-16,2022-06-16 00:00:00+08:00,3446.0,3446.0,3446.0,3446.0,0.0,112.0,112.0
2022-06-17,2022-06-17 00:00:00+08:00,3444.0,3444.0,3444.0,3444.0,5.0,112.0,107.0
2022-06-20,2022-06-20 00:00:00+08:00,3428.0,3465.0,3428.0,3452.0,16.0,107.0,104.0
2022-06-21,2022-06-21 00:00:00+08:00,3436.0,3436.0,3436.0,3436.0,1.0,104.0,103.0
2022-06-22,2022-06-22 00:00:00+08:00,3484.0,3484.0,3423.0,3425.0,7.0,103.0,98.0
2022-06-23,2022-06-23 00:00:00+08:00,3425.0,3425.0,3425.0,3425.0,0.0,98.0,98.0
2022-06-24,2022-06-24 00:00:00+08:00,3425.0,3425.0,3425.0,3425.0,0.0,98.0,98.0
2022-06-27,2022-06-27 00:00:00+08:00,3400.0,3400.0,3400.0,3400.0,1.0,98.0,97.0
2022-06-28,2022-06-28 00:00:00+08:00,3400.0,3400.0,3400.0,3400.0,0.0,97.0,97.0
2022-06-29,2022-06-29 00:00:00+08:00,3400.0,3400.0,3400.0,3400.0,0.0,97.0,97.0
2022-06-30,2022-06-30 00:00:00+08:00,3400.0,3400.0,3400.0,3400.0,0.0,97.0,97.0
2022-07-01,2022-07-01 00:00:00+08:00,3400.0,3400.0,3400.0,3400.0,0.0,97.0,97.0
2022-07-04,2022-07-04 00:00:00+08:00,3250.0,3525.0,3250.0,3429.0,33.0,97.0,85.0
2022-07-05,2022-07-05 00:00:00+08:00,3412.0,3412.0,3412.0,3412.0,6.0,85.0,79.0
2022-07-06,2022-07-06 00:00:00+08:00,3450.0,3450.0,3430.0,3430.0,17.0,79.0,77.0
2022-07-07,2022-07-07 00:00:00+08:00,3423.0,3469.0,3423.0,3423.0,29.0,77.0,77.0
2022-07-08,2022-07-08 00:00:00+08:00,3423.0,3423.0,3423.0,3423.0,0.0,77.0,77.0
2022-07-11,2022-07-11 00:00:00+08:00,3423.0,3423.0,3423.0,3423.0,0.0,77.0,77.0
2022-07-12,2022-07-12 00:00:00+08:00,3423.0,3423.0,3423.0,3423.0,0.0,77.0,77.0
2022-07-13,2022-07-13 00:00:00+08:00,3423.0,3423.0,3423.0,3423.0,0.0,77.0,77.0
2022-07-14,2022-07-14 00:00:00+08:00,3222.0,3233.0,3222.0,3233.0,2.0,77.0,75.0
2022-07-15,2022-07-15 00:00:00+08:00,3233.0,3233.0,3233.0,3233.0,0.0,75.0,75.0
2022-07-18,2022-07-18 00:00:00+08:00,3233.0,3233.0,3233.0,3233.0,0.0,75.0,75.0
2022-07-19,2022-07-19 00:00:00+08:00,3233.0,3233.0,3233.0,3233.0,0.0,75.0,75.0
2022-07-20,2022-07-20 00:00:00+08:00,3233.0,3233.0,3233.0,3233.0,0.0,75.0,75.0
2022-07-21,2022-07-21 00:00:00+08:00,3233.0,3233.0,3233.0,3233.0,0.0,75.0,75.0
2022-07-22,2022-07-22 00:00:00+08:00,3233.0,3233.0,3233.0,3233.0,0.0,75.0,75.0
2022-07-25,2022-07-25 00:00:00+08:00,3233.0,3233.0,3233.0,3233.0,0.0,75.0,75.0
2022-07-26,2022-07-26 00:00:00+08:00,3360.0,3388.0,3360.0,3388.0,4.0,75.0,72.0
2022-07-27,2022-07-27 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-07-28,2022-07-28 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-07-29,2022-07-29 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-08-01,2022-08-01 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-08-02,2022-08-02 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-08-03,2022-08-03 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-08-04,2022-08-04 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-08-05,2022-08-05 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-08-08,2022-08-08 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-08-09,2022-08-09 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-08-10,2022-08-10 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-08-11,2022-08-11 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-08-12,2022-08-12 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,72.0,72.0
2022-08-15,2022-08-15 00:00:00+08:00,3131.0,3131.0,3131.0,3131.0,1.0,72.0,71.0
2022-08-16,2022-08-16 00:00:00+08:00,3145.0,3145.0,3145.0,3145.0,1.0,71.0,70.0
2022-08-17,2022-08-17 00:00:00+08:00,3145.0,3145.0,3145.0,3145.0,0.0,70.0,70.0
2022-08-18,2022-08-18 00:00:00+08:00,3145.0,3145.0,3145.0,3145.0,0.0,70.0,70.0
2022-08-19,2022-08-19 00:00:00+08:00,3145.0,3145.0,3145.0,3145.0,0.0,70.0,70.0
2022-08-22,2022-08-22 00:00:00+08:00,3145.0,3145.0,3145.0,3145.0,0.0,70.0,70.0
2022-08-23,2022-08-23 00:00:00+08:00,3145.0,3145.0,3145.0,3145.0,0.0,70.0,70.0
2022-08-24,2022-08-24 00:00:00+08:00,3145.0,3145.0,3145.0,3145.0,0.0,70.0,70.0
2022-08-25,2022-08-25 00:00:00+08:00,3145.0,3145.0,3145.0,3145.0,0.0,70.0,70.0
2022-08-26,2022-08-26 00:00:00+08:00,3145.0,3145.0,3145.0,3145.0,0.0,70.0,70.0
2022-08-29,2022-08-29 00:00:00+08:00,3145.0,3145.0,3145.0,3145.0,0.0,70.0,70.0
2022-08-30,2022-08-30 00:00:00+08:00,3147.0,3147.0,3146.0,3146.0,2.0,70.0,68.0
2022-08-31,2022-08-31 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-01,2022-09-01 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-02,2022-09-02 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-05,2022-09-05 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-06,2022-09-06 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-07,2022-09-07 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-08,2022-09-08 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-09,2022-09-09 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-13,2022-09-13 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-14,2022-09-14 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-15,2022-09-15 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-16,2022-09-16 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-19,2022-09-19 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-20,2022-09-20 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-21,2022-09-21 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-22,2022-09-22 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-23,2022-09-23 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-26,2022-09-26 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-27,2022-09-27 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-28,2022-09-28 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-29,2022-09-29 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-09-30,2022-09-30 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-10-10,2022-10-10 00:00:00+08:00,3146.0,3146.0,3146.0,3146.0,0.0,68.0,68.0
2022-10-11,2022-10-11 00:00:00+08:00,3320.0,3320.0,3320.0,3320.0,4.0,68.0,64.0
2022-10-12,2022-10-12 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,1.0,64.0,63.0
2022-10-13,2022-10-13 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,63.0,63.0
2022-10-14,2022-10-14 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,63.0,63.0
2022-10-17,2022-10-17 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,63.0,63.0
2022-10-18,2022-10-18 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,63.0,63.0
2022-10-19,2022-10-19 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,63.0,63.0
2022-10-20,2022-10-20 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,63.0,63.0
2022-10-21,2022-10-21 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,63.0,63.0
2022-10-24,2022-10-24 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,63.0,63.0
2022-10-25,2022-10-25 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,63.0,63.0
2022-10-26,2022-10-26 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,63.0,63.0
2022-10-27,2022-10-27 00:00:00+08:00,3198.0,3198.0,3198.0,3198.0,0.0,63.0,63.0
