trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-11-15,2021-11-15 00:00:00+08:00,6097.0,6097.0,5990.0,5990.0,14.0,0.0,12.0
2021-11-16,2021-11-16 00:00:00+08:00,5982.0,6006.0,5962.0,6004.0,14.0,12.0,20.0
2021-11-17,2021-11-17 00:00:00+08:00,5960.0,5960.0,5960.0,5960.0,1.0,20.0,20.0
2021-11-18,2021-11-18 00:00:00+08:00,5974.0,5974.0,5920.0,5967.0,13.0,20.0,26.0
2021-11-19,2021-11-19 00:00:00+08:00,5964.0,5977.0,5964.0,5969.0,6.0,26.0,28.0
2021-11-22,2021-11-22 00:00:00+08:00,5968.0,5968.0,5968.0,5968.0,0.0,28.0,28.0
2021-11-23,2021-11-23 00:00:00+08:00,5868.0,5880.0,5860.0,5880.0,6.0,28.0,33.0
2021-11-24,2021-11-24 00:00:00+08:00,5871.0,5899.0,5844.0,5844.0,13.0,33.0,36.0
2021-11-25,2021-11-25 00:00:00+08:00,5865.0,5897.0,5865.0,5880.0,16.0,36.0,39.0
2021-11-26,2021-11-26 00:00:00+08:00,5905.0,5947.0,5905.0,5918.0,12.0,39.0,40.0
2021-11-29,2021-11-29 00:00:00+08:00,5913.0,5914.0,5863.0,5903.0,23.0,40.0,52.0
2021-11-30,2021-11-30 00:00:00+08:00,5910.0,5910.0,5867.0,5878.0,12.0,52.0,60.0
2021-12-01,2021-12-01 00:00:00+08:00,5897.0,5897.0,5864.0,5865.0,27.0,60.0,82.0
2021-12-02,2021-12-02 00:00:00+08:00,5914.0,5914.0,5867.0,5867.0,211.0,82.0,289.0
2021-12-03,2021-12-03 00:00:00+08:00,5876.0,5899.0,5876.0,5895.0,6.0,289.0,294.0
2021-12-06,2021-12-06 00:00:00+08:00,5908.0,5908.0,5868.0,5876.0,137.0,294.0,217.0
2021-12-07,2021-12-07 00:00:00+08:00,5903.0,5910.0,5867.0,5877.0,433.0,217.0,633.0
2021-12-08,2021-12-08 00:00:00+08:00,5856.0,5886.0,5820.0,5839.0,55.0,633.0,663.0
2021-12-09,2021-12-09 00:00:00+08:00,5815.0,5854.0,5815.0,5847.0,34.0,663.0,677.0
2021-12-10,2021-12-10 00:00:00+08:00,5825.0,5850.0,5805.0,5844.0,121.0,677.0,675.0
2021-12-13,2021-12-13 00:00:00+08:00,5854.0,5869.0,5841.0,5862.0,44.0,675.0,659.0
2021-12-14,2021-12-14 00:00:00+08:00,5868.0,5876.0,5851.0,5855.0,11.0,659.0,658.0
2021-12-15,2021-12-15 00:00:00+08:00,5827.0,5850.0,5820.0,5843.0,41.0,658.0,664.0
2021-12-16,2021-12-16 00:00:00+08:00,5838.0,5900.0,5838.0,5880.0,43.0,664.0,664.0
2021-12-17,2021-12-17 00:00:00+08:00,5904.0,5904.0,5875.0,5884.0,18.0,664.0,661.0
2021-12-20,2021-12-20 00:00:00+08:00,5881.0,5908.0,5863.0,5885.0,12.0,661.0,658.0
2021-12-21,2021-12-21 00:00:00+08:00,5881.0,5883.0,5877.0,5883.0,5.0,658.0,657.0
2021-12-22,2021-12-22 00:00:00+08:00,5871.0,5877.0,5846.0,5871.0,29.0,657.0,675.0
2021-12-23,2021-12-23 00:00:00+08:00,5873.0,5909.0,5868.0,5909.0,36.0,675.0,657.0
2021-12-24,2021-12-24 00:00:00+08:00,5871.0,5883.0,5871.0,5874.0,15.0,657.0,672.0
2021-12-27,2021-12-27 00:00:00+08:00,5865.0,5909.0,5837.0,5885.0,12.0,672.0,666.0
2021-12-28,2021-12-28 00:00:00+08:00,5890.0,5910.0,5890.0,5900.0,45.0,666.0,683.0
2021-12-29,2021-12-29 00:00:00+08:00,5873.0,5873.0,5790.0,5801.0,49.0,683.0,713.0
