trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2020-03-16,2020-03-16 00:00:00+08:00,211.05,211.05,211.05,211.05,0.0,0.0,0.0
2020-03-17,2020-03-17 00:00:00+08:00,210.35,210.35,210.35,210.35,0.0,0.0,0.0
2020-03-18,2020-03-18 00:00:00+08:00,212.6,212.6,212.6,212.6,0.0,0.0,0.0
2020-03-19,2020-03-19 00:00:00+08:00,204.55,204.55,204.55,204.55,0.0,0.0,0.0
2020-03-20,2020-03-20 00:00:00+08:00,194.85,194.85,194.85,194.85,0.0,0.0,0.0
2020-03-23,2020-03-23 00:00:00+08:00,179.35,179.35,179.35,179.35,0.0,0.0,0.0
2020-03-24,2020-03-24 00:00:00+08:00,165.45,165.45,165.45,165.45,0.0,0.0,0.0
2020-03-25,2020-03-25 00:00:00+08:00,166.35,166.35,166.35,166.35,0.0,0.0,0.0
2020-03-26,2020-03-26 00:00:00+08:00,179.5,179.5,179.5,179.5,0.0,0.0,0.0
2020-03-27,2020-03-27 00:00:00+08:00,186.6,186.6,186.6,186.6,0.0,0.0,0.0
2020-03-30,2020-03-30 00:00:00+08:00,193.05,193.05,193.05,193.05,0.0,0.0,0.0
2020-03-31,2020-03-31 00:00:00+08:00,206.7,206.7,206.7,206.7,0.0,0.0,0.0
2020-04-01,2020-04-01 00:00:00+08:00,206.7,206.7,206.7,206.7,0.0,0.0,0.0
2020-04-02,2020-04-02 00:00:00+08:00,223.2,223.2,223.2,223.2,0.0,0.0,0.0
2020-04-03,2020-04-03 00:00:00+08:00,223.2,223.2,223.2,223.2,0.0,0.0,0.0
2020-04-07,2020-04-07 00:00:00+08:00,230.6,230.6,230.6,230.6,0.0,0.0,0.0
2020-04-08,2020-04-08 00:00:00+08:00,237.65,237.65,237.65,237.65,0.0,0.0,0.0
2020-04-09,2020-04-09 00:00:00+08:00,241.35,241.35,241.35,241.35,0.0,0.0,0.0
2020-04-10,2020-04-10 00:00:00+08:00,241.45,241.45,241.45,241.45,0.0,0.0,0.0
2020-04-13,2020-04-13 00:00:00+08:00,222.2,222.2,222.2,222.2,0.0,0.0,0.0
2020-04-14,2020-04-14 00:00:00+08:00,219.55,219.55,219.55,219.55,0.0,0.0,0.0
2020-04-15,2020-04-15 00:00:00+08:00,202.0,202.0,202.0,202.0,0.0,0.0,0.0
2020-04-16,2020-04-16 00:00:00+08:00,197.4,197.4,197.4,197.4,0.0,0.0,0.0
2020-04-17,2020-04-17 00:00:00+08:00,199.65,199.65,199.65,199.65,0.0,0.0,0.0
2020-04-20,2020-04-20 00:00:00+08:00,207.55,207.55,207.55,207.55,0.0,0.0,0.0
2020-04-21,2020-04-21 00:00:00+08:00,209.75,209.75,209.75,209.75,0.0,0.0,0.0
2020-04-22,2020-04-22 00:00:00+08:00,204.75,204.75,204.75,204.75,0.0,0.0,0.0
2020-04-23,2020-04-23 00:00:00+08:00,199.3,199.3,199.3,199.3,0.0,0.0,0.0
2020-04-24,2020-04-24 00:00:00+08:00,183.4,183.4,183.4,183.4,0.0,0.0,0.0
2020-04-27,2020-04-27 00:00:00+08:00,180.25,180.25,180.25,180.25,0.0,0.0,0.0
2020-04-28,2020-04-28 00:00:00+08:00,183.8,183.8,183.8,183.8,0.0,0.0,0.0
2020-04-29,2020-04-29 00:00:00+08:00,187.75,187.75,187.75,187.75,0.0,0.0,0.0
2020-04-30,2020-04-30 00:00:00+08:00,173.0,173.0,173.0,173.0,0.0,0.0,0.0
2020-05-06,2020-05-06 00:00:00+08:00,180.25,180.25,180.25,180.25,0.0,0.0,0.0
2020-05-07,2020-05-07 00:00:00+08:00,182.85,182.85,182.85,182.85,0.0,0.0,0.0
2020-05-08,2020-05-08 00:00:00+08:00,182.85,182.85,182.85,182.85,0.0,0.0,0.0
2020-05-11,2020-05-11 00:00:00+08:00,188.7,188.7,188.7,188.7,0.0,0.0,0.0
2020-05-12,2020-05-12 00:00:00+08:00,188.7,188.7,188.7,188.7,0.0,0.0,0.0
2020-05-13,2020-05-13 00:00:00+08:00,188.7,188.7,188.7,188.7,0.0,0.0,0.0
2020-05-14,2020-05-14 00:00:00+08:00,188.7,188.7,188.7,188.7,0.0,0.0,0.0
2020-05-15,2020-05-15 00:00:00+08:00,188.7,188.7,188.7,188.7,0.0,0.0,0.0
2020-05-18,2020-05-18 00:00:00+08:00,192.6,192.6,192.6,192.6,0.0,0.0,0.0
2020-05-19,2020-05-19 00:00:00+08:00,187.1,187.1,187.1,187.1,0.0,0.0,0.0
2020-05-20,2020-05-20 00:00:00+08:00,190.25,190.25,190.25,190.25,0.0,0.0,0.0
2020-05-21,2020-05-21 00:00:00+08:00,190.25,190.25,190.25,190.25,0.0,0.0,0.0
2020-05-22,2020-05-22 00:00:00+08:00,186.4,186.4,186.4,186.4,0.0,0.0,0.0
2020-05-25,2020-05-25 00:00:00+08:00,188.8,188.8,188.8,188.8,0.0,0.0,0.0
2020-05-26,2020-05-26 00:00:00+08:00,188.8,188.8,188.8,188.8,0.0,0.0,0.0
2020-05-27,2020-05-27 00:00:00+08:00,194.4,194.4,194.4,194.4,0.0,0.0,0.0
2020-05-28,2020-05-28 00:00:00+08:00,203.0,203.0,203.0,203.0,0.0,0.0,0.0
2020-05-29,2020-05-29 00:00:00+08:00,204.15,204.15,204.15,204.15,0.0,0.0,0.0
2020-06-01,2020-06-01 00:00:00+08:00,204.15,204.15,204.15,204.15,0.0,0.0,0.0
2020-06-02,2020-06-02 00:00:00+08:00,220.45,220.45,220.45,220.45,0.0,0.0,0.0
2020-06-03,2020-06-03 00:00:00+08:00,228.0,228.0,228.0,228.0,0.0,0.0,0.0
2020-06-04,2020-06-04 00:00:00+08:00,228.0,228.0,228.0,228.0,0.0,0.0,0.0
2020-06-05,2020-06-05 00:00:00+08:00,228.0,228.0,228.0,228.0,0.0,0.0,0.0
2020-06-08,2020-06-08 00:00:00+08:00,228.0,228.0,228.0,228.0,0.0,0.0,0.0
