trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2023-11-15,2023-11-15 00:00:00+08:00,2564.0,2575.0,2556.0,2557.0,100.0,0.0,74.0
2023-11-16,2023-11-16 00:00:00+08:00,2558.0,2561.0,2546.0,2551.0,216.0,74.0,225.0
2023-11-17,2023-11-17 00:00:00+08:00,2547.0,2555.0,2534.0,2538.0,336.0,225.0,451.0
2023-11-20,2023-11-20 00:00:00+08:00,2539.0,2543.0,2537.0,2542.0,216.0,451.0,537.0
2023-11-21,2023-11-21 00:00:00+08:00,2542.0,2551.0,2542.0,2549.0,118.0,537.0,540.0
2023-11-22,2023-11-22 00:00:00+08:00,2544.0,2550.0,2517.0,2524.0,281.0,540.0,728.0
2023-11-23,2023-11-23 00:00:00+08:00,2522.0,2525.0,2512.0,2514.0,362.0,728.0,992.0
2023-11-24,2023-11-24 00:00:00+08:00,2522.0,2523.0,2510.0,2510.0,318.0,992.0,1110.0
2023-11-27,2023-11-27 00:00:00+08:00,2516.0,2517.0,2501.0,2505.0,256.0,1110.0,1206.0
2023-11-28,2023-11-28 00:00:00+08:00,2504.0,2508.0,2488.0,2492.0,369.0,1206.0,1370.0
2023-11-29,2023-11-29 00:00:00+08:00,2491.0,2495.0,2491.0,2495.0,112.0,1370.0,1410.0
2023-11-30,2023-11-30 00:00:00+08:00,2489.0,2499.0,2489.0,2496.0,86.0,1410.0,1424.0
2023-12-01,2023-12-01 00:00:00+08:00,2494.0,2501.0,2469.0,2475.0,353.0,1424.0,1530.0
2023-12-04,2023-12-04 00:00:00+08:00,2470.0,2483.0,2465.0,2465.0,246.0,1530.0,1584.0
2023-12-05,2023-12-05 00:00:00+08:00,2467.0,2474.0,2465.0,2470.0,130.0,1584.0,1621.0
2023-12-06,2023-12-06 00:00:00+08:00,2471.0,2496.0,2467.0,2491.0,256.0,1621.0,1703.0
2023-12-07,2023-12-07 00:00:00+08:00,2493.0,2493.0,2477.0,2478.0,309.0,1703.0,1829.0
2023-12-08,2023-12-08 00:00:00+08:00,2479.0,2486.0,2473.0,2486.0,427.0,1829.0,1869.0
2023-12-11,2023-12-11 00:00:00+08:00,2483.0,2488.0,2472.0,2477.0,351.0,1869.0,1868.0
2023-12-12,2023-12-12 00:00:00+08:00,2473.0,2478.0,2463.0,2475.0,1275.0,1868.0,2134.0
2023-12-13,2023-12-13 00:00:00+08:00,2472.0,2472.0,2453.0,2454.0,772.0,2134.0,2344.0
2023-12-14,2023-12-14 00:00:00+08:00,2452.0,2460.0,2443.0,2447.0,568.0,2344.0,2449.0
2023-12-15,2023-12-15 00:00:00+08:00,2446.0,2454.0,2433.0,2437.0,1137.0,2449.0,2638.0
2023-12-18,2023-12-18 00:00:00+08:00,2436.0,2436.0,2392.0,2404.0,3373.0,2638.0,4465.0
2023-12-19,2023-12-19 00:00:00+08:00,2407.0,2407.0,2376.0,2382.0,2698.0,4465.0,5471.0
2023-12-20,2023-12-20 00:00:00+08:00,2388.0,2400.0,2370.0,2392.0,7939.0,5471.0,6901.0
