trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2024-07-29,2024-07-29 00:00:00+08:00,8421.0,8421.0,8421.0,8421.0,0.0,0.0,0.0
2024-07-30,2024-07-30 00:00:00+08:00,8421.0,8421.0,8421.0,8421.0,0.0,0.0,0.0
2024-07-31,2024-07-31 00:00:00+08:00,8421.0,8421.0,8421.0,8421.0,0.0,0.0,0.0
2024-08-01,2024-08-01 00:00:00+08:00,8560.0,8560.0,8464.0,8464.0,2.0,0.0,2.0
2024-08-02,2024-08-02 00:00:00+08:00,8451.0,8558.0,8451.0,8558.0,12.0,2.0,5.0
2024-08-05,2024-08-05 00:00:00+08:00,8445.0,8464.0,8426.0,8426.0,5.0,5.0,6.0
2024-08-06,2024-08-06 00:00:00+08:00,8324.0,8437.0,8324.0,8436.0,8.0,6.0,7.0
2024-08-07,2024-08-07 00:00:00+08:00,8380.0,8380.0,8380.0,8380.0,0.0,7.0,7.0
2024-08-08,2024-08-08 00:00:00+08:00,8380.0,8380.0,8380.0,8380.0,0.0,7.0,7.0
2024-08-09,2024-08-09 00:00:00+08:00,8391.0,8391.0,8391.0,8391.0,0.0,7.0,7.0
2024-08-12,2024-08-12 00:00:00+08:00,8456.0,8524.0,8456.0,8524.0,5.0,7.0,8.0
2024-08-13,2024-08-13 00:00:00+08:00,8524.0,8530.0,8494.0,8530.0,5.0,8.0,7.0
2024-08-14,2024-08-14 00:00:00+08:00,8556.0,8556.0,8540.0,8540.0,4.0,7.0,10.0
2024-08-15,2024-08-15 00:00:00+08:00,8514.0,8514.0,8420.0,8420.0,5.0,10.0,9.0
2024-08-16,2024-08-16 00:00:00+08:00,8462.0,8462.0,8462.0,8462.0,0.0,9.0,9.0
2024-08-19,2024-08-19 00:00:00+08:00,8462.0,8462.0,8462.0,8462.0,0.0,9.0,9.0
2024-08-20,2024-08-20 00:00:00+08:00,8462.0,8529.0,8462.0,8529.0,2.0,9.0,9.0
2024-08-21,2024-08-21 00:00:00+08:00,8543.0,8543.0,8543.0,8543.0,3.0,9.0,10.0
2024-08-22,2024-08-22 00:00:00+08:00,8536.0,8536.0,8536.0,8536.0,1.0,10.0,9.0
2024-08-23,2024-08-23 00:00:00+08:00,8557.0,8648.0,8557.0,8648.0,3.0,9.0,9.0
2024-08-26,2024-08-26 00:00:00+08:00,8695.0,8695.0,8695.0,8695.0,1.0,9.0,9.0
2024-08-27,2024-08-27 00:00:00+08:00,8728.0,8728.0,8728.0,8728.0,4.0,9.0,10.0
2024-08-28,2024-08-28 00:00:00+08:00,8766.0,8766.0,8766.0,8766.0,0.0,10.0,10.0
