trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2023-05-18,2023-05-18 00:00:00+08:00,2150.0,2154.0,2150.0,2154.0,6.0,0.0,6.0
2023-05-19,2023-05-19 00:00:00+08:00,2100.0,2100.0,2088.0,2088.0,6.0,6.0,12.0
2023-05-22,2023-05-22 00:00:00+08:00,2050.0,2060.0,2016.0,2029.5,47.0,12.0,31.0
2023-05-23,2023-05-23 00:00:00+08:00,2032.0,2032.0,2026.0,2026.0,4.0,31.0,32.0
2023-05-24,2023-05-24 00:00:00+08:00,2016.5,2016.5,1983.0,1985.0,64.0,32.0,63.0
2023-05-25,2023-05-25 00:00:00+08:00,1970.0,1993.0,1915.0,1928.5,68.0,63.0,103.0
2023-05-26,2023-05-26 00:00:00+08:00,1900.0,1930.0,1858.5,1921.5,78.0,103.0,133.0
2023-05-29,2023-05-29 00:00:00+08:00,1937.5,1937.5,1874.0,1888.0,43.0,133.0,139.0
2023-05-30,2023-05-30 00:00:00+08:00,1915.0,1915.0,1840.5,1851.5,38.0,139.0,152.0
2023-05-31,2023-05-31 00:00:00+08:00,1839.0,1843.0,1817.0,1837.5,29.0,152.0,166.0
2023-06-01,2023-06-01 00:00:00+08:00,1819.0,1880.0,1810.5,1880.0,82.0,166.0,211.0
2023-06-02,2023-06-02 00:00:00+08:00,1871.0,1945.0,1850.0,1913.5,60.0,211.0,203.0
2023-06-05,2023-06-05 00:00:00+08:00,1924.5,1936.0,1906.0,1913.0,40.0,203.0,196.0
2023-06-06,2023-06-06 00:00:00+08:00,1907.0,1968.5,1907.0,1935.0,31.0,196.0,202.0
2023-06-07,2023-06-07 00:00:00+08:00,1947.5,1962.0,1923.0,1925.0,49.0,202.0,219.0
2023-06-08,2023-06-08 00:00:00+08:00,1926.0,1965.5,1926.0,1939.5,22.0,219.0,215.0
2023-06-09,2023-06-09 00:00:00+08:00,1961.0,1970.5,1955.5,1970.5,33.0,215.0,198.0
2023-06-12,2023-06-12 00:00:00+08:00,1965.0,1978.5,1930.0,1943.0,45.0,198.0,217.0
2023-06-13,2023-06-13 00:00:00+08:00,1948.5,2018.5,1941.0,2018.5,49.0,217.0,213.0
2023-06-14,2023-06-14 00:00:00+08:00,2020.0,2053.0,2000.0,2025.0,52.0,213.0,215.0
2023-06-15,2023-06-15 00:00:00+08:00,2050.0,2059.5,2030.0,2030.0,46.0,215.0,241.0
2023-06-16,2023-06-16 00:00:00+08:00,2044.5,2080.0,2036.5,2080.0,66.0,241.0,244.0
2023-06-19,2023-06-19 00:00:00+08:00,2057.0,2081.0,2046.0,2046.0,33.0,244.0,245.0
2023-06-20,2023-06-20 00:00:00+08:00,2044.0,2050.0,2019.5,2050.0,20.0,245.0,240.0
2023-06-21,2023-06-21 00:00:00+08:00,2035.5,2057.5,2031.5,2036.0,12.0,240.0,240.0
2023-06-26,2023-06-26 00:00:00+08:00,2014.5,2014.5,1937.0,1963.5,83.0,240.0,254.0
2023-06-27,2023-06-27 00:00:00+08:00,1948.5,2008.0,1948.5,2006.0,27.0,254.0,255.0
2023-06-28,2023-06-28 00:00:00+08:00,2004.0,2026.5,1971.5,1971.5,28.0,255.0,262.0
2023-06-29,2023-06-29 00:00:00+08:00,1987.0,2009.0,1985.5,2006.0,14.0,262.0,265.0
2023-06-30,2023-06-30 00:00:00+08:00,2015.0,2041.0,2014.5,2022.0,31.0,265.0,272.0
2023-07-03,2023-07-03 00:00:00+08:00,2030.5,2054.5,1992.0,2020.5,130.0,272.0,309.0
2023-07-04,2023-07-04 00:00:00+08:00,2026.5,2039.0,1983.0,2003.0,63.0,309.0,342.0
2023-07-05,2023-07-05 00:00:00+08:00,2008.0,2008.0,1990.0,1992.0,31.0,342.0,348.0
2023-07-06,2023-07-06 00:00:00+08:00,1990.0,2039.0,1990.0,2033.0,37.0,348.0,342.0
2023-07-07,2023-07-07 00:00:00+08:00,2044.0,2053.0,1987.5,1987.5,61.0,342.0,350.0
2023-07-10,2023-07-10 00:00:00+08:00,2000.0,2013.0,1986.5,2000.0,46.0,350.0,368.0
2023-07-11,2023-07-11 00:00:00+08:00,2000.0,2068.0,2000.0,2048.0,77.0,368.0,361.0
2023-07-12,2023-07-12 00:00:00+08:00,2061.5,2070.5,2051.5,2070.5,67.0,361.0,350.0
2023-07-13,2023-07-13 00:00:00+08:00,2080.0,2085.0,2060.0,2085.0,97.0,350.0,391.0
2023-07-14,2023-07-14 00:00:00+08:00,2088.0,2119.0,2088.0,2111.5,77.0,391.0,401.0
2023-07-17,2023-07-17 00:00:00+08:00,2103.5,2118.5,2062.0,2062.0,74.0,401.0,395.0
2023-07-18,2023-07-18 00:00:00+08:00,2077.5,2128.0,2071.0,2128.0,77.0,395.0,416.0
2023-07-19,2023-07-19 00:00:00+08:00,2115.5,2141.0,2112.5,2133.5,147.0,416.0,506.0
2023-07-20,2023-07-20 00:00:00+08:00,2136.5,2175.5,2136.5,2169.5,89.0,506.0,526.0
2023-07-21,2023-07-21 00:00:00+08:00,2157.0,2173.0,2129.0,2173.0,132.0,526.0,551.0
2023-07-24,2023-07-24 00:00:00+08:00,2159.0,2159.0,2118.5,2139.5,158.0,551.0,579.0
2023-07-25,2023-07-25 00:00:00+08:00,2136.5,2165.0,2128.0,2158.0,110.0,579.0,611.0
2023-07-26,2023-07-26 00:00:00+08:00,2168.0,2191.5,2167.5,2186.0,109.0,611.0,609.0
