trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-06-28,2021-06-28 00:00:00+08:00,3902.0,4028.0,3902.0,4023.0,238.0,0.0,194.0
2021-06-29,2021-06-29 00:00:00+08:00,4000.0,4024.0,3998.0,4001.0,55.0,194.0,232.0
2021-06-30,2021-06-30 00:00:00+08:00,3995.0,4024.0,3993.0,4021.0,34.0,232.0,248.0
2021-07-01,2021-07-01 00:00:00+08:00,4024.0,4025.0,4022.0,4025.0,8.0,248.0,253.0
2021-07-02,2021-07-02 00:00:00+08:00,4003.0,4018.0,3965.0,3974.0,41.0,253.0,244.0
2021-07-05,2021-07-05 00:00:00+08:00,3996.0,3996.0,3986.0,3996.0,16.0,244.0,250.0
2021-07-06,2021-07-06 00:00:00+08:00,3988.0,4000.0,3982.0,3996.0,38.0,250.0,261.0
2021-07-07,2021-07-07 00:00:00+08:00,3983.0,3986.0,3955.0,3974.0,87.0,261.0,292.0
2021-07-08,2021-07-08 00:00:00+08:00,3987.0,4013.0,3965.0,4000.0,58.0,292.0,316.0
2021-07-09,2021-07-09 00:00:00+08:00,4000.0,4012.0,3985.0,3996.0,137.0,316.0,423.0
2021-07-12,2021-07-12 00:00:00+08:00,4008.0,4034.0,4005.0,4034.0,158.0,423.0,492.0
2021-07-13,2021-07-13 00:00:00+08:00,4022.0,4035.0,4010.0,4010.0,79.0,492.0,509.0
2021-07-14,2021-07-14 00:00:00+08:00,4015.0,4025.0,4012.0,4021.0,30.0,509.0,522.0
2021-07-15,2021-07-15 00:00:00+08:00,4015.0,4015.0,3979.0,3986.0,75.0,522.0,493.0
2021-07-16,2021-07-16 00:00:00+08:00,3998.0,3998.0,3974.0,3985.0,62.0,493.0,467.0
2021-07-19,2021-07-19 00:00:00+08:00,3970.0,3998.0,3970.0,3994.0,20.0,467.0,466.0
2021-07-20,2021-07-20 00:00:00+08:00,3957.0,4000.0,3957.0,3990.0,80.0,466.0,504.0
2021-07-21,2021-07-21 00:00:00+08:00,3975.0,3995.0,3975.0,3988.0,39.0,504.0,528.0
