trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-05-20,2021-05-20 00:00:00+08:00,1777.5,1777.5,1699.0,1703.0,8.0,0.0,4.0
2021-05-21,2021-05-21 00:00:00+08:00,1727.5,1727.5,1625.5,1625.5,3.0,4.0,5.0
2021-05-24,2021-05-24 00:00:00+08:00,1627.0,1684.5,1627.0,1684.5,2.0,5.0,5.0
2021-05-25,2021-05-25 00:00:00+08:00,1711.5,1711.5,1711.5,1711.5,0.0,5.0,5.0
2021-05-26,2021-05-26 00:00:00+08:00,1661.5,1675.0,1661.5,1675.0,3.0,5.0,7.0
2021-05-27,2021-05-27 00:00:00+08:00,1610.0,1703.5,1610.0,1702.5,6.0,7.0,10.0
2021-05-28,2021-05-28 00:00:00+08:00,1703.5,1732.5,1703.5,1732.0,5.0,10.0,10.0
2021-05-31,2021-05-31 00:00:00+08:00,1723.5,1723.5,1723.5,1723.5,0.0,10.0,10.0
2021-06-01,2021-06-01 00:00:00+08:00,1706.5,1760.0,1650.0,1737.5,17.0,10.0,13.0
2021-06-02,2021-06-02 00:00:00+08:00,1791.0,1823.5,1780.0,1780.0,11.0,13.0,14.0
2021-06-03,2021-06-03 00:00:00+08:00,1762.0,1829.5,1762.0,1810.0,23.0,14.0,23.0
2021-06-04,2021-06-04 00:00:00+08:00,1780.5,1786.5,1735.5,1786.5,9.0,23.0,24.0
2021-06-07,2021-06-07 00:00:00+08:00,1810.5,1810.5,1729.5,1729.5,12.0,24.0,27.0
2021-06-08,2021-06-08 00:00:00+08:00,1715.5,1741.5,1708.5,1736.5,9.0,27.0,28.0
2021-06-09,2021-06-09 00:00:00+08:00,1740.5,1773.0,1739.0,1752.5,12.0,28.0,24.0
2021-06-10,2021-06-10 00:00:00+08:00,1789.0,1789.0,1743.0,1767.0,4.0,24.0,24.0
2021-06-11,2021-06-11 00:00:00+08:00,1791.0,1869.5,1791.0,1860.0,13.0,24.0,29.0
2021-06-15,2021-06-15 00:00:00+08:00,1800.0,1870.0,1800.0,1852.5,8.0,29.0,30.0
2021-06-16,2021-06-16 00:00:00+08:00,1820.5,1820.5,1820.5,1820.5,0.0,30.0,30.0
2021-06-17,2021-06-17 00:00:00+08:00,1857.0,1865.0,1857.0,1865.0,3.0,30.0,28.0
2021-06-18,2021-06-18 00:00:00+08:00,1871.0,1880.0,1806.5,1806.5,14.0,28.0,38.0
2021-06-21,2021-06-21 00:00:00+08:00,1761.0,1800.0,1750.0,1750.0,32.0,38.0,49.0
2021-06-22,2021-06-22 00:00:00+08:00,1730.0,1796.5,1730.0,1796.5,18.0,49.0,56.0
2021-06-23,2021-06-23 00:00:00+08:00,1796.0,1818.0,1776.0,1800.0,30.0,56.0,60.0
2021-06-24,2021-06-24 00:00:00+08:00,1817.0,1825.0,1793.0,1793.0,10.0,60.0,58.0
2021-06-25,2021-06-25 00:00:00+08:00,1801.5,1813.5,1801.5,1813.5,13.0,58.0,64.0
2021-06-28,2021-06-28 00:00:00+08:00,1807.0,1815.0,1755.5,1784.5,9.0,64.0,68.0
2021-06-29,2021-06-29 00:00:00+08:00,1780.0,1780.0,1760.5,1760.5,4.0,68.0,71.0
2021-06-30,2021-06-30 00:00:00+08:00,1766.5,1796.0,1759.5,1763.0,21.0,71.0,71.0
2021-07-01,2021-07-01 00:00:00+08:00,1788.0,1795.5,1768.0,1768.0,57.0,71.0,62.0
2021-07-02,2021-07-02 00:00:00+08:00,1746.0,1767.0,1733.0,1765.0,65.0,62.0,68.0
2021-07-05,2021-07-05 00:00:00+08:00,1769.5,1783.0,1746.5,1774.0,11.0,68.0,69.0
2021-07-06,2021-07-06 00:00:00+08:00,1785.0,1785.5,1745.0,1745.0,6.0,69.0,71.0
2021-07-07,2021-07-07 00:00:00+08:00,1748.0,1784.5,1743.0,1758.0,19.0,71.0,71.0
2021-07-08,2021-07-08 00:00:00+08:00,1760.0,1760.0,1700.0,1733.5,39.0,71.0,90.0
2021-07-09,2021-07-09 00:00:00+08:00,1744.5,1744.5,1715.0,1725.0,9.0,90.0,92.0
2021-07-12,2021-07-12 00:00:00+08:00,1730.0,1730.0,1703.0,1724.5,38.0,92.0,93.0
2021-07-13,2021-07-13 00:00:00+08:00,1737.0,1749.5,1708.5,1728.0,72.0,93.0,87.0
2021-07-14,2021-07-14 00:00:00+08:00,1742.0,1778.5,1738.0,1778.0,27.0,87.0,91.0
2021-07-15,2021-07-15 00:00:00+08:00,1779.5,1824.5,1763.0,1793.0,43.0,91.0,95.0
2021-07-16,2021-07-16 00:00:00+08:00,1822.5,1880.5,1802.0,1850.5,59.0,95.0,92.0
2021-07-19,2021-07-19 00:00:00+08:00,1835.5,1879.0,1831.0,1870.0,43.0,92.0,97.0
2021-07-20,2021-07-20 00:00:00+08:00,1850.5,1898.5,1830.5,1877.0,83.0,97.0,111.0
2021-07-21,2021-07-21 00:00:00+08:00,1882.0,1894.5,1839.5,1876.0,27.0,111.0,117.0
2021-07-22,2021-07-22 00:00:00+08:00,1877.5,1884.5,1833.0,1867.5,24.0,117.0,116.0
2021-07-23,2021-07-23 00:00:00+08:00,1885.0,1909.0,1874.0,1905.0,33.0,116.0,125.0
2021-07-26,2021-07-26 00:00:00+08:00,1876.0,1934.5,1876.0,1915.0,48.0,125.0,129.0
2021-07-27,2021-07-27 00:00:00+08:00,1922.0,1935.0,1900.0,1900.0,7.0,129.0,131.0
2021-07-28,2021-07-28 00:00:00+08:00,1905.5,1949.5,1905.5,1935.5,79.0,131.0,162.0
2021-07-29,2021-07-29 00:00:00+08:00,1935.5,1978.0,1935.5,1978.0,47.0,162.0,169.0
2021-07-30,2021-07-30 00:00:00+08:00,1997.5,2019.0,1960.0,1997.5,164.0,169.0,202.0
