trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2019-11-15,2019-11-15 00:00:00+08:00,2848.0,2848.0,2848.0,2848.0,0.0,0.0,0.0
2019-11-18,2019-11-18 00:00:00+08:00,2848.0,2848.0,2848.0,2848.0,0.0,0.0,0.0
2019-11-19,2019-11-19 00:00:00+08:00,2821.0,2861.0,2821.0,2858.0,3.0,0.0,1.0
2019-11-20,2019-11-20 00:00:00+08:00,2882.0,2882.0,2825.0,2845.0,6.0,1.0,3.0
2019-11-21,2019-11-21 00:00:00+08:00,2844.0,2844.0,2822.0,2822.0,9.0,3.0,10.0
2019-11-22,2019-11-22 00:00:00+08:00,2828.0,2828.0,2811.0,2811.0,11.0,10.0,11.0
2019-11-25,2019-11-25 00:00:00+08:00,2830.0,2831.0,2829.0,2829.0,4.0,11.0,12.0
2019-11-26,2019-11-26 00:00:00+08:00,2842.0,2842.0,2836.0,2836.0,2.0,12.0,12.0
2019-11-27,2019-11-27 00:00:00+08:00,2812.0,2812.0,2810.0,2810.0,4.0,12.0,16.0
2019-11-28,2019-11-28 00:00:00+08:00,2821.0,2821.0,2821.0,2821.0,1.0,16.0,15.0
2019-11-29,2019-11-29 00:00:00+08:00,2826.0,2840.0,2812.0,2840.0,5.0,15.0,16.0
2019-12-02,2019-12-02 00:00:00+08:00,2825.0,2825.0,2802.0,2802.0,15.0,16.0,19.0
2019-12-03,2019-12-03 00:00:00+08:00,2806.0,2824.0,2805.0,2824.0,28.0,19.0,32.0
2019-12-04,2019-12-04 00:00:00+08:00,2807.0,2808.0,2796.0,2802.0,27.0,32.0,46.0
2019-12-05,2019-12-05 00:00:00+08:00,2790.0,2810.0,2771.0,2808.0,42.0,46.0,72.0
2019-12-06,2019-12-06 00:00:00+08:00,2810.0,2836.0,2784.0,2793.0,130.0,72.0,161.0
2019-12-09,2019-12-09 00:00:00+08:00,2810.0,2828.0,2809.0,2818.0,34.0,161.0,169.0
2019-12-10,2019-12-10 00:00:00+08:00,2818.0,2828.0,2815.0,2826.0,81.0,169.0,216.0
2019-12-11,2019-12-11 00:00:00+08:00,2835.0,2849.0,2830.0,2837.0,131.0,216.0,314.0
2019-12-12,2019-12-12 00:00:00+08:00,2832.0,2832.0,2810.0,2810.0,198.0,314.0,478.0
2019-12-13,2019-12-13 00:00:00+08:00,2809.0,2812.0,2789.0,2789.0,211.0,478.0,563.0
2019-12-16,2019-12-16 00:00:00+08:00,2793.0,2812.0,2792.0,2808.0,112.0,563.0,613.0
2019-12-17,2019-12-17 00:00:00+08:00,2822.0,2828.0,2808.0,2827.0,484.0,613.0,373.0
2019-12-18,2019-12-18 00:00:00+08:00,2822.0,2852.0,2821.0,2840.0,288.0,373.0,189.0
2019-12-19,2019-12-19 00:00:00+08:00,2842.0,2850.0,2838.0,2838.0,115.0,189.0,135.0
2019-12-20,2019-12-20 00:00:00+08:00,2834.0,2838.0,2833.0,2835.0,261.0,135.0,142.0
