trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-12-15,2021-12-15 00:00:00+08:00,7236.0,7236.0,7236.0,7236.0,1.0,0.0,1.0
2021-12-16,2021-12-16 00:00:00+08:00,7190.0,7298.0,7190.0,7260.0,9.0,1.0,5.0
2021-12-17,2021-12-17 00:00:00+08:00,7400.0,7488.0,7400.0,7488.0,6.0,5.0,9.0
2021-12-20,2021-12-20 00:00:00+08:00,7436.0,7436.0,7382.0,7426.0,5.0,9.0,10.0
2021-12-21,2021-12-21 00:00:00+08:00,7408.0,7408.0,7408.0,7408.0,0.0,10.0,10.0
2021-12-22,2021-12-22 00:00:00+08:00,7450.0,7450.0,7390.0,7390.0,13.0,10.0,18.0
2021-12-23,2021-12-23 00:00:00+08:00,7448.0,7488.0,7438.0,7438.0,12.0,18.0,9.0
2021-12-24,2021-12-24 00:00:00+08:00,7102.0,7564.0,7102.0,7564.0,8.0,9.0,9.0
2021-12-27,2021-12-27 00:00:00+08:00,7524.0,7568.0,7524.0,7568.0,3.0,9.0,9.0
2021-12-28,2021-12-28 00:00:00+08:00,7568.0,7600.0,7568.0,7600.0,3.0,9.0,11.0
2021-12-29,2021-12-29 00:00:00+08:00,7532.0,7532.0,7532.0,7532.0,1.0,11.0,11.0
2021-12-30,2021-12-30 00:00:00+08:00,7558.0,7620.0,7504.0,7620.0,8.0,11.0,9.0
2021-12-31,2021-12-31 00:00:00+08:00,7606.0,7680.0,7606.0,7680.0,465.0,9.0,465.0
2022-01-04,2022-01-04 00:00:00+08:00,7800.0,7800.0,7800.0,7800.0,0.0,465.0,465.0
2022-01-05,2022-01-05 00:00:00+08:00,7876.0,7944.0,7870.0,7944.0,6.0,465.0,465.0
2022-01-06,2022-01-06 00:00:00+08:00,7932.0,7958.0,7804.0,7804.0,7.0,465.0,467.0
2022-01-07,2022-01-07 00:00:00+08:00,7870.0,7946.0,7870.0,7946.0,3.0,467.0,469.0
2022-01-10,2022-01-10 00:00:00+08:00,7936.0,8072.0,7820.0,8064.0,14.0,469.0,472.0
2022-01-11,2022-01-11 00:00:00+08:00,7920.0,7998.0,7904.0,7998.0,11.0,472.0,475.0
2022-01-12,2022-01-12 00:00:00+08:00,7962.0,8060.0,7950.0,7994.0,468.0,475.0,32.0
2022-01-13,2022-01-13 00:00:00+08:00,8090.0,8100.0,8000.0,8066.0,11.0,32.0,33.0
2022-01-14,2022-01-14 00:00:00+08:00,8058.0,8118.0,7948.0,8118.0,13.0,33.0,37.0
2022-01-17,2022-01-17 00:00:00+08:00,8076.0,8082.0,7906.0,8082.0,6.0,37.0,40.0
2022-01-18,2022-01-18 00:00:00+08:00,8116.0,8140.0,8116.0,8140.0,4.0,40.0,39.0
2022-01-19,2022-01-19 00:00:00+08:00,8180.0,8280.0,8180.0,8264.0,10.0,39.0,38.0
2022-01-20,2022-01-20 00:00:00+08:00,8208.0,8362.0,8208.0,8362.0,11.0,38.0,37.0
2022-01-21,2022-01-21 00:00:00+08:00,8394.0,8412.0,8394.0,8412.0,3.0,37.0,39.0
2022-01-24,2022-01-24 00:00:00+08:00,8406.0,8406.0,8406.0,8406.0,0.0,39.0,39.0
2022-01-25,2022-01-25 00:00:00+08:00,8268.0,8282.0,8186.0,8280.0,6.0,39.0,38.0
2022-01-26,2022-01-26 00:00:00+08:00,8308.0,8410.0,8308.0,8410.0,9.0,38.0,41.0
2022-01-27,2022-01-27 00:00:00+08:00,8516.0,8522.0,8400.0,8522.0,3.0,41.0,41.0
2022-01-28,2022-01-28 00:00:00+08:00,8676.0,8722.0,8676.0,8722.0,2.0,41.0,41.0
2022-02-07,2022-02-07 00:00:00+08:00,8826.0,8826.0,8826.0,8826.0,0.0,41.0,41.0
2022-02-08,2022-02-08 00:00:00+08:00,8906.0,8908.0,8766.0,8824.0,10.0,41.0,39.0
2022-02-09,2022-02-09 00:00:00+08:00,8700.0,8722.0,8596.0,8666.0,10.0,39.0,38.0
2022-02-10,2022-02-10 00:00:00+08:00,8710.0,8794.0,8700.0,8766.0,8.0,38.0,39.0
2022-02-11,2022-02-11 00:00:00+08:00,8778.0,8846.0,8760.0,8780.0,28.0,39.0,60.0
2022-02-14,2022-02-14 00:00:00+08:00,8748.0,8750.0,8748.0,8750.0,6.0,60.0,64.0
2022-02-15,2022-02-15 00:00:00+08:00,8746.0,8756.0,8746.0,8756.0,3.0,64.0,61.0
2022-02-16,2022-02-16 00:00:00+08:00,8722.0,8722.0,8722.0,8722.0,1.0,61.0,60.0
2022-02-17,2022-02-17 00:00:00+08:00,8806.0,8822.0,8748.0,8800.0,19.0,60.0,64.0
2022-02-18,2022-02-18 00:00:00+08:00,8890.0,8890.0,8834.0,8872.0,16.0,64.0,65.0
2022-02-21,2022-02-21 00:00:00+08:00,9002.0,9024.0,8994.0,9014.0,10.0,65.0,61.0
2022-02-22,2022-02-22 00:00:00+08:00,9020.0,9178.0,9020.0,9178.0,8.0,61.0,64.0
2022-02-23,2022-02-23 00:00:00+08:00,9394.0,9460.0,9394.0,9460.0,8.0,64.0,66.0
2022-02-24,2022-02-24 00:00:00+08:00,9514.0,9780.0,9494.0,9706.0,16.0,66.0,68.0
2022-02-25,2022-02-25 00:00:00+08:00,9862.0,9878.0,9358.0,9408.0,21.0,68.0,68.0
2022-02-28,2022-02-28 00:00:00+08:00,9374.0,9556.0,9240.0,9556.0,15.0,68.0,77.0
2022-03-01,2022-03-01 00:00:00+08:00,9500.0,9848.0,9442.0,9798.0,27.0,77.0,90.0
2022-03-02,2022-03-02 00:00:00+08:00,9964.0,9966.0,9696.0,9760.0,32.0,90.0,98.0
2022-03-03,2022-03-03 00:00:00+08:00,9874.0,10210.0,9828.0,10210.0,30.0,98.0,110.0
2022-03-04,2022-03-04 00:00:00+08:00,10068.0,10200.0,9700.0,9798.0,107.0,110.0,156.0
2022-03-07,2022-03-07 00:00:00+08:00,9852.0,10188.0,9834.0,9970.0,34.0,156.0,156.0
