trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2020-05-20,2020-05-20 00:00:00+08:00,6820.0,6952.0,6768.0,6926.0,466.0,0.0,373.0
2020-05-21,2020-05-21 00:00:00+08:00,6926.0,7026.0,6915.0,6952.0,486.0,373.0,602.0
2020-05-22,2020-05-22 00:00:00+08:00,6945.0,6975.0,6817.0,6840.0,408.0,602.0,893.0
2020-05-25,2020-05-25 00:00:00+08:00,6820.0,6933.0,6740.0,6861.0,482.0,893.0,1155.0
2020-05-26,2020-05-26 00:00:00+08:00,6843.0,6880.0,6816.0,6847.0,551.0,1155.0,1216.0
2020-05-27,2020-05-27 00:00:00+08:00,6848.0,6889.0,6795.0,6854.0,333.0,1216.0,1290.0
2020-05-28,2020-05-28 00:00:00+08:00,6860.0,6933.0,6799.0,6880.0,441.0,1290.0,1371.0
2020-05-29,2020-05-29 00:00:00+08:00,6856.0,6920.0,6831.0,6855.0,933.0,1371.0,1665.0
2020-06-01,2020-06-01 00:00:00+08:00,6825.0,7000.0,6822.0,6982.0,741.0,1665.0,1812.0
2020-06-02,2020-06-02 00:00:00+08:00,6978.0,7080.0,6950.0,7039.0,900.0,1812.0,2180.0
2020-06-03,2020-06-03 00:00:00+08:00,7035.0,7100.0,6996.0,7100.0,542.0,2180.0,2297.0
2020-06-04,2020-06-04 00:00:00+08:00,7080.0,7080.0,6944.0,6967.0,1116.0,2297.0,2763.0
2020-06-05,2020-06-05 00:00:00+08:00,6951.0,7039.0,6950.0,7032.0,662.0,2763.0,2839.0
2020-06-08,2020-06-08 00:00:00+08:00,7088.0,7090.0,6973.0,6988.0,981.0,2839.0,3412.0
2020-06-09,2020-06-09 00:00:00+08:00,7087.0,7087.0,6947.0,7066.0,542.0,3412.0,3414.0
2020-06-10,2020-06-10 00:00:00+08:00,7038.0,7088.0,6986.0,7005.0,400.0,3414.0,3407.0
2020-06-11,2020-06-11 00:00:00+08:00,7069.0,7069.0,6959.0,6980.0,437.0,3407.0,3588.0
2020-06-12,2020-06-12 00:00:00+08:00,6951.0,6955.0,6850.0,6954.0,596.0,3588.0,3615.0
2020-06-15,2020-06-15 00:00:00+08:00,6980.0,6997.0,6924.0,6930.0,447.0,3615.0,3745.0
2020-06-16,2020-06-16 00:00:00+08:00,6928.0,7060.0,6928.0,7043.0,360.0,3745.0,3669.0
2020-06-17,2020-06-17 00:00:00+08:00,7065.0,7090.0,7013.0,7070.0,538.0,3669.0,3496.0
2020-06-18,2020-06-18 00:00:00+08:00,7030.0,7100.0,7019.0,7084.0,410.0,3496.0,3464.0
2020-06-19,2020-06-19 00:00:00+08:00,7070.0,7090.0,7040.0,7065.0,276.0,3464.0,3470.0
2020-06-22,2020-06-22 00:00:00+08:00,7070.0,7094.0,7029.0,7055.0,342.0,3470.0,3653.0
