trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-08-16,2021-08-16 00:00:00+08:00,3711.0,3724.0,3711.0,3724.0,3.0,0.0,3.0
2021-08-17,2021-08-17 00:00:00+08:00,3659.0,3659.0,3659.0,3659.0,1.0,3.0,4.0
2021-08-18,2021-08-18 00:00:00+08:00,3707.0,3707.0,3687.0,3687.0,3.0,4.0,5.0
2021-08-19,2021-08-19 00:00:00+08:00,3695.0,3695.0,3695.0,3695.0,0.0,5.0,5.0
2021-08-20,2021-08-20 00:00:00+08:00,3696.0,3696.0,3696.0,3696.0,0.0,5.0,5.0
2021-08-23,2021-08-23 00:00:00+08:00,3699.0,3699.0,3699.0,3699.0,0.0,5.0,5.0
2021-08-24,2021-08-24 00:00:00+08:00,3699.0,3699.0,3699.0,3699.0,0.0,5.0,5.0
2021-08-25,2021-08-25 00:00:00+08:00,3699.0,3699.0,3699.0,3699.0,0.0,5.0,5.0
2021-08-26,2021-08-26 00:00:00+08:00,3699.0,3699.0,3699.0,3699.0,0.0,5.0,5.0
2021-08-27,2021-08-27 00:00:00+08:00,3694.0,3694.0,3641.0,3641.0,15.0,5.0,14.0
2021-08-30,2021-08-30 00:00:00+08:00,3667.0,3667.0,3667.0,3667.0,0.0,14.0,14.0
2021-08-31,2021-08-31 00:00:00+08:00,3667.0,3667.0,3667.0,3667.0,0.0,14.0,14.0
2021-09-01,2021-09-01 00:00:00+08:00,3667.0,3667.0,3667.0,3667.0,0.0,14.0,14.0
2021-09-02,2021-09-02 00:00:00+08:00,3667.0,3667.0,3667.0,3667.0,0.0,14.0,14.0
2021-09-03,2021-09-03 00:00:00+08:00,3667.0,3667.0,3667.0,3667.0,0.0,14.0,14.0
2021-09-06,2021-09-06 00:00:00+08:00,3667.0,3667.0,3667.0,3667.0,0.0,14.0,14.0
2021-09-07,2021-09-07 00:00:00+08:00,3599.0,3620.0,3599.0,3620.0,2.0,14.0,15.0
2021-09-08,2021-09-08 00:00:00+08:00,3605.0,3605.0,3605.0,3605.0,1.0,15.0,16.0
2021-09-09,2021-09-09 00:00:00+08:00,3625.0,3635.0,3583.0,3630.0,5.0,16.0,15.0
2021-09-10,2021-09-10 00:00:00+08:00,3624.0,3630.0,3624.0,3630.0,4.0,15.0,15.0
2021-09-13,2021-09-13 00:00:00+08:00,3593.0,3618.0,3593.0,3593.0,6.0,15.0,17.0
2021-09-14,2021-09-14 00:00:00+08:00,3608.0,3641.0,3603.0,3641.0,15.0,17.0,15.0
2021-09-15,2021-09-15 00:00:00+08:00,3622.0,3651.0,3615.0,3643.0,9.0,15.0,14.0
2021-09-16,2021-09-16 00:00:00+08:00,3599.0,3638.0,3599.0,3638.0,3.0,14.0,15.0
2021-09-17,2021-09-17 00:00:00+08:00,3637.0,3637.0,3616.0,3636.0,4.0,15.0,14.0
2021-09-22,2021-09-22 00:00:00+08:00,3627.0,3627.0,3627.0,3627.0,0.0,14.0,14.0
2021-09-23,2021-09-23 00:00:00+08:00,3627.0,3627.0,3627.0,3627.0,0.0,14.0,14.0
2021-09-24,2021-09-24 00:00:00+08:00,3627.0,3627.0,3627.0,3627.0,0.0,14.0,14.0
2021-09-27,2021-09-27 00:00:00+08:00,3610.0,3612.0,3597.0,3612.0,8.0,14.0,18.0
2021-09-28,2021-09-28 00:00:00+08:00,3601.0,3613.0,3601.0,3603.0,4.0,18.0,16.0
2021-09-29,2021-09-29 00:00:00+08:00,3605.0,3605.0,3605.0,3605.0,0.0,16.0,16.0
2021-09-30,2021-09-30 00:00:00+08:00,3605.0,3605.0,3605.0,3605.0,0.0,16.0,16.0
2021-10-08,2021-10-08 00:00:00+08:00,3628.0,3655.0,3589.0,3655.0,3.0,16.0,16.0
2021-10-11,2021-10-11 00:00:00+08:00,3607.0,3607.0,3603.0,3603.0,7.0,16.0,14.0
2021-10-12,2021-10-12 00:00:00+08:00,3604.0,3604.0,3604.0,3604.0,0.0,14.0,14.0
2021-10-13,2021-10-13 00:00:00+08:00,3600.0,3600.0,3581.0,3581.0,2.0,14.0,14.0
2021-10-14,2021-10-14 00:00:00+08:00,3590.0,3590.0,3590.0,3590.0,0.0,14.0,14.0
2021-10-15,2021-10-15 00:00:00+08:00,3581.0,3651.0,3558.0,3577.0,12.0,14.0,14.0
2021-10-18,2021-10-18 00:00:00+08:00,3599.0,3600.0,3580.0,3580.0,4.0,14.0,12.0
