trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2020-04-16,2020-04-16 00:00:00+08:00,5410.0,5410.0,5410.0,5410.0,0.0,0.0,0.0
2020-04-17,2020-04-17 00:00:00+08:00,5410.0,5410.0,5410.0,5410.0,0.0,0.0,0.0
2020-04-20,2020-04-20 00:00:00+08:00,5410.0,5410.0,5410.0,5410.0,0.0,0.0,0.0
2020-04-21,2020-04-21 00:00:00+08:00,5410.0,5410.0,5410.0,5410.0,0.0,0.0,0.0
2020-04-22,2020-04-22 00:00:00+08:00,5335.0,5335.0,5335.0,5335.0,0.0,0.0,0.0
2020-04-23,2020-04-23 00:00:00+08:00,5410.0,5410.0,5410.0,5410.0,0.0,0.0,0.0
2020-04-24,2020-04-24 00:00:00+08:00,5425.0,5425.0,5425.0,5425.0,0.0,0.0,0.0
2020-04-27,2020-04-27 00:00:00+08:00,5465.0,5465.0,5465.0,5465.0,0.0,0.0,0.0
2020-04-28,2020-04-28 00:00:00+08:00,5485.0,5485.0,5485.0,5485.0,0.0,0.0,0.0
2020-04-29,2020-04-29 00:00:00+08:00,5490.0,5490.0,5490.0,5490.0,0.0,0.0,0.0
2020-04-30,2020-04-30 00:00:00+08:00,5530.0,5530.0,5530.0,5530.0,0.0,0.0,0.0
2020-05-06,2020-05-06 00:00:00+08:00,5660.0,5660.0,5660.0,5660.0,0.0,0.0,0.0
2020-05-07,2020-05-07 00:00:00+08:00,5710.0,5710.0,5710.0,5710.0,0.0,0.0,0.0
2020-05-08,2020-05-08 00:00:00+08:00,5740.0,5740.0,5740.0,5740.0,0.0,0.0,0.0
2020-05-11,2020-05-11 00:00:00+08:00,5870.0,5870.0,5870.0,5870.0,0.0,0.0,0.0
2020-05-12,2020-05-12 00:00:00+08:00,5785.0,5785.0,5785.0,5785.0,0.0,0.0,0.0
2020-05-13,2020-05-13 00:00:00+08:00,5785.0,5785.0,5785.0,5785.0,0.0,0.0,0.0
2020-05-14,2020-05-14 00:00:00+08:00,5785.0,5785.0,5785.0,5785.0,0.0,0.0,0.0
2020-05-15,2020-05-15 00:00:00+08:00,5855.0,5855.0,5855.0,5855.0,0.0,0.0,0.0
2020-05-18,2020-05-18 00:00:00+08:00,5900.0,5900.0,5900.0,5900.0,0.0,0.0,0.0
2020-05-19,2020-05-19 00:00:00+08:00,5920.0,5920.0,5920.0,5920.0,0.0,0.0,0.0
2020-05-20,2020-05-20 00:00:00+08:00,5940.0,5940.0,5940.0,5940.0,0.0,0.0,0.0
2020-05-21,2020-05-21 00:00:00+08:00,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0
2020-05-22,2020-05-22 00:00:00+08:00,6015.0,6015.0,6015.0,6015.0,0.0,0.0,0.0
2020-05-25,2020-05-25 00:00:00+08:00,6065.0,6065.0,6065.0,6065.0,0.0,0.0,0.0
2020-05-26,2020-05-26 00:00:00+08:00,6065.0,6065.0,6065.0,6065.0,0.0,0.0,0.0
2020-05-27,2020-05-27 00:00:00+08:00,6125.0,6125.0,6125.0,6125.0,0.0,0.0,0.0
2020-05-28,2020-05-28 00:00:00+08:00,6125.0,6125.0,6125.0,6125.0,0.0,0.0,0.0
2020-05-29,2020-05-29 00:00:00+08:00,6125.0,6125.0,6125.0,6125.0,0.0,0.0,0.0
2020-06-01,2020-06-01 00:00:00+08:00,6230.0,6230.0,6230.0,6230.0,0.0,0.0,0.0
2020-06-02,2020-06-02 00:00:00+08:00,6330.0,6330.0,6330.0,6330.0,0.0,0.0,0.0
2020-06-03,2020-06-03 00:00:00+08:00,6330.0,6330.0,6330.0,6330.0,0.0,0.0,0.0
2020-06-04,2020-06-04 00:00:00+08:00,6300.0,6300.0,6300.0,6300.0,0.0,0.0,0.0
2020-06-05,2020-06-05 00:00:00+08:00,6300.0,6300.0,6300.0,6300.0,0.0,0.0,0.0
2020-06-08,2020-06-08 00:00:00+08:00,6300.0,6300.0,6300.0,6300.0,0.0,0.0,0.0
2020-06-09,2020-06-09 00:00:00+08:00,6300.0,6300.0,6300.0,6300.0,0.0,0.0,0.0
2020-06-10,2020-06-10 00:00:00+08:00,6335.0,6335.0,6335.0,6335.0,0.0,0.0,0.0
2020-06-11,2020-06-11 00:00:00+08:00,6305.0,6305.0,6305.0,6305.0,0.0,0.0,0.0
2020-06-12,2020-06-12 00:00:00+08:00,6160.0,6160.0,6160.0,6160.0,0.0,0.0,0.0
2020-06-15,2020-06-15 00:00:00+08:00,6160.0,6160.0,6160.0,6160.0,0.0,0.0,0.0
2020-06-16,2020-06-16 00:00:00+08:00,6255.0,6255.0,6255.0,6255.0,0.0,0.0,0.0
2020-06-17,2020-06-17 00:00:00+08:00,6270.0,6270.0,6270.0,6270.0,0.0,0.0,0.0
2020-06-18,2020-06-18 00:00:00+08:00,6255.0,6255.0,6255.0,6255.0,0.0,0.0,0.0
2020-06-19,2020-06-19 00:00:00+08:00,6220.0,6220.0,6220.0,6220.0,0.0,0.0,0.0
2020-06-22,2020-06-22 00:00:00+08:00,6150.0,6150.0,6150.0,6150.0,0.0,0.0,0.0
2020-06-23,2020-06-23 00:00:00+08:00,6125.0,6125.0,6125.0,6125.0,0.0,0.0,0.0
2020-06-24,2020-06-24 00:00:00+08:00,6125.0,6125.0,6125.0,6125.0,0.0,0.0,0.0
2020-06-29,2020-06-29 00:00:00+08:00,6090.0,6090.0,6090.0,6090.0,0.0,0.0,0.0
2020-06-30,2020-06-30 00:00:00+08:00,6090.0,6090.0,6090.0,6090.0,0.0,0.0,0.0
2020-07-01,2020-07-01 00:00:00+08:00,6000.0,6000.0,6000.0,6000.0,2.0,0.0,0.0
2020-07-02,2020-07-02 00:00:00+08:00,6045.0,6045.0,6045.0,6045.0,0.0,0.0,0.0
2020-07-03,2020-07-03 00:00:00+08:00,6125.0,6125.0,6125.0,6125.0,0.0,0.0,0.0
2020-07-06,2020-07-06 00:00:00+08:00,6240.0,6240.0,6240.0,6240.0,0.0,0.0,0.0
2020-07-07,2020-07-07 00:00:00+08:00,6365.0,6365.0,6365.0,6365.0,0.0,0.0,0.0
2020-07-08,2020-07-08 00:00:00+08:00,6365.0,6365.0,6365.0,6365.0,0.0,0.0,0.0
2020-07-09,2020-07-09 00:00:00+08:00,6365.0,6365.0,6365.0,6365.0,0.0,0.0,0.0
2020-07-10,2020-07-10 00:00:00+08:00,6375.0,6375.0,6375.0,6375.0,0.0,0.0,0.0
2020-07-13,2020-07-13 00:00:00+08:00,6430.0,6430.0,6430.0,6430.0,0.0,0.0,0.0
2020-07-14,2020-07-14 00:00:00+08:00,6460.0,6460.0,6460.0,6460.0,2.0,0.0,2.0
2020-07-15,2020-07-15 00:00:00+08:00,6430.0,6430.0,6430.0,6430.0,0.0,2.0,2.0
2020-07-16,2020-07-16 00:00:00+08:00,6365.0,6365.0,6365.0,6365.0,0.0,2.0,2.0
2020-07-17,2020-07-17 00:00:00+08:00,6340.0,6340.0,6340.0,6340.0,0.0,2.0,2.0
2020-07-20,2020-07-20 00:00:00+08:00,6380.0,6380.0,6380.0,6380.0,0.0,2.0,2.0
2020-07-21,2020-07-21 00:00:00+08:00,6380.0,6380.0,6380.0,6380.0,0.0,2.0,2.0
2020-07-22,2020-07-22 00:00:00+08:00,6395.0,6395.0,6395.0,6395.0,0.0,2.0,2.0
2020-07-23,2020-07-23 00:00:00+08:00,6395.0,6395.0,6395.0,6395.0,0.0,2.0,2.0
2020-07-24,2020-07-24 00:00:00+08:00,6350.0,6350.0,6350.0,6350.0,0.0,2.0,2.0
2020-07-27,2020-07-27 00:00:00+08:00,6350.0,6350.0,6350.0,6350.0,0.0,2.0,2.0
2020-07-28,2020-07-28 00:00:00+08:00,6350.0,6350.0,6350.0,6350.0,0.0,2.0,2.0
2020-07-29,2020-07-29 00:00:00+08:00,6350.0,6350.0,6350.0,6350.0,0.0,2.0,2.0
2020-07-30,2020-07-30 00:00:00+08:00,6435.0,6435.0,6305.0,6305.0,2.0,2.0,2.0
2020-07-31,2020-07-31 00:00:00+08:00,6370.0,6370.0,6370.0,6370.0,0.0,2.0,2.0
2020-08-03,2020-08-03 00:00:00+08:00,6470.0,6470.0,6470.0,6470.0,0.0,2.0,2.0
2020-08-04,2020-08-04 00:00:00+08:00,6470.0,6470.0,6470.0,6470.0,0.0,2.0,2.0
2020-08-05,2020-08-05 00:00:00+08:00,6495.0,6495.0,6495.0,6495.0,0.0,2.0,2.0
2020-08-06,2020-08-06 00:00:00+08:00,6480.0,6480.0,6480.0,6480.0,0.0,2.0,2.0
2020-08-07,2020-08-07 00:00:00+08:00,6480.0,6480.0,6480.0,6480.0,0.0,2.0,2.0
2020-08-10,2020-08-10 00:00:00+08:00,6415.0,6415.0,6415.0,6415.0,0.0,2.0,2.0
2020-08-11,2020-08-11 00:00:00+08:00,6415.0,6415.0,6415.0,6415.0,0.0,2.0,2.0
2020-08-12,2020-08-12 00:00:00+08:00,6415.0,6415.0,6415.0,6415.0,0.0,2.0,2.0
2020-08-13,2020-08-13 00:00:00+08:00,6415.0,6415.0,6415.0,6415.0,0.0,2.0,2.0
2020-08-14,2020-08-14 00:00:00+08:00,6415.0,6415.0,6415.0,6415.0,0.0,2.0,2.0
2020-08-17,2020-08-17 00:00:00+08:00,6415.0,6415.0,6415.0,6415.0,0.0,2.0,2.0
2020-08-18,2020-08-18 00:00:00+08:00,6695.0,6695.0,6695.0,6695.0,1.0,2.0,3.0
2020-08-19,2020-08-19 00:00:00+08:00,6695.0,6695.0,6695.0,6695.0,0.0,3.0,3.0
2020-08-20,2020-08-20 00:00:00+08:00,6560.0,6560.0,6545.0,6545.0,4.0,3.0,3.0
2020-08-21,2020-08-21 00:00:00+08:00,6550.0,6550.0,6550.0,6550.0,0.0,3.0,3.0
2020-08-24,2020-08-24 00:00:00+08:00,6550.0,6550.0,6550.0,6550.0,0.0,3.0,3.0
2020-08-25,2020-08-25 00:00:00+08:00,6550.0,6550.0,6550.0,6550.0,0.0,3.0,3.0
2020-08-26,2020-08-26 00:00:00+08:00,6550.0,6550.0,6550.0,6550.0,0.0,3.0,3.0
2020-08-27,2020-08-27 00:00:00+08:00,6550.0,6550.0,6550.0,6550.0,0.0,3.0,3.0
2020-08-28,2020-08-28 00:00:00+08:00,6550.0,6550.0,6550.0,6550.0,0.0,3.0,3.0
2020-08-31,2020-08-31 00:00:00+08:00,6550.0,6550.0,6550.0,6550.0,0.0,3.0,3.0
2020-09-01,2020-09-01 00:00:00+08:00,6615.0,6615.0,6480.0,6580.0,9.0,3.0,8.0
2020-09-02,2020-09-02 00:00:00+08:00,6645.0,6645.0,6645.0,6645.0,2.0,8.0,7.0
2020-09-03,2020-09-03 00:00:00+08:00,6605.0,6605.0,6605.0,6605.0,3.0,7.0,5.0
2020-09-04,2020-09-04 00:00:00+08:00,6545.0,6560.0,6480.0,6560.0,21.0,5.0,9.0
2020-09-07,2020-09-07 00:00:00+08:00,6515.0,6545.0,6495.0,6545.0,6.0,9.0,14.0
2020-09-08,2020-09-08 00:00:00+08:00,6470.0,6470.0,6355.0,6435.0,70.0,14.0,38.0
2020-09-09,2020-09-09 00:00:00+08:00,6420.0,6425.0,6360.0,6365.0,22.0,38.0,56.0
2020-09-10,2020-09-10 00:00:00+08:00,6430.0,6525.0,6430.0,6525.0,30.0,56.0,40.0
2020-09-11,2020-09-11 00:00:00+08:00,6500.0,6500.0,6500.0,6500.0,6.0,40.0,40.0
2020-09-14,2020-09-14 00:00:00+08:00,6485.0,6485.0,6395.0,6395.0,15.0,40.0,48.0
2020-09-15,2020-09-15 00:00:00+08:00,6435.0,6445.0,6420.0,6445.0,10.0,48.0,38.0
2020-09-16,2020-09-16 00:00:00+08:00,6470.0,6470.0,6460.0,6460.0,20.0,38.0,38.0
2020-09-17,2020-09-17 00:00:00+08:00,6495.0,6615.0,6495.0,6615.0,7.0,38.0,32.0
2020-09-18,2020-09-18 00:00:00+08:00,6570.0,6575.0,6525.0,6525.0,3.0,32.0,32.0
2020-09-21,2020-09-21 00:00:00+08:00,6555.0,6590.0,6555.0,6590.0,5.0,32.0,29.0
2020-09-22,2020-09-22 00:00:00+08:00,6520.0,6520.0,6520.0,6520.0,1.0,29.0,29.0
2020-09-23,2020-09-23 00:00:00+08:00,6505.0,6505.0,6495.0,6495.0,4.0,29.0,31.0
2020-09-24,2020-09-24 00:00:00+08:00,6555.0,6555.0,6555.0,6555.0,1.0,31.0,31.0
2020-09-25,2020-09-25 00:00:00+08:00,6380.0,6465.0,6375.0,6465.0,6.0,31.0,27.0
2020-09-28,2020-09-28 00:00:00+08:00,6390.0,6390.0,6390.0,6390.0,3.0,27.0,24.0
2020-09-29,2020-09-29 00:00:00+08:00,6390.0,6390.0,6390.0,6390.0,0.0,24.0,24.0
2020-09-30,2020-09-30 00:00:00+08:00,6390.0,6390.0,6390.0,6390.0,0.0,24.0,24.0
2020-10-09,2020-10-09 00:00:00+08:00,6475.0,6475.0,6475.0,6475.0,2340.0,24.0,24.0
2020-10-12,2020-10-12 00:00:00+08:00,6545.0,6545.0,6545.0,6545.0,0.0,24.0,24.0
2020-10-13,2020-10-13 00:00:00+08:00,6545.0,6545.0,6545.0,6545.0,0.0,24.0,24.0
2020-10-14,2020-10-14 00:00:00+08:00,6665.0,6665.0,6665.0,6665.0,1.0,24.0,25.0
2020-10-15,2020-10-15 00:00:00+08:00,6665.0,6665.0,6665.0,6665.0,0.0,25.0,25.0
2020-10-16,2020-10-16 00:00:00+08:00,6665.0,6665.0,6665.0,6665.0,0.0,25.0,25.0
2020-10-19,2020-10-19 00:00:00+08:00,6620.0,6675.0,6600.0,6650.0,35.0,25.0,29.0
2020-10-20,2020-10-20 00:00:00+08:00,6595.0,6635.0,6595.0,6600.0,13.0,29.0,32.0
2020-10-21,2020-10-21 00:00:00+08:00,6620.0,6620.0,6620.0,6620.0,3.0,32.0,29.0
2020-10-22,2020-10-22 00:00:00+08:00,6600.0,6605.0,6600.0,6605.0,5.0,29.0,25.0
2020-10-23,2020-10-23 00:00:00+08:00,6495.0,6515.0,6450.0,6515.0,23.0,25.0,23.0
2020-10-26,2020-10-26 00:00:00+08:00,6530.0,6530.0,6450.0,6460.0,6.0,23.0,19.0
2020-10-27,2020-10-27 00:00:00+08:00,6545.0,6565.0,6545.0,6565.0,2.0,19.0,17.0
2020-10-28,2020-10-28 00:00:00+08:00,6615.0,6665.0,6605.0,6605.0,14.0,17.0,19.0
2020-10-29,2020-10-29 00:00:00+08:00,6590.0,6670.0,6580.0,6580.0,11.0,19.0,16.0
2020-10-30,2020-10-30 00:00:00+08:00,6535.0,6590.0,6535.0,6590.0,14.0,16.0,12.0
2020-11-02,2020-11-02 00:00:00+08:00,6680.0,6775.0,6625.0,6735.0,2823.0,12.0,236.0
2020-11-03,2020-11-03 00:00:00+08:00,6750.0,6840.0,6735.0,6775.0,6662.0,236.0,307.0
2020-11-04,2020-11-04 00:00:00+08:00,6795.0,6885.0,6760.0,6780.0,3942.0,307.0,384.0
2020-11-05,2020-11-05 00:00:00+08:00,6800.0,6810.0,6670.0,6755.0,2562.0,384.0,344.0
2020-11-06,2020-11-06 00:00:00+08:00,6760.0,6805.0,6735.0,6785.0,2332.0,344.0,489.0
2020-11-09,2020-11-09 00:00:00+08:00,6825.0,6980.0,6795.0,6920.0,2253.0,489.0,426.0
2020-11-10,2020-11-10 00:00:00+08:00,6995.0,6995.0,6760.0,6760.0,2521.0,426.0,538.0
2020-11-11,2020-11-11 00:00:00+08:00,6790.0,6790.0,6670.0,6730.0,2095.0,538.0,771.0
2020-11-12,2020-11-12 00:00:00+08:00,6700.0,6785.0,6700.0,6725.0,2418.0,771.0,1082.0
2020-11-13,2020-11-13 00:00:00+08:00,6770.0,6930.0,6745.0,6870.0,11667.0,1082.0,961.0
2020-11-16,2020-11-16 00:00:00+08:00,6910.0,7035.0,6875.0,6910.0,5692.0,961.0,776.0
2020-11-17,2020-11-17 00:00:00+08:00,6970.0,7030.0,6915.0,7020.0,7026.0,776.0,1160.0
2020-11-18,2020-11-18 00:00:00+08:00,7090.0,7110.0,6985.0,7015.0,5609.0,1160.0,1274.0
2020-11-19,2020-11-19 00:00:00+08:00,6985.0,7035.0,6925.0,6965.0,6652.0,1274.0,1439.0
2020-11-20,2020-11-20 00:00:00+08:00,6955.0,6995.0,6810.0,6845.0,6710.0,1439.0,2173.0
2020-11-23,2020-11-23 00:00:00+08:00,6885.0,6980.0,6835.0,6945.0,11371.0,2173.0,2644.0
2020-11-24,2020-11-24 00:00:00+08:00,6975.0,6985.0,6900.0,6925.0,6147.0,2644.0,2370.0
2020-11-25,2020-11-25 00:00:00+08:00,6925.0,7040.0,6925.0,6950.0,9290.0,2370.0,2206.0
2020-11-26,2020-11-26 00:00:00+08:00,6960.0,6975.0,6915.0,6930.0,6118.0,2206.0,2100.0
2020-11-27,2020-11-27 00:00:00+08:00,6915.0,7080.0,6910.0,7075.0,9387.0,2100.0,1846.0
2020-11-30,2020-11-30 00:00:00+08:00,7060.0,7130.0,6970.0,6970.0,7593.0,1846.0,2027.0
2020-12-01,2020-12-01 00:00:00+08:00,7015.0,7245.0,7015.0,7215.0,10448.0,2027.0,1793.0
2020-12-02,2020-12-02 00:00:00+08:00,7245.0,7405.0,7185.0,7200.0,12022.0,1793.0,2318.0
2020-12-03,2020-12-03 00:00:00+08:00,7225.0,7275.0,7135.0,7195.0,9648.0,2318.0,2499.0
2020-12-04,2020-12-04 00:00:00+08:00,7210.0,7355.0,7140.0,7350.0,11587.0,2499.0,2432.0
2020-12-07,2020-12-07 00:00:00+08:00,7380.0,7510.0,7265.0,7510.0,14080.0,2432.0,2296.0
