trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2025-10-29,2025-10-29 00:00:00+08:00,4978.0,5026.0,4967.0,5019.0,392.0,0.0,205.0
2025-10-30,2025-10-30 00:00:00+08:00,5026.0,5062.0,4999.0,5006.0,1029.0,205.0,714.0
2025-10-31,2025-10-31 00:00:00+08:00,4999.0,5001.0,4939.0,4952.0,1471.0,714.0,980.0
2025-11-03,2025-11-03 00:00:00+08:00,4954.0,4956.0,4927.0,4941.0,721.0,980.0,932.0
2025-11-04,2025-11-04 00:00:00+08:00,4930.0,4946.0,4917.0,4928.0,910.0,932.0,988.0
2025-11-05,2025-11-05 00:00:00+08:00,4916.0,4916.0,4882.0,4897.0,1250.0,988.0,1321.0
2025-11-06,2025-11-06 00:00:00+08:00,4900.0,4900.0,4862.0,4891.0,1098.0,1321.0,1641.0
2025-11-07,2025-11-07 00:00:00+08:00,4881.0,4897.0,4872.0,4877.0,566.0,1641.0,1604.0
2025-11-10,2025-11-10 00:00:00+08:00,4883.0,4883.0,4840.0,4867.0,710.0,1604.0,1714.0
2025-11-11,2025-11-11 00:00:00+08:00,4856.0,4864.0,4826.0,4827.0,688.0,1714.0,1738.0
2025-11-12,2025-11-12 00:00:00+08:00,4841.0,4854.0,4832.0,4839.0,1190.0,1738.0,2030.0
2025-11-13,2025-11-13 00:00:00+08:00,4832.0,4854.0,4823.0,4854.0,497.0,2030.0,2159.0
2025-11-14,2025-11-14 00:00:00+08:00,4866.0,4899.0,4849.0,4878.0,604.0,2159.0,1914.0
2025-11-17,2025-11-17 00:00:00+08:00,4869.0,4877.0,4844.0,4877.0,208.0,1914.0,2005.0
2025-11-18,2025-11-18 00:00:00+08:00,4871.0,4873.0,4795.0,4801.0,504.0,2005.0,1981.0
2025-11-19,2025-11-19 00:00:00+08:00,4792.0,4804.0,4752.0,4757.0,822.0,1981.0,2136.0
2025-11-20,2025-11-20 00:00:00+08:00,4736.0,4795.0,4711.0,4753.0,1538.0,2136.0,2180.0
2025-11-21,2025-11-21 00:00:00+08:00,4760.0,4801.0,4727.0,4730.0,780.0,2180.0,2256.0
2025-11-24,2025-11-24 00:00:00+08:00,4751.0,4788.0,4721.0,4763.0,692.0,2256.0,2012.0
2025-11-25,2025-11-25 00:00:00+08:00,4759.0,4784.0,4754.0,4754.0,493.0,2012.0,1890.0
2025-11-26,2025-11-26 00:00:00+08:00,4751.0,4761.0,4734.0,4747.0,743.0,1890.0,1925.0
2025-11-27,2025-11-27 00:00:00+08:00,4751.0,4764.0,4749.0,4758.0,587.0,1925.0,1915.0
2025-11-28,2025-11-28 00:00:00+08:00,4789.0,4805.0,4785.0,4803.0,771.0,1915.0,1918.0
2025-12-01,2025-12-01 00:00:00+08:00,4810.0,4831.0,4783.0,4797.0,526.0,1918.0,1788.0
2025-12-02,2025-12-02 00:00:00+08:00,4804.0,4819.0,4796.0,4813.0,240.0,1788.0,1773.0
2025-12-03,2025-12-03 00:00:00+08:00,4803.0,4803.0,4764.0,4782.0,576.0,1773.0,1765.0
2025-12-04,2025-12-04 00:00:00+08:00,4764.0,4764.0,4733.0,4750.0,206.0,1765.0,1766.0
2025-12-05,2025-12-05 00:00:00+08:00,4742.0,4742.0,4672.0,4690.0,594.0,1766.0,1784.0
2025-12-08,2025-12-08 00:00:00+08:00,4662.0,4697.0,4652.0,4691.0,262.0,1784.0,1731.0
2025-12-09,2025-12-09 00:00:00+08:00,4678.0,4680.0,4618.0,4623.0,354.0,1731.0,1724.0
2025-12-10,2025-12-10 00:00:00+08:00,4604.0,4615.0,4562.0,4590.0,363.0,1724.0,1691.0
2025-12-11,2025-12-11 00:00:00+08:00,4584.0,4593.0,4528.0,4532.0,156.0,1691.0,1668.0
2025-12-12,2025-12-12 00:00:00+08:00,4521.0,4521.0,4441.0,4441.0,319.0,1668.0,1679.0
2025-12-15,2025-12-15 00:00:00+08:00,4496.0,4590.0,4496.0,4550.0,1689.0,1679.0,1632.0
2025-12-16,2025-12-16 00:00:00+08:00,4561.0,4638.0,4543.0,4635.0,1574.0,1632.0,1565.0
2025-12-17,2025-12-17 00:00:00+08:00,4644.0,4657.0,4612.0,4652.0,803.0,1565.0,1549.0
2025-12-18,2025-12-18 00:00:00+08:00,4674.0,4689.0,4647.0,4672.0,1093.0,1549.0,1320.0
2025-12-19,2025-12-19 00:00:00+08:00,4663.0,4670.0,4604.0,4623.0,2042.0,1320.0,1074.0
2025-12-22,2025-12-22 00:00:00+08:00,4590.0,4590.0,4535.0,4562.0,2262.0,1074.0,875.0
