trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2024-12-26,2024-12-26 00:00:00+08:00,44000.0,44000.0,42015.0,43000.0,8036.0,0.0,2103.0
2024-12-27,2024-12-27 00:00:00+08:00,43000.0,43585.0,42610.0,43390.0,2171.0,2103.0,2438.0
2024-12-30,2024-12-30 00:00:00+08:00,43500.0,44440.0,43310.0,43970.0,1431.0,2438.0,2462.0
2024-12-31,2024-12-31 00:00:00+08:00,43990.0,44180.0,43775.0,44080.0,666.0,2462.0,2363.0
2025-01-02,2025-01-02 00:00:00+08:00,44000.0,44275.0,43865.0,44080.0,446.0,2363.0,2218.0
2025-01-03,2025-01-03 00:00:00+08:00,44065.0,44230.0,43945.0,44100.0,297.0,2218.0,2171.0
2025-01-06,2025-01-06 00:00:00+08:00,44100.0,45245.0,44100.0,45185.0,1323.0,2171.0,2429.0
2025-01-07,2025-01-07 00:00:00+08:00,45185.0,45340.0,44720.0,45255.0,471.0,2429.0,2404.0
2025-01-08,2025-01-08 00:00:00+08:00,45200.0,45275.0,44720.0,44815.0,264.0,2404.0,2359.0
2025-01-09,2025-01-09 00:00:00+08:00,44865.0,44925.0,44285.0,44830.0,334.0,2359.0,2421.0
2025-01-10,2025-01-10 00:00:00+08:00,44785.0,45755.0,44765.0,45375.0,342.0,2421.0,2489.0
2025-01-13,2025-01-13 00:00:00+08:00,45650.0,45690.0,45215.0,45690.0,169.0,2489.0,2494.0
2025-01-14,2025-01-14 00:00:00+08:00,45520.0,46060.0,45375.0,45995.0,576.0,2494.0,2726.0
2025-01-15,2025-01-15 00:00:00+08:00,46000.0,46800.0,45740.0,46400.0,596.0,2726.0,2782.0
2025-01-16,2025-01-16 00:00:00+08:00,46220.0,46580.0,46065.0,46340.0,399.0,2782.0,2803.0
2025-01-17,2025-01-17 00:00:00+08:00,46395.0,47370.0,46395.0,47060.0,941.0,2803.0,2934.0
2025-01-20,2025-01-20 00:00:00+08:00,46940.0,47050.0,46745.0,46875.0,469.0,2934.0,3080.0
2025-01-21,2025-01-21 00:00:00+08:00,46940.0,46995.0,46315.0,46650.0,779.0,3080.0,3331.0
2025-01-22,2025-01-22 00:00:00+08:00,46270.0,46380.0,45685.0,46230.0,292.0,3331.0,3353.0
2025-01-23,2025-01-23 00:00:00+08:00,46260.0,46415.0,45815.0,45855.0,254.0,3353.0,3442.0
2025-01-24,2025-01-24 00:00:00+08:00,45810.0,46240.0,45585.0,45995.0,497.0,3442.0,3690.0
2025-01-27,2025-01-27 00:00:00+08:00,46200.0,46280.0,45845.0,46280.0,126.0,3690.0,3714.0
2025-02-05,2025-02-05 00:00:00+08:00,46745.0,46790.0,45570.0,45895.0,105.0,3714.0,3693.0
2025-02-06,2025-02-06 00:00:00+08:00,45895.0,46405.0,45895.0,46345.0,75.0,3693.0,3694.0
2025-02-07,2025-02-07 00:00:00+08:00,46430.0,46855.0,46395.0,46465.0,689.0,3694.0,3679.0
2025-02-10,2025-02-10 00:00:00+08:00,46340.0,46890.0,46135.0,46730.0,164.0,3679.0,3701.0
2025-02-11,2025-02-11 00:00:00+08:00,46455.0,46535.0,46155.0,46410.0,82.0,3701.0,3723.0
2025-02-12,2025-02-12 00:00:00+08:00,46620.0,46710.0,46285.0,46505.0,157.0,3723.0,3720.0
2025-02-13,2025-02-13 00:00:00+08:00,46660.0,46660.0,46250.0,46380.0,117.0,3720.0,3756.0
2025-02-14,2025-02-14 00:00:00+08:00,46470.0,46580.0,46335.0,46505.0,95.0,3756.0,3786.0
2025-02-17,2025-02-17 00:00:00+08:00,46535.0,46660.0,46400.0,46525.0,32.0,3786.0,3788.0
2025-02-18,2025-02-18 00:00:00+08:00,46550.0,46650.0,46375.0,46520.0,345.0,3788.0,3608.0
2025-02-19,2025-02-19 00:00:00+08:00,46555.0,46555.0,46420.0,46480.0,58.0,3608.0,3621.0
2025-02-20,2025-02-20 00:00:00+08:00,46380.0,46380.0,46110.0,46150.0,250.0,3621.0,3596.0
2025-02-21,2025-02-21 00:00:00+08:00,46290.0,46415.0,46005.0,46350.0,191.0,3596.0,3595.0
2025-02-24,2025-02-24 00:00:00+08:00,46135.0,46305.0,46000.0,46300.0,115.0,3595.0,3632.0
2025-02-25,2025-02-25 00:00:00+08:00,46300.0,46490.0,46040.0,46370.0,82.0,3632.0,3634.0
2025-02-26,2025-02-26 00:00:00+08:00,46370.0,46970.0,46230.0,46715.0,132.0,3634.0,3676.0
2025-02-27,2025-02-27 00:00:00+08:00,46715.0,47010.0,46695.0,46855.0,224.0,3676.0,3780.0
2025-02-28,2025-02-28 00:00:00+08:00,46765.0,46940.0,46590.0,46685.0,194.0,3780.0,3785.0
2025-03-03,2025-03-03 00:00:00+08:00,46920.0,46920.0,46600.0,46630.0,141.0,3785.0,3833.0
2025-03-04,2025-03-04 00:00:00+08:00,46520.0,46520.0,46145.0,46160.0,354.0,3833.0,3967.0
2025-03-05,2025-03-05 00:00:00+08:00,46200.0,46225.0,45910.0,45950.0,346.0,3967.0,4026.0
2025-03-06,2025-03-06 00:00:00+08:00,46150.0,46265.0,45725.0,46135.0,303.0,4026.0,4141.0
2025-03-07,2025-03-07 00:00:00+08:00,46180.0,46185.0,45800.0,45820.0,204.0,4141.0,4219.0
2025-03-10,2025-03-10 00:00:00+08:00,45830.0,46110.0,45660.0,45710.0,71.0,4219.0,4214.0
2025-03-11,2025-03-11 00:00:00+08:00,45710.0,46090.0,45710.0,45915.0,81.0,4214.0,4194.0
2025-03-12,2025-03-12 00:00:00+08:00,45895.0,45945.0,45780.0,45880.0,29.0,4194.0,4193.0
2025-03-13,2025-03-13 00:00:00+08:00,45880.0,46045.0,45750.0,45915.0,50.0,4193.0,4190.0
2025-03-14,2025-03-14 00:00:00+08:00,45700.0,46345.0,45515.0,45650.0,468.0,4190.0,4394.0
2025-03-17,2025-03-17 00:00:00+08:00,45575.0,45575.0,44875.0,44995.0,912.0,4394.0,4903.0
2025-03-18,2025-03-18 00:00:00+08:00,44995.0,45040.0,44175.0,44645.0,464.0,4903.0,5067.0
2025-03-19,2025-03-19 00:00:00+08:00,44645.0,45025.0,44400.0,44770.0,569.0,5067.0,5095.0
