trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2025-02-19,2025-02-19 00:00:00+08:00,11420.0,11525.0,11420.0,11480.0,13.0,0.0,3.0
2025-02-20,2025-02-20 00:00:00+08:00,11460.0,11460.0,11435.0,11435.0,2.0,3.0,5.0
2025-02-21,2025-02-21 00:00:00+08:00,11420.0,11420.0,11315.0,11340.0,14.0,5.0,13.0
2025-02-24,2025-02-24 00:00:00+08:00,11080.0,11340.0,11080.0,11230.0,14.0,13.0,14.0
2025-02-25,2025-02-25 00:00:00+08:00,11400.0,11670.0,11310.0,11315.0,9.0,14.0,12.0
2025-02-26,2025-02-26 00:00:00+08:00,11215.0,11255.0,11170.0,11200.0,5.0,12.0,12.0
2025-02-27,2025-02-27 00:00:00+08:00,11235.0,11235.0,11175.0,11225.0,5.0,12.0,13.0
2025-02-28,2025-02-28 00:00:00+08:00,11205.0,11205.0,11205.0,11205.0,0.0,13.0,13.0
2025-03-03,2025-03-03 00:00:00+08:00,11285.0,11285.0,11260.0,11260.0,2.0,13.0,13.0
2025-03-04,2025-03-04 00:00:00+08:00,11195.0,11230.0,11195.0,11205.0,4.0,13.0,11.0
2025-03-05,2025-03-05 00:00:00+08:00,11205.0,11205.0,11045.0,11070.0,6.0,11.0,13.0
2025-03-06,2025-03-06 00:00:00+08:00,11025.0,11050.0,11005.0,11005.0,4.0,13.0,14.0
2025-03-07,2025-03-07 00:00:00+08:00,11065.0,11065.0,11005.0,11020.0,7.0,14.0,19.0
2025-03-10,2025-03-10 00:00:00+08:00,10970.0,10970.0,10915.0,10915.0,8.0,19.0,23.0
2025-03-11,2025-03-11 00:00:00+08:00,10850.0,10850.0,10850.0,10850.0,0.0,23.0,23.0
2025-03-12,2025-03-12 00:00:00+08:00,10740.0,10760.0,10645.0,10760.0,14.0,23.0,26.0
2025-03-13,2025-03-13 00:00:00+08:00,10770.0,10780.0,10765.0,10775.0,10.0,26.0,36.0
2025-03-14,2025-03-14 00:00:00+08:00,10755.0,10755.0,10740.0,10740.0,3.0,36.0,35.0
2025-03-17,2025-03-17 00:00:00+08:00,10760.0,10760.0,10715.0,10715.0,4.0,35.0,36.0
2025-03-18,2025-03-18 00:00:00+08:00,10740.0,10740.0,10715.0,10715.0,2.0,36.0,36.0
2025-03-19,2025-03-19 00:00:00+08:00,10655.0,10655.0,10580.0,10625.0,6.0,36.0,37.0
2025-03-20,2025-03-20 00:00:00+08:00,10560.0,10685.0,10560.0,10610.0,28.0,37.0,32.0
2025-03-21,2025-03-21 00:00:00+08:00,10585.0,10695.0,10520.0,10600.0,17.0,32.0,37.0
2025-03-24,2025-03-24 00:00:00+08:00,10615.0,10720.0,10610.0,10720.0,10.0,37.0,37.0
2025-03-25,2025-03-25 00:00:00+08:00,10710.0,10770.0,10710.0,10770.0,8.0,37.0,42.0
2025-03-26,2025-03-26 00:00:00+08:00,10670.0,10670.0,10590.0,10610.0,7.0,42.0,46.0
2025-03-27,2025-03-27 00:00:00+08:00,10580.0,10580.0,10575.0,10575.0,2.0,46.0,45.0
2025-03-28,2025-03-28 00:00:00+08:00,10725.0,10725.0,10660.0,10660.0,8.0,45.0,44.0
2025-03-31,2025-03-31 00:00:00+08:00,10645.0,10645.0,10545.0,10570.0,5.0,44.0,43.0
2025-04-01,2025-04-01 00:00:00+08:00,10595.0,10605.0,10560.0,10560.0,4.0,43.0,45.0
2025-04-02,2025-04-02 00:00:00+08:00,10525.0,10525.0,10525.0,10525.0,1.0,45.0,45.0
2025-04-03,2025-04-03 00:00:00+08:00,10580.0,10580.0,10565.0,10565.0,2.0,45.0,45.0
2025-04-07,2025-04-07 00:00:00+08:00,10260.0,10360.0,10260.0,10320.0,5.0,45.0,47.0
2025-04-08,2025-04-08 00:00:00+08:00,10305.0,10305.0,10245.0,10295.0,11.0,47.0,52.0
2025-04-09,2025-04-09 00:00:00+08:00,10175.0,10260.0,10105.0,10260.0,23.0,52.0,55.0
2025-04-10,2025-04-10 00:00:00+08:00,10340.0,10340.0,10330.0,10330.0,2.0,55.0,55.0
2025-04-11,2025-04-11 00:00:00+08:00,10330.0,10335.0,10270.0,10270.0,3.0,55.0,58.0
2025-04-14,2025-04-14 00:00:00+08:00,10290.0,10290.0,10155.0,10155.0,24.0,58.0,65.0
2025-04-15,2025-04-15 00:00:00+08:00,10095.0,10125.0,10010.0,10040.0,17.0,65.0,72.0
2025-04-16,2025-04-16 00:00:00+08:00,9960.0,9980.0,9850.0,9850.0,15.0,72.0,81.0
2025-04-17,2025-04-17 00:00:00+08:00,9860.0,9895.0,9810.0,9830.0,12.0,81.0,85.0
2025-04-18,2025-04-18 00:00:00+08:00,9785.0,9785.0,9595.0,9640.0,12.0,85.0,88.0
2025-04-21,2025-04-21 00:00:00+08:00,9625.0,9670.0,9505.0,9660.0,19.0,88.0,91.0
2025-04-22,2025-04-22 00:00:00+08:00,9525.0,9615.0,9525.0,9615.0,2.0,91.0,89.0
2025-04-23,2025-04-23 00:00:00+08:00,9655.0,9655.0,9655.0,9655.0,1.0,89.0,90.0
2025-04-24,2025-04-24 00:00:00+08:00,9655.0,9655.0,9615.0,9655.0,61.0,90.0,139.0
2025-04-25,2025-04-25 00:00:00+08:00,9645.0,9645.0,9535.0,9550.0,61.0,139.0,128.0
2025-04-28,2025-04-28 00:00:00+08:00,9500.0,9605.0,9500.0,9550.0,15.0,128.0,130.0
2025-04-29,2025-04-29 00:00:00+08:00,9500.0,9500.0,9410.0,9410.0,9.0,130.0,130.0
2025-04-30,2025-04-30 00:00:00+08:00,9350.0,9360.0,9285.0,9295.0,23.0,130.0,125.0
2025-05-06,2025-05-06 00:00:00+08:00,9270.0,9270.0,9060.0,9075.0,38.0,125.0,123.0
2025-05-07,2025-05-07 00:00:00+08:00,9150.0,9150.0,9020.0,9025.0,12.0,123.0,125.0
2025-05-08,2025-05-08 00:00:00+08:00,8930.0,9050.0,8900.0,9010.0,33.0,125.0,130.0
2025-05-09,2025-05-09 00:00:00+08:00,9055.0,9055.0,8955.0,8955.0,6.0,130.0,130.0
2025-05-12,2025-05-12 00:00:00+08:00,9035.0,9055.0,8940.0,9025.0,20.0,130.0,134.0
2025-05-13,2025-05-13 00:00:00+08:00,9015.0,9125.0,8980.0,9010.0,25.0,134.0,138.0
2025-05-14,2025-05-14 00:00:00+08:00,9075.0,9270.0,9060.0,9270.0,19.0,138.0,138.0
2025-05-15,2025-05-15 00:00:00+08:00,9240.0,9300.0,9150.0,9150.0,10.0,138.0,138.0
2025-05-16,2025-05-16 00:00:00+08:00,9095.0,9110.0,8940.0,8970.0,14.0,138.0,138.0
2025-05-19,2025-05-19 00:00:00+08:00,8970.0,8970.0,8860.0,8925.0,50.0,138.0,157.0
2025-05-20,2025-05-20 00:00:00+08:00,8885.0,8885.0,8700.0,8735.0,40.0,157.0,167.0
2025-05-21,2025-05-21 00:00:00+08:00,8695.0,8695.0,8580.0,8640.0,18.0,167.0,167.0
2025-05-22,2025-05-22 00:00:00+08:00,8670.0,8695.0,8620.0,8645.0,24.0,167.0,174.0
2025-05-23,2025-05-23 00:00:00+08:00,8655.0,8690.0,8655.0,8660.0,7.0,174.0,178.0
2025-05-26,2025-05-26 00:00:00+08:00,8640.0,8640.0,8380.0,8385.0,42.0,178.0,183.0
2025-05-27,2025-05-27 00:00:00+08:00,8310.0,8340.0,8160.0,8190.0,46.0,183.0,199.0
2025-05-28,2025-05-28 00:00:00+08:00,8185.0,8185.0,7925.0,7930.0,84.0,199.0,198.0
2025-05-29,2025-05-29 00:00:00+08:00,7835.0,7860.0,7710.0,7710.0,197.0,198.0,269.0
2025-05-30,2025-05-30 00:00:00+08:00,7700.0,7710.0,7540.0,7540.0,153.0,269.0,313.0
2025-06-03,2025-06-03 00:00:00+08:00,7530.0,7530.0,7310.0,7320.0,44.0,313.0,326.0
2025-06-04,2025-06-04 00:00:00+08:00,7440.0,7555.0,7220.0,7510.0,175.0,326.0,354.0
2025-06-05,2025-06-05 00:00:00+08:00,7380.0,7415.0,7320.0,7395.0,51.0,354.0,352.0
2025-06-06,2025-06-06 00:00:00+08:00,7550.0,7575.0,7385.0,7435.0,276.0,352.0,491.0
2025-06-09,2025-06-09 00:00:00+08:00,7420.0,7565.0,7380.0,7555.0,226.0,491.0,558.0
2025-06-10,2025-06-10 00:00:00+08:00,7525.0,7640.0,7445.0,7570.0,218.0,558.0,628.0
2025-06-11,2025-06-11 00:00:00+08:00,7580.0,7710.0,7505.0,7655.0,246.0,628.0,705.0
2025-06-12,2025-06-12 00:00:00+08:00,7655.0,7675.0,7535.0,7560.0,202.0,705.0,719.0
2025-06-13,2025-06-13 00:00:00+08:00,7495.0,7570.0,7405.0,7420.0,287.0,719.0,775.0
2025-06-16,2025-06-16 00:00:00+08:00,7430.0,7460.0,7330.0,7460.0,135.0,775.0,775.0
2025-06-17,2025-06-17 00:00:00+08:00,7445.0,7450.0,7390.0,7415.0,77.0,775.0,779.0
2025-06-18,2025-06-18 00:00:00+08:00,7485.0,7535.0,7450.0,7475.0,93.0,779.0,784.0
2025-06-19,2025-06-19 00:00:00+08:00,7455.0,7545.0,7450.0,7505.0,96.0,784.0,818.0
2025-06-20,2025-06-20 00:00:00+08:00,7480.0,7620.0,7450.0,7485.0,133.0,818.0,835.0
2025-06-23,2025-06-23 00:00:00+08:00,7490.0,7540.0,7490.0,7520.0,64.0,835.0,859.0
2025-06-24,2025-06-24 00:00:00+08:00,7480.0,7645.0,7480.0,7570.0,84.0,859.0,859.0
2025-06-25,2025-06-25 00:00:00+08:00,7630.0,7695.0,7615.0,7695.0,53.0,859.0,860.0
2025-06-26,2025-06-26 00:00:00+08:00,7775.0,7880.0,7710.0,7830.0,149.0,860.0,854.0
2025-06-27,2025-06-27 00:00:00+08:00,7885.0,8085.0,7860.0,8045.0,160.0,854.0,872.0
2025-06-30,2025-06-30 00:00:00+08:00,8125.0,8360.0,8125.0,8180.0,251.0,872.0,920.0
2025-07-01,2025-07-01 00:00:00+08:00,8075.0,8120.0,7850.0,7910.0,481.0,920.0,1177.0
2025-07-02,2025-07-02 00:00:00+08:00,7970.0,8420.0,7955.0,8370.0,687.0,1177.0,1333.0
2025-07-03,2025-07-03 00:00:00+08:00,8370.0,8370.0,8170.0,8225.0,383.0,1333.0,1452.0
2025-07-04,2025-07-04 00:00:00+08:00,8320.0,8360.0,8125.0,8225.0,203.0,1452.0,1471.0
2025-07-07,2025-07-07 00:00:00+08:00,8195.0,8250.0,8140.0,8250.0,107.0,1471.0,1470.0
2025-07-08,2025-07-08 00:00:00+08:00,8245.0,8630.0,8155.0,8460.0,248.0,1470.0,1475.0
2025-07-09,2025-07-09 00:00:00+08:00,8465.0,8495.0,8325.0,8370.0,161.0,1475.0,1520.0
2025-07-10,2025-07-10 00:00:00+08:00,8405.0,8655.0,8405.0,8595.0,362.0,1520.0,1534.0
2025-07-11,2025-07-11 00:00:00+08:00,8640.0,8650.0,8500.0,8600.0,205.0,1534.0,1519.0
2025-07-14,2025-07-14 00:00:00+08:00,8615.0,8860.0,8540.0,8785.0,383.0,1519.0,1491.0
2025-07-15,2025-07-15 00:00:00+08:00,8775.0,8975.0,8745.0,8900.0,340.0,1491.0,1448.0
2025-07-16,2025-07-16 00:00:00+08:00,8875.0,8895.0,8800.0,8870.0,142.0,1448.0,1449.0
2025-07-17,2025-07-17 00:00:00+08:00,8940.0,8970.0,8835.0,8900.0,140.0,1449.0,1439.0
2025-07-18,2025-07-18 00:00:00+08:00,8955.0,9110.0,8780.0,8840.0,526.0,1439.0,1465.0
2025-07-21,2025-07-21 00:00:00+08:00,9020.0,9290.0,8965.0,9240.0,440.0,1465.0,1484.0
2025-07-22,2025-07-22 00:00:00+08:00,9300.0,9705.0,9280.0,9695.0,728.0,1484.0,1471.0
2025-07-23,2025-07-23 00:00:00+08:00,9695.0,10000.0,9340.0,9535.0,683.0,1471.0,1472.0
2025-07-24,2025-07-24 00:00:00+08:00,9525.0,9960.0,9430.0,9755.0,458.0,1472.0,1485.0
2025-07-25,2025-07-25 00:00:00+08:00,9755.0,9885.0,9635.0,9775.0,236.0,1485.0,1461.0
2025-07-28,2025-07-28 00:00:00+08:00,9170.0,9485.0,8955.0,9040.0,668.0,1461.0,1466.0
2025-07-29,2025-07-29 00:00:00+08:00,8960.0,9495.0,8920.0,9430.0,290.0,1466.0,1436.0
2025-07-30,2025-07-30 00:00:00+08:00,9580.0,9750.0,9305.0,9450.0,310.0,1436.0,1349.0
2025-07-31,2025-07-31 00:00:00+08:00,9270.0,9270.0,8860.0,9065.0,332.0,1349.0,1406.0
2025-08-01,2025-08-01 00:00:00+08:00,9070.0,9075.0,8785.0,8835.0,367.0,1406.0,1436.0
2025-08-04,2025-08-04 00:00:00+08:00,8750.0,8815.0,8610.0,8715.0,281.0,1436.0,1375.0
2025-08-05,2025-08-05 00:00:00+08:00,8700.0,8990.0,8650.0,8910.0,237.0,1375.0,1335.0
2025-08-06,2025-08-06 00:00:00+08:00,8850.0,9200.0,8785.0,9095.0,759.0,1335.0,1550.0
2025-08-07,2025-08-07 00:00:00+08:00,9050.0,9110.0,8835.0,8945.0,352.0,1550.0,1520.0
2025-08-08,2025-08-08 00:00:00+08:00,8875.0,8990.0,8755.0,8965.0,186.0,1520.0,1540.0
2025-08-11,2025-08-11 00:00:00+08:00,9105.0,9345.0,9055.0,9320.0,586.0,1540.0,1574.0
