trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2024-12-31,2024-12-31 00:00:00+08:00,1365.0,1466.0,1365.0,1434.3,742.0,0.0,396.0
2025-01-02,2025-01-02 00:00:00+08:00,1438.0,1489.6,1427.0,1458.9,466.0,396.0,546.0
2025-01-03,2025-01-03 00:00:00+08:00,1430.0,1439.5,1351.2,1361.6,503.0,546.0,612.0
2025-01-06,2025-01-06 00:00:00+08:00,1350.0,1364.8,1322.1,1341.5,323.0,612.0,734.0
2025-01-07,2025-01-07 00:00:00+08:00,1341.0,1360.4,1300.0,1312.2,324.0,734.0,784.0
2025-01-08,2025-01-08 00:00:00+08:00,1321.0,1338.2,1220.0,1223.7,682.0,784.0,1010.0
2025-01-09,2025-01-09 00:00:00+08:00,1210.0,1251.0,1195.3,1225.5,589.0,1010.0,1008.0
2025-01-10,2025-01-10 00:00:00+08:00,1219.0,1249.1,1203.0,1210.0,518.0,1008.0,1173.0
2025-01-13,2025-01-13 00:00:00+08:00,1179.9,1223.0,1177.7,1181.0,642.0,1173.0,1344.0
2025-01-14,2025-01-14 00:00:00+08:00,1180.0,1180.0,1126.0,1130.0,486.0,1344.0,1425.0
2025-01-15,2025-01-15 00:00:00+08:00,1130.1,1133.4,1088.0,1088.0,562.0,1425.0,1577.0
2025-01-16,2025-01-16 00:00:00+08:00,951.1,1046.2,948.8,1030.0,2048.0,1577.0,2542.0
2025-01-17,2025-01-17 00:00:00+08:00,1010.0,1053.0,1000.0,1014.0,1579.0,2542.0,3074.0
2025-01-20,2025-01-20 00:00:00+08:00,1017.0,1030.7,988.0,995.0,1378.0,3074.0,3426.0
2025-01-21,2025-01-21 00:00:00+08:00,995.6,1024.0,990.0,1009.1,1439.0,3426.0,3790.0
2025-01-22,2025-01-22 00:00:00+08:00,1010.0,1097.8,992.3,1069.8,2505.0,3790.0,3900.0
2025-01-23,2025-01-23 00:00:00+08:00,1069.0,1207.3,1069.0,1190.0,5599.0,3900.0,3372.0
2025-01-24,2025-01-24 00:00:00+08:00,1188.9,1234.0,1148.9,1150.5,3201.0,3372.0,3243.0
2025-01-27,2025-01-27 00:00:00+08:00,1150.7,1233.8,1150.7,1192.0,1535.0,3243.0,3164.0
2025-02-05,2025-02-05 00:00:00+08:00,1169.6,1277.3,1140.0,1257.9,2974.0,3164.0,3149.0
2025-02-06,2025-02-06 00:00:00+08:00,1300.0,1433.4,1272.2,1433.1,4869.0,3149.0,3641.0
2025-02-07,2025-02-07 00:00:00+08:00,1439.0,1571.8,1432.8,1571.8,4513.0,3641.0,3577.0
2025-02-10,2025-02-10 00:00:00+08:00,1592.0,1818.5,1591.0,1818.5,6197.0,3577.0,3733.0
2025-02-11,2025-02-11 00:00:00+08:00,1902.0,1918.0,1738.0,1812.7,4608.0,3733.0,3571.0
2025-02-12,2025-02-12 00:00:00+08:00,1816.5,1843.7,1694.4,1795.9,4385.0,3571.0,3719.0
2025-02-13,2025-02-13 00:00:00+08:00,1784.0,1785.9,1622.0,1733.1,5495.0,3719.0,3495.0
2025-02-14,2025-02-14 00:00:00+08:00,1701.8,1955.3,1698.2,1837.4,6945.0,3495.0,3777.0
2025-02-17,2025-02-17 00:00:00+08:00,1788.9,1830.0,1681.8,1730.1,4781.0,3777.0,3594.0
2025-02-18,2025-02-18 00:00:00+08:00,1740.0,1788.0,1688.0,1778.0,2432.0,3594.0,3468.0
2025-02-19,2025-02-19 00:00:00+08:00,1780.0,1857.3,1734.6,1738.4,2982.0,3468.0,3510.0
2025-02-20,2025-02-20 00:00:00+08:00,1738.4,1753.0,1598.2,1724.0,3986.0,3510.0,3758.0
2025-02-21,2025-02-21 00:00:00+08:00,1700.0,1769.9,1691.0,1706.3,2520.0,3758.0,3610.0
2025-02-24,2025-02-24 00:00:00+08:00,1690.0,1755.9,1640.0,1645.0,2624.0,3610.0,3686.0
2025-02-25,2025-02-25 00:00:00+08:00,1620.0,1701.8,1575.9,1666.7,3446.0,3686.0,3961.0
2025-02-26,2025-02-26 00:00:00+08:00,1648.1,1826.1,1646.7,1720.0,6967.0,3961.0,4377.0
