trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2022-01-24,2022-01-24 00:00:00+08:00,493.6,493.6,493.6,493.6,0.0,0.0,0.0
2022-01-25,2022-01-25 00:00:00+08:00,493.6,493.6,493.6,493.6,0.0,0.0,0.0
2022-01-26,2022-01-26 00:00:00+08:00,493.6,493.6,493.6,493.6,0.0,0.0,0.0
2022-01-27,2022-01-27 00:00:00+08:00,493.6,493.6,493.6,493.6,0.0,0.0,0.0
2022-01-28,2022-01-28 00:00:00+08:00,493.6,493.6,493.6,493.6,0.0,0.0,0.0
2022-02-07,2022-02-07 00:00:00+08:00,514.7,514.7,514.7,514.7,0.0,0.0,0.0
2022-02-08,2022-02-08 00:00:00+08:00,523.2,523.2,523.2,523.2,0.0,0.0,0.0
2022-02-09,2022-02-09 00:00:00+08:00,523.2,523.2,523.2,523.2,0.0,0.0,0.0
2022-02-10,2022-02-10 00:00:00+08:00,523.2,523.2,523.2,523.2,0.0,0.0,0.0
2022-02-11,2022-02-11 00:00:00+08:00,541.8,541.9,521.9,521.9,4.0,0.0,1.0
2022-02-14,2022-02-14 00:00:00+08:00,531.9,531.9,531.9,531.9,0.0,1.0,1.0
2022-02-15,2022-02-15 00:00:00+08:00,529.5,536.0,519.4,532.8,4.0,1.0,0.0
2022-02-16,2022-02-16 00:00:00+08:00,528.6,528.6,528.6,528.6,0.0,0.0,0.0
2022-02-17,2022-02-17 00:00:00+08:00,528.6,528.6,528.6,528.6,0.0,0.0,0.0
2022-02-18,2022-02-18 00:00:00+08:00,528.6,528.6,528.6,528.6,0.0,0.0,0.0
2022-02-21,2022-02-21 00:00:00+08:00,528.6,528.6,528.6,528.6,0.0,0.0,0.0
2022-02-22,2022-02-22 00:00:00+08:00,528.6,528.6,528.6,528.6,0.0,0.0,0.0
2022-02-23,2022-02-23 00:00:00+08:00,528.6,528.6,528.6,528.6,0.0,0.0,0.0
2022-02-24,2022-02-24 00:00:00+08:00,549.2,549.2,549.2,549.2,0.0,0.0,0.0
2022-02-25,2022-02-25 00:00:00+08:00,549.2,549.2,549.2,549.2,0.0,0.0,0.0
2022-02-28,2022-02-28 00:00:00+08:00,549.2,549.2,549.2,549.2,0.0,0.0,0.0
2022-03-01,2022-03-01 00:00:00+08:00,549.2,549.2,549.2,549.2,0.0,0.0,0.0
2022-03-02,2022-03-02 00:00:00+08:00,571.9,571.9,571.9,571.9,0.0,0.0,0.0
2022-03-03,2022-03-03 00:00:00+08:00,593.7,593.7,593.7,593.7,0.0,0.0,0.0
2022-03-04,2022-03-04 00:00:00+08:00,589.0,589.0,589.0,589.0,0.0,0.0,0.0
2022-03-07,2022-03-07 00:00:00+08:00,610.0,610.0,610.0,610.0,0.0,0.0,0.0
2022-03-08,2022-03-08 00:00:00+08:00,623.0,623.0,623.0,623.0,0.0,0.0,0.0
2022-03-09,2022-03-09 00:00:00+08:00,635.3,635.3,635.3,635.3,1.0,0.0,1.0
2022-03-10,2022-03-10 00:00:00+08:00,600.7,600.7,600.7,600.7,0.0,1.0,1.0
2022-03-11,2022-03-11 00:00:00+08:00,590.6,590.6,590.6,590.6,0.0,1.0,1.0
2022-03-14,2022-03-14 00:00:00+08:00,590.6,590.6,590.6,590.6,0.0,1.0,1.0
2022-03-15,2022-03-15 00:00:00+08:00,585.9,585.9,585.9,585.9,0.0,1.0,1.0
2022-03-16,2022-03-16 00:00:00+08:00,585.9,585.9,585.9,585.9,0.0,1.0,1.0
2022-03-17,2022-03-17 00:00:00+08:00,589.7,589.7,589.7,589.7,0.0,1.0,1.0
2022-03-18,2022-03-18 00:00:00+08:00,589.7,589.7,589.7,589.7,0.0,1.0,1.0
2022-03-21,2022-03-21 00:00:00+08:00,586.9,586.9,586.9,586.9,0.0,1.0,1.0
