trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2023-03-16,2023-03-16 00:00:00+08:00,5201.0,5223.0,5115.0,5121.0,48.0,0.0,22.0
2023-03-17,2023-03-17 00:00:00+08:00,5128.0,5130.0,5042.0,5130.0,16.0,22.0,29.0
2023-03-20,2023-03-20 00:00:00+08:00,5150.0,5233.0,5132.0,5215.0,100.0,29.0,56.0
2023-03-21,2023-03-21 00:00:00+08:00,5189.0,5240.0,5161.0,5211.0,80.0,56.0,88.0
2023-03-22,2023-03-22 00:00:00+08:00,5206.0,5221.0,5170.0,5220.0,36.0,88.0,94.0
2023-03-23,2023-03-23 00:00:00+08:00,5197.0,5295.0,5195.0,5257.0,107.0,94.0,147.0
2023-03-24,2023-03-24 00:00:00+08:00,5258.0,5310.0,5239.0,5285.0,156.0,147.0,155.0
2023-03-27,2023-03-27 00:00:00+08:00,5338.0,5370.0,5250.0,5276.0,173.0,155.0,162.0
2023-03-28,2023-03-28 00:00:00+08:00,5253.0,5283.0,5244.0,5262.0,99.0,162.0,167.0
2023-03-29,2023-03-29 00:00:00+08:00,5278.0,5317.0,5268.0,5287.0,123.0,167.0,173.0
2023-03-30,2023-03-30 00:00:00+08:00,5289.0,5361.0,5289.0,5357.0,185.0,173.0,223.0
2023-03-31,2023-03-31 00:00:00+08:00,5388.0,5408.0,5330.0,5408.0,241.0,223.0,251.0
2023-04-03,2023-04-03 00:00:00+08:00,5420.0,5430.0,5354.0,5370.0,251.0,251.0,273.0
2023-04-04,2023-04-04 00:00:00+08:00,5399.0,5430.0,5387.0,5412.0,166.0,273.0,292.0
2023-04-06,2023-04-06 00:00:00+08:00,5468.0,5615.0,5468.0,5610.0,243.0,292.0,382.0
2023-04-07,2023-04-07 00:00:00+08:00,5608.0,5662.0,5557.0,5658.0,272.0,382.0,446.0
2023-04-10,2023-04-10 00:00:00+08:00,5625.0,5633.0,5575.0,5589.0,195.0,446.0,453.0
2023-04-11,2023-04-11 00:00:00+08:00,5589.0,5657.0,5576.0,5636.0,290.0,453.0,580.0
2023-04-12,2023-04-12 00:00:00+08:00,5631.0,5751.0,5616.0,5736.0,511.0,580.0,703.0
2023-04-13,2023-04-13 00:00:00+08:00,5777.0,5796.0,5693.0,5747.0,536.0,703.0,717.0
2023-04-14,2023-04-14 00:00:00+08:00,5799.0,5880.0,5787.0,5840.0,666.0,717.0,866.0
2023-04-17,2023-04-17 00:00:00+08:00,5826.0,5848.0,5710.0,5759.0,654.0,866.0,813.0
2023-04-18,2023-04-18 00:00:00+08:00,5751.0,5751.0,5660.0,5693.0,400.0,813.0,748.0
2023-04-19,2023-04-19 00:00:00+08:00,5693.0,5739.0,5660.0,5690.0,556.0,748.0,771.0
2023-04-20,2023-04-20 00:00:00+08:00,5691.0,5750.0,5684.0,5736.0,356.0,771.0,822.0
2023-04-21,2023-04-21 00:00:00+08:00,5747.0,5764.0,5689.0,5691.0,472.0,822.0,813.0
2023-04-24,2023-04-24 00:00:00+08:00,5718.0,5741.0,5640.0,5655.0,1609.0,813.0,1752.0
2023-04-25,2023-04-25 00:00:00+08:00,5693.0,5750.0,5658.0,5713.0,398.0,1752.0,1811.0
2023-04-26,2023-04-26 00:00:00+08:00,5667.0,5717.0,5641.0,5687.0,630.0,1811.0,1819.0
2023-04-27,2023-04-27 00:00:00+08:00,5688.0,5736.0,5680.0,5711.0,630.0,1819.0,1811.0
