trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2024-08-16,2024-08-16 00:00:00+08:00,19700.0,19800.0,19700.0,19800.0,8.0,0.0,8.0
2024-08-19,2024-08-19 00:00:00+08:00,19775.0,19960.0,19775.0,19910.0,84.0,8.0,71.0
2024-08-20,2024-08-20 00:00:00+08:00,20000.0,20025.0,19800.0,19920.0,106.0,71.0,134.0
2024-08-21,2024-08-21 00:00:00+08:00,20040.0,20080.0,19845.0,20020.0,27.0,134.0,151.0
2024-08-22,2024-08-22 00:00:00+08:00,20060.0,20150.0,20020.0,20150.0,8.0,151.0,154.0
2024-08-23,2024-08-23 00:00:00+08:00,20020.0,20185.0,20020.0,20165.0,32.0,154.0,147.0
2024-08-26,2024-08-26 00:00:00+08:00,20240.0,20270.0,20220.0,20265.0,7.0,147.0,142.0
2024-08-27,2024-08-27 00:00:00+08:00,20200.0,20275.0,20190.0,20260.0,55.0,142.0,112.0
2024-08-28,2024-08-28 00:00:00+08:00,20275.0,20385.0,20260.0,20260.0,31.0,112.0,111.0
2024-08-29,2024-08-29 00:00:00+08:00,20200.0,20265.0,20035.0,20150.0,80.0,111.0,89.0
2024-08-30,2024-08-30 00:00:00+08:00,20120.0,20265.0,20040.0,20230.0,15.0,89.0,87.0
2024-09-02,2024-09-02 00:00:00+08:00,20200.0,20200.0,19960.0,19960.0,21.0,87.0,97.0
2024-09-03,2024-09-03 00:00:00+08:00,19930.0,19930.0,19905.0,19905.0,8.0,97.0,97.0
2024-09-04,2024-09-04 00:00:00+08:00,19950.0,19950.0,19790.0,19790.0,26.0,97.0,102.0
2024-09-05,2024-09-05 00:00:00+08:00,19825.0,19830.0,19640.0,19640.0,40.0,102.0,126.0
2024-09-06,2024-09-06 00:00:00+08:00,19745.0,19755.0,19605.0,19605.0,25.0,126.0,129.0
2024-09-09,2024-09-09 00:00:00+08:00,19765.0,19765.0,19490.0,19570.0,16.0,129.0,126.0
2024-09-10,2024-09-10 00:00:00+08:00,19545.0,19775.0,19545.0,19705.0,39.0,126.0,117.0
2024-09-11,2024-09-11 00:00:00+08:00,19590.0,19725.0,19490.0,19725.0,19.0,117.0,120.0
2024-09-12,2024-09-12 00:00:00+08:00,19690.0,19910.0,19685.0,19900.0,53.0,120.0,142.0
2024-09-13,2024-09-13 00:00:00+08:00,19875.0,19990.0,19875.0,19925.0,25.0,142.0,143.0
2024-09-18,2024-09-18 00:00:00+08:00,20190.0,20190.0,19965.0,20030.0,32.0,143.0,154.0
2024-09-19,2024-09-19 00:00:00+08:00,20110.0,20320.0,20015.0,20275.0,48.0,154.0,163.0
2024-09-20,2024-09-20 00:00:00+08:00,20220.0,20230.0,20160.0,20180.0,14.0,163.0,163.0
2024-09-23,2024-09-23 00:00:00+08:00,20130.0,20130.0,19910.0,19910.0,34.0,163.0,165.0
2024-09-24,2024-09-24 00:00:00+08:00,19970.0,20125.0,19970.0,20120.0,26.0,165.0,180.0
2024-09-25,2024-09-25 00:00:00+08:00,20235.0,20445.0,20150.0,20150.0,44.0,180.0,186.0
2024-09-26,2024-09-26 00:00:00+08:00,20135.0,20265.0,20135.0,20265.0,13.0,186.0,187.0
2024-09-27,2024-09-27 00:00:00+08:00,20470.0,20580.0,20355.0,20565.0,38.0,187.0,186.0
2024-09-30,2024-09-30 00:00:00+08:00,20540.0,20705.0,20520.0,20645.0,45.0,186.0,198.0
2024-10-08,2024-10-08 00:00:00+08:00,20790.0,21065.0,20735.0,20735.0,18.0,198.0,202.0
2024-10-09,2024-10-09 00:00:00+08:00,20670.0,20755.0,20600.0,20630.0,26.0,202.0,209.0
2024-10-10,2024-10-10 00:00:00+08:00,20515.0,20735.0,20480.0,20655.0,39.0,209.0,219.0
2024-10-11,2024-10-11 00:00:00+08:00,20800.0,20900.0,20765.0,20890.0,54.0,219.0,248.0
2024-10-14,2024-10-14 00:00:00+08:00,21015.0,21040.0,20875.0,20965.0,31.0,248.0,255.0
2024-10-15,2024-10-15 00:00:00+08:00,20905.0,20925.0,20650.0,20720.0,18.0,255.0,256.0
2024-10-16,2024-10-16 00:00:00+08:00,20740.0,20830.0,20740.0,20830.0,40.0,256.0,261.0
2024-10-17,2024-10-17 00:00:00+08:00,20895.0,20950.0,20685.0,20685.0,38.0,261.0,275.0
2024-10-18,2024-10-18 00:00:00+08:00,20740.0,20795.0,20700.0,20765.0,76.0,275.0,330.0
2024-10-21,2024-10-21 00:00:00+08:00,20835.0,21025.0,20790.0,21000.0,54.0,330.0,339.0
2024-10-22,2024-10-22 00:00:00+08:00,20970.0,20995.0,20840.0,20950.0,60.0,339.0,337.0
2024-10-23,2024-10-23 00:00:00+08:00,21050.0,21100.0,20975.0,20985.0,15.0,337.0,337.0
2024-10-24,2024-10-24 00:00:00+08:00,20960.0,21190.0,20960.0,21190.0,35.0,337.0,332.0
2024-10-25,2024-10-25 00:00:00+08:00,21100.0,21100.0,20800.0,20930.0,27.0,332.0,340.0
2024-10-28,2024-10-28 00:00:00+08:00,21070.0,21100.0,21030.0,21100.0,31.0,340.0,336.0
2024-10-29,2024-10-29 00:00:00+08:00,21010.0,21010.0,20895.0,20950.0,66.0,336.0,338.0
2024-10-30,2024-10-30 00:00:00+08:00,21020.0,21020.0,20880.0,20960.0,32.0,338.0,352.0
2024-10-31,2024-10-31 00:00:00+08:00,20900.0,20910.0,20765.0,20840.0,20.0,352.0,348.0
2024-11-01,2024-11-01 00:00:00+08:00,20900.0,20900.0,20825.0,20825.0,4.0,348.0,351.0
2024-11-04,2024-11-04 00:00:00+08:00,20905.0,20905.0,20700.0,20830.0,17.0,351.0,354.0
2024-11-05,2024-11-05 00:00:00+08:00,20785.0,20930.0,20760.0,20855.0,19.0,354.0,354.0
2024-11-06,2024-11-06 00:00:00+08:00,20935.0,20970.0,20885.0,20965.0,32.0,354.0,332.0
2024-11-07,2024-11-07 00:00:00+08:00,20800.0,21200.0,20755.0,21195.0,48.0,332.0,333.0
2024-11-08,2024-11-08 00:00:00+08:00,21385.0,21500.0,21305.0,21465.0,46.0,333.0,328.0
2024-11-11,2024-11-11 00:00:00+08:00,21345.0,21435.0,21095.0,21200.0,26.0,328.0,326.0
2024-11-12,2024-11-12 00:00:00+08:00,21125.0,21125.0,20785.0,20860.0,93.0,326.0,340.0
2024-11-13,2024-11-13 00:00:00+08:00,20830.0,20855.0,20725.0,20770.0,31.0,340.0,335.0
2024-11-14,2024-11-14 00:00:00+08:00,20810.0,20810.0,20630.0,20650.0,142.0,335.0,389.0
2024-11-15,2024-11-15 00:00:00+08:00,20795.0,20890.0,20755.0,20800.0,37.0,389.0,377.0
2024-11-18,2024-11-18 00:00:00+08:00,20975.0,21075.0,20325.0,20560.0,253.0,377.0,407.0
2024-11-19,2024-11-19 00:00:00+08:00,20420.0,20650.0,20410.0,20650.0,40.0,407.0,419.0
2024-11-20,2024-11-20 00:00:00+08:00,20595.0,20820.0,20595.0,20820.0,43.0,419.0,418.0
2024-11-21,2024-11-21 00:00:00+08:00,20800.0,20800.0,20695.0,20710.0,7.0,418.0,414.0
2024-11-22,2024-11-22 00:00:00+08:00,20650.0,20685.0,20490.0,20500.0,111.0,414.0,461.0
2024-11-25,2024-11-25 00:00:00+08:00,20535.0,20680.0,20515.0,20655.0,269.0,461.0,507.0
2024-11-26,2024-11-26 00:00:00+08:00,20670.0,20725.0,20620.0,20625.0,15.0,507.0,508.0
2024-11-27,2024-11-27 00:00:00+08:00,20565.0,20615.0,20550.0,20615.0,32.0,508.0,507.0
