trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2025-04-16,2025-04-16 00:00:00+08:00,2901.0,2985.0,2900.0,2906.0,14.0,0.0,9.0
2025-04-17,2025-04-17 00:00:00+08:00,2893.0,2964.0,2893.0,2946.0,30.0,9.0,20.0
2025-04-18,2025-04-18 00:00:00+08:00,2946.0,2949.0,2848.0,2854.0,248.0,20.0,223.0
2025-04-21,2025-04-21 00:00:00+08:00,2853.0,2893.0,2827.0,2893.0,54.0,223.0,208.0
2025-04-22,2025-04-22 00:00:00+08:00,2880.0,2880.0,2817.0,2829.0,41.0,208.0,214.0
2025-04-23,2025-04-23 00:00:00+08:00,2850.0,2866.0,2818.0,2864.0,85.0,214.0,209.0
2025-04-24,2025-04-24 00:00:00+08:00,2856.0,2881.0,2833.0,2872.0,131.0,209.0,243.0
2025-04-25,2025-04-25 00:00:00+08:00,2869.0,2880.0,2856.0,2867.0,103.0,243.0,286.0
2025-04-28,2025-04-28 00:00:00+08:00,2864.0,2888.0,2861.0,2873.0,14.0,286.0,287.0
2025-04-29,2025-04-29 00:00:00+08:00,2868.0,2868.0,2790.0,2790.0,40.0,287.0,302.0
2025-04-30,2025-04-30 00:00:00+08:00,2790.0,2790.0,2726.0,2753.0,92.0,302.0,309.0
2025-05-06,2025-05-06 00:00:00+08:00,2733.0,2744.0,2706.0,2706.0,21.0,309.0,316.0
2025-05-07,2025-05-07 00:00:00+08:00,2734.0,2790.0,2723.0,2785.0,301.0,316.0,319.0
2025-05-08,2025-05-08 00:00:00+08:00,2769.0,2803.0,2743.0,2802.0,279.0,319.0,430.0
2025-05-09,2025-05-09 00:00:00+08:00,2792.0,2840.0,2772.0,2789.0,155.0,430.0,483.0
2025-05-12,2025-05-12 00:00:00+08:00,2789.0,2789.0,2720.0,2762.0,425.0,483.0,728.0
2025-05-13,2025-05-13 00:00:00+08:00,2762.0,2777.0,2741.0,2748.0,179.0,728.0,827.0
2025-05-14,2025-05-14 00:00:00+08:00,2748.0,2838.0,2730.0,2825.0,290.0,827.0,864.0
2025-05-15,2025-05-15 00:00:00+08:00,2831.0,2908.0,2816.0,2853.0,415.0,864.0,895.0
2025-05-16,2025-05-16 00:00:00+08:00,2849.0,2864.0,2779.0,2794.0,361.0,895.0,940.0
2025-05-19,2025-05-19 00:00:00+08:00,2805.0,3015.0,2805.0,3015.0,892.0,940.0,724.0
2025-05-20,2025-05-20 00:00:00+08:00,3030.0,3083.0,2980.0,3054.0,418.0,724.0,598.0
2025-05-21,2025-05-21 00:00:00+08:00,3033.0,3193.0,3000.0,3159.0,576.0,598.0,530.0
2025-05-22,2025-05-22 00:00:00+08:00,3169.0,3189.0,3060.0,3060.0,292.0,530.0,515.0
2025-05-23,2025-05-23 00:00:00+08:00,3060.0,3088.0,3007.0,3031.0,340.0,515.0,573.0
2025-05-26,2025-05-26 00:00:00+08:00,3038.0,3038.0,2917.0,2943.0,263.0,573.0,596.0
2025-05-27,2025-05-27 00:00:00+08:00,2929.0,2948.0,2864.0,2919.0,276.0,596.0,646.0
2025-05-28,2025-05-28 00:00:00+08:00,2938.0,2938.0,2841.0,2878.0,181.0,646.0,678.0
2025-05-29,2025-05-29 00:00:00+08:00,2861.0,2878.0,2835.0,2874.0,87.0,678.0,687.0
2025-05-30,2025-05-30 00:00:00+08:00,2867.0,2887.0,2851.0,2870.0,73.0,687.0,695.0
2025-06-03,2025-06-03 00:00:00+08:00,2888.0,2923.0,2883.0,2894.0,48.0,695.0,690.0
2025-06-04,2025-06-04 00:00:00+08:00,2903.0,2976.0,2883.0,2968.0,66.0,690.0,687.0
2025-06-05,2025-06-05 00:00:00+08:00,2954.0,2954.0,2866.0,2885.0,94.0,687.0,707.0
2025-06-06,2025-06-06 00:00:00+08:00,2878.0,2909.0,2843.0,2856.0,106.0,707.0,707.0
2025-06-09,2025-06-09 00:00:00+08:00,2866.0,2872.0,2827.0,2849.0,63.0,707.0,715.0
2025-06-10,2025-06-10 00:00:00+08:00,2841.0,2856.0,2830.0,2839.0,94.0,715.0,739.0
2025-06-11,2025-06-11 00:00:00+08:00,2837.0,2855.0,2828.0,2848.0,63.0,739.0,756.0
2025-06-12,2025-06-12 00:00:00+08:00,2851.0,2853.0,2830.0,2834.0,67.0,756.0,784.0
2025-06-13,2025-06-13 00:00:00+08:00,2833.0,2856.0,2797.0,2802.0,191.0,784.0,817.0
