trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2023-05-16,2023-05-16 00:00:00+08:00,456.72,457.48,455.48,455.48,29.0,0.0,22.0
2023-05-17,2023-05-17 00:00:00+08:00,457.08,457.08,453.32,454.16,49.0,22.0,48.0
2023-05-18,2023-05-18 00:00:00+08:00,453.5,454.0,451.98,453.62,18.0,48.0,51.0
2023-05-19,2023-05-19 00:00:00+08:00,452.4,452.4,450.5,451.84,29.0,51.0,58.0
2023-05-22,2023-05-22 00:00:00+08:00,450.0,455.96,449.84,453.44,233.0,58.0,170.0
2023-05-23,2023-05-23 00:00:00+08:00,453.98,454.08,451.52,451.64,64.0,170.0,170.0
2023-05-24,2023-05-24 00:00:00+08:00,451.5,455.0,451.5,453.72,119.0,170.0,175.0
2023-05-25,2023-05-25 00:00:00+08:00,454.1,454.4,450.8,451.8,102.0,175.0,188.0
2023-05-26,2023-05-26 00:00:00+08:00,450.0,450.72,448.46,449.0,147.0,188.0,226.0
2023-05-29,2023-05-29 00:00:00+08:00,448.64,449.6,447.64,448.82,153.0,226.0,260.0
2023-05-30,2023-05-30 00:00:00+08:00,449.36,449.58,447.76,448.48,133.0,260.0,259.0
2023-05-31,2023-05-31 00:00:00+08:00,451.2,454.84,450.66,454.24,458.0,259.0,410.0
2023-06-01,2023-06-01 00:00:00+08:00,454.8,456.5,453.72,454.28,452.0,410.0,537.0
2023-06-02,2023-06-02 00:00:00+08:00,455.74,457.14,455.0,455.78,554.0,537.0,730.0
2023-06-05,2023-06-05 00:00:00+08:00,454.64,455.74,450.72,451.5,384.0,730.0,761.0
2023-06-06,2023-06-06 00:00:00+08:00,451.64,454.58,451.52,454.08,192.0,761.0,818.0
2023-06-07,2023-06-07 00:00:00+08:00,455.0,455.52,453.92,454.7,327.0,818.0,952.0
2023-06-08,2023-06-08 00:00:00+08:00,454.42,456.0,452.52,453.06,240.0,952.0,976.0
2023-06-09,2023-06-09 00:00:00+08:00,454.84,456.5,454.82,456.34,194.0,976.0,1039.0
2023-06-12,2023-06-12 00:00:00+08:00,456.7,457.2,455.48,456.58,148.0,1039.0,1074.0
2023-06-13,2023-06-13 00:00:00+08:00,457.1,457.9,454.94,457.78,160.0,1074.0,1124.0
2023-06-14,2023-06-14 00:00:00+08:00,457.2,457.74,454.52,455.26,167.0,1124.0,1113.0
2023-06-15,2023-06-15 00:00:00+08:00,456.32,456.6,451.5,451.5,398.0,1113.0,1181.0
2023-06-16,2023-06-16 00:00:00+08:00,452.06,455.54,452.02,454.7,347.0,1181.0,1300.0
2023-06-19,2023-06-19 00:00:00+08:00,455.9,455.9,453.78,455.46,279.0,1300.0,1304.0
2023-06-20,2023-06-20 00:00:00+08:00,455.04,456.08,454.76,455.9,132.0,1304.0,1355.0
2023-06-21,2023-06-21 00:00:00+08:00,454.04,455.14,452.5,454.46,252.0,1355.0,1334.0
2023-06-26,2023-06-26 00:00:00+08:00,454.0,454.2,453.12,453.94,190.0,1334.0,1376.0
2023-06-27,2023-06-27 00:00:00+08:00,454.98,455.82,453.3,453.9,267.0,1376.0,1461.0
2023-06-28,2023-06-28 00:00:00+08:00,454.04,454.28,451.34,452.8,439.0,1461.0,1511.0
2023-06-29,2023-06-29 00:00:00+08:00,452.66,453.8,452.36,452.96,281.0,1511.0,1544.0
2023-06-30,2023-06-30 00:00:00+08:00,451.88,454.26,451.46,453.64,307.0,1544.0,1564.0
2023-07-03,2023-07-03 00:00:00+08:00,454.7,455.88,453.76,454.38,310.0,1564.0,1658.0
2023-07-04,2023-07-04 00:00:00+08:00,454.86,456.12,454.5,454.62,256.0,1658.0,1753.0
2023-07-05,2023-07-05 00:00:00+08:00,455.0,455.54,454.42,455.2,189.0,1753.0,1842.0
2023-07-06,2023-07-06 00:00:00+08:00,455.98,457.18,454.8,455.2,328.0,1842.0,1898.0
2023-07-07,2023-07-07 00:00:00+08:00,452.96,454.72,452.5,454.5,294.0,1898.0,1875.0
2023-07-10,2023-07-10 00:00:00+08:00,455.12,456.26,454.74,455.7,457.0,1875.0,2031.0
2023-07-11,2023-07-11 00:00:00+08:00,454.72,456.12,454.0,455.6,428.0,2031.0,2120.0
2023-07-12,2023-07-12 00:00:00+08:00,455.84,456.2,455.24,455.42,308.0,2120.0,2179.0
2023-07-13,2023-07-13 00:00:00+08:00,456.22,459.88,455.0,459.78,1332.0,2179.0,2683.0
2023-07-14,2023-07-14 00:00:00+08:00,459.0,459.6,457.0,457.4,525.0,2683.0,2725.0
2023-07-17,2023-07-17 00:00:00+08:00,457.7,459.44,457.12,458.54,375.0,2725.0,2772.0
2023-07-18,2023-07-18 00:00:00+08:00,458.02,460.04,457.64,460.04,472.0,2772.0,2890.0
2023-07-19,2023-07-19 00:00:00+08:00,460.94,465.96,460.9,465.36,1268.0,2890.0,3408.0
2023-07-20,2023-07-20 00:00:00+08:00,466.08,466.48,464.52,465.22,897.0,3408.0,3625.0
2023-07-21,2023-07-21 00:00:00+08:00,463.5,464.32,462.44,462.98,1010.0,3625.0,3696.0
2023-07-24,2023-07-24 00:00:00+08:00,462.44,462.96,461.3,462.82,362.0,3696.0,3662.0
2023-07-25,2023-07-25 00:00:00+08:00,463.4,463.42,460.78,460.82,1512.0,3662.0,3814.0
2023-07-26,2023-07-26 00:00:00+08:00,460.6,462.88,459.42,462.7,656.0,3814.0,3725.0
2023-07-27,2023-07-27 00:00:00+08:00,463.16,464.38,461.8,463.9,901.0,3725.0,3807.0
2023-07-28,2023-07-28 00:00:00+08:00,462.02,462.18,459.56,460.04,1370.0,3807.0,3541.0
2023-07-31,2023-07-31 00:00:00+08:00,460.94,461.04,459.38,459.68,543.0,3541.0,3567.0
2023-08-01,2023-08-01 00:00:00+08:00,461.8,462.2,460.96,461.34,533.0,3567.0,3603.0
2023-08-02,2023-08-02 00:00:00+08:00,459.3,461.08,459.0,460.84,368.0,3603.0,3585.0
2023-08-03,2023-08-03 00:00:00+08:00,460.34,460.52,458.7,458.8,471.0,3585.0,3701.0
2023-08-04,2023-08-04 00:00:00+08:00,458.04,459.12,457.62,458.42,442.0,3701.0,3636.0
2023-08-07,2023-08-07 00:00:00+08:00,458.94,460.28,458.54,459.22,600.0,3636.0,3628.0
2023-08-08,2023-08-08 00:00:00+08:00,458.7,459.76,458.24,459.4,246.0,3628.0,3642.0
2023-08-09,2023-08-09 00:00:00+08:00,458.54,459.72,458.34,459.18,459.0,3642.0,3723.0
2023-08-10,2023-08-10 00:00:00+08:00,458.34,459.26,457.1,457.56,889.0,3723.0,3580.0
2023-08-11,2023-08-11 00:00:00+08:00,458.36,459.48,457.28,459.22,2354.0,3580.0,3774.0
2023-08-14,2023-08-14 00:00:00+08:00,459.14,459.7,458.58,459.06,693.0,3774.0,3728.0
2023-08-15,2023-08-15 00:00:00+08:00,459.3,459.52,458.06,458.96,525.0,3728.0,3801.0
2023-08-16,2023-08-16 00:00:00+08:00,458.96,460.18,458.28,459.84,867.0,3801.0,3893.0
2023-08-17,2023-08-17 00:00:00+08:00,459.76,460.42,458.5,459.66,501.0,3893.0,3872.0
2023-08-18,2023-08-18 00:00:00+08:00,459.5,459.86,457.66,457.8,494.0,3872.0,3863.0
2023-08-21,2023-08-21 00:00:00+08:00,457.6,460.0,457.48,459.14,930.0,3863.0,3935.0
2023-08-22,2023-08-22 00:00:00+08:00,458.94,459.38,458.26,458.96,808.0,3935.0,3820.0
2023-08-23,2023-08-23 00:00:00+08:00,459.84,460.58,458.7,460.36,1193.0,3820.0,4254.0
2023-08-24,2023-08-24 00:00:00+08:00,460.5,462.9,460.46,462.44,1164.0,4254.0,4506.0
2023-08-25,2023-08-25 00:00:00+08:00,461.64,462.36,461.1,461.1,833.0,4506.0,4524.0
2023-08-28,2023-08-28 00:00:00+08:00,461.8,462.1,460.3,461.24,463.0,4524.0,4631.0
2023-08-29,2023-08-29 00:00:00+08:00,461.84,463.32,461.26,462.7,583.0,4631.0,4717.0
2023-08-30,2023-08-30 00:00:00+08:00,462.16,465.02,462.14,464.16,998.0,4717.0,4951.0
2023-08-31,2023-08-31 00:00:00+08:00,465.64,466.0,464.44,465.62,1934.0,4951.0,5730.0
2023-09-01,2023-09-01 00:00:00+08:00,465.12,465.48,463.7,465.0,1665.0,5730.0,5946.0
2023-09-04,2023-09-04 00:00:00+08:00,465.68,467.96,463.82,466.88,1825.0,5946.0,6523.0
2023-09-05,2023-09-05 00:00:00+08:00,466.2,467.48,465.32,466.7,734.0,6523.0,6722.0
2023-09-06,2023-09-06 00:00:00+08:00,466.72,467.0,465.74,466.0,922.0,6722.0,6976.0
2023-09-07,2023-09-07 00:00:00+08:00,465.88,466.66,465.3,465.98,1178.0,6976.0,7290.0
2023-09-08,2023-09-08 00:00:00+08:00,467.0,469.48,466.04,468.62,2286.0,7290.0,8078.0
2023-09-11,2023-09-11 00:00:00+08:00,468.12,469.64,467.84,468.3,3598.0,8078.0,9586.0
2023-09-12,2023-09-12 00:00:00+08:00,468.7,469.0,467.96,468.54,1922.0,9586.0,10070.0
2023-09-13,2023-09-13 00:00:00+08:00,467.02,469.66,467.02,468.76,2514.0,10070.0,10777.0
