trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2024-09-19,2024-09-19 00:00:00+08:00,15630.0,15830.0,15630.0,15800.0,6.0,0.0,4.0
2024-09-20,2024-09-20 00:00:00+08:00,15635.0,15720.0,15635.0,15720.0,5.0,4.0,6.0
2024-09-23,2024-09-23 00:00:00+08:00,15545.0,15565.0,15195.0,15255.0,5.0,6.0,8.0
2024-09-24,2024-09-24 00:00:00+08:00,15165.0,15775.0,15165.0,15775.0,4.0,8.0,10.0
2024-09-25,2024-09-25 00:00:00+08:00,15635.0,15995.0,15535.0,15535.0,25.0,10.0,19.0
2024-09-26,2024-09-26 00:00:00+08:00,15680.0,15965.0,15620.0,15620.0,11.0,19.0,28.0
2024-09-27,2024-09-27 00:00:00+08:00,15545.0,15755.0,15545.0,15600.0,8.0,28.0,26.0
2024-09-30,2024-09-30 00:00:00+08:00,15895.0,16080.0,15745.0,16060.0,39.0,26.0,45.0
2024-10-08,2024-10-08 00:00:00+08:00,16120.0,16300.0,15875.0,15965.0,17.0,45.0,45.0
2024-10-09,2024-10-09 00:00:00+08:00,16100.0,16260.0,15925.0,15925.0,22.0,45.0,49.0
2024-10-10,2024-10-10 00:00:00+08:00,15690.0,15920.0,15420.0,15420.0,27.0,49.0,51.0
2024-10-11,2024-10-11 00:00:00+08:00,15455.0,15605.0,15410.0,15605.0,22.0,51.0,54.0
2024-10-14,2024-10-14 00:00:00+08:00,15555.0,15810.0,15555.0,15810.0,9.0,54.0,55.0
2024-10-15,2024-10-15 00:00:00+08:00,15695.0,15710.0,15660.0,15710.0,6.0,55.0,56.0
2024-10-16,2024-10-16 00:00:00+08:00,15625.0,15675.0,15385.0,15535.0,7.0,56.0,58.0
2024-10-17,2024-10-17 00:00:00+08:00,15330.0,15440.0,15210.0,15340.0,12.0,58.0,61.0
2024-10-18,2024-10-18 00:00:00+08:00,15430.0,15430.0,15430.0,15430.0,0.0,61.0,61.0
2024-10-21,2024-10-21 00:00:00+08:00,15310.0,15325.0,14990.0,15325.0,12.0,61.0,62.0
2024-10-22,2024-10-22 00:00:00+08:00,15005.0,15215.0,15005.0,15215.0,2.0,62.0,61.0
2024-10-23,2024-10-23 00:00:00+08:00,15350.0,15535.0,15350.0,15400.0,7.0,61.0,61.0
2024-10-24,2024-10-24 00:00:00+08:00,15245.0,15245.0,15245.0,15245.0,1.0,61.0,61.0
2024-10-25,2024-10-25 00:00:00+08:00,15195.0,15260.0,15105.0,15105.0,3.0,61.0,61.0
2024-10-28,2024-10-28 00:00:00+08:00,15200.0,15200.0,15115.0,15115.0,2.0,61.0,61.0
2024-10-29,2024-10-29 00:00:00+08:00,14990.0,15165.0,14970.0,15050.0,11.0,61.0,63.0
2024-10-30,2024-10-30 00:00:00+08:00,15000.0,15005.0,14900.0,14900.0,5.0,63.0,63.0
2024-10-31,2024-10-31 00:00:00+08:00,14880.0,14930.0,14880.0,14930.0,3.0,63.0,64.0
2024-11-01,2024-11-01 00:00:00+08:00,14705.0,14725.0,14620.0,14725.0,3.0,64.0,62.0
2024-11-04,2024-11-04 00:00:00+08:00,14620.0,14620.0,14565.0,14565.0,2.0,62.0,63.0
2024-11-05,2024-11-05 00:00:00+08:00,14460.0,14620.0,14410.0,14620.0,7.0,63.0,66.0
2024-11-06,2024-11-06 00:00:00+08:00,14665.0,14800.0,14665.0,14800.0,3.0,66.0,67.0
2024-11-07,2024-11-07 00:00:00+08:00,14720.0,14775.0,14465.0,14730.0,12.0,67.0,73.0
2024-11-08,2024-11-08 00:00:00+08:00,14765.0,14965.0,14765.0,14965.0,9.0,73.0,78.0
2024-11-11,2024-11-11 00:00:00+08:00,14840.0,14840.0,14205.0,14205.0,43.0,78.0,90.0
2024-11-12,2024-11-12 00:00:00+08:00,14200.0,14200.0,13800.0,13855.0,24.0,90.0,106.0
2024-11-13,2024-11-13 00:00:00+08:00,13850.0,13980.0,13850.0,13980.0,10.0,106.0,107.0
2024-11-14,2024-11-14 00:00:00+08:00,14005.0,14050.0,13985.0,13985.0,17.0,107.0,115.0
2024-11-15,2024-11-15 00:00:00+08:00,13665.0,13670.0,13665.0,13670.0,3.0,115.0,115.0
2024-11-18,2024-11-18 00:00:00+08:00,13805.0,13890.0,13660.0,13680.0,15.0,115.0,115.0
2024-11-19,2024-11-19 00:00:00+08:00,13570.0,13815.0,13570.0,13815.0,10.0,115.0,115.0
2024-11-20,2024-11-20 00:00:00+08:00,13820.0,13820.0,13820.0,13820.0,0.0,115.0,115.0
2024-11-21,2024-11-21 00:00:00+08:00,13795.0,13800.0,13795.0,13800.0,2.0,115.0,115.0
2024-11-22,2024-11-22 00:00:00+08:00,13500.0,13505.0,13500.0,13505.0,2.0,115.0,117.0
2024-11-25,2024-11-25 00:00:00+08:00,13440.0,13480.0,13345.0,13480.0,5.0,117.0,116.0
2024-11-26,2024-11-26 00:00:00+08:00,13450.0,13450.0,13450.0,13450.0,1.0,116.0,116.0
2024-11-27,2024-11-27 00:00:00+08:00,13520.0,13600.0,13495.0,13600.0,14.0,116.0,123.0
2024-11-28,2024-11-28 00:00:00+08:00,13615.0,13665.0,13575.0,13590.0,10.0,123.0,125.0
2024-11-29,2024-11-29 00:00:00+08:00,13820.0,14050.0,13760.0,13930.0,34.0,125.0,126.0
2024-12-02,2024-12-02 00:00:00+08:00,13930.0,14200.0,13930.0,13935.0,19.0,126.0,123.0
2024-12-03,2024-12-03 00:00:00+08:00,13950.0,14195.0,13845.0,14190.0,60.0,123.0,148.0
2024-12-04,2024-12-04 00:00:00+08:00,14085.0,14130.0,13515.0,13980.0,48.0,148.0,152.0
2024-12-05,2024-12-05 00:00:00+08:00,13800.0,13940.0,13600.0,13700.0,39.0,152.0,141.0
2024-12-06,2024-12-06 00:00:00+08:00,13850.0,14050.0,13740.0,14000.0,29.0,141.0,147.0
2024-12-09,2024-12-09 00:00:00+08:00,13770.0,13905.0,13660.0,13905.0,11.0,147.0,145.0
2024-12-10,2024-12-10 00:00:00+08:00,14150.0,14335.0,14020.0,14080.0,59.0,145.0,151.0
2024-12-11,2024-12-11 00:00:00+08:00,14190.0,14320.0,14140.0,14230.0,26.0,151.0,156.0
2024-12-12,2024-12-12 00:00:00+08:00,14115.0,14150.0,14010.0,14135.0,25.0,156.0,154.0
2024-12-13,2024-12-13 00:00:00+08:00,14110.0,14110.0,13740.0,13855.0,63.0,154.0,127.0
2024-12-16,2024-12-16 00:00:00+08:00,13905.0,13905.0,13795.0,13870.0,5.0,127.0,130.0
2024-12-17,2024-12-17 00:00:00+08:00,13915.0,13990.0,13835.0,13835.0,8.0,130.0,130.0
2024-12-18,2024-12-18 00:00:00+08:00,13700.0,13730.0,13550.0,13680.0,10.0,130.0,124.0
2024-12-19,2024-12-19 00:00:00+08:00,13805.0,13805.0,13805.0,13805.0,1.0,124.0,124.0
2024-12-20,2024-12-20 00:00:00+08:00,13675.0,13825.0,13615.0,13615.0,8.0,124.0,119.0
2024-12-23,2024-12-23 00:00:00+08:00,13500.0,13855.0,13500.0,13855.0,22.0,119.0,116.0
2024-12-24,2024-12-24 00:00:00+08:00,13800.0,13860.0,13760.0,13815.0,4.0,116.0,118.0
2024-12-25,2024-12-25 00:00:00+08:00,13840.0,13840.0,13625.0,13625.0,2.0,118.0,116.0
2024-12-26,2024-12-26 00:00:00+08:00,13490.0,13555.0,13470.0,13550.0,23.0,116.0,113.0
2024-12-27,2024-12-27 00:00:00+08:00,13585.0,13590.0,13400.0,13500.0,11.0,113.0,117.0
2024-12-30,2024-12-30 00:00:00+08:00,13370.0,13500.0,13345.0,13500.0,11.0,117.0,117.0
2024-12-31,2024-12-31 00:00:00+08:00,13565.0,13570.0,13565.0,13570.0,2.0,117.0,117.0
2025-01-02,2025-01-02 00:00:00+08:00,13570.0,13650.0,13570.0,13650.0,17.0,117.0,132.0
2025-01-03,2025-01-03 00:00:00+08:00,13785.0,13785.0,13520.0,13710.0,8.0,132.0,131.0
2025-01-06,2025-01-06 00:00:00+08:00,13685.0,13885.0,13680.0,13750.0,8.0,131.0,126.0
2025-01-07,2025-01-07 00:00:00+08:00,14040.0,14040.0,13915.0,14035.0,13.0,126.0,123.0
2025-01-08,2025-01-08 00:00:00+08:00,13945.0,13995.0,13925.0,13955.0,13.0,123.0,129.0
2025-01-09,2025-01-09 00:00:00+08:00,13880.0,14005.0,13880.0,13950.0,6.0,129.0,127.0
2025-01-10,2025-01-10 00:00:00+08:00,14090.0,14100.0,13665.0,14100.0,11.0,127.0,124.0
2025-01-13,2025-01-13 00:00:00+08:00,14265.0,14615.0,14265.0,14480.0,22.0,124.0,121.0
2025-01-14,2025-01-14 00:00:00+08:00,14345.0,14550.0,14340.0,14550.0,16.0,121.0,119.0
2025-01-15,2025-01-15 00:00:00+08:00,14510.0,14510.0,14420.0,14450.0,8.0,119.0,119.0
2025-01-16,2025-01-16 00:00:00+08:00,14580.0,14880.0,14580.0,14785.0,40.0,119.0,108.0
2025-01-17,2025-01-17 00:00:00+08:00,14585.0,14715.0,14550.0,14550.0,26.0,108.0,112.0
2025-01-20,2025-01-20 00:00:00+08:00,14565.0,14660.0,14535.0,14535.0,16.0,112.0,117.0
2025-01-21,2025-01-21 00:00:00+08:00,14660.0,14805.0,14660.0,14675.0,21.0,117.0,120.0
2025-01-22,2025-01-22 00:00:00+08:00,14475.0,14770.0,14475.0,14770.0,17.0,120.0,122.0
2025-01-23,2025-01-23 00:00:00+08:00,14735.0,14910.0,14515.0,14555.0,25.0,122.0,121.0
2025-01-24,2025-01-24 00:00:00+08:00,14470.0,14760.0,14370.0,14760.0,30.0,121.0,126.0
2025-01-27,2025-01-27 00:00:00+08:00,14515.0,14600.0,14490.0,14540.0,15.0,126.0,122.0
2025-02-05,2025-02-05 00:00:00+08:00,14350.0,14420.0,14235.0,14405.0,25.0,122.0,123.0
2025-02-06,2025-02-06 00:00:00+08:00,14455.0,14575.0,14275.0,14575.0,18.0,123.0,124.0
2025-02-07,2025-02-07 00:00:00+08:00,14605.0,14845.0,14605.0,14735.0,89.0,124.0,138.0
2025-02-10,2025-02-10 00:00:00+08:00,14675.0,14780.0,14420.0,14770.0,71.0,138.0,144.0
2025-02-11,2025-02-11 00:00:00+08:00,14885.0,14930.0,14670.0,14670.0,90.0,144.0,146.0
2025-02-12,2025-02-12 00:00:00+08:00,14720.0,14790.0,14600.0,14740.0,35.0,146.0,134.0
2025-02-13,2025-02-13 00:00:00+08:00,14785.0,14790.0,14400.0,14495.0,69.0,134.0,159.0
2025-02-14,2025-02-14 00:00:00+08:00,14540.0,14700.0,14520.0,14595.0,32.0,159.0,156.0
2025-02-17,2025-02-17 00:00:00+08:00,14450.0,14560.0,14440.0,14450.0,40.0,156.0,159.0
2025-02-18,2025-02-18 00:00:00+08:00,14420.0,14430.0,14230.0,14275.0,44.0,159.0,173.0
2025-02-19,2025-02-19 00:00:00+08:00,14160.0,14255.0,14030.0,14165.0,81.0,173.0,198.0
2025-02-20,2025-02-20 00:00:00+08:00,14160.0,14235.0,14115.0,14235.0,35.0,198.0,193.0
2025-02-21,2025-02-21 00:00:00+08:00,14235.0,14285.0,13985.0,14035.0,83.0,193.0,217.0
2025-02-24,2025-02-24 00:00:00+08:00,13960.0,14050.0,13910.0,13960.0,85.0,217.0,255.0
2025-02-25,2025-02-25 00:00:00+08:00,14015.0,14085.0,13960.0,14010.0,63.0,255.0,262.0
2025-02-26,2025-02-26 00:00:00+08:00,14005.0,14055.0,13800.0,14020.0,120.0,262.0,287.0
2025-02-27,2025-02-27 00:00:00+08:00,14010.0,14155.0,13950.0,14030.0,38.0,287.0,291.0
2025-02-28,2025-02-28 00:00:00+08:00,14035.0,14260.0,14020.0,14245.0,76.0,291.0,292.0
2025-03-03,2025-03-03 00:00:00+08:00,14260.0,14340.0,14110.0,14110.0,69.0,292.0,309.0
2025-03-04,2025-03-04 00:00:00+08:00,14125.0,14125.0,13930.0,13940.0,150.0,309.0,325.0
2025-03-05,2025-03-05 00:00:00+08:00,13900.0,13915.0,13745.0,13810.0,102.0,325.0,351.0
2025-03-06,2025-03-06 00:00:00+08:00,13760.0,13860.0,13630.0,13790.0,80.0,351.0,351.0
2025-03-07,2025-03-07 00:00:00+08:00,13810.0,13925.0,13755.0,13810.0,139.0,351.0,369.0
2025-03-10,2025-03-10 00:00:00+08:00,13820.0,13820.0,13640.0,13660.0,60.0,369.0,374.0
2025-03-11,2025-03-11 00:00:00+08:00,13690.0,13900.0,13580.0,13845.0,93.0,374.0,379.0
2025-03-12,2025-03-12 00:00:00+08:00,13875.0,14015.0,13860.0,13945.0,92.0,379.0,353.0
2025-03-13,2025-03-13 00:00:00+08:00,13965.0,13965.0,13790.0,13875.0,78.0,353.0,355.0
2025-03-14,2025-03-14 00:00:00+08:00,13900.0,13940.0,13830.0,13835.0,53.0,355.0,345.0
2025-03-17,2025-03-17 00:00:00+08:00,13765.0,14045.0,13705.0,13790.0,73.0,345.0,332.0
2025-03-18,2025-03-18 00:00:00+08:00,13965.0,14010.0,13850.0,13955.0,103.0,332.0,299.0
2025-03-19,2025-03-19 00:00:00+08:00,13910.0,14020.0,13835.0,13975.0,130.0,299.0,274.0
2025-03-20,2025-03-20 00:00:00+08:00,13905.0,13905.0,13720.0,13885.0,89.0,274.0,264.0
2025-03-21,2025-03-21 00:00:00+08:00,13865.0,13890.0,13715.0,13765.0,139.0,264.0,276.0
2025-03-24,2025-03-24 00:00:00+08:00,13780.0,13830.0,13710.0,13830.0,121.0,276.0,299.0
2025-03-25,2025-03-25 00:00:00+08:00,13855.0,13860.0,13705.0,13765.0,57.0,299.0,325.0
2025-03-26,2025-03-26 00:00:00+08:00,13770.0,13780.0,13580.0,13620.0,130.0,325.0,386.0
2025-03-27,2025-03-27 00:00:00+08:00,13540.0,13795.0,13535.0,13740.0,69.0,386.0,388.0
2025-03-28,2025-03-28 00:00:00+08:00,13740.0,13800.0,13625.0,13635.0,128.0,388.0,382.0
2025-03-31,2025-03-31 00:00:00+08:00,13645.0,13765.0,13595.0,13635.0,142.0,382.0,356.0
2025-04-01,2025-04-01 00:00:00+08:00,13640.0,13750.0,13600.0,13730.0,437.0,356.0,332.0
2025-04-02,2025-04-02 00:00:00+08:00,13735.0,13900.0,13720.0,13880.0,367.0,332.0,336.0
2025-04-03,2025-04-03 00:00:00+08:00,13835.0,13900.0,13360.0,13395.0,410.0,336.0,383.0
2025-04-07,2025-04-07 00:00:00+08:00,13200.0,13370.0,12605.0,12605.0,314.0,383.0,558.0
2025-04-08,2025-04-08 00:00:00+08:00,12360.0,12630.0,11875.0,12135.0,1949.0,558.0,756.0
2025-04-09,2025-04-09 00:00:00+08:00,12250.0,12465.0,11515.0,11605.0,3811.0,756.0,1341.0
2025-04-10,2025-04-10 00:00:00+08:00,11505.0,12330.0,11255.0,12005.0,5933.0,1341.0,1303.0
2025-04-11,2025-04-11 00:00:00+08:00,11995.0,12000.0,11800.0,11975.0,4539.0,1303.0,1278.0
2025-04-14,2025-04-14 00:00:00+08:00,11950.0,12055.0,11860.0,11925.0,2289.0,1278.0,1429.0
2025-04-15,2025-04-15 00:00:00+08:00,12000.0,12000.0,11680.0,11705.0,1819.0,1429.0,1801.0
2025-04-16,2025-04-16 00:00:00+08:00,11740.0,11780.0,11270.0,11355.0,3961.0,1801.0,3039.0
2025-04-17,2025-04-17 00:00:00+08:00,11400.0,11585.0,11280.0,11400.0,4084.0,3039.0,3298.0
2025-04-18,2025-04-18 00:00:00+08:00,11415.0,11495.0,11130.0,11270.0,4969.0,3298.0,4126.0
2025-04-21,2025-04-21 00:00:00+08:00,11240.0,11460.0,11070.0,11395.0,5094.0,4126.0,3876.0
2025-04-22,2025-04-22 00:00:00+08:00,11350.0,11390.0,11190.0,11220.0,3317.0,3876.0,4344.0
2025-04-23,2025-04-23 00:00:00+08:00,11160.0,11480.0,11160.0,11410.0,5310.0,4344.0,4080.0
2025-04-24,2025-04-24 00:00:00+08:00,11400.0,11400.0,11225.0,11345.0,4924.0,4080.0,4745.0
2025-04-25,2025-04-25 00:00:00+08:00,11360.0,11615.0,11300.0,11445.0,4278.0,4745.0,4391.0
2025-04-28,2025-04-28 00:00:00+08:00,11445.0,11655.0,11405.0,11535.0,4324.0,4391.0,5054.0
2025-04-29,2025-04-29 00:00:00+08:00,11525.0,11540.0,11320.0,11395.0,4872.0,5054.0,5605.0
2025-04-30,2025-04-30 00:00:00+08:00,11385.0,11465.0,11245.0,11295.0,3981.0,5605.0,5765.0
2025-05-06,2025-05-06 00:00:00+08:00,11240.0,11420.0,11075.0,11380.0,6068.0,5765.0,5845.0
2025-05-07,2025-05-07 00:00:00+08:00,11390.0,11500.0,11310.0,11405.0,7037.0,5845.0,6238.0
2025-05-08,2025-05-08 00:00:00+08:00,11380.0,11390.0,11225.0,11360.0,8891.0,6238.0,6995.0
2025-05-09,2025-05-09 00:00:00+08:00,11390.0,11470.0,11345.0,11395.0,6790.0,6995.0,6590.0
2025-05-12,2025-05-12 00:00:00+08:00,11440.0,11800.0,11230.0,11770.0,12382.0,6590.0,6800.0
2025-05-13,2025-05-13 00:00:00+08:00,11900.0,12275.0,11735.0,12165.0,14607.0,6800.0,7004.0
2025-05-14,2025-05-14 00:00:00+08:00,12300.0,12390.0,12110.0,12285.0,20500.0,7004.0,9765.0
2025-05-15,2025-05-15 00:00:00+08:00,12225.0,12345.0,12045.0,12115.0,9997.0,9765.0,10163.0
2025-05-16,2025-05-16 00:00:00+08:00,12090.0,12225.0,11975.0,12010.0,10984.0,10163.0,10400.0
2025-05-19,2025-05-19 00:00:00+08:00,12010.0,12215.0,11965.0,12060.0,9216.0,10400.0,10783.0
2025-05-20,2025-05-20 00:00:00+08:00,12025.0,12090.0,11860.0,11905.0,10219.0,10783.0,11088.0
2025-05-21,2025-05-21 00:00:00+08:00,11900.0,11975.0,11780.0,11840.0,11192.0,11088.0,11088.0
2025-05-22,2025-05-22 00:00:00+08:00,11880.0,12055.0,11840.0,11880.0,18678.0,11088.0,9642.0
2025-05-23,2025-05-23 00:00:00+08:00,11935.0,11935.0,11570.0,11580.0,15109.0,9642.0,11296.0
2025-05-26,2025-05-26 00:00:00+08:00,11505.0,11585.0,11260.0,11320.0,21470.0,11296.0,12746.0
2025-05-27,2025-05-27 00:00:00+08:00,11355.0,11455.0,11315.0,11455.0,13272.0,12746.0,13084.0
2025-05-28,2025-05-28 00:00:00+08:00,11490.0,11490.0,10910.0,10950.0,16175.0,13084.0,14120.0
2025-05-29,2025-05-29 00:00:00+08:00,10985.0,11195.0,10980.0,11085.0,17856.0,14120.0,14039.0
2025-05-30,2025-05-30 00:00:00+08:00,11045.0,11115.0,10870.0,10920.0,15670.0,14039.0,14053.0
2025-06-03,2025-06-03 00:00:00+08:00,10900.0,10960.0,10555.0,10680.0,17959.0,14053.0,15425.0
2025-06-04,2025-06-04 00:00:00+08:00,10715.0,10880.0,10655.0,10845.0,17653.0,15425.0,15349.0
2025-06-05,2025-06-05 00:00:00+08:00,10805.0,10860.0,10725.0,10740.0,10655.0,15349.0,15636.0
2025-06-06,2025-06-06 00:00:00+08:00,10765.0,11170.0,10760.0,11075.0,20178.0,15636.0,14589.0
2025-06-09,2025-06-09 00:00:00+08:00,11060.0,11070.0,10920.0,11015.0,12539.0,14589.0,14348.0
2025-06-10,2025-06-10 00:00:00+08:00,11070.0,11110.0,10920.0,10980.0,13724.0,14348.0,14396.0
2025-06-11,2025-06-11 00:00:00+08:00,11020.0,11035.0,10795.0,10975.0,18760.0,14396.0,14965.0
2025-06-12,2025-06-12 00:00:00+08:00,11010.0,11065.0,10790.0,10790.0,14865.0,14965.0,15893.0
2025-06-13,2025-06-13 00:00:00+08:00,10755.0,11345.0,10720.0,11145.0,32771.0,15893.0,13905.0
2025-06-16,2025-06-16 00:00:00+08:00,11150.0,11415.0,11030.0,11340.0,23895.0,13905.0,13251.0
2025-06-17,2025-06-17 00:00:00+08:00,11300.0,11355.0,11180.0,11250.0,18099.0,13251.0,13686.0
2025-06-18,2025-06-18 00:00:00+08:00,11305.0,11525.0,11280.0,11520.0,19707.0,13686.0,13528.0
2025-06-19,2025-06-19 00:00:00+08:00,11530.0,11600.0,11440.0,11540.0,14797.0,13528.0,13309.0
2025-06-20,2025-06-20 00:00:00+08:00,11575.0,11685.0,11345.0,11370.0,24351.0,13309.0,13908.0
2025-06-23,2025-06-23 00:00:00+08:00,11370.0,11565.0,11255.0,11375.0,20086.0,13908.0,13799.0
2025-06-24,2025-06-24 00:00:00+08:00,11355.0,11380.0,10950.0,10980.0,24575.0,13799.0,15611.0
2025-06-25,2025-06-25 00:00:00+08:00,11000.0,11060.0,10920.0,10995.0,12942.0,15611.0,16410.0
2025-06-26,2025-06-26 00:00:00+08:00,11005.0,11110.0,10940.0,11105.0,17856.0,16410.0,17322.0
2025-06-27,2025-06-27 00:00:00+08:00,11085.0,11210.0,11040.0,11175.0,24839.0,17322.0,19127.0
2025-06-30,2025-06-30 00:00:00+08:00,11135.0,11260.0,11095.0,11140.0,30232.0,19127.0,22101.0
2025-07-01,2025-07-01 00:00:00+08:00,11140.0,11205.0,11005.0,11160.0,27630.0,22101.0,23794.0
2025-07-02,2025-07-02 00:00:00+08:00,11165.0,11195.0,11025.0,11175.0,30472.0,23794.0,25296.0
2025-07-03,2025-07-03 00:00:00+08:00,11180.0,11290.0,11075.0,11125.0,35846.0,25296.0,26947.0
2025-07-04,2025-07-04 00:00:00+08:00,11145.0,11265.0,11130.0,11200.0,32175.0,26947.0,27159.0
2025-07-07,2025-07-07 00:00:00+08:00,11180.0,11180.0,10880.0,10930.0,55168.0,27159.0,35728.0
2025-07-08,2025-07-08 00:00:00+08:00,11000.0,11300.0,10900.0,11220.0,81941.0,35728.0,34378.0
2025-07-09,2025-07-09 00:00:00+08:00,11220.0,11320.0,11200.0,11240.0,36928.0,34378.0,33943.0
