trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2018-09-18,2018-09-18 00:00:00+08:00,3296.0,3296.0,3296.0,3296.0,1.0,0.0,1.0
2018-09-19,2018-09-19 00:00:00+08:00,3304.0,3304.0,3304.0,3304.0,1.0,1.0,0.0
2018-09-20,2018-09-20 00:00:00+08:00,3356.0,3356.0,3356.0,3356.0,0.0,0.0,0.0
2018-09-21,2018-09-21 00:00:00+08:00,3362.0,3428.0,3340.0,3340.0,7.0,0.0,3.0
2018-09-25,2018-09-25 00:00:00+08:00,3430.0,3430.0,3430.0,3430.0,0.0,3.0,3.0
2018-09-26,2018-09-26 00:00:00+08:00,3430.0,3430.0,3430.0,3430.0,0.0,3.0,3.0
2018-09-27,2018-09-27 00:00:00+08:00,3378.0,3378.0,3378.0,3378.0,0.0,3.0,3.0
2018-09-28,2018-09-28 00:00:00+08:00,3388.0,3388.0,3388.0,3388.0,0.0,3.0,3.0
2018-10-08,2018-10-08 00:00:00+08:00,3420.0,3420.0,3420.0,3420.0,0.0,3.0,3.0
2018-10-09,2018-10-09 00:00:00+08:00,3452.0,3484.0,3452.0,3484.0,2.0,3.0,3.0
2018-10-10,2018-10-10 00:00:00+08:00,3482.0,3482.0,3482.0,3482.0,0.0,3.0,3.0
2018-10-11,2018-10-11 00:00:00+08:00,3442.0,3442.0,3442.0,3442.0,0.0,3.0,3.0
2018-10-12,2018-10-12 00:00:00+08:00,3394.0,3394.0,3394.0,3394.0,0.0,3.0,3.0
2018-10-15,2018-10-15 00:00:00+08:00,3380.0,3380.0,3380.0,3380.0,0.0,3.0,3.0
2018-10-16,2018-10-16 00:00:00+08:00,3358.0,3358.0,3358.0,3358.0,0.0,3.0,3.0
2018-10-17,2018-10-17 00:00:00+08:00,3356.0,3356.0,3356.0,3356.0,0.0,3.0,3.0
2018-10-18,2018-10-18 00:00:00+08:00,3392.0,3392.0,3392.0,3392.0,1.0,3.0,3.0
2018-10-19,2018-10-19 00:00:00+08:00,3410.0,3410.0,3410.0,3410.0,1.0,3.0,3.0
2018-10-22,2018-10-22 00:00:00+08:00,3410.0,3410.0,3410.0,3410.0,0.0,3.0,3.0
2018-10-23,2018-10-23 00:00:00+08:00,3396.0,3396.0,3396.0,3396.0,0.0,3.0,3.0
2018-10-24,2018-10-24 00:00:00+08:00,3396.0,3396.0,3396.0,3396.0,0.0,3.0,3.0
2018-10-25,2018-10-25 00:00:00+08:00,3384.0,3384.0,3384.0,3384.0,0.0,3.0,3.0
2018-10-26,2018-10-26 00:00:00+08:00,3384.0,3384.0,3384.0,3384.0,0.0,3.0,3.0
2018-10-29,2018-10-29 00:00:00+08:00,3384.0,3384.0,3384.0,3384.0,0.0,3.0,3.0
2018-10-30,2018-10-30 00:00:00+08:00,3384.0,3384.0,3368.0,3368.0,2.0,3.0,5.0
2018-10-31,2018-10-31 00:00:00+08:00,3364.0,3364.0,3364.0,3364.0,0.0,5.0,5.0
2018-11-01,2018-11-01 00:00:00+08:00,3364.0,3364.0,3364.0,3364.0,0.0,5.0,5.0
2018-11-02,2018-11-02 00:00:00+08:00,3298.0,3310.0,3298.0,3310.0,2.0,5.0,7.0
2018-11-05,2018-11-05 00:00:00+08:00,3328.0,3328.0,3328.0,3328.0,0.0,7.0,7.0
2018-11-06,2018-11-06 00:00:00+08:00,3328.0,3328.0,3328.0,3328.0,0.0,7.0,7.0
2018-11-07,2018-11-07 00:00:00+08:00,3320.0,3320.0,3320.0,3320.0,0.0,7.0,7.0
2018-11-08,2018-11-08 00:00:00+08:00,3290.0,3290.0,3290.0,3290.0,1.0,7.0,8.0
2018-11-09,2018-11-09 00:00:00+08:00,3290.0,3290.0,3290.0,3290.0,0.0,8.0,8.0
2018-11-12,2018-11-12 00:00:00+08:00,3200.0,3200.0,3200.0,3200.0,5.0,8.0,13.0
2018-11-13,2018-11-13 00:00:00+08:00,3200.0,3200.0,3200.0,3200.0,0.0,13.0,13.0
2018-11-14,2018-11-14 00:00:00+08:00,3100.0,3100.0,3100.0,3100.0,5.0,13.0,18.0
2018-11-15,2018-11-15 00:00:00+08:00,3112.0,3112.0,3112.0,3112.0,0.0,18.0,18.0
2018-11-16,2018-11-16 00:00:00+08:00,3120.0,3120.0,3118.0,3120.0,4.0,18.0,17.0
2018-11-19,2018-11-19 00:00:00+08:00,3116.0,3116.0,3116.0,3116.0,3.0,17.0,19.0
2018-11-20,2018-11-20 00:00:00+08:00,3116.0,3116.0,3116.0,3116.0,0.0,19.0,19.0
2018-11-21,2018-11-21 00:00:00+08:00,3078.0,3114.0,3056.0,3056.0,12.0,19.0,26.0
2018-11-22,2018-11-22 00:00:00+08:00,2996.0,2996.0,2994.0,2994.0,7.0,26.0,33.0
2018-11-23,2018-11-23 00:00:00+08:00,2920.0,2920.0,2838.0,2838.0,8.0,33.0,36.0
2018-11-26,2018-11-26 00:00:00+08:00,2732.0,2758.0,2732.0,2738.0,41.0,36.0,38.0
2018-11-27,2018-11-27 00:00:00+08:00,2754.0,2756.0,2674.0,2688.0,42.0,38.0,51.0
2018-11-28,2018-11-28 00:00:00+08:00,2690.0,2722.0,2690.0,2718.0,13.0,51.0,57.0
2018-11-29,2018-11-29 00:00:00+08:00,2718.0,2720.0,2696.0,2696.0,14.0,57.0,59.0
2018-11-30,2018-11-30 00:00:00+08:00,2744.0,2752.0,2722.0,2722.0,15.0,59.0,60.0
2018-12-03,2018-12-03 00:00:00+08:00,2716.0,2834.0,2716.0,2822.0,20.0,60.0,61.0
2018-12-04,2018-12-04 00:00:00+08:00,2824.0,2832.0,2822.0,2832.0,6.0,61.0,56.0
2018-12-05,2018-12-05 00:00:00+08:00,2772.0,2790.0,2770.0,2790.0,4.0,56.0,59.0
2018-12-06,2018-12-06 00:00:00+08:00,2828.0,2828.0,2770.0,2770.0,8.0,59.0,62.0
2018-12-07,2018-12-07 00:00:00+08:00,2758.0,2770.0,2758.0,2770.0,2.0,62.0,62.0
2018-12-10,2018-12-10 00:00:00+08:00,2772.0,2786.0,2770.0,2770.0,8.0,62.0,65.0
2018-12-11,2018-12-11 00:00:00+08:00,2778.0,2778.0,2734.0,2734.0,14.0,65.0,75.0
2018-12-12,2018-12-12 00:00:00+08:00,2750.0,2754.0,2748.0,2748.0,14.0,75.0,81.0
2018-12-13,2018-12-13 00:00:00+08:00,2766.0,2766.0,2736.0,2736.0,27.0,81.0,95.0
2018-12-14,2018-12-14 00:00:00+08:00,2762.0,2764.0,2750.0,2750.0,6.0,95.0,97.0
2018-12-17,2018-12-17 00:00:00+08:00,2736.0,2756.0,2736.0,2756.0,23.0,97.0,99.0
2018-12-18,2018-12-18 00:00:00+08:00,2736.0,2746.0,2730.0,2744.0,11.0,99.0,100.0
2018-12-19,2018-12-19 00:00:00+08:00,2742.0,2744.0,2670.0,2708.0,38.0,100.0,115.0
2018-12-20,2018-12-20 00:00:00+08:00,2724.0,2724.0,2718.0,2720.0,7.0,115.0,118.0
2018-12-21,2018-12-21 00:00:00+08:00,2722.0,2746.0,2702.0,2728.0,28.0,118.0,129.0
2018-12-24,2018-12-24 00:00:00+08:00,2696.0,2706.0,2696.0,2706.0,2.0,129.0,129.0
2018-12-25,2018-12-25 00:00:00+08:00,2700.0,2700.0,2596.0,2596.0,18.0,129.0,137.0
2018-12-26,2018-12-26 00:00:00+08:00,2600.0,2622.0,2594.0,2602.0,7.0,137.0,142.0
2018-12-27,2018-12-27 00:00:00+08:00,2584.0,2698.0,2584.0,2660.0,55.0,142.0,152.0
