trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2022-11-16,2022-11-16 00:00:00+08:00,64980.0,65350.0,64980.0,65310.0,17.0,0.0,11.0
2022-11-17,2022-11-17 00:00:00+08:00,64980.0,65100.0,64650.0,64770.0,7.0,11.0,10.0
2022-11-18,2022-11-18 00:00:00+08:00,64420.0,64610.0,64310.0,64560.0,13.0,10.0,12.0
2022-11-21,2022-11-21 00:00:00+08:00,64210.0,64210.0,63460.0,63710.0,40.0,12.0,31.0
2022-11-22,2022-11-22 00:00:00+08:00,63200.0,63600.0,63200.0,63250.0,38.0,31.0,47.0
2022-11-23,2022-11-23 00:00:00+08:00,63830.0,64360.0,63580.0,63580.0,61.0,47.0,85.0
2022-11-24,2022-11-24 00:00:00+08:00,63690.0,64200.0,63330.0,64200.0,96.0,85.0,78.0
2022-11-25,2022-11-25 00:00:00+08:00,63980.0,64390.0,63980.0,64300.0,44.0,78.0,82.0
2022-11-28,2022-11-28 00:00:00+08:00,65550.0,65550.0,63140.0,63200.0,25.0,82.0,92.0
2022-11-29,2022-11-29 00:00:00+08:00,63600.0,64320.0,63450.0,64060.0,39.0,92.0,96.0
2022-11-30,2022-11-30 00:00:00+08:00,64070.0,64100.0,63660.0,63870.0,38.0,96.0,116.0
2022-12-01,2022-12-01 00:00:00+08:00,64420.0,64980.0,64050.0,64940.0,399.0,116.0,464.0
2022-12-02,2022-12-02 00:00:00+08:00,64700.0,65410.0,64700.0,65400.0,274.0,464.0,688.0
2022-12-05,2022-12-05 00:00:00+08:00,65270.0,66100.0,64790.0,65490.0,92.0,688.0,736.0
2022-12-06,2022-12-06 00:00:00+08:00,65320.0,65400.0,65000.0,65120.0,43.0,736.0,737.0
2022-12-07,2022-12-07 00:00:00+08:00,65140.0,65750.0,64880.0,64880.0,150.0,737.0,829.0
2022-12-08,2022-12-08 00:00:00+08:00,64910.0,65770.0,64910.0,65740.0,36.0,829.0,843.0
2022-12-09,2022-12-09 00:00:00+08:00,66050.0,66560.0,65900.0,66560.0,107.0,843.0,889.0
2022-12-12,2022-12-12 00:00:00+08:00,66040.0,66230.0,65420.0,65490.0,155.0,889.0,948.0
2022-12-13,2022-12-13 00:00:00+08:00,65500.0,65730.0,65160.0,65500.0,177.0,948.0,1002.0
2022-12-14,2022-12-14 00:00:00+08:00,65800.0,66230.0,65720.0,65910.0,172.0,1002.0,1112.0
2022-12-15,2022-12-15 00:00:00+08:00,65660.0,65740.0,65360.0,65360.0,154.0,1112.0,1219.0
2022-12-16,2022-12-16 00:00:00+08:00,65400.0,65420.0,64790.0,64850.0,281.0,1219.0,1401.0
2022-12-19,2022-12-19 00:00:00+08:00,64750.0,65270.0,64390.0,64530.0,280.0,1401.0,1455.0
2022-12-20,2022-12-20 00:00:00+08:00,64740.0,64830.0,63960.0,64660.0,312.0,1455.0,1364.0
2022-12-21,2022-12-21 00:00:00+08:00,64510.0,66040.0,64510.0,64990.0,190.0,1364.0,1447.0
2022-12-22,2022-12-22 00:00:00+08:00,65020.0,65430.0,64980.0,65090.0,66.0,1447.0,1465.0
2022-12-23,2022-12-23 00:00:00+08:00,64930.0,64930.0,64630.0,64720.0,67.0,1465.0,1468.0
2022-12-26,2022-12-26 00:00:00+08:00,64900.0,65290.0,64810.0,65290.0,61.0,1468.0,1480.0
2022-12-27,2022-12-27 00:00:00+08:00,65400.0,65730.0,65380.0,65700.0,119.0,1480.0,1460.0
2022-12-28,2022-12-28 00:00:00+08:00,65930.0,66070.0,65650.0,65660.0,84.0,1460.0,1456.0
2022-12-29,2022-12-29 00:00:00+08:00,65590.0,65790.0,65580.0,65630.0,25.0,1456.0,1454.0
2022-12-30,2022-12-30 00:00:00+08:00,65380.0,65580.0,65310.0,65460.0,66.0,1454.0,1455.0
2023-01-03,2023-01-03 00:00:00+08:00,65310.0,65410.0,64620.0,65080.0,31.0,1455.0,1457.0
2023-01-04,2023-01-04 00:00:00+08:00,64910.0,64920.0,63900.0,63940.0,424.0,1457.0,1197.0
2023-01-05,2023-01-05 00:00:00+08:00,63700.0,63700.0,63200.0,63500.0,188.0,1197.0,1292.0
