trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-05-18,2021-05-18 00:00:00+08:00,132340.0,132340.0,132340.0,132340.0,1.0,0.0,1.0
2021-05-19,2021-05-19 00:00:00+08:00,132750.0,133020.0,130540.0,133020.0,3.0,1.0,3.0
2021-05-20,2021-05-20 00:00:00+08:00,128880.0,128880.0,128880.0,128880.0,1.0,3.0,4.0
2021-05-21,2021-05-21 00:00:00+08:00,127800.0,127800.0,125010.0,125350.0,9.0,4.0,11.0
2021-05-24,2021-05-24 00:00:00+08:00,123000.0,123000.0,123000.0,123000.0,1.0,11.0,12.0
2021-05-25,2021-05-25 00:00:00+08:00,124920.0,126360.0,124770.0,124770.0,14.0,12.0,16.0
2021-05-26,2021-05-26 00:00:00+08:00,125660.0,126210.0,125660.0,126150.0,4.0,16.0,14.0
2021-05-27,2021-05-27 00:00:00+08:00,125460.0,126410.0,125460.0,126380.0,7.0,14.0,15.0
2021-05-28,2021-05-28 00:00:00+08:00,127420.0,131660.0,127420.0,131210.0,61.0,15.0,59.0
2021-05-31,2021-05-31 00:00:00+08:00,130540.0,132090.0,130400.0,131770.0,26.0,59.0,72.0
2021-06-01,2021-06-01 00:00:00+08:00,131410.0,133400.0,131190.0,133400.0,26.0,72.0,68.0
2021-06-02,2021-06-02 00:00:00+08:00,131860.0,132390.0,130850.0,131480.0,61.0,68.0,78.0
2021-06-03,2021-06-03 00:00:00+08:00,131790.0,133650.0,131380.0,131380.0,23.0,78.0,78.0
2021-06-04,2021-06-04 00:00:00+08:00,129210.0,130450.0,128830.0,130400.0,13.0,78.0,74.0
2021-06-07,2021-06-07 00:00:00+08:00,131380.0,131390.0,129460.0,129460.0,6.0,74.0,75.0
2021-06-08,2021-06-08 00:00:00+08:00,128780.0,128900.0,128780.0,128900.0,3.0,75.0,75.0
2021-06-09,2021-06-09 00:00:00+08:00,128750.0,131500.0,128750.0,131140.0,14.0,75.0,76.0
2021-06-10,2021-06-10 00:00:00+08:00,130920.0,130920.0,129190.0,129560.0,4.0,76.0,76.0
2021-06-11,2021-06-11 00:00:00+08:00,129820.0,132900.0,129820.0,132750.0,47.0,76.0,113.0
2021-06-15,2021-06-15 00:00:00+08:00,132510.0,132510.0,129550.0,130570.0,9.0,113.0,114.0
2021-06-16,2021-06-16 00:00:00+08:00,130280.0,130280.0,126380.0,126550.0,39.0,114.0,107.0
2021-06-17,2021-06-17 00:00:00+08:00,127280.0,127780.0,125940.0,126500.0,116.0,107.0,143.0
2021-06-18,2021-06-18 00:00:00+08:00,126040.0,128340.0,125980.0,127420.0,11.0,143.0,146.0
2021-06-21,2021-06-21 00:00:00+08:00,127030.0,128400.0,126960.0,127880.0,14.0,146.0,149.0
2021-06-22,2021-06-22 00:00:00+08:00,127060.0,130470.0,126700.0,130090.0,21.0,149.0,149.0
2021-06-23,2021-06-23 00:00:00+08:00,130520.0,132660.0,130410.0,131280.0,23.0,149.0,149.0
2021-06-24,2021-06-24 00:00:00+08:00,132300.0,133120.0,130760.0,132060.0,14.0,149.0,148.0
2021-06-25,2021-06-25 00:00:00+08:00,134500.0,136510.0,134500.0,135250.0,22.0,148.0,156.0
2021-06-28,2021-06-28 00:00:00+08:00,134420.0,135000.0,133790.0,134190.0,112.0,156.0,168.0
2021-06-29,2021-06-29 00:00:00+08:00,133820.0,133820.0,132070.0,132720.0,12.0,168.0,168.0
2021-06-30,2021-06-30 00:00:00+08:00,134060.0,134060.0,134060.0,134060.0,1.0,168.0,167.0
2021-07-01,2021-07-01 00:00:00+08:00,134330.0,134330.0,131800.0,131810.0,34.0,167.0,155.0
2021-07-02,2021-07-02 00:00:00+08:00,132360.0,132380.0,130780.0,131600.0,7.0,155.0,156.0
2021-07-05,2021-07-05 00:00:00+08:00,133470.0,134850.0,133440.0,134440.0,10.0,156.0,153.0
2021-07-06,2021-07-06 00:00:00+08:00,134440.0,135600.0,133810.0,135400.0,10.0,153.0,154.0
2021-07-07,2021-07-07 00:00:00+08:00,134050.0,134050.0,130950.0,133440.0,74.0,154.0,191.0
2021-07-08,2021-07-08 00:00:00+08:00,133840.0,134700.0,133600.0,134640.0,22.0,191.0,201.0
2021-07-09,2021-07-09 00:00:00+08:00,134070.0,136560.0,133800.0,136200.0,15.0,201.0,200.0
2021-07-12,2021-07-12 00:00:00+08:00,136650.0,136820.0,134900.0,135550.0,20.0,200.0,212.0
2021-07-13,2021-07-13 00:00:00+08:00,136180.0,136850.0,136180.0,136850.0,6.0,212.0,213.0
2021-07-14,2021-07-14 00:00:00+08:00,135490.0,136790.0,134950.0,136740.0,25.0,213.0,210.0
2021-07-15,2021-07-15 00:00:00+08:00,136100.0,137080.0,134620.0,136320.0,36.0,210.0,201.0
2021-07-16,2021-07-16 00:00:00+08:00,136910.0,139750.0,136850.0,138490.0,44.0,201.0,222.0
2021-07-19,2021-07-19 00:00:00+08:00,138680.0,140270.0,138680.0,140010.0,12.0,222.0,222.0
2021-07-20,2021-07-20 00:00:00+08:00,137140.0,137630.0,135780.0,136620.0,55.0,222.0,221.0
2021-07-21,2021-07-21 00:00:00+08:00,136540.0,137210.0,135000.0,135000.0,37.0,221.0,224.0
2021-07-22,2021-07-22 00:00:00+08:00,135890.0,136850.0,135890.0,136850.0,13.0,224.0,219.0
2021-07-23,2021-07-23 00:00:00+08:00,137390.0,140850.0,137390.0,140150.0,27.0,219.0,214.0
2021-07-26,2021-07-26 00:00:00+08:00,140740.0,143250.0,140630.0,141660.0,98.0,214.0,204.0
2021-07-27,2021-07-27 00:00:00+08:00,142560.0,144410.0,141510.0,141510.0,68.0,204.0,211.0
2021-07-28,2021-07-28 00:00:00+08:00,141340.0,145700.0,141060.0,143510.0,48.0,211.0,228.0
2021-07-29,2021-07-29 00:00:00+08:00,143370.0,145370.0,142500.0,144910.0,36.0,228.0,232.0
2021-07-30,2021-07-30 00:00:00+08:00,145140.0,145850.0,143060.0,144340.0,39.0,232.0,233.0
2021-08-02,2021-08-02 00:00:00+08:00,144010.0,144650.0,141330.0,144650.0,26.0,233.0,232.0
2021-08-03,2021-08-03 00:00:00+08:00,142960.0,142960.0,140490.0,140800.0,60.0,232.0,235.0
2021-08-04,2021-08-04 00:00:00+08:00,140900.0,142350.0,140820.0,141300.0,50.0,235.0,232.0
2021-08-05,2021-08-05 00:00:00+08:00,142100.0,142100.0,140640.0,140640.0,8.0,232.0,234.0
2021-08-06,2021-08-06 00:00:00+08:00,141850.0,143760.0,141850.0,143080.0,26.0,234.0,235.0
2021-08-09,2021-08-09 00:00:00+08:00,142230.0,143170.0,138890.0,139730.0,37.0,235.0,248.0
2021-08-10,2021-08-10 00:00:00+08:00,138450.0,138880.0,137490.0,138690.0,36.0,248.0,241.0
2021-08-11,2021-08-11 00:00:00+08:00,138690.0,140190.0,138140.0,138140.0,21.0,241.0,247.0
2021-08-12,2021-08-12 00:00:00+08:00,140700.0,144550.0,139960.0,143900.0,51.0,247.0,251.0
2021-08-13,2021-08-13 00:00:00+08:00,143470.0,144440.0,142770.0,143370.0,27.0,251.0,247.0
2021-08-16,2021-08-16 00:00:00+08:00,144300.0,144850.0,143060.0,143550.0,23.0,247.0,243.0
2021-08-17,2021-08-17 00:00:00+08:00,143250.0,144590.0,143060.0,143060.0,28.0,243.0,248.0
2021-08-18,2021-08-18 00:00:00+08:00,142590.0,142590.0,140400.0,140400.0,47.0,248.0,249.0
2021-08-19,2021-08-19 00:00:00+08:00,140130.0,140130.0,138030.0,138960.0,114.0,249.0,253.0
2021-08-20,2021-08-20 00:00:00+08:00,136420.0,138830.0,135900.0,138030.0,45.0,253.0,258.0
2021-08-23,2021-08-23 00:00:00+08:00,137410.0,140000.0,137410.0,138650.0,28.0,258.0,259.0
2021-08-24,2021-08-24 00:00:00+08:00,139360.0,140280.0,138790.0,140280.0,20.0,259.0,256.0
2021-08-25,2021-08-25 00:00:00+08:00,140120.0,141560.0,139910.0,140390.0,40.0,256.0,260.0
2021-08-26,2021-08-26 00:00:00+08:00,141390.0,141570.0,138380.0,138380.0,64.0,260.0,271.0
2021-08-27,2021-08-27 00:00:00+08:00,138280.0,138780.0,137000.0,138160.0,202.0,271.0,400.0
2021-08-30,2021-08-30 00:00:00+08:00,138290.0,142800.0,138290.0,141240.0,284.0,400.0,405.0
2021-08-31,2021-08-31 00:00:00+08:00,141570.0,143510.0,141570.0,142850.0,132.0,405.0,436.0
2021-09-01,2021-09-01 00:00:00+08:00,142860.0,143300.0,141060.0,141740.0,93.0,436.0,423.0
2021-09-02,2021-09-02 00:00:00+08:00,141360.0,142990.0,140780.0,142000.0,49.0,423.0,419.0
2021-09-03,2021-09-03 00:00:00+08:00,140830.0,142300.0,140830.0,141520.0,39.0,419.0,423.0
2021-09-06,2021-09-06 00:00:00+08:00,143080.0,145160.0,142360.0,142730.0,104.0,423.0,435.0
2021-09-07,2021-09-07 00:00:00+08:00,142460.0,144000.0,142150.0,143490.0,43.0,435.0,432.0
2021-09-08,2021-09-08 00:00:00+08:00,143060.0,145420.0,143060.0,144840.0,48.0,432.0,430.0
2021-09-09,2021-09-09 00:00:00+08:00,144500.0,148880.0,144000.0,147390.0,104.0,430.0,408.0
2021-09-10,2021-09-10 00:00:00+08:00,147980.0,151000.0,147630.0,149840.0,66.0,408.0,417.0
2021-09-13,2021-09-13 00:00:00+08:00,149380.0,150850.0,145180.0,145980.0,34.0,417.0,414.0
2021-09-14,2021-09-14 00:00:00+08:00,145060.0,145210.0,143610.0,143630.0,310.0,414.0,452.0
2021-09-15,2021-09-15 00:00:00+08:00,144410.0,144580.0,143000.0,144230.0,206.0,452.0,521.0
2021-09-16,2021-09-16 00:00:00+08:00,145090.0,147360.0,141080.0,142910.0,566.0,521.0,866.0
2021-09-17,2021-09-17 00:00:00+08:00,143390.0,143660.0,141250.0,141400.0,253.0,866.0,931.0
2021-09-22,2021-09-22 00:00:00+08:00,139360.0,142980.0,139360.0,141480.0,207.0,931.0,970.0
2021-09-23,2021-09-23 00:00:00+08:00,142230.0,143000.0,140900.0,142090.0,121.0,970.0,954.0
2021-09-24,2021-09-24 00:00:00+08:00,141700.0,144110.0,140520.0,142580.0,117.0,954.0,951.0
2021-09-27,2021-09-27 00:00:00+08:00,142130.0,143670.0,138700.0,139040.0,131.0,951.0,980.0
2021-09-28,2021-09-28 00:00:00+08:00,139430.0,140000.0,136480.0,136600.0,2322.0,980.0,2660.0
2021-09-29,2021-09-29 00:00:00+08:00,136830.0,137710.0,136500.0,137120.0,43.0,2660.0,2659.0
2021-09-30,2021-09-30 00:00:00+08:00,135090.0,137340.0,133560.0,135820.0,101.0,2659.0,2647.0
2021-10-08,2021-10-08 00:00:00+08:00,138020.0,140700.0,138000.0,139220.0,538.0,2647.0,2536.0
2021-10-11,2021-10-11 00:00:00+08:00,139960.0,143800.0,139730.0,143230.0,235.0,2536.0,2575.0
2021-10-12,2021-10-12 00:00:00+08:00,143110.0,143460.0,140700.0,141750.0,239.0,2575.0,2688.0
2021-10-13,2021-10-13 00:00:00+08:00,142190.0,142850.0,139200.0,140960.0,208.0,2688.0,2728.0
2021-10-14,2021-10-14 00:00:00+08:00,141010.0,144220.0,139350.0,141830.0,229.0,2728.0,2797.0
2021-10-15,2021-10-15 00:00:00+08:00,142340.0,144690.0,141280.0,144100.0,214.0,2797.0,2846.0
2021-10-18,2021-10-18 00:00:00+08:00,146130.0,149630.0,144500.0,149000.0,211.0,2846.0,2853.0
2021-10-19,2021-10-19 00:00:00+08:00,148730.0,148850.0,147450.0,148690.0,104.0,2853.0,2834.0
2021-10-20,2021-10-20 00:00:00+08:00,150520.0,150790.0,145000.0,146760.0,2353.0,2834.0,4847.0
2021-10-21,2021-10-21 00:00:00+08:00,147560.0,157770.0,147560.0,152310.0,2994.0,4847.0,4875.0
2021-10-22,2021-10-22 00:00:00+08:00,151280.0,153150.0,145500.0,147440.0,530.0,4875.0,4894.0
2021-10-25,2021-10-25 00:00:00+08:00,147860.0,148020.0,143690.0,146620.0,211.0,4894.0,4907.0
2021-10-26,2021-10-26 00:00:00+08:00,147850.0,150460.0,147830.0,149390.0,238.0,4907.0,4922.0
2021-10-27,2021-10-27 00:00:00+08:00,149390.0,149600.0,145080.0,145290.0,274.0,4922.0,4965.0
2021-10-28,2021-10-28 00:00:00+08:00,144610.0,144690.0,141000.0,143300.0,713.0,4965.0,5020.0
2021-10-29,2021-10-29 00:00:00+08:00,143090.0,144250.0,141210.0,141420.0,257.0,5020.0,5010.0
2021-11-01,2021-11-01 00:00:00+08:00,140920.0,144670.0,140890.0,141200.0,553.0,5010.0,4990.0
2021-11-02,2021-11-02 00:00:00+08:00,142530.0,144260.0,139780.0,141630.0,979.0,4990.0,5189.0
2021-11-03,2021-11-03 00:00:00+08:00,142660.0,144890.0,141500.0,143810.0,1217.0,5189.0,5836.0
2021-11-04,2021-11-04 00:00:00+08:00,143810.0,143960.0,139680.0,140630.0,4347.0,5836.0,9529.0
2021-11-05,2021-11-05 00:00:00+08:00,140630.0,141580.0,138100.0,139920.0,5374.0,9529.0,13926.0
2021-11-08,2021-11-08 00:00:00+08:00,139790.0,142040.0,139410.0,140380.0,1252.0,13926.0,14126.0
2021-11-09,2021-11-09 00:00:00+08:00,141580.0,143190.0,140910.0,142250.0,1030.0,14126.0,14007.0
2021-11-10,2021-11-10 00:00:00+08:00,142360.0,142610.0,139970.0,141280.0,2012.0,14007.0,15089.0
