trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2025-09-10,2025-09-10 00:00:00+08:00,4326.0,4334.0,4142.0,4218.0,509.0,0.0,194.0
2025-09-11,2025-09-11 00:00:00+08:00,4258.0,4290.0,4250.0,4250.0,35.0,194.0,194.0
2025-09-12,2025-09-12 00:00:00+08:00,4220.0,4238.0,4218.0,4218.0,13.0,194.0,190.0
2025-09-15,2025-09-15 00:00:00+08:00,4214.0,4232.0,4214.0,4220.0,7.0,190.0,188.0
2025-09-16,2025-09-16 00:00:00+08:00,4284.0,4302.0,4270.0,4284.0,7.0,188.0,187.0
2025-09-17,2025-09-17 00:00:00+08:00,4260.0,4262.0,4260.0,4262.0,2.0,187.0,186.0
2025-09-18,2025-09-18 00:00:00+08:00,4222.0,4234.0,4222.0,4234.0,6.0,186.0,181.0
2025-09-19,2025-09-19 00:00:00+08:00,4238.0,4238.0,4238.0,4238.0,1.0,181.0,181.0
2025-09-22,2025-09-22 00:00:00+08:00,4256.0,4262.0,4256.0,4256.0,4.0,181.0,181.0
2025-09-23,2025-09-23 00:00:00+08:00,4230.0,4246.0,4230.0,4232.0,8.0,181.0,177.0
2025-09-24,2025-09-24 00:00:00+08:00,4236.0,4250.0,4236.0,4250.0,16.0,177.0,169.0
2025-09-25,2025-09-25 00:00:00+08:00,4266.0,4266.0,4266.0,4266.0,1.0,169.0,169.0
2025-09-26,2025-09-26 00:00:00+08:00,4260.0,4260.0,4260.0,4260.0,1.0,169.0,168.0
2025-09-29,2025-09-29 00:00:00+08:00,4246.0,4260.0,4244.0,4244.0,3.0,168.0,166.0
2025-09-30,2025-09-30 00:00:00+08:00,4264.0,4264.0,4252.0,4252.0,2.0,166.0,166.0
2025-10-09,2025-10-09 00:00:00+08:00,4218.0,4236.0,4214.0,4214.0,4.0,166.0,164.0
2025-10-10,2025-10-10 00:00:00+08:00,4232.0,4236.0,4232.0,4234.0,31.0,164.0,141.0
2025-10-13,2025-10-13 00:00:00+08:00,4228.0,4228.0,4228.0,4228.0,0.0,141.0,141.0
2025-10-14,2025-10-14 00:00:00+08:00,4220.0,4220.0,4218.0,4218.0,7.0,141.0,140.0
2025-10-15,2025-10-15 00:00:00+08:00,4216.0,4220.0,4214.0,4214.0,11.0,140.0,140.0
2025-10-16,2025-10-16 00:00:00+08:00,4216.0,4216.0,4216.0,4216.0,0.0,140.0,140.0
2025-10-17,2025-10-17 00:00:00+08:00,4216.0,4216.0,4216.0,4216.0,0.0,140.0,140.0
2025-10-20,2025-10-20 00:00:00+08:00,4178.0,4182.0,4152.0,4180.0,12.0,140.0,140.0
2025-10-21,2025-10-21 00:00:00+08:00,4176.0,4186.0,4172.0,4186.0,29.0,140.0,134.0
2025-10-22,2025-10-22 00:00:00+08:00,4188.0,4206.0,4188.0,4206.0,14.0,134.0,129.0
2025-10-23,2025-10-23 00:00:00+08:00,4200.0,4200.0,4200.0,4200.0,0.0,129.0,129.0
2025-10-24,2025-10-24 00:00:00+08:00,4192.0,4192.0,4192.0,4192.0,1.0,129.0,129.0
2025-10-27,2025-10-27 00:00:00+08:00,4206.0,4248.0,4206.0,4246.0,5.0,129.0,128.0
2025-10-28,2025-10-28 00:00:00+08:00,4244.0,4244.0,4244.0,4244.0,1.0,128.0,127.0
2025-10-29,2025-10-29 00:00:00+08:00,4236.0,4240.0,4234.0,4238.0,13.0,127.0,115.0
2025-10-30,2025-10-30 00:00:00+08:00,4226.0,4226.0,4226.0,4226.0,1.0,115.0,114.0
2025-10-31,2025-10-31 00:00:00+08:00,4228.0,4228.0,4228.0,4228.0,1.0,114.0,114.0
2025-11-03,2025-11-03 00:00:00+08:00,4276.0,4282.0,4270.0,4282.0,8.0,114.0,110.0
2025-11-04,2025-11-04 00:00:00+08:00,4284.0,4292.0,4274.0,4276.0,9.0,110.0,104.0
2025-11-05,2025-11-05 00:00:00+08:00,4278.0,4288.0,4278.0,4288.0,10.0,104.0,112.0
2025-11-06,2025-11-06 00:00:00+08:00,4294.0,4320.0,4280.0,4288.0,14.0,112.0,107.0
2025-11-07,2025-11-07 00:00:00+08:00,4256.0,4282.0,4256.0,4282.0,11.0,107.0,103.0
2025-11-10,2025-11-10 00:00:00+08:00,4286.0,4314.0,4284.0,4314.0,5.0,103.0,103.0
2025-11-11,2025-11-11 00:00:00+08:00,4316.0,4324.0,4290.0,4322.0,756.0,103.0,158.0
2025-11-12,2025-11-12 00:00:00+08:00,4312.0,4332.0,4300.0,4308.0,233.0,158.0,160.0
2025-11-13,2025-11-13 00:00:00+08:00,4312.0,4320.0,4266.0,4282.0,666.0,160.0,232.0
2025-11-14,2025-11-14 00:00:00+08:00,4268.0,4300.0,4268.0,4278.0,116.0,232.0,235.0
2025-11-17,2025-11-17 00:00:00+08:00,4274.0,4288.0,4264.0,4280.0,228.0,235.0,233.0
2025-11-18,2025-11-18 00:00:00+08:00,4274.0,4274.0,4162.0,4162.0,387.0,233.0,189.0
