trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2023-03-16,2023-03-16 00:00:00+08:00,15440.0,15455.0,15440.0,15455.0,2.0,0.0,2.0
2023-03-17,2023-03-17 00:00:00+08:00,15470.0,15500.0,15470.0,15500.0,3.0,2.0,5.0
2023-03-20,2023-03-20 00:00:00+08:00,15415.0,15415.0,15415.0,15415.0,1.0,5.0,5.0
2023-03-21,2023-03-21 00:00:00+08:00,15385.0,15470.0,15350.0,15470.0,3.0,5.0,6.0
2023-03-22,2023-03-22 00:00:00+08:00,15360.0,15360.0,15360.0,15360.0,1.0,6.0,5.0
2023-03-23,2023-03-23 00:00:00+08:00,15390.0,15390.0,15390.0,15390.0,0.0,5.0,5.0
2023-03-24,2023-03-24 00:00:00+08:00,15475.0,15475.0,15475.0,15475.0,1.0,5.0,4.0
2023-03-27,2023-03-27 00:00:00+08:00,15475.0,15475.0,15475.0,15475.0,0.0,4.0,4.0
2023-03-28,2023-03-28 00:00:00+08:00,15475.0,15475.0,15475.0,15475.0,0.0,4.0,4.0
2023-03-29,2023-03-29 00:00:00+08:00,15345.0,15345.0,15290.0,15330.0,8.0,4.0,7.0
2023-03-30,2023-03-30 00:00:00+08:00,15360.0,15360.0,15305.0,15305.0,4.0,7.0,10.0
2023-03-31,2023-03-31 00:00:00+08:00,15360.0,15390.0,15350.0,15360.0,12.0,10.0,19.0
2023-04-03,2023-04-03 00:00:00+08:00,15265.0,15280.0,15265.0,15280.0,29.0,19.0,35.0
2023-04-04,2023-04-04 00:00:00+08:00,15275.0,15275.0,15275.0,15275.0,0.0,35.0,35.0
2023-04-06,2023-04-06 00:00:00+08:00,15320.0,15350.0,15300.0,15300.0,4.0,35.0,35.0
2023-04-07,2023-04-07 00:00:00+08:00,15430.0,15435.0,15430.0,15435.0,7.0,35.0,33.0
2023-04-10,2023-04-10 00:00:00+08:00,15390.0,15390.0,15380.0,15390.0,5.0,33.0,30.0
2023-04-11,2023-04-11 00:00:00+08:00,15395.0,15400.0,15395.0,15400.0,4.0,30.0,29.0
2023-04-12,2023-04-12 00:00:00+08:00,15365.0,15365.0,15365.0,15365.0,1.0,29.0,30.0
2023-04-13,2023-04-13 00:00:00+08:00,15370.0,15380.0,15370.0,15380.0,3.0,30.0,30.0
2023-04-14,2023-04-14 00:00:00+08:00,15375.0,15375.0,15375.0,15375.0,0.0,30.0,30.0
2023-04-17,2023-04-17 00:00:00+08:00,15375.0,15375.0,15375.0,15375.0,0.0,30.0,30.0
2023-04-18,2023-04-18 00:00:00+08:00,15375.0,15375.0,15375.0,15375.0,0.0,30.0,30.0
2023-04-19,2023-04-19 00:00:00+08:00,15375.0,15375.0,15375.0,15375.0,0.0,30.0,30.0
2023-04-20,2023-04-20 00:00:00+08:00,15375.0,15375.0,15375.0,15375.0,0.0,30.0,30.0
2023-04-21,2023-04-21 00:00:00+08:00,15375.0,15375.0,15375.0,15375.0,0.0,30.0,30.0
2023-04-24,2023-04-24 00:00:00+08:00,15375.0,15375.0,15375.0,15375.0,0.0,30.0,30.0
2023-04-25,2023-04-25 00:00:00+08:00,15375.0,15375.0,15375.0,15375.0,0.0,30.0,30.0
2023-04-26,2023-04-26 00:00:00+08:00,15335.0,15335.0,15335.0,15335.0,2.0,30.0,31.0
2023-04-27,2023-04-27 00:00:00+08:00,15335.0,15335.0,15335.0,15335.0,0.0,31.0,31.0
2023-04-28,2023-04-28 00:00:00+08:00,15335.0,15335.0,15335.0,15335.0,0.0,31.0,31.0
2023-05-04,2023-05-04 00:00:00+08:00,15335.0,15335.0,15335.0,15335.0,0.0,31.0,31.0
2023-05-05,2023-05-05 00:00:00+08:00,15335.0,15335.0,15335.0,15335.0,0.0,31.0,31.0
2023-05-08,2023-05-08 00:00:00+08:00,15335.0,15335.0,15335.0,15335.0,0.0,31.0,31.0
2023-05-09,2023-05-09 00:00:00+08:00,15335.0,15335.0,15335.0,15335.0,0.0,31.0,31.0
2023-05-10,2023-05-10 00:00:00+08:00,15335.0,15335.0,15335.0,15335.0,0.0,31.0,31.0
2023-05-11,2023-05-11 00:00:00+08:00,15370.0,15370.0,15370.0,15370.0,1.0,31.0,30.0
2023-05-12,2023-05-12 00:00:00+08:00,15370.0,15370.0,15370.0,15370.0,0.0,30.0,30.0
