trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2021-12-16,2021-12-16 00:00:00+08:00,4234.0,4286.0,4206.0,4281.0,18.0,0.0,8.0
2021-12-17,2021-12-17 00:00:00+08:00,4288.0,4313.0,4221.0,4275.0,8.0,8.0,9.0
2021-12-20,2021-12-20 00:00:00+08:00,4338.0,4338.0,4242.0,4250.0,39.0,9.0,43.0
2021-12-21,2021-12-21 00:00:00+08:00,4234.0,4248.0,4200.0,4210.0,32.0,43.0,63.0
2021-12-22,2021-12-22 00:00:00+08:00,4228.0,4229.0,4150.0,4167.0,553.0,63.0,580.0
2021-12-23,2021-12-23 00:00:00+08:00,4169.0,4210.0,4150.0,4209.0,40.0,580.0,601.0
2021-12-24,2021-12-24 00:00:00+08:00,4208.0,4245.0,4208.0,4236.0,129.0,601.0,680.0
2021-12-27,2021-12-27 00:00:00+08:00,4153.0,4223.0,4040.0,4040.0,189.0,680.0,649.0
2021-12-28,2021-12-28 00:00:00+08:00,4066.0,4102.0,4051.0,4067.0,78.0,649.0,683.0
2021-12-29,2021-12-29 00:00:00+08:00,4066.0,4096.0,4044.0,4062.0,1597.0,683.0,2243.0
2021-12-30,2021-12-30 00:00:00+08:00,4079.0,4106.0,4037.0,4049.0,705.0,2243.0,2780.0
2021-12-31,2021-12-31 00:00:00+08:00,4059.0,4111.0,4036.0,4082.0,2831.0,2780.0,5206.0
2022-01-04,2022-01-04 00:00:00+08:00,4066.0,4156.0,4066.0,4133.0,2542.0,5206.0,7650.0
2022-01-05,2022-01-05 00:00:00+08:00,4152.0,4219.0,4152.0,4184.0,807.0,7650.0,8276.0
2022-01-06,2022-01-06 00:00:00+08:00,4225.0,4258.0,4197.0,4238.0,251.0,8276.0,8278.0
2022-01-07,2022-01-07 00:00:00+08:00,4247.0,4270.0,4212.0,4252.0,29.0,8278.0,8280.0
2022-01-10,2022-01-10 00:00:00+08:00,4259.0,4266.0,4225.0,4250.0,21.0,8280.0,8282.0
2022-01-11,2022-01-11 00:00:00+08:00,4255.0,4343.0,4229.0,4343.0,487.0,8282.0,8706.0
