trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2024-06-18,2024-06-18 00:00:00+08:00,268530.0,268530.0,268530.0,268530.0,0.0,0.0,0.0
2024-06-19,2024-06-19 00:00:00+08:00,269960.0,269960.0,269960.0,269960.0,0.0,0.0,0.0
2024-06-20,2024-06-20 00:00:00+08:00,273740.0,273740.0,273740.0,273740.0,0.0,0.0,0.0
2024-06-21,2024-06-21 00:00:00+08:00,275490.0,275490.0,273370.0,273370.0,2.0,0.0,2.0
2024-06-24,2024-06-24 00:00:00+08:00,272770.0,272810.0,272770.0,272810.0,3.0,2.0,4.0
2024-06-25,2024-06-25 00:00:00+08:00,272820.0,272820.0,272820.0,272820.0,0.0,4.0,4.0
2024-06-26,2024-06-26 00:00:00+08:00,263720.0,263720.0,263720.0,263720.0,2.0,4.0,4.0
2024-06-27,2024-06-27 00:00:00+08:00,268640.0,268640.0,267190.0,267190.0,5.0,4.0,5.0
2024-06-28,2024-06-28 00:00:00+08:00,270880.0,271980.0,269550.0,271980.0,6.0,5.0,9.0
2024-07-01,2024-07-01 00:00:00+08:00,273740.0,274090.0,273740.0,274090.0,2.0,9.0,9.0
2024-07-02,2024-07-02 00:00:00+08:00,273910.0,273910.0,273910.0,273910.0,0.0,9.0,9.0
2024-07-03,2024-07-03 00:00:00+08:00,273930.0,273930.0,273930.0,273930.0,0.0,9.0,9.0
2024-07-04,2024-07-04 00:00:00+08:00,273930.0,273930.0,273930.0,273930.0,0.0,9.0,9.0
2024-07-05,2024-07-05 00:00:00+08:00,275250.0,276870.0,274600.0,276870.0,5.0,9.0,10.0
2024-07-08,2024-07-08 00:00:00+08:00,276730.0,277560.0,276730.0,277560.0,3.0,10.0,11.0
2024-07-09,2024-07-09 00:00:00+08:00,276740.0,276740.0,276740.0,276740.0,1.0,11.0,11.0
2024-07-10,2024-07-10 00:00:00+08:00,276740.0,276740.0,276740.0,276740.0,0.0,11.0,11.0
2024-07-11,2024-07-11 00:00:00+08:00,281910.0,281910.0,281910.0,281910.0,0.0,11.0,11.0
2024-07-12,2024-07-12 00:00:00+08:00,274350.0,274350.0,273030.0,273030.0,2.0,11.0,11.0
2024-07-15,2024-07-15 00:00:00+08:00,273690.0,273690.0,273690.0,273690.0,0.0,11.0,11.0
