trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2025-01-16,2025-01-16 00:00:00+08:00,13585.0,13640.0,13585.0,13640.0,10.0,0.0,8.0
2025-01-17,2025-01-17 00:00:00+08:00,13625.0,13700.0,13625.0,13675.0,9.0,8.0,10.0
2025-01-20,2025-01-20 00:00:00+08:00,13635.0,13660.0,13420.0,13535.0,22.0,10.0,13.0
2025-01-21,2025-01-21 00:00:00+08:00,13550.0,13660.0,13550.0,13650.0,9.0,13.0,13.0
2025-01-22,2025-01-22 00:00:00+08:00,13595.0,13625.0,13595.0,13615.0,3.0,13.0,12.0
2025-01-23,2025-01-23 00:00:00+08:00,13610.0,13610.0,13610.0,13610.0,0.0,12.0,12.0
2025-01-24,2025-01-24 00:00:00+08:00,13555.0,13565.0,13555.0,13565.0,2.0,12.0,13.0
2025-01-27,2025-01-27 00:00:00+08:00,13580.0,13610.0,13540.0,13550.0,8.0,13.0,14.0
2025-02-05,2025-02-05 00:00:00+08:00,13575.0,13600.0,13575.0,13585.0,5.0,14.0,13.0
2025-02-06,2025-02-06 00:00:00+08:00,13615.0,13695.0,13600.0,13655.0,14.0,13.0,21.0
2025-02-07,2025-02-07 00:00:00+08:00,13645.0,13700.0,13645.0,13700.0,5.0,21.0,23.0
2025-02-10,2025-02-10 00:00:00+08:00,13625.0,13685.0,13620.0,13645.0,5.0,23.0,24.0
2025-02-11,2025-02-11 00:00:00+08:00,13620.0,13660.0,13580.0,13590.0,14.0,24.0,29.0
2025-02-12,2025-02-12 00:00:00+08:00,13565.0,13655.0,13565.0,13650.0,11.0,29.0,38.0
2025-02-13,2025-02-13 00:00:00+08:00,13660.0,13735.0,13660.0,13705.0,31.0,38.0,50.0
2025-02-14,2025-02-14 00:00:00+08:00,13655.0,13720.0,13655.0,13710.0,23.0,50.0,68.0
2025-02-17,2025-02-17 00:00:00+08:00,13790.0,13790.0,13625.0,13720.0,13.0,68.0,70.0
2025-02-18,2025-02-18 00:00:00+08:00,13730.0,13745.0,13680.0,13745.0,23.0,70.0,87.0
