trade_date,datetime,open,high,low,close,volume,open_oi,close_oi
2022-07-18,2022-07-18 00:00:00+08:00,20875.0,21025.0,20875.0,21025.0,4.0,0.0,4.0
2022-07-19,2022-07-19 00:00:00+08:00,20940.0,20940.0,20940.0,20940.0,0.0,4.0,4.0
2022-07-20,2022-07-20 00:00:00+08:00,20940.0,20940.0,20940.0,20940.0,0.0,4.0,4.0
2022-07-21,2022-07-21 00:00:00+08:00,21160.0,21185.0,21040.0,21040.0,3.0,4.0,3.0
2022-07-22,2022-07-22 00:00:00+08:00,21125.0,21125.0,21125.0,21125.0,0.0,3.0,3.0
2022-07-25,2022-07-25 00:00:00+08:00,21125.0,21125.0,21125.0,21125.0,0.0,3.0,3.0
2022-07-26,2022-07-26 00:00:00+08:00,21125.0,21125.0,21125.0,21125.0,0.0,3.0,3.0
2022-07-27,2022-07-27 00:00:00+08:00,21125.0,21125.0,21125.0,21125.0,0.0,3.0,3.0
2022-07-28,2022-07-28 00:00:00+08:00,22000.0,22000.0,22000.0,22000.0,1.0,3.0,4.0
2022-07-29,2022-07-29 00:00:00+08:00,22190.0,22355.0,22100.0,22350.0,5.0,4.0,6.0
2022-08-01,2022-08-01 00:00:00+08:00,22620.0,22620.0,22595.0,22595.0,3.0,6.0,9.0
2022-08-02,2022-08-02 00:00:00+08:00,22310.0,22400.0,22310.0,22400.0,8.0,9.0,15.0
2022-08-03,2022-08-03 00:00:00+08:00,22100.0,22245.0,22100.0,22245.0,4.0,15.0,15.0
2022-08-04,2022-08-04 00:00:00+08:00,22150.0,22150.0,22080.0,22080.0,7.0,15.0,10.0
2022-08-05,2022-08-05 00:00:00+08:00,22365.0,23065.0,22365.0,23065.0,5.0,10.0,13.0
2022-08-08,2022-08-08 00:00:00+08:00,22720.0,22915.0,22720.0,22735.0,9.0,13.0,13.0
2022-08-09,2022-08-09 00:00:00+08:00,22665.0,22665.0,22650.0,22650.0,4.0,13.0,12.0
2022-08-10,2022-08-10 00:00:00+08:00,23115.0,23115.0,23010.0,23015.0,4.0,12.0,12.0
2022-08-11,2022-08-11 00:00:00+08:00,23300.0,23300.0,23255.0,23255.0,3.0,12.0,13.0
2022-08-12,2022-08-12 00:00:00+08:00,23300.0,23460.0,23300.0,23425.0,6.0,13.0,15.0
2022-08-15,2022-08-15 00:00:00+08:00,22800.0,22800.0,22800.0,22800.0,2.0,15.0,15.0
2022-08-16,2022-08-16 00:00:00+08:00,23200.0,23200.0,23200.0,23200.0,1.0,15.0,16.0
2022-08-17,2022-08-17 00:00:00+08:00,23785.0,23785.0,23600.0,23645.0,10.0,16.0,20.0
2022-08-18,2022-08-18 00:00:00+08:00,23000.0,23000.0,22895.0,22895.0,2.0,20.0,19.0
2022-08-19,2022-08-19 00:00:00+08:00,22910.0,23045.0,22910.0,22945.0,7.0,19.0,19.0
2022-08-22,2022-08-22 00:00:00+08:00,23355.0,23355.0,22965.0,23110.0,5.0,19.0,19.0
2022-08-23,2022-08-23 00:00:00+08:00,23130.0,23130.0,23130.0,23130.0,0.0,19.0,19.0
2022-08-24,2022-08-24 00:00:00+08:00,23340.0,23340.0,23340.0,23340.0,0.0,19.0,19.0
2022-08-25,2022-08-25 00:00:00+08:00,23445.0,23445.0,23445.0,23445.0,0.0,19.0,19.0
2022-08-26,2022-08-26 00:00:00+08:00,23830.0,23900.0,23830.0,23875.0,10.0,19.0,22.0
2022-08-29,2022-08-29 00:00:00+08:00,23875.0,23875.0,23250.0,23250.0,4.0,22.0,20.0
2022-08-30,2022-08-30 00:00:00+08:00,23430.0,23435.0,23430.0,23435.0,4.0,20.0,24.0
2022-08-31,2022-08-31 00:00:00+08:00,23295.0,23415.0,23295.0,23415.0,3.0,24.0,24.0
2022-09-01,2022-09-01 00:00:00+08:00,22865.0,22865.0,22865.0,22865.0,1.0,24.0,24.0
