vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
m2209.DCE,DCE.m2209,2022-04-26 09:00:00,49200,4000.0,4000.0,4000.0,4000.0,0.0,1328397.0,1328397.0
m2209.DCE,DCE.m2209,2022-04-26 09:01:00,49201,3999.0,3999.0,3999.0,3999.0,0.0,1327426.0,1327426.0
m2209.DCE,DCE.m2209,2022-04-26 09:02:00,49202,3994.0,3994.0,3994.0,3994.0,0.0,1327385.0,1327385.0
m2209.DCE,DCE.m2209,2022-04-26 09:03:00,49203,3999.0,3999.0,3999.0,3999.0,0.0,1327557.0,1327557.0
m2209.DCE,DCE.m2209,2022-04-26 09:04:00,49204,3998.0,3998.0,3998.0,3998.0,0.0,1328255.0,1328255.0
m2209.DCE,DCE.m2209,2022-04-26 09:05:00,49205,4000.0,4000.0,4000.0,4000.0,0.0,1329625.0,1329625.0
m2209.DCE,DCE.m2209,2022-04-26 09:06:00,49206,4003.0,4003.0,4003.0,4003.0,0.0,1330627.0,1330627.0
m2209.DCE,DCE.m2209,2022-04-26 09:07:00,49207,4005.0,4005.0,4005.0,4005.0,0.0,1331928.0,1331928.0
m2209.DCE,DCE.m2209,2022-04-26 09:08:00,49208,4012.0,4012.0,4012.0,4012.0,0.0,1333761.0,1333761.0
m2209.DCE,DCE.m2209,2022-04-26 09:09:00,49209,4018.0,4018.0,4018.0,4018.0,0.0,1336444.0,1336444.0
m2209.DCE,DCE.m2209,2022-04-26 09:10:00,49210,4010.0,4010.0,4010.0,4010.0,0.0,1336555.0,1336555.0
m2209.DCE,DCE.m2209,2022-04-26 09:11:00,49211,4011.0,4011.0,4011.0,4011.0,0.0,1336952.0,1336952.0
m2209.DCE,DCE.m2209,2022-04-26 09:12:00,49212,4013.0,4013.0,4013.0,4013.0,0.0,1336795.0,1336795.0
m2209.DCE,DCE.m2209,2022-04-26 09:13:00,49213,4017.0,4017.0,4017.0,4017.0,0.0,1338047.0,1338047.0
m2209.DCE,DCE.m2209,2022-04-26 09:14:00,49214,4012.0,4012.0,4012.0,4012.0,0.0,1338729.0,1338729.0
m2209.DCE,DCE.m2209,2022-04-26 09:15:00,49215,4013.0,4013.0,4013.0,4013.0,0.0,1338743.0,1338743.0
m2209.DCE,DCE.m2209,2022-04-26 09:16:00,49216,4011.0,4011.0,4011.0,4011.0,0.0,1338414.0,1338414.0
m2209.DCE,DCE.m2209,2022-04-26 09:17:00,49217,4013.0,4013.0,4013.0,4013.0,0.0,1338701.0,1338701.0
m2209.DCE,DCE.m2209,2022-04-26 09:18:00,49218,4013.0,4013.0,4013.0,4013.0,0.0,1338895.0,1338895.0
m2209.DCE,DCE.m2209,2022-04-26 09:19:00,49219,4013.0,4013.0,4013.0,4013.0,0.0,1338967.0,1338967.0
m2209.DCE,DCE.m2209,2022-04-26 09:20:00,49220,4015.0,4015.0,4015.0,4015.0,0.0,1339515.0,1339515.0
m2209.DCE,DCE.m2209,2022-04-26 09:21:00,49221,4012.0,4012.0,4012.0,4012.0,0.0,1339527.0,1339527.0
m2209.DCE,DCE.m2209,2022-04-26 09:22:00,49222,4014.0,4014.0,4014.0,4014.0,0.0,1339071.0,1339071.0
m2209.DCE,DCE.m2209,2022-04-26 09:23:00,49223,4013.0,4013.0,4013.0,4013.0,0.0,1339052.0,1339052.0
m2209.DCE,DCE.m2209,2022-04-26 09:24:00,49224,4012.0,4012.0,4012.0,4012.0,0.0,1338917.0,1338917.0
m2209.DCE,DCE.m2209,2022-04-26 09:25:00,49225,4012.0,4012.0,4012.0,4012.0,0.0,1339045.0,1339045.0
m2209.DCE,DCE.m2209,2022-04-26 09:26:00,49226,4009.0,4009.0,4009.0,4009.0,0.0,1338587.0,1338587.0
m2209.DCE,DCE.m2209,2022-04-26 09:27:00,49227,4006.0,4006.0,4006.0,4006.0,0.0,1338760.0,1338760.0
m2209.DCE,DCE.m2209,2022-04-26 09:28:00,49228,4007.0,4007.0,4007.0,4007.0,0.0,1338604.0,1338604.0
m2209.DCE,DCE.m2209,2022-04-26 09:29:00,49229,4010.0,4010.0,4010.0,4010.0,0.0,1338803.0,1338803.0
m2209.DCE,DCE.m2209,2022-04-26 09:30:00,49230,4009.0,4009.0,4009.0,4009.0,0.0,1338718.0,1338718.0
m2209.DCE,DCE.m2209,2022-04-26 09:31:00,49231,4007.0,4007.0,4007.0,4007.0,0.0,1338100.0,1338100.0
m2209.DCE,DCE.m2209,2022-04-26 09:32:00,49232,4003.0,4003.0,4003.0,4003.0,0.0,1337192.0,1337192.0
m2209.DCE,DCE.m2209,2022-04-26 09:33:00,49233,3998.0,3998.0,3998.0,3998.0,0.0,1335890.0,1335890.0
m2209.DCE,DCE.m2209,2022-04-26 09:34:00,49234,4002.0,4002.0,4002.0,4002.0,0.0,1335960.0,1335960.0
m2209.DCE,DCE.m2209,2022-04-26 09:35:00,49235,4002.0,4002.0,4002.0,4002.0,0.0,1335907.0,1335907.0
m2209.DCE,DCE.m2209,2022-04-26 09:36:00,49236,4003.0,4003.0,4003.0,4003.0,0.0,1335227.0,1335227.0
m2209.DCE,DCE.m2209,2022-04-26 09:37:00,49237,4005.0,4005.0,4005.0,4005.0,0.0,1335174.0,1335174.0
m2209.DCE,DCE.m2209,2022-04-26 09:38:00,49238,4008.0,4008.0,4008.0,4008.0,0.0,1335001.0,1335001.0
m2209.DCE,DCE.m2209,2022-04-26 09:39:00,49239,4007.0,4007.0,4007.0,4007.0,0.0,1335141.0,1335141.0
m2209.DCE,DCE.m2209,2022-04-26 09:40:00,49240,4009.0,4009.0,4009.0,4009.0,0.0,1335189.0,1335189.0
m2209.DCE,DCE.m2209,2022-04-26 09:41:00,49241,4003.0,4003.0,4003.0,4003.0,0.0,1334550.0,1334550.0
m2209.DCE,DCE.m2209,2022-04-26 09:42:00,49242,4002.0,4002.0,4002.0,4002.0,0.0,1334405.0,1334405.0
m2209.DCE,DCE.m2209,2022-04-26 09:43:00,49243,4003.0,4003.0,4003.0,4003.0,0.0,1334227.0,1334227.0
m2209.DCE,DCE.m2209,2022-04-26 09:44:00,49244,4002.0,4002.0,4002.0,4002.0,0.0,1334139.0,1334139.0
m2209.DCE,DCE.m2209,2022-04-26 09:45:00,49245,4002.0,4002.0,4002.0,4002.0,0.0,1333480.0,1333480.0
m2209.DCE,DCE.m2209,2022-04-26 09:46:00,49246,3997.0,3997.0,3997.0,3997.0,0.0,1332525.0,1332525.0
m2209.DCE,DCE.m2209,2022-04-26 09:47:00,49247,3995.0,3995.0,3995.0,3995.0,0.0,1332121.0,1332121.0
m2209.DCE,DCE.m2209,2022-04-26 09:48:00,49248,3994.0,3994.0,3994.0,3994.0,0.0,1331893.0,1331893.0
m2209.DCE,DCE.m2209,2022-04-26 09:49:00,49249,3993.0,3993.0,3993.0,3993.0,0.0,1331063.0,1331063.0
m2209.DCE,DCE.m2209,2022-04-26 09:50:00,49250,3994.0,3994.0,3994.0,3994.0,0.0,1330645.0,1330645.0
m2209.DCE,DCE.m2209,2022-04-26 09:51:00,49251,3989.0,3989.0,3989.0,3989.0,0.0,1329516.0,1329516.0
m2209.DCE,DCE.m2209,2022-04-26 09:52:00,49252,3988.0,3988.0,3988.0,3988.0,0.0,1328831.0,1328831.0
m2209.DCE,DCE.m2209,2022-04-26 09:53:00,49253,3989.0,3989.0,3989.0,3989.0,0.0,1329066.0,1329066.0
m2209.DCE,DCE.m2209,2022-04-26 09:54:00,49254,3992.0,3992.0,3992.0,3992.0,0.0,1328954.0,1328954.0
m2209.DCE,DCE.m2209,2022-04-26 09:55:00,49255,3991.0,3991.0,3991.0,3991.0,0.0,1328876.0,1328876.0
m2209.DCE,DCE.m2209,2022-04-26 09:56:00,49256,3989.0,3989.0,3989.0,3989.0,0.0,1328669.0,1328669.0
