vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
v2209.DCE,DCE.v2209,2022-05-19 09:00:00,53910,8450.0,8450.0,8450.0,8450.0,0.0,417084.0,417084.0
v2209.DCE,DCE.v2209,2022-05-19 09:01:00,53911,8447.0,8447.0,8447.0,8447.0,0.0,418077.0,418077.0
v2209.DCE,DCE.v2209,2022-05-19 09:02:00,53912,8456.0,8456.0,8456.0,8456.0,0.0,416996.0,416996.0
v2209.DCE,DCE.v2209,2022-05-19 09:03:00,53913,8473.0,8473.0,8473.0,8473.0,0.0,416782.0,416782.0
v2209.DCE,DCE.v2209,2022-05-19 09:04:00,53914,8478.0,8478.0,8478.0,8478.0,0.0,416861.0,416861.0
v2209.DCE,DCE.v2209,2022-05-19 09:05:00,53915,8471.0,8471.0,8471.0,8471.0,0.0,416811.0,416811.0
v2209.DCE,DCE.v2209,2022-05-19 09:06:00,53916,8469.0,8469.0,8469.0,8469.0,0.0,416996.0,416996.0
v2209.DCE,DCE.v2209,2022-05-19 09:07:00,53917,8462.0,8462.0,8462.0,8462.0,0.0,416568.0,416568.0
v2209.DCE,DCE.v2209,2022-05-19 09:08:00,53918,8465.0,8465.0,8465.0,8465.0,0.0,416698.0,416698.0
v2209.DCE,DCE.v2209,2022-05-19 09:09:00,53919,8466.0,8466.0,8466.0,8466.0,0.0,416920.0,416920.0
v2209.DCE,DCE.v2209,2022-05-19 09:10:00,53920,8465.0,8465.0,8465.0,8465.0,0.0,416830.0,416830.0
v2209.DCE,DCE.v2209,2022-05-19 09:11:00,53921,8459.0,8459.0,8459.0,8459.0,0.0,416757.0,416757.0
v2209.DCE,DCE.v2209,2022-05-19 09:12:00,53922,8468.0,8468.0,8468.0,8468.0,0.0,416761.0,416761.0
v2209.DCE,DCE.v2209,2022-05-19 09:13:00,53923,8463.0,8463.0,8463.0,8463.0,0.0,416607.0,416607.0
v2209.DCE,DCE.v2209,2022-05-19 09:14:00,53924,8457.0,8457.0,8457.0,8457.0,0.0,416707.0,416707.0
v2209.DCE,DCE.v2209,2022-05-19 09:15:00,53925,8459.0,8459.0,8459.0,8459.0,0.0,416798.0,416798.0
v2209.DCE,DCE.v2209,2022-05-19 09:16:00,53926,8456.0,8456.0,8456.0,8456.0,0.0,416931.0,416931.0
v2209.DCE,DCE.v2209,2022-05-19 09:17:00,53927,8466.0,8466.0,8466.0,8466.0,0.0,416995.0,416995.0
v2209.DCE,DCE.v2209,2022-05-19 09:18:00,53928,8470.0,8470.0,8470.0,8470.0,0.0,416899.0,416899.0
v2209.DCE,DCE.v2209,2022-05-19 09:19:00,53929,8470.0,8470.0,8470.0,8470.0,0.0,416820.0,416820.0
v2209.DCE,DCE.v2209,2022-05-19 09:20:00,53930,8475.0,8475.0,8475.0,8475.0,0.0,416680.0,416680.0
v2209.DCE,DCE.v2209,2022-05-19 09:21:00,53931,8478.0,8478.0,8478.0,8478.0,0.0,416542.0,416542.0
v2209.DCE,DCE.v2209,2022-05-19 09:22:00,53932,8471.0,8471.0,8471.0,8471.0,0.0,416542.0,416542.0
v2209.DCE,DCE.v2209,2022-05-19 09:23:00,53933,8471.0,8471.0,8471.0,8471.0,0.0,416343.0,416343.0
v2209.DCE,DCE.v2209,2022-05-19 09:24:00,53934,8470.0,8470.0,8470.0,8470.0,0.0,416220.0,416220.0
v2209.DCE,DCE.v2209,2022-05-19 09:25:00,53935,8473.0,8473.0,8473.0,8473.0,0.0,416451.0,416451.0
v2209.DCE,DCE.v2209,2022-05-19 09:26:00,53936,8466.0,8466.0,8466.0,8466.0,0.0,416513.0,416513.0
v2209.DCE,DCE.v2209,2022-05-19 09:27:00,53937,8473.0,8473.0,8473.0,8473.0,0.0,416670.0,416670.0
v2209.DCE,DCE.v2209,2022-05-19 09:28:00,53938,8468.0,8468.0,8468.0,8468.0,0.0,416550.0,416550.0
v2209.DCE,DCE.v2209,2022-05-19 09:29:00,53939,8467.0,8467.0,8467.0,8467.0,0.0,416575.0,416575.0
v2209.DCE,DCE.v2209,2022-05-19 09:30:00,53940,8465.0,8465.0,8465.0,8465.0,0.0,416640.0,416640.0
v2209.DCE,DCE.v2209,2022-05-19 09:31:00,53941,8470.0,8470.0,8470.0,8470.0,0.0,416516.0,416516.0
v2209.DCE,DCE.v2209,2022-05-19 09:32:00,53942,8467.0,8467.0,8467.0,8467.0,0.0,416524.0,416524.0
v2209.DCE,DCE.v2209,2022-05-19 09:33:00,53943,8473.0,8473.0,8473.0,8473.0,0.0,416547.0,416547.0
v2209.DCE,DCE.v2209,2022-05-19 09:34:00,53944,8471.0,8471.0,8471.0,8471.0,0.0,416618.0,416618.0
v2209.DCE,DCE.v2209,2022-05-19 09:35:00,53945,8473.0,8473.0,8473.0,8473.0,0.0,416609.0,416609.0
v2209.DCE,DCE.v2209,2022-05-19 09:36:00,53946,8471.0,8471.0,8471.0,8471.0,0.0,416670.0,416670.0
