trade_date,datetime,symbol,exchange,open,high,low,close,volume,open_interest
2026-03-30,2026-03-30T00:00:00+08:00,i2609,DCE,788.5,794.0,787.0,791.0,76902.0,273733.0
2026-03-31,2026-03-31T00:00:00+08:00,i2609,DCE,789.5,794.0,785.0,786.5,88427.0,286491.0
2026-04-01,2026-04-01T00:00:00+08:00,i2609,DCE,788.0,799.0,786.5,789.0,112814.0,302434.0
2026-04-02,2026-04-02T00:00:00+08:00,i2609,DCE,788.0,791.0,770.0,780.5,192309.0,322313.0
2026-04-03,2026-04-03T00:00:00+08:00,i2609,DCE,784.0,784.5,771.0,776.0,123405.0,336390.0
2026-04-07,2026-04-07T00:00:00+08:00,i2609,DCE,777.0,783.5,771.0,774.5,123037.0,353696.0
2026-04-08,2026-04-08T00:00:00+08:00,i2609,DCE,775.0,777.5,762.0,766.5,203856.0,374669.0
2026-04-09,2026-04-09T00:00:00+08:00,i2609,DCE,766.0,766.0,748.5,750.0,285975.0,397264.0
2026-04-10,2026-04-10T00:00:00+08:00,i2609,DCE,750.5,760.0,749.0,753.5,227904.0,450171.0
2026-04-13,2026-04-13T00:00:00+08:00,i2609,DCE,753.0,766.5,753.0,763.5,205991.0,461074.0
2026-04-14,2026-04-14T00:00:00+08:00,i2609,DCE,765.0,766.0,749.0,758.5,280426.0,473047.0
2026-04-15,2026-04-15T00:00:00+08:00,i2609,DCE,760.0,765.0,753.5,764.0,212597.0,485079.0
2026-04-16,2026-04-16T00:00:00+08:00,i2609,DCE,764.0,783.5,764.0,782.5,406390.0,488756.0
2026-04-17,2026-04-17T00:00:00+08:00,i2609,DCE,780.5,782.0,774.5,778.5,166884.0,494661.0
2026-04-20,2026-04-20T00:00:00+08:00,i2609,DCE,777.5,789.0,770.5,786.5,290399.0,503050.0
2026-04-21,2026-04-21T00:00:00+08:00,i2609,DCE,784.0,787.5,780.5,784.0,178964.0,520031.0
2026-04-22,2026-04-22T00:00:00+08:00,i2609,DCE,784.0,790.0,782.0,786.5,189458.0,532777.0
2026-04-23,2026-04-23T00:00:00+08:00,i2609,DCE,786.5,793.0,779.0,783.5,243869.0,552205.0
2026-04-24,2026-04-24T00:00:00+08:00,i2609,DCE,782.5,789.0,781.5,786.5,166469.0,563702.0
2026-04-27,2026-04-27T00:00:00+08:00,i2609,DCE,786.0,792.5,783.0,786.0,207979.0,580558.0
2026-04-28,2026-04-28T00:00:00+08:00,i2609,DCE,786.0,788.0,774.0,780.5,291129.0,581155.0
2026-04-29,2026-04-29T00:00:00+08:00,i2609,DCE,781.5,788.0,779.0,787.5,177854.0,582980.0
2026-04-30,2026-04-30T00:00:00+08:00,i2609,DCE,787.5,802.5,786.0,796.0,272248.0,589451.0
2026-05-06,2026-05-06T00:00:00+08:00,i2609,DCE,801.0,818.0,801.0,816.0,261508.0,620392.0
2026-05-07,2026-05-07T00:00:00+08:00,i2609,DCE,816.0,819.5,811.0,817.0,228690.0,651369.0
2026-05-08,2026-05-08T00:00:00+08:00,i2609,DCE,818.0,821.5,812.0,814.5,259180.0,673684.0
