trade_date,datetime,symbol,exchange,open,high,low,close,volume,open_interest
2026-03-30,2026-03-30T00:00:00+08:00,m2609,DCE,3024.0,3033.0,2990.0,3003.0,441107.0,1232649.0
2026-03-31,2026-03-31T00:00:00+08:00,m2609,DCE,3002.0,3008.0,2975.0,2988.0,389850.0,1291580.0
2026-04-01,2026-04-01T00:00:00+08:00,m2609,DCE,2988.0,3000.0,2955.0,2962.0,523716.0,1341782.0
2026-04-02,2026-04-02T00:00:00+08:00,m2609,DCE,2960.0,2981.0,2951.0,2964.0,512942.0,1418190.0
2026-04-03,2026-04-03T00:00:00+08:00,m2609,DCE,2963.0,2978.0,2947.0,2949.0,493318.0,1524339.0
2026-04-07,2026-04-07T00:00:00+08:00,m2609,DCE,2952.0,2963.0,2939.0,2963.0,371556.0,1617788.0
2026-04-08,2026-04-08T00:00:00+08:00,m2609,DCE,2963.0,2984.0,2943.0,2962.0,778200.0,1685520.0
2026-04-09,2026-04-09T00:00:00+08:00,m2609,DCE,2962.0,2981.0,2954.0,2971.0,770440.0,1775301.0
2026-04-10,2026-04-10T00:00:00+08:00,m2609,DCE,2977.0,3001.0,2963.0,2977.0,1017919.0,1876342.0
2026-04-13,2026-04-13T00:00:00+08:00,m2609,DCE,2981.0,2998.0,2971.0,2980.0,923012.0,1944718.0
2026-04-14,2026-04-14T00:00:00+08:00,m2609,DCE,2984.0,2993.0,2958.0,2977.0,897839.0,1989260.0
2026-04-15,2026-04-15T00:00:00+08:00,m2609,DCE,2981.0,2981.0,2959.0,2977.0,751851.0,1997226.0
2026-04-16,2026-04-16T00:00:00+08:00,m2609,DCE,2981.0,2995.0,2970.0,2991.0,790491.0,2025559.0
2026-04-17,2026-04-17T00:00:00+08:00,m2609,DCE,2985.0,2989.0,2955.0,2958.0,902194.0,2114195.0
2026-04-20,2026-04-20T00:00:00+08:00,m2609,DCE,2956.0,2978.0,2933.0,2967.0,1100049.0,2162653.0
2026-04-21,2026-04-21T00:00:00+08:00,m2609,DCE,2967.0,2982.0,2964.0,2978.0,954037.0,2204519.0
2026-04-22,2026-04-22T00:00:00+08:00,m2609,DCE,2978.0,3034.0,2976.0,3026.0,1655827.0,2273758.0
2026-04-23,2026-04-23T00:00:00+08:00,m2609,DCE,3020.0,3027.0,2981.0,2994.0,1354426.0,2416636.0
2026-04-24,2026-04-24T00:00:00+08:00,m2609,DCE,2991.0,3010.0,2965.0,2984.0,1327417.0,2472154.0
2026-04-27,2026-04-27T00:00:00+08:00,m2609,DCE,2984.0,2994.0,2975.0,2993.0,888919.0,2471408.0
2026-04-28,2026-04-28T00:00:00+08:00,m2609,DCE,2995.0,3010.0,2986.0,3006.0,1017512.0,2448324.0
2026-04-29,2026-04-29T00:00:00+08:00,m2609,DCE,3010.0,3034.0,2996.0,3020.0,1207420.0,2447273.0
2026-04-30,2026-04-30T00:00:00+08:00,m2609,DCE,3018.0,3042.0,3007.0,3021.0,986727.0,2513695.0
2026-05-06,2026-05-06T00:00:00+08:00,m2609,DCE,3040.0,3040.0,2998.0,3007.0,855544.0,2493483.0
2026-05-07,2026-05-07T00:00:00+08:00,m2609,DCE,3004.0,3014.0,2981.0,2988.0,1020196.0,2493929.0
2026-05-08,2026-05-08T00:00:00+08:00,m2609,DCE,2985.0,3007.0,2979.0,3003.0,1125693.0,2520503.0
