trade_date,datetime,symbol,exchange,open,high,low,close,volume,open_interest
2025-12-01,2025-12-01T00:00:00+08:00,y2605,DCE,8050.0,8096.0,8024.0,8086.0,135151.0,416581.0
2025-12-02,2025-12-02T00:00:00+08:00,y2605,DCE,8070.0,8118.0,8050.0,8096.0,131471.0,447922.0
2025-12-03,2025-12-03T00:00:00+08:00,y2605,DCE,8082.0,8124.0,8058.0,8094.0,131997.0,466589.0
2025-12-04,2025-12-04T00:00:00+08:00,y2605,DCE,8096.0,8110.0,8038.0,8070.0,144351.0,490717.0
2025-12-05,2025-12-05T00:00:00+08:00,y2605,DCE,8068.0,8106.0,8046.0,8080.0,139503.0,500223.0
2025-12-08,2025-12-08T00:00:00+08:00,y2605,DCE,8092.0,8114.0,8026.0,8032.0,168698.0,517582.0
2025-12-09,2025-12-09T00:00:00+08:00,y2605,DCE,8032.0,8042.0,7968.0,7984.0,231924.0,524774.0
2025-12-10,2025-12-10T00:00:00+08:00,y2605,DCE,7984.0,8046.0,7968.0,8000.0,271713.0,543372.0
2025-12-11,2025-12-11T00:00:00+08:00,y2605,DCE,8036.0,8050.0,8014.0,8036.0,234281.0,561793.0
2025-12-12,2025-12-12T00:00:00+08:00,y2605,DCE,8032.0,8050.0,7990.0,7994.0,219215.0,586387.0
2025-12-15,2025-12-15T00:00:00+08:00,y2605,DCE,7960.0,7986.0,7904.0,7940.0,288029.0,592514.0
2025-12-16,2025-12-16T00:00:00+08:00,y2605,DCE,7926.0,7940.0,7858.0,7872.0,249254.0,610259.0
2025-12-17,2025-12-17T00:00:00+08:00,y2605,DCE,7852.0,7852.0,7814.0,7822.0,251763.0,631935.0
2025-12-18,2025-12-18T00:00:00+08:00,y2605,DCE,7820.0,7862.0,7794.0,7802.0,262058.0,642768.0
2025-12-19,2025-12-19T00:00:00+08:00,y2605,DCE,7786.0,7792.0,7672.0,7712.0,340002.0,656778.0
2025-12-22,2025-12-22T00:00:00+08:00,y2605,DCE,7714.0,7776.0,7680.0,7772.0,238786.0,668423.0
2025-12-23,2025-12-23T00:00:00+08:00,y2605,DCE,7786.0,7796.0,7740.0,7772.0,204327.0,658590.0
2025-12-24,2025-12-24T00:00:00+08:00,y2605,DCE,7772.0,7808.0,7752.0,7764.0,216243.0,656874.0
2025-12-25,2025-12-25T00:00:00+08:00,y2605,DCE,7766.0,7832.0,7760.0,7824.0,202686.0,658436.0
2025-12-26,2025-12-26T00:00:00+08:00,y2605,DCE,7838.0,7858.0,7822.0,7836.0,212384.0,642712.0
2025-12-29,2025-12-29T00:00:00+08:00,y2605,DCE,7856.0,7870.0,7810.0,7818.0,207149.0,632600.0
2025-12-30,2025-12-30T00:00:00+08:00,y2605,DCE,7802.0,7890.0,7796.0,7878.0,209400.0,636368.0
2025-12-31,2025-12-31T00:00:00+08:00,y2605,DCE,7880.0,7896.0,7832.0,7862.0,197076.0,619542.0
2026-01-05,2026-01-05T00:00:00+08:00,y2605,DCE,7898.0,7904.0,7824.0,7856.0,188953.0,607561.0
2026-01-06,2026-01-06T00:00:00+08:00,y2605,DCE,7868.0,7928.0,7866.0,7912.0,263014.0,619119.0
2026-01-07,2026-01-07T00:00:00+08:00,y2605,DCE,7930.0,7960.0,7882.0,7958.0,297201.0,621847.0
2026-01-08,2026-01-08T00:00:00+08:00,y2605,DCE,7974.0,7998.0,7930.0,7944.0,258818.0,643998.0
2026-01-09,2026-01-09T00:00:00+08:00,y2605,DCE,7968.0,7996.0,7932.0,7994.0,203820.0,664893.0
2026-01-12,2026-01-12T00:00:00+08:00,y2605,DCE,7970.0,8016.0,7928.0,7994.0,256642.0,681661.0
2026-01-13,2026-01-13T00:00:00+08:00,y2605,DCE,8008.0,8038.0,7976.0,7986.0,279777.0,689448.0
2026-01-14,2026-01-14T00:00:00+08:00,y2605,DCE,7992.0,8026.0,7956.0,8000.0,237784.0,709684.0
2026-01-15,2026-01-15T00:00:00+08:00,y2605,DCE,8010.0,8018.0,7924.0,7938.0,241830.0,708384.0
2026-01-16,2026-01-16T00:00:00+08:00,y2605,DCE,7930.0,8048.0,7874.0,8016.0,364708.0,712266.0
2026-01-19,2026-01-19T00:00:00+08:00,y2605,DCE,8014.0,8024.0,7964.0,7996.0,209449.0,716141.0
2026-01-20,2026-01-20T00:00:00+08:00,y2605,DCE,8000.0,8066.0,7994.0,8032.0,227651.0,716725.0
2026-01-21,2026-01-21T00:00:00+08:00,y2605,DCE,8040.0,8066.0,8010.0,8044.0,228261.0,722619.0
2026-01-22,2026-01-22T00:00:00+08:00,y2605,DCE,8060.0,8118.0,8060.0,8084.0,262334.0,727245.0
2026-01-23,2026-01-23T00:00:00+08:00,y2605,DCE,8080.0,8118.0,8066.0,8094.0,205388.0,755020.0
