vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
au2412.SHFE,SHFE.au2412,2024-10-16 14:46:00,119776,611.0,611.0,611.0,611.0,0.0,199980.0,199980.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:47:00,119777,611.08,611.08,611.08,611.08,0.0,199980.0,199980.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:48:00,119778,611.22,611.22,611.22,611.22,0.0,199953.0,199953.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:49:00,119779,611.32,611.32,611.32,611.32,0.0,199915.0,199915.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:50:00,119780,611.48,611.48,611.48,611.48,0.0,199997.0,199997.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:51:00,119781,611.56,611.56,611.56,611.56,0.0,200127.0,200127.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:52:00,119782,611.6,611.6,611.6,611.6,0.0,200212.0,200212.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:53:00,119783,611.74,611.74,611.74,611.74,0.0,200270.0,200270.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:54:00,119784,611.7,611.7,611.7,611.7,0.0,200264.0,200264.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:55:00,119785,611.76,611.76,611.76,611.76,0.0,200338.0,200338.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:56:00,119786,611.86,611.86,611.86,611.86,0.0,200365.0,200365.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:57:00,119787,611.84,611.84,611.84,611.84,0.0,200369.0,200369.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:58:00,119788,611.68,611.68,611.68,611.68,0.0,200359.0,200359.0
au2412.SHFE,SHFE.au2412,2024-10-16 14:59:00,119789,611.82,611.82,611.82,611.82,0.0,200321.0,200321.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:00:00,119790,612.8,612.8,612.8,612.8,0.0,200322.0,200322.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:01:00,119791,613.24,613.24,613.24,613.24,0.0,200857.0,200857.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:02:00,119792,613.18,613.18,613.18,613.18,0.0,200988.0,200988.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:03:00,119793,613.14,613.14,613.14,613.14,0.0,201139.0,201139.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:04:00,119794,612.96,612.96,612.96,612.96,0.0,201324.0,201324.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:05:00,119795,613.32,613.32,613.32,613.32,0.0,201312.0,201312.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:06:00,119796,613.68,613.68,613.68,613.68,0.0,201395.0,201395.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:07:00,119797,613.36,613.36,613.36,613.36,0.0,201526.0,201526.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:08:00,119798,613.2,613.2,613.2,613.2,0.0,201701.0,201701.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:09:00,119799,613.16,613.16,613.16,613.16,0.0,201750.0,201750.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:10:00,119800,613.36,613.36,613.36,613.36,0.0,201870.0,201870.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:11:00,119801,613.1,613.1,613.1,613.1,0.0,201951.0,201951.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:12:00,119802,613.04,613.04,613.04,613.04,0.0,202043.0,202043.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:13:00,119803,613.04,613.04,613.04,613.04,0.0,202054.0,202054.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:14:00,119804,612.98,612.98,612.98,612.98,0.0,201970.0,201970.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:15:00,119805,613.18,613.18,613.18,613.18,0.0,201951.0,201951.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:16:00,119806,613.4,613.4,613.4,613.4,0.0,201993.0,201993.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:17:00,119807,613.42,613.42,613.42,613.42,0.0,202014.0,202014.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:18:00,119808,613.5,613.5,613.5,613.5,0.0,202054.0,202054.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:19:00,119809,613.62,613.62,613.62,613.62,0.0,202195.0,202195.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:20:00,119810,613.44,613.44,613.44,613.44,0.0,202210.0,202210.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:21:00,119811,613.12,613.12,613.12,613.12,0.0,202121.0,202121.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:22:00,119812,613.02,613.02,613.02,613.02,0.0,202223.0,202223.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:23:00,119813,613.12,613.12,613.12,613.12,0.0,202206.0,202206.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:24:00,119814,613.14,613.14,613.14,613.14,0.0,202286.0,202286.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:25:00,119815,613.16,613.16,613.16,613.16,0.0,202280.0,202280.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:26:00,119816,613.16,613.16,613.16,613.16,0.0,202283.0,202283.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:27:00,119817,613.26,613.26,613.26,613.26,0.0,202305.0,202305.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:28:00,119818,613.1,613.1,613.1,613.1,0.0,202368.0,202368.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:29:00,119819,613.06,613.06,613.06,613.06,0.0,202384.0,202384.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:30:00,119820,612.74,612.74,612.74,612.74,0.0,202394.0,202394.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:31:00,119821,612.86,612.86,612.86,612.86,0.0,202430.0,202430.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:32:00,119822,613.24,613.24,613.24,613.24,0.0,202334.0,202334.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:33:00,119823,613.18,613.18,613.18,613.18,0.0,202356.0,202356.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:34:00,119824,613.32,613.32,613.32,613.32,0.0,202407.0,202407.0
au2412.SHFE,SHFE.au2412,2024-10-16 21:35:00,119825,613.46,613.46,613.46,613.46,0.0,202392.0,202392.0
