vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:46:00,58306,3756.0,3756.0,3756.0,3756.0,0.0,1222431.0,1222431.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:47:00,58307,3756.0,3756.0,3756.0,3756.0,0.0,1222351.0,1222351.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:48:00,58308,3757.0,3757.0,3757.0,3757.0,0.0,1222497.0,1222497.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:49:00,58309,3757.0,3757.0,3757.0,3757.0,0.0,1222425.0,1222425.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:50:00,58310,3756.0,3756.0,3756.0,3756.0,0.0,1222291.0,1222291.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:51:00,58311,3755.0,3755.0,3755.0,3755.0,0.0,1222152.0,1222152.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:52:00,58312,3755.0,3755.0,3755.0,3755.0,0.0,1221035.0,1221035.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:53:00,58313,3753.0,3753.0,3753.0,3753.0,0.0,1219971.0,1219971.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:54:00,58314,3752.0,3752.0,3752.0,3752.0,0.0,1219765.0,1219765.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:55:00,58315,3752.0,3752.0,3752.0,3752.0,0.0,1218095.0,1218095.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:56:00,58316,3754.0,3754.0,3754.0,3754.0,0.0,1217352.0,1217352.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:57:00,58317,3754.0,3754.0,3754.0,3754.0,0.0,1216111.0,1216111.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:58:00,58318,3753.0,3753.0,3753.0,3753.0,0.0,1215098.0,1215098.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 14:59:00,58319,3753.0,3753.0,3753.0,3753.0,0.0,1214174.0,1214174.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:00:00,58320,3760.0,3760.0,3760.0,3760.0,0.0,1211206.0,1211206.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:01:00,58321,3759.0,3759.0,3759.0,3759.0,0.0,1211157.0,1211157.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:02:00,58322,3762.0,3762.0,3762.0,3762.0,0.0,1211300.0,1211300.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:03:00,58323,3767.0,3767.0,3767.0,3767.0,0.0,1211182.0,1211182.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:04:00,58324,3766.0,3766.0,3766.0,3766.0,0.0,1212315.0,1212315.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:05:00,58325,3766.0,3766.0,3766.0,3766.0,0.0,1213413.0,1213413.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:06:00,58326,3764.0,3764.0,3764.0,3764.0,0.0,1214187.0,1214187.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:07:00,58327,3763.0,3763.0,3763.0,3763.0,0.0,1214783.0,1214783.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:08:00,58328,3763.0,3763.0,3763.0,3763.0,0.0,1215191.0,1215191.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:09:00,58329,3764.0,3764.0,3764.0,3764.0,0.0,1215450.0,1215450.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:10:00,58330,3764.0,3764.0,3764.0,3764.0,0.0,1215464.0,1215464.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:11:00,58331,3767.0,3767.0,3767.0,3767.0,0.0,1216400.0,1216400.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:12:00,58332,3766.0,3766.0,3766.0,3766.0,0.0,1216930.0,1216930.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:13:00,58333,3768.0,3768.0,3768.0,3768.0,0.0,1216807.0,1216807.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:14:00,58334,3770.0,3770.0,3770.0,3770.0,0.0,1217379.0,1217379.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:15:00,58335,3768.0,3768.0,3768.0,3768.0,0.0,1218183.0,1218183.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:16:00,58336,3762.0,3762.0,3762.0,3762.0,0.0,1216428.0,1216428.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:17:00,58337,3757.0,3757.0,3757.0,3757.0,0.0,1212494.0,1212494.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:18:00,58338,3757.0,3757.0,3757.0,3757.0,0.0,1212596.0,1212596.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:19:00,58339,3758.0,3758.0,3758.0,3758.0,0.0,1212403.0,1212403.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:20:00,58340,3759.0,3759.0,3759.0,3759.0,0.0,1212877.0,1212877.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:21:00,58341,3758.0,3758.0,3758.0,3758.0,0.0,1212831.0,1212831.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:22:00,58342,3758.0,3758.0,3758.0,3758.0,0.0,1213059.0,1213059.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:23:00,58343,3761.0,3761.0,3761.0,3761.0,0.0,1213627.0,1213627.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:24:00,58344,3760.0,3760.0,3760.0,3760.0,0.0,1213819.0,1213819.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:25:00,58345,3759.0,3759.0,3759.0,3759.0,0.0,1214820.0,1214820.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:26:00,58346,3760.0,3760.0,3760.0,3760.0,0.0,1214588.0,1214588.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:27:00,58347,3760.0,3760.0,3760.0,3760.0,0.0,1215103.0,1215103.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:28:00,58348,3761.0,3761.0,3761.0,3761.0,0.0,1215476.0,1215476.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:29:00,58349,3765.0,3765.0,3765.0,3765.0,0.0,1216077.0,1216077.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:30:00,58350,3764.0,3764.0,3764.0,3764.0,0.0,1216651.0,1216651.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:31:00,58351,3765.0,3765.0,3765.0,3765.0,0.0,1217323.0,1217323.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:32:00,58352,3766.0,3766.0,3766.0,3766.0,0.0,1217933.0,1217933.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:33:00,58353,3770.0,3770.0,3770.0,3770.0,0.0,1220048.0,1220048.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:34:00,58354,3768.0,3768.0,3768.0,3768.0,0.0,1221330.0,1221330.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:35:00,58355,3770.0,3770.0,3770.0,3770.0,0.0,1222134.0,1222134.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:36:00,58356,3770.0,3770.0,3770.0,3770.0,0.0,1222866.0,1222866.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:37:00,58357,3770.0,3770.0,3770.0,3770.0,0.0,1223204.0,1223204.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:38:00,58358,3769.0,3769.0,3769.0,3769.0,0.0,1223270.0,1223270.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:39:00,58359,3768.0,3768.0,3768.0,3768.0,0.0,1223885.0,1223885.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:40:00,58360,3765.0,3765.0,3765.0,3765.0,0.0,1223391.0,1223391.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:41:00,58361,3765.0,3765.0,3765.0,3765.0,0.0,1222972.0,1222972.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:42:00,58362,3763.0,3763.0,3763.0,3763.0,0.0,1222206.0,1222206.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:43:00,58363,3763.0,3763.0,3763.0,3763.0,0.0,1220919.0,1220919.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:44:00,58364,3763.0,3763.0,3763.0,3763.0,0.0,1220594.0,1220594.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:45:00,58365,3765.0,3765.0,3765.0,3765.0,0.0,1220568.0,1220568.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:46:00,58366,3764.0,3764.0,3764.0,3764.0,0.0,1220482.0,1220482.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:47:00,58367,3765.0,3765.0,3765.0,3765.0,0.0,1221691.0,1221691.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:48:00,58368,3764.0,3764.0,3764.0,3764.0,0.0,1222364.0,1222364.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:49:00,58369,3764.0,3764.0,3764.0,3764.0,0.0,1222976.0,1222976.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:50:00,58370,3763.0,3763.0,3763.0,3763.0,0.0,1223076.0,1223076.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:51:00,58371,3763.0,3763.0,3763.0,3763.0,0.0,1223026.0,1223026.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:52:00,58372,3765.0,3765.0,3765.0,3765.0,0.0,1222791.0,1222791.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:53:00,58373,3765.0,3765.0,3765.0,3765.0,0.0,1222745.0,1222745.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:54:00,58374,3764.0,3764.0,3764.0,3764.0,0.0,1222973.0,1222973.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:55:00,58375,3764.0,3764.0,3764.0,3764.0,0.0,1223107.0,1223107.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:56:00,58376,3763.0,3763.0,3763.0,3763.0,0.0,1223133.0,1223133.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:57:00,58377,3764.0,3764.0,3764.0,3764.0,0.0,1223053.0,1223053.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:58:00,58378,3764.0,3764.0,3764.0,3764.0,0.0,1223270.0,1223270.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 21:59:00,58379,3762.0,3762.0,3762.0,3762.0,0.0,1223941.0,1223941.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:00:00,58380,3760.0,3760.0,3760.0,3760.0,0.0,1223190.0,1223190.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:01:00,58381,3758.0,3758.0,3758.0,3758.0,0.0,1221140.0,1221140.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:02:00,58382,3762.0,3762.0,3762.0,3762.0,0.0,1221090.0,1221090.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:03:00,58383,3760.0,3760.0,3760.0,3760.0,0.0,1220792.0,1220792.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:04:00,58384,3761.0,3761.0,3761.0,3761.0,0.0,1220789.0,1220789.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:05:00,58385,3760.0,3760.0,3760.0,3760.0,0.0,1220864.0,1220864.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:06:00,58386,3760.0,3760.0,3760.0,3760.0,0.0,1220835.0,1220835.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:07:00,58387,3760.0,3760.0,3760.0,3760.0,0.0,1220634.0,1220634.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:08:00,58388,3761.0,3761.0,3761.0,3761.0,0.0,1220684.0,1220684.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:09:00,58389,3762.0,3762.0,3762.0,3762.0,0.0,1220728.0,1220728.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:10:00,58390,3762.0,3762.0,3762.0,3762.0,0.0,1220740.0,1220740.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:11:00,58391,3762.0,3762.0,3762.0,3762.0,0.0,1220753.0,1220753.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:12:00,58392,3760.0,3760.0,3760.0,3760.0,0.0,1221106.0,1221106.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:13:00,58393,3759.0,3759.0,3759.0,3759.0,0.0,1221048.0,1221048.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:14:00,58394,3760.0,3760.0,3760.0,3760.0,0.0,1221095.0,1221095.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:15:00,58395,3759.0,3759.0,3759.0,3759.0,0.0,1221093.0,1221093.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:16:00,58396,3758.0,3758.0,3758.0,3758.0,0.0,1220846.0,1220846.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:17:00,58397,3758.0,3758.0,3758.0,3758.0,0.0,1220816.0,1220816.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:18:00,58398,3759.0,3759.0,3759.0,3759.0,0.0,1221198.0,1221198.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:19:00,58399,3759.0,3759.0,3759.0,3759.0,0.0,1221435.0,1221435.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:20:00,58400,3760.0,3760.0,3760.0,3760.0,0.0,1221544.0,1221544.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:21:00,58401,3761.0,3761.0,3761.0,3761.0,0.0,1221582.0,1221582.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:22:00,58402,3760.0,3760.0,3760.0,3760.0,0.0,1221471.0,1221471.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:23:00,58403,3761.0,3761.0,3761.0,3761.0,0.0,1221494.0,1221494.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:24:00,58404,3762.0,3762.0,3762.0,3762.0,0.0,1221538.0,1221538.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:25:00,58405,3762.0,3762.0,3762.0,3762.0,0.0,1221572.0,1221572.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:26:00,58406,3762.0,3762.0,3762.0,3762.0,0.0,1221391.0,1221391.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:27:00,58407,3761.0,3761.0,3761.0,3761.0,0.0,1221483.0,1221483.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:28:00,58408,3764.0,3764.0,3764.0,3764.0,0.0,1221248.0,1221248.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:29:00,58409,3765.0,3765.0,3765.0,3765.0,0.0,1221061.0,1221061.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:30:00,58410,3763.0,3763.0,3763.0,3763.0,0.0,1220965.0,1220965.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:31:00,58411,3761.0,3761.0,3761.0,3761.0,0.0,1220600.0,1220600.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:32:00,58412,3760.0,3760.0,3760.0,3760.0,0.0,1220627.0,1220627.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:33:00,58413,3761.0,3761.0,3761.0,3761.0,0.0,1220360.0,1220360.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:34:00,58414,3760.0,3760.0,3760.0,3760.0,0.0,1220344.0,1220344.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:35:00,58415,3761.0,3761.0,3761.0,3761.0,0.0,1220359.0,1220359.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:36:00,58416,3761.0,3761.0,3761.0,3761.0,0.0,1220323.0,1220323.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:37:00,58417,3761.0,3761.0,3761.0,3761.0,0.0,1220167.0,1220167.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:38:00,58418,3757.0,3757.0,3757.0,3757.0,0.0,1220261.0,1220261.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:39:00,58419,3758.0,3758.0,3758.0,3758.0,0.0,1219708.0,1219708.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:40:00,58420,3758.0,3758.0,3758.0,3758.0,0.0,1219147.0,1219147.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:41:00,58421,3758.0,3758.0,3758.0,3758.0,0.0,1218543.0,1218543.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:42:00,58422,3758.0,3758.0,3758.0,3758.0,0.0,1218500.0,1218500.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:43:00,58423,3759.0,3759.0,3759.0,3759.0,0.0,1218218.0,1218218.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:44:00,58424,3760.0,3760.0,3760.0,3760.0,0.0,1218128.0,1218128.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:45:00,58425,3760.0,3760.0,3760.0,3760.0,0.0,1218077.0,1218077.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:46:00,58426,3758.0,3758.0,3758.0,3758.0,0.0,1218175.0,1218175.0
rb2101.SHFE,SHFE.rb2101,2020-11-04 22:47:00,58427,3759.0,3759.0,3759.0,3759.0,0.0,1217862.0,1217862.0
