vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
jm2401.DCE,DCE.jm2401,2023-11-21 14:46:00,69748,2026.5,2026.5,2026.5,2026.5,0.0,156636.0,156636.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:47:00,69749,2028.5,2028.5,2028.5,2028.5,0.0,156673.0,156673.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:48:00,69750,2026.0,2026.0,2026.0,2026.0,0.0,156723.0,156723.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:49:00,69751,2026.0,2026.0,2026.0,2026.0,0.0,156698.0,156698.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:50:00,69752,2029.5,2029.5,2029.5,2029.5,0.0,156716.0,156716.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:51:00,69753,2031.5,2031.5,2031.5,2031.5,0.0,156714.0,156714.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:52:00,69754,2030.0,2030.0,2030.0,2030.0,0.0,156700.0,156700.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:53:00,69755,2026.0,2026.0,2026.0,2026.0,0.0,156694.0,156694.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:54:00,69756,2019.5,2019.5,2019.5,2019.5,0.0,156615.0,156615.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:55:00,69757,2019.5,2019.5,2019.5,2019.5,0.0,156587.0,156587.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:56:00,69758,2018.5,2018.5,2018.5,2018.5,0.0,156520.0,156520.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:57:00,69759,2017.5,2017.5,2017.5,2017.5,0.0,156601.0,156601.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:58:00,69760,2013.5,2013.5,2013.5,2013.5,0.0,156581.0,156581.0
jm2401.DCE,DCE.jm2401,2023-11-21 14:59:00,69761,2005.0,2005.0,2005.0,2005.0,0.0,156252.0,156252.0
