vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
OI205.CZCE,CZCE.OI205,2021-12-10 14:59:00,47594,12185.0,12185.0,12171.0,12178.0,1002.0,155330.0,155091.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:00:00,47595,12221.0,12240.0,12221.0,12227.0,3655.0,155091.0,155738.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:01:00,47596,12227.0,12227.0,12206.0,12212.0,1852.0,155738.0,155848.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:02:00,47597,12212.0,12215.0,12200.0,12207.0,1445.0,155848.0,155991.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:03:00,47598,12207.0,12216.0,12204.0,12207.0,1068.0,155991.0,156182.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:04:00,47599,12207.0,12208.0,12188.0,12189.0,1615.0,156182.0,156567.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:05:00,47600,12189.0,12192.0,12182.0,12187.0,1390.0,156567.0,156987.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:06:00,47601,12187.0,12192.0,12186.0,12188.0,818.0,156987.0,157173.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:07:00,47602,12188.0,12194.0,12183.0,12191.0,980.0,157173.0,157393.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:08:00,47603,12191.0,12191.0,12178.0,12180.0,802.0,157393.0,157414.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:09:00,47604,12180.0,12182.0,12170.0,12171.0,1064.0,157414.0,157691.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:10:00,47605,12171.0,12191.0,12171.0,12180.0,887.0,157691.0,157867.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:11:00,47606,12180.0,12189.0,12176.0,12185.0,625.0,157867.0,157899.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:12:00,47607,12185.0,12185.0,12165.0,12171.0,945.0,157899.0,157930.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:13:00,47608,12171.0,12179.0,12164.0,12179.0,887.0,157930.0,157922.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:14:00,47609,12179.0,12179.0,12169.0,12173.0,557.0,157922.0,157914.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:15:00,47610,12173.0,12173.0,12153.0,12163.0,1176.0,157914.0,158005.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:16:00,47611,12163.0,12169.0,12162.0,12164.0,360.0,158005.0,157997.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:17:00,47612,12164.0,12164.0,12154.0,12155.0,521.0,157997.0,158024.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:18:00,47613,12155.0,12157.0,12147.0,12152.0,887.0,158024.0,158096.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:19:00,47614,12152.0,12159.0,12146.0,12157.0,705.0,158096.0,158099.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:20:00,47615,12157.0,12174.0,12157.0,12174.0,726.0,158099.0,157978.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:21:00,47616,12174.0,12174.0,12166.0,12172.0,508.0,157978.0,158045.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:22:00,47617,12172.0,12173.0,12162.0,12171.0,390.0,158045.0,158064.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:23:00,47618,12171.0,12174.0,12164.0,12168.0,378.0,158064.0,158048.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:24:00,47619,12168.0,12182.0,12168.0,12179.0,1131.0,158048.0,158076.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:25:00,47620,12179.0,12193.0,12174.0,12188.0,1642.0,158076.0,158418.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:26:00,47621,12188.0,12188.0,12177.0,12182.0,765.0,158418.0,158556.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:27:00,47622,12182.0,12183.0,12173.0,12177.0,499.0,158556.0,158646.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:28:00,47623,12177.0,12181.0,12173.0,12176.0,505.0,158646.0,158693.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:29:00,47624,12176.0,12183.0,12175.0,12176.0,532.0,158693.0,158739.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:30:00,47625,12176.0,12182.0,12167.0,12170.0,1027.0,158739.0,158862.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:31:00,47626,12170.0,12185.0,12169.0,12184.0,713.0,158862.0,158980.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:32:00,47627,12184.0,12188.0,12182.0,12188.0,392.0,158980.0,159115.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:33:00,47628,12188.0,12194.0,12186.0,12192.0,672.0,159115.0,159207.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:34:00,47629,12192.0,12204.0,12189.0,12190.0,996.0,159207.0,159190.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:35:00,47630,12190.0,12196.0,12186.0,12194.0,525.0,159190.0,159194.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:36:00,47631,12194.0,12209.0,12194.0,12201.0,1173.0,159194.0,159345.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:37:00,47632,12201.0,12212.0,12200.0,12207.0,936.0,159345.0,159314.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:38:00,47633,12207.0,12213.0,12201.0,12203.0,561.0,159314.0,159335.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:39:00,47634,12203.0,12206.0,12199.0,12199.0,584.0,159335.0,159425.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:40:00,47635,12199.0,12203.0,12195.0,12195.0,645.0,159425.0,159490.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:41:00,47636,12195.0,12206.0,12195.0,12201.0,405.0,159490.0,159540.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:42:00,47637,12201.0,12205.0,12199.0,12200.0,333.0,159540.0,159592.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:43:00,47638,12200.0,12203.0,12194.0,12195.0,391.0,159592.0,159629.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:44:00,47639,12195.0,12200.0,12192.0,12198.0,332.0,159629.0,159652.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:45:00,47640,12198.0,12213.0,12198.0,12212.0,533.0,159652.0,159772.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:46:00,47641,12212.0,12214.0,12201.0,12205.0,464.0,159772.0,159741.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:47:00,47642,12205.0,12209.0,12202.0,12202.0,239.0,159741.0,159757.0
OI205.CZCE,CZCE.OI205,2021-12-10 21:48:00,47643,12202.0,12205.0,12199.0,12203.0,229.0,159757.0,159728.0
