vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
SA009.CZCE,CZCE.SA009,2020-07-31 22:59:00,46589,1325.0,1326.0,1324.0,1325.0,419.0,136964.0,136782.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:00:00,46590,1326.0,1331.0,1326.0,1329.0,4406.0,136782.0,135326.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:01:00,46591,1329.0,1333.0,1329.0,1333.0,2532.0,135326.0,134705.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:02:00,46592,1333.0,1337.0,1333.0,1337.0,3468.0,134705.0,134464.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:03:00,46593,1337.0,1337.0,1331.0,1333.0,2810.0,134464.0,133354.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:04:00,46594,1333.0,1336.0,1332.0,1335.0,2240.0,133354.0,132816.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:05:00,46595,1335.0,1346.0,1335.0,1343.0,7714.0,132816.0,131046.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:06:00,46596,1343.0,1344.0,1338.0,1339.0,3446.0,131046.0,130796.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:07:00,46597,1339.0,1343.0,1339.0,1343.0,1330.0,130796.0,130878.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:08:00,46598,1343.0,1347.0,1342.0,1347.0,2751.0,130878.0,130471.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:09:00,46599,1347.0,1349.0,1346.0,1346.0,3860.0,130471.0,130209.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:10:00,46600,1346.0,1350.0,1345.0,1350.0,3088.0,130209.0,129845.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:11:00,46601,1350.0,1353.0,1347.0,1349.0,3226.0,129845.0,129025.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:12:00,46602,1349.0,1351.0,1348.0,1350.0,1785.0,129025.0,129076.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:13:00,46603,1350.0,1353.0,1349.0,1352.0,1930.0,129076.0,129201.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:14:00,46604,1352.0,1362.0,1351.0,1360.0,5800.0,129201.0,128368.0
SA009.CZCE,CZCE.SA009,2020-08-03 09:15:00,46605,1360.0,1362.0,1356.0,1356.0,3736.0,128368.0,128455.0
