vt_symbol,tq_symbol,bar_datetime,bar_id,open,high,low,close,volume,open_oi,close_oi
au2012.SHFE,SHFE.au2012,2020-11-13 14:59:00,111554,396.78,396.92,396.64,396.88,410.0,95886.0,95747.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:00:00,111555,397.5,398.28,397.5,398.14,1700.0,95747.0,95911.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:01:00,111556,398.14,398.42,398.14,398.32,709.0,95911.0,96011.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:02:00,111557,398.32,398.46,398.22,398.26,584.0,96011.0,96066.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:03:00,111558,398.26,398.64,398.26,398.56,472.0,96066.0,95987.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:04:00,111559,398.56,398.58,398.44,398.54,478.0,95987.0,95956.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:05:00,111560,398.54,398.58,398.3,398.42,512.0,95956.0,95961.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:06:00,111561,398.42,398.44,398.34,398.42,333.0,95961.0,95884.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:07:00,111562,398.42,398.56,398.38,398.52,337.0,95884.0,95870.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:08:00,111563,398.52,398.54,398.4,398.44,320.0,95870.0,95902.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:09:00,111564,398.44,398.52,398.22,398.32,465.0,95902.0,95886.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:10:00,111565,398.32,398.34,398.14,398.28,571.0,95886.0,95844.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:11:00,111566,398.28,398.28,398.2,398.24,210.0,95844.0,95843.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:12:00,111567,398.24,398.38,398.24,398.34,250.0,95843.0,95824.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:13:00,111568,398.34,398.38,398.24,398.26,204.0,95824.0,95813.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:14:00,111569,398.26,398.54,398.26,398.52,430.0,95813.0,95839.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:15:00,111570,398.52,398.56,398.4,398.42,279.0,95839.0,95873.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:16:00,111571,398.42,398.48,398.38,398.48,123.0,95873.0,95843.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:17:00,111572,398.48,398.56,398.32,398.38,329.0,95843.0,95892.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:18:00,111573,398.38,398.4,398.28,398.28,264.0,95892.0,95956.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:19:00,111574,398.28,398.4,398.28,398.38,103.0,95956.0,95916.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:20:00,111575,398.38,398.46,398.24,398.42,326.0,95916.0,95944.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:21:00,111576,398.42,398.76,398.32,398.62,694.0,95944.0,95980.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:22:00,111577,398.62,398.62,398.42,398.44,302.0,95980.0,96017.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:23:00,111578,398.44,398.52,398.44,398.46,104.0,96017.0,96023.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:24:00,111579,398.46,398.5,398.34,398.44,144.0,96023.0,96012.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:25:00,111580,398.44,398.46,398.4,398.4,123.0,96012.0,96011.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:26:00,111581,398.4,398.4,398.34,398.38,131.0,96011.0,95984.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:27:00,111582,398.38,398.38,398.28,398.28,163.0,95984.0,95961.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:28:00,111583,398.28,398.4,398.16,398.4,413.0,95961.0,95978.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:29:00,111584,398.4,398.44,398.38,398.42,127.0,95978.0,95978.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:30:00,111585,398.42,398.68,398.4,398.52,479.0,95978.0,95956.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:31:00,111586,398.52,398.52,398.44,398.46,197.0,95956.0,95952.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:32:00,111587,398.46,398.54,398.38,398.38,174.0,95952.0,95945.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:33:00,111588,398.38,398.42,398.36,398.38,190.0,95945.0,95935.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:34:00,111589,398.38,398.52,398.38,398.5,140.0,95935.0,95960.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:35:00,111590,398.5,398.54,398.46,398.5,195.0,95960.0,95963.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:36:00,111591,398.5,398.62,398.42,398.6,280.0,95963.0,95977.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:37:00,111592,398.6,398.7,398.54,398.6,550.0,95977.0,96009.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:38:00,111593,398.6,398.78,398.6,398.72,350.0,96009.0,96019.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:39:00,111594,398.72,398.76,398.66,398.74,260.0,96019.0,96028.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:40:00,111595,398.74,398.84,398.58,398.76,529.0,96028.0,96052.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:41:00,111596,398.76,399.0,398.72,398.94,730.0,96052.0,96152.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:42:00,111597,398.94,399.16,398.88,398.96,589.0,96152.0,96165.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:43:00,111598,398.96,398.96,398.86,398.9,280.0,96165.0,96172.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:44:00,111599,398.9,398.98,398.84,398.88,251.0,96172.0,96160.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:45:00,111600,398.88,399.06,398.82,398.82,330.0,96160.0,96152.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:46:00,111601,398.82,398.94,398.82,398.94,327.0,96152.0,96164.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:47:00,111602,398.94,399.0,398.9,398.98,207.0,96164.0,96161.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:48:00,111603,398.98,399.2,398.96,399.12,349.0,96161.0,96217.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:49:00,111604,399.12,399.16,399.02,399.08,323.0,96217.0,96180.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:50:00,111605,399.08,399.28,399.08,399.12,548.0,96180.0,96196.0
au2012.SHFE,SHFE.au2012,2020-11-13 21:51:00,111606,399.12,399.36,399.12,399.2,588.0,96196.0,96181.0
